序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率
19,603982,泉峰汽车,16.14,10.02,1.47,146443,231571431.0,10.09,16.14,14.66,14.66,14.67,6.65,6.02,-9.02,1.7
20,002387,维信诺,10.76,10.02,0.98,63378,68194620.4,0.0,10.76,10.76,10.76,9.78,1.01,0.46,-4.55,1.47
21,600733,北汽蓝谷,6.15,10.02,0.56,1584932,954949658.0,7.51,6.15,5.73,5.84,5.59,4.85,4.05,-8.66,3.53
22,603276,恒兴新材,25.59,10.02,2.33,74720,191160692.0,1.63,25.59,25.21,25.59,23.26,5.15,19.66,46.27,2.37
23,600449,宁夏建材,18.68,10.01,1.7,125495,226086789.0,9.31,18.68,17.1,17.11,16.98,7.65,2.62,29.47,1.27
24,600721,百花医药,11.21,10.01,1.02,88353,99043724.0,0.0,11.21,11.21,11.21,10.19,1.36,2.32,164.25,6.07
25,603168,莎普爱思,13.96,10.01,1.27,17844,24910685.0,0.0,13.96,13.96,13.96,12.69,0.76,0.55,35.45,2.94
26,002828,贝肯能源,14.18,10.01,1.29,494159,690418820.05,4.58,14.18,13.59,13.59,12.89,2.98,25.6,77.15,4.78
27,603211,晋拓股份,16.93,10.01,1.54,237684,398425216.0,8.12,16.93,15.68,15.99,15.39,10.45,34.98,91.35,4.09
28,001337,四川黄金,30.79,10.0,2.8,130494,391361395.33,6.4,30.79,29.0,29.0,27.99,11.39,21.75,69.8,10.38
29,603727,博迈科,13.97,10.0,1.27,117195,160265602.0,8.43,13.97,12.9,12.9,12.7,3.67,4.16,-27.7,1.22
30,603619,中曼石油,21.67,10.0,1.97,197127,420274377.0,8.17,21.67,20.06,20.2,19.7,5.97,4.93,9.85,3.23
31,600083,博信股份,7.92,10.0,0.72,163212,126047456.0,10.83,7.92,7.14,7.15,7.2,6.49,7.16,-78.81,25.0
32,002771,真视通,16.72,10.0,1.52,225392,365820481.6,10.66,16.72,15.1,15.38,15.2,2.34,13.19,-56.73,5.05
33,002038,双鹭药业,14.63,10.0,1.33,741577,1056148857.49,7.59,14.63,13.62,13.75,13.3,2.47,8.71,23.69,2.64
34,001324,长青科技,30.5,9.99,2.77,61231,184268679.5,9.99,30.5,27.73,27.98,27.73,3.82,18.11,61.13,3.9
35,001331,胜通能源,17.73,9.99,1.61,31960,55798824.05,10.11,17.73,16.1,16.11,16.12,7.42,7.61,-26.94,2.0
36,000554,泰山石油,6.17,9.98,0.56,420830,254606127.44,8.38,6.17,5.7,5.71,5.61,9.32,11.6,111.59,3.13
37,603178,圣龙股份,21.38,9.98,1.94,28218,60330084.0,0.0,21.38,21.38,21.38,19.44,0.53,1.19,92.76,3.93
38,300873,海晨股份,20.95,9.97,1.9,91084,185948737.17,9.24,20.97,19.21,19.21,19.05,7.43,5.52,13.86,1.76
39,003009,中天火箭,45.66,9.97,4.14,43849,197814221.38,10.14,45.67,41.46,41.46,41.52,17.46,9.96,107.17,4.72
40,603036,如通股份,12.81,9.96,1.16,125597,159736613.0,6.27,12.82,12.09,12.82,11.65,8.42,6.1,37.33,2.18
41,002629,仁智股份,4.2,9.95,0.38,507616,208362527.7,8.64,4.2,3.87,3.87,3.82,2.93,14.22,-35.67,67.47
42,000680,山推股份,5.09,9.94,0.46,679110,343732743.54,3.02,5.09,4.95,5.0,4.63,23.1,6.38,12.64,1.5
43,301393,昊帆生物,98.38,9.93,8.89,70108,676875231.09,15.4,104.0,90.22,92.88,89.49,3.7,29.97,90.44,4.9
44,300483,首华燃气,14.89,9.49,1.29,196742,287922694.09,13.16,15.5,13.71,13.79,13.6,7.97,7.52,105.18,1.43
45,600630,龙头股份,8.58,9.44,0.74,899622,752568126.0,11.86,8.62,7.69,7.69,7.84,6.05,21.17,170.36,5.15
46,603768,常青股份,20.41,9.44,1.76,109621,219026583.0,8.95,20.52,18.85,18.97,18.65,4.63,5.37,23.06,2.11
47,603985,恒润股份,30.08,9.1,2.51,292886,876327057.0,5.95,30.33,28.69,28.69,27.57,7.59,6.64,119.88,3.86
48,688079,美迪凯,12.4,8.87,1.01,162684,201705794.0,9.83,13.02,11.9,12.1,11.39,13.76,9.13,-80.15,3.28
49,000506,中润资源,4.93,8.59,0.39,821166,396772623.08,5.95,4.98,4.71,4.75,4.54,7.17,8.84,-28.06,7.84
50,300322,硕贝德,16.78,8.54,1.32,1074983,1779946866.53,8.15,17.19,15.93,16.38,15.46,4.04,24.24,-29.88,7.09
51,002675,东诚药业,18.7,7.91,1.37,251469,474705057.85,8.14,19.06,17.65,17.75,17.33,7.18,3.38,41.83,3.18
52,300025,华星创业,18.07,7.88,1.32,184554,331285221.54,8.9,18.29,16.8,16.82,16.75,3.47,4.26,-335.58,13.76
53,002657,中科金财,15.76,7.8,1.14,246620,388629950.86,6.02,16.08,15.2,15.5,14.62,24.24,7.36,-200.64,2.68
54,002708,光洋股份,10.31,7.73,0.74,1027577,1055448072.13,8.46,10.53,9.72,10.53,9.57,9.63,25.13,-65.42,4.19
55,002792,通宇通讯,22.2,7.71,1.59,636433,1395056866.13,6.74,22.67,21.28,21.3,20.61,5.51,26.52,106.47,3.19
56,300495,*ST美尚,1.97,7.65,0.14,142491,27447548.32,9.29,1.98,1.81,1.84,1.83,9.84,2.12,-3.03,2.81
57,605199,葫芦娃,16.57,7.53,1.16,156357,254311339.0,10.64,16.9,15.26,15.41,15.41,16.85,3.91,54.02,6.17
58,600326,西藏天路,5.59,7.5,0.39,531484,290129424.0,8.85,5.63,5.17,5.17,5.2,3.47,4.45,-14.22,1.86
59,300191,潜能恒信,19.46,7.45,1.35,99034,190624250.08,7.56,19.73,18.36,18.43,18.11,9.35,4.5,-35.13,5.32
60,002339,积成电子,7.77,7.32,0.53,412372,312469002.81,10.08,7.95,7.22,7.26,7.24,7.7,8.63,-29.59,2.32
61,600100,同方股份,7.92,7.32,0.54,1101904,854113716.0,8.81,7.98,7.33,7.36,7.38,6.43,3.72,130.96,1.74
62,300965,恒宇信通,59.35,7.28,4.03,20279,117140239.28,9.26,59.75,54.63,55.47,55.32,1.98,12.34,-821.03,2.58
63,300985,致远新能,30.56,7.23,2.06,45373,137097181.72,12.25,31.99,28.5,28.78,28.5,5.11,12.49,-47.59,3.6
64,002176,江特电机,11.74,7.02,0.77,1393805,1549406574.49,9.85,11.74,10.66,10.73,10.97,6.64,8.17,-189.48,4.81
65,603186,华正新材,41.07,6.98,2.68,85560,345016926.0,9.01,42.23,38.77,39.86,38.39,8.03,6.03,-258.76,3.62
66,300044,赛为智能,5.31,6.84,0.34,683307,352443981.47,8.05,5.34,4.94,5.0,4.97,4.16,9.98,84.47,4.91
67,300366,创意信息,15.4,6.8,0.98,556521,827700775.24,7.42,15.44,14.37,14.43,14.42,2.99,11.08,492.31,3.85
68,600026,中远海能,13.57,6.77,0.86,266479,355733909.0,4.64,13.58,12.99,12.99,12.71,4.79,0.77,11.53,1.89
69,300255,常山药业,17.75,6.73,1.12,1041316,1770547050.37,11.73,17.98,16.03,16.38,16.63,2.49,11.18,-53.23,5.73
70,600498,烽火通信,21.15,6.55,1.3,227612,474994523.0,6.2,21.23,20.0,20.03,19.85,5.42,2.01,62.83,2.18
71,002207,准油股份,8.36,6.5,0.51,311074,258050747.6,4.84,8.5,8.12,8.13,7.85,4.17,11.93,-66.37,24.68
72,603266,天龙股份,17.77,6.47,1.08,243054,430252268.0,6.83,18.36,17.22,17.41,16.69,7.48,12.22,32.93,2.56
73,601689,拓普集团,68.5,6.37,4.1,151779,1008921470.0,7.92,69.07,63.97,65.34,64.4,4.52,1.38,34.5,6.0
74,300199,翰宇药业,18.0,6.26,1.06,1265139,2215381929.06,12.4,18.5,16.4,17.43,16.94,3.11,19.0,-232.88,12.61
75,301220,亚香股份,34.85,6.25,2.05,20800,74072979.12,15.85,38.8,33.6,33.84,32.8,18.94,4.93,30.49,1.8
76,600777,新潮能源,2.73,6.23,0.16,3425864,922147015.0,7.78,2.8,2.6,2.6,2.57,11.77,5.38,8.06,0.97
77,603616,韩建河山,7.04,6.18,0.41,214094,149138229.0,10.41,7.2,6.51,6.59,6.63,4.04,5.61,-35.48,3.84
78,002286,保龄宝,8.14,6.13,0.47,206950,172567897.98,4.82,8.44,8.07,8.44,7.67,30.33,5.6,46.06,1.5
79,002907,华森制药,20.1,6.07,1.15,198248,393120456.41,10.55,20.5,18.5,18.51,18.95,4.74,6.42,101.47,5.16
80,300098,高新兴,4.9,6.06,0.28,2098100,1045279612.01,10.82,5.24,4.74,4.98,4.62,4.09,13.62,-88.65,2.77
81,000034,神州数码,29.37,6.03,1.67,309919,906848823.34,8.56,30.28,27.91,28.1,27.7,6.13,5.63,22.69,2.53
82,601872,招商轮船,6.61,5.93,0.37,291652,188739916.0,5.61,6.63,6.28,6.29,6.24,4.31,0.36,9.71,1.52
83,300381,溢多利,8.3,5.87,0.46,228903,192031412.94,13.27,8.78,7.74,7.89,7.84,16.49,4.8,274.58,1.52
84,000413,东旭光电,2.36,5.83,0.13,5525362,1292705865.86,8.97,2.45,2.25,2.26,2.23,9.95,10.99,-22.35,0.59
85,600155,华创云信,8.54,5.82,0.47,967103,809323998.0,7.31,8.6,8.01,8.01,8.07,3.61,4.28,30.7,0.99
86,300157,新锦动力,3.65,5.8,0.2,331441,120766558.24,7.83,3.75,3.48,3.48,3.45,4.71,4.75,-18.89,158.21
87,002865,钧达股份,90.99,5.69,4.9,88669,805718599.88,7.97,93.88,87.02,87.02,86.09,4.43,4.55,10.83,4.32
88,002969,嘉美包装,4.12,5.64,0.22,320477,130867999.5,8.46,4.25,3.92,3.92,3.9,8.1,6.06,72.82,1.73
89,301158,德石股份,19.69,5.58,1.04,106253,207989416.71,6.97,20.1,18.8,18.8,18.65,3.32,13.68,45.12,2.33
90,002544,普天科技,24.59,5.49,1.28,242810,571226880.98,9.05,24.74,22.63,22.73,23.31,10.12,3.63,128.49,4.46
91,300722,新余国科,27.58,5.47,1.43,65943,179579836.92,7.76,28.16,26.13,26.16,26.15,7.27,2.86,79.52,11.52
92,605178,时空科技,21.57,5.43,1.11,22843,48683501.0,6.35,21.75,20.45,20.45,20.46,9.52,3.68,-14.49,1.24
93,300139,晓程科技,11.28,5.42,0.58,275197,304452504.88,7.1,11.49,10.73,11.03,10.7,8.0,11.78,39.62,2.91
94,300213,佳讯飞鸿,8.76,5.42,0.45,495687,427001171.81,6.14,8.88,8.37,8.47,8.31,1.88,9.0,99.75,2.34
95,002664,信质集团,17.51,5.35,0.89,94460,161028418.99,6.44,17.55,16.48,16.53,16.62,1.84,2.37,37.37,2.21
96,002901,大博医疗,34.83,5.35,1.77,46148,163113034.97,9.98,36.37,33.07,33.07,33.06,10.84,1.32,77.08,4.66
97,830946,森萱医药,7.33,5.32,0.37,25674,18727435.96,7.04,7.44,6.95,7.06,6.96,11.72,0.6,20.42,2.9
98,000968,蓝焰控股,8.14,5.3,0.41,194281,158094255.1,6.21,8.32,7.84,7.88,7.73,7.67,2.01,12.26,1.43
99,300167,ST迪威迅,3.38,5.3,0.17,165141,54217472.0,9.35,3.44,3.14,3.2,3.21,4.23,4.88,-6.16,57.63
100,000046,*ST泛海,2.24,5.16,0.11,1342249,298649688.54,3.76,2.24,2.16,2.16,2.13,3.87,2.59,-1.39,-1.22
101,688679,通源环境,13.92,5.14,0.68,13654,18748453.0,6.42,14.09,13.24,13.25,13.24,2.69,2.29,49.61,1.64
102,000007,*ST全新,4.75,5.09,0.23,45272,21253279.5,4.65,4.75,4.54,4.54,4.52,9.55,1.47,67.8,16.03
103,000752,*ST西发,8.54,5.04,0.41,166469,141931292.0,1.97,8.54,8.38,8.54,8.13,2.52,6.31,-61.41,-46.09
104,002569,ST步森,7.99,4.99,0.38,10111,8078689.0,0.0,7.99,7.99,7.99,7.61,2.48,0.72,-31.58,8.16
105,600599,ST熊猫,12.83,4.99,0.61,1347,1728458.0,0.0,12.83,12.83,12.83,12.22,0.18,0.08,25.79,2.56
106,688260,昀冢科技,23.49,4.96,1.11,72155,170373846.0,14.39,24.59,21.37,23.72,22.38,7.99,10.59,-28.88,6.95
107,001299,美能能源,17.71,4.92,0.83,70589,124138210.38,4.62,17.83,17.05,17.14,16.88,3.37,15.05,42.18,2.62
108,002742,ST三圣,3.87,4.88,0.18,80883,30977642.0,4.88,3.87,3.69,3.72,3.69,6.67,1.87,-8.57,2.36
109,600127,金健米业,7.76,4.86,0.36,312235,239097739.0,5.81,7.81,7.38,7.4,7.4,11.64,4.87,177.75,7.34
110,605169,洪通燃气,10.97,4.78,0.5,59077,64612667.0,5.73,11.11,10.51,10.57,10.47,9.01,8.35,34.69,1.8
111,000005,ST星源,1.54,4.76,0.07,178225,27210608.59,5.44,1.54,1.46,1.47,1.47,11.07,1.68,-383.06,1.35
112,600223,福瑞达,9.58,4.7,0.43,153591,145908571.0,6.23,9.67,9.1,9.15,9.15,5.26,1.51,25.57,2.49
113,301357,北方长龙,52.9,4.67,2.36,27067,142735718.95,9.97,55.0,49.96,50.5,50.54,6.8,16.79,122.01,3.15
114,002847,盐津铺子,74.29,4.63,3.29,9510,69498221.53,3.77,74.29,71.61,72.1,71.0,5.42,0.55,29.64,11.73
115,600988,赤峰黄金,15.01,4.6,0.66,359827,536038844.0,3.41,15.15,14.66,14.7,14.35,7.37,2.16,40.03,4.43
116,601089,福元医药,18.66,4.6,0.82,85451,162885294.0,6.67,19.62,18.43,18.43,17.84,10.9,4.16,17.89,2.77
117,002289,ST宇顺,6.52,4.49,0.28,62817,40654023.9,6.57,6.55,6.14,6.2,6.24,4.49,2.38,204.15,7.27
118,603239,浙江仙通,16.34,4.48,0.7,155947,252570368.0,13.75,17.2,15.05,15.1,15.64,7.84,5.76,41.13,4.55
119,300151,昌红科技,16.61,4.47,0.71,158693,265927573.08,4.28,17.06,16.38,16.43,15.9,7.66,4.95,103.88,5.62
120,002997,瑞鹄模具,45.19,4.41,1.91,91355,402617339.34,12.22,47.1,41.81,43.42,43.28,4.23,4.74,48.32,6.71
121,688318,财富趋势,139.9,4.41,5.91,17404,236113950.0,7.07,140.67,131.2,132.1,133.99,2.26,1.33,76.99,5.64
122,301172,君逸数码,40.7,4.39,1.71,46052,187256467.22,6.85,41.6,38.93,38.93,38.99,6.36,16.65,82.37,3.54
123,002278,神开股份,5.99,4.36,0.25,89365,53690121.96,6.62,6.12,5.74,5.74,5.74,3.14,2.62,119.91,2.01
124,002655,共达电声,12.78,4.33,0.53,115498,146951206.83,5.31,13.03,12.38,12.59,12.25,9.0,3.21,95.97,7.86
125,000801,四川九洲,8.98,4.3,0.37,478595,427654653.85,5.92,9.2,8.69,8.75,8.61,4.09,4.68,53.71,3.23
126,300719,安达维尔,12.88,4.29,0.53,71275,91694538.94,6.48,13.25,12.45,12.49,12.35,3.04,3.96,-465.99,3.38
127,601808,中海油服,16.46,4.24,0.67,64082,104859643.0,3.42,16.55,16.01,16.02,15.79,5.37,0.22,29.33,1.97
128,688020,方邦股份,51.48,4.23,2.09,17737,92120085.0,7.43,54.55,50.88,50.99,49.39,8.87,2.21,-47.35,2.75
129,300839,博汇股份,11.36,4.22,0.46,69559,79602372.22,9.17,11.85,10.85,10.95,10.9,8.99,2.9,12.65,2.67
130,603000,人民网,36.73,4.2,1.48,419317,1538253217.0,6.78,37.69,35.3,35.42,35.25,3.44,3.79,288.17,12.35
131,002420,毅昌科技,6.26,4.16,0.25,215906,134143088.44,8.49,6.51,6.0,6.06,6.01,7.43,5.55,-1090.81,3.67
132,000889,ST中嘉,2.01,4.15,0.08,113554,22323756.0,4.15,2.01,1.93,1.95,1.93,1.79,1.31,-64.84,7.63
133,603087,甘李药业,47.49,4.14,1.89,85577,402397705.0,7.08,48.53,45.3,46.0,45.6,5.3,1.61,100.12,2.76
134,300945,曼卡龙,14.87,4.13,0.59,74884,110873659.35,6.02,15.26,14.4,14.5,14.28,7.07,9.77,38.18,2.56
135,300084,海默科技,7.57,4.13,0.3,171822,129380027.4,5.09,7.64,7.27,7.32,7.27,4.98,5.22,-40.08,2.89
136,000700,模塑科技,8.84,4.12,0.35,859887,772734599.53,9.31,9.34,8.55,8.86,8.49,8.65,9.37,18.17,2.35
137,688033,天宜上佳,18.17,4.07,0.71,109714,200271109.0,3.95,18.55,17.86,17.86,17.46,8.58,1.95,38.77,1.95
138,603119,浙江荣泰,24.7,4.04,0.96,43551,107709619.0,6.49,25.25,23.71,23.8,23.74,5.71,6.35,49.78,4.44
139,600006,东风汽车,6.07,3.94,0.23,377476,228837927.0,5.31,6.2,5.89,5.95,5.84,7.12,1.89,71.52,1.48
140,603358,华达科技,17.46,3.93,0.66,25183,43823845.0,5.3,17.8,16.91,16.91,16.8,5.46,0.57,23.94,2.4
141,301263,泰恩康,19.59,3.93,0.74,200874,391640403.45,8.97,20.5,18.81,19.39,18.85,7.57,7.48,38.22,4.64
142,300209,ST有棵树,3.19,3.91,0.12,105250,32874069.5,6.51,3.21,3.01,3.08,3.07,5.35,2.67,-11.36,38.16
143,000159,国际实业,6.68,3.89,0.25,121700,81087873.0,4.04,6.76,6.5,6.51,6.43,3.63,2.53,59.86,1.34
144,603009,北特科技,8.31,3.88,0.31,230353,191699772.0,7.63,8.56,7.95,7.95,8.0,3.24,6.81,79.29,1.75
145,301117,佳缘科技,55.55,3.87,2.07,18219,101176372.47,6.0,56.58,53.37,53.44,53.48,4.14,4.21,93.11,3.84
146,688105,诺唯赞,32.2,3.84,1.19,19397,61362567.0,4.8,32.31,30.82,31.04,31.01,3.52,1.16,-79.42,3.21
147,300228,富瑞特装,7.05,3.83,0.26,199377,140879852.11,5.74,7.16,6.77,6.77,6.79,3.78,3.67,114.67,2.32
148,002512,达华智能,5.7,3.83,0.21,1377888,772324106.05,9.47,5.89,5.37,5.49,5.49,2.43,13.14,318.38,8.55
149,688602,康鹏科技,13.88,3.81,0.51,128983,177359343.0,3.14,13.95,13.53,13.54,13.37,5.02,15.22,48.37,2.64
150,601127,赛力斯,75.97,3.8,2.78,801125,6110486494.0,6.63,78.87,74.02,75.06,73.19,3.4,5.31,-42.59,11.18
151,600256,广汇能源,7.95,3.79,0.29,823700,648785024.0,2.87,7.97,7.75,7.75,7.66,3.82,1.25,6.33,1.86
152,002389,航天彩虹,20.9,3.77,0.76,144826,300843587.47,3.97,21.12,20.32,20.32,20.14,4.5,1.47,91.36,2.62
153,603728,鸣志电器,67.39,3.77,2.45,13985,91303190.0,5.27,67.42,64.0,64.94,64.94,1.75,0.33,265.63,10.19
154,002554,惠博普,3.59,3.76,0.13,246337,88249187.62,4.05,3.62,3.48,3.48,3.46,6.59,2.71,41.42,1.9
155,688737,中自科技,33.93,3.73,1.22,6999,23583883.0,3.21,34.11,33.06,33.06,32.71,1.75,1.05,98.99,2.19
156,000338,潍柴动力,13.29,3.67,0.47,637022,843337879.19,3.04,13.39,13.0,13.0,12.82,8.27,1.26,14.87,1.51
157,300249,依米康,10.76,3.66,0.38,367309,383065816.11,6.36,10.78,10.12,10.4,10.38,4.54,9.97,-49.8,7.9
158,688536,思瑞浦,175.2,3.64,6.15,18424,337658143.0,8.76,189.79,174.98,177.0,169.05,8.27,1.53,747.4,5.51
159,000981,山子股份,1.72,3.61,0.06,3102999,547261853.28,9.04,1.83,1.68,1.76,1.66,20.35,5.56,-9.74,4.34
160,603033,三维股份,16.94,3.61,0.59,24180,40298922.0,3.91,16.96,16.32,16.35,16.35,2.33,0.24,75.57,5.1
161,688536,思瑞浦,175.11,3.58,6.06,18422,337623103.0,8.76,189.79,174.98,177.0,169.05,8.27,1.53,747.01,5.51
162,001266,宏英智能,28.87,3.55,0.99,30502,89235035.0,10.22,30.67,27.82,27.9,27.88,2.66,10.32,101.14,2.88
163,000727,冠捷科技,3.5,3.55,0.12,5969014,2143848052.76,10.06,3.72,3.38,3.72,3.38,5.32,17.46,179.97,5.35
164,002170,芭田股份,5.56,3.54,0.19,139411,77963135.53,2.23,5.65,5.53,5.6,5.37,8.98,1.97,20.47,2.15
165,603080,新疆火炬,17.05,3.52,0.58,85379,145273780.0,4.61,17.26,16.5,16.5,16.47,4.73,6.03,15.74,1.77
166,603878,武进不锈,8.09,3.45,0.27,79453,64522168.0,6.27,8.4,7.91,7.97,7.82,3.6,1.42,12.33,1.74
167,300723,一品红,27.31,3.45,0.91,134942,368834151.98,5.53,28.06,26.6,26.98,26.4,3.9,6.05,30.26,5.49
168,600583,海油工程,6.32,3.44,0.21,147293,92572765.0,3.27,6.36,6.16,6.16,6.11,2.76,0.33,14.21,1.15
169,603958,哈森股份,9.03,3.44,0.3,89926,81768677.0,10.65,9.58,8.65,8.74,8.73,2.44,4.1,536.21,2.45
170,301166,优宁维,45.0,3.42,1.49,34551,154717575.0,6.16,45.98,43.3,43.55,43.51,3.72,8.37,56.49,1.84
171,603538,美诺华,21.45,3.42,0.71,242008,518545559.0,6.51,22.02,20.67,20.96,20.74,6.16,11.46,74.18,2.26
172,000023,ST深天,6.7,3.4,0.22,51018,34031981.0,5.09,6.8,6.47,6.57,6.48,18.64,3.68,-9.28,10.34
173,300826,测绘股份,18.66,3.38,0.61,93120,172871019.9,6.59,19.0,17.81,18.16,18.05,2.1,6.7,113.03,2.56
174,688678,福立旺,19.71,3.36,0.64,30543,60530847.0,7.97,20.38,18.86,19.3,19.07,9.54,3.36,71.3,2.39
175,601606,长城军工,13.05,3.33,0.42,162175,211251371.0,6.02,13.4,12.64,12.73,12.63,5.61,2.24,2209.37,3.64
176,002637,赞宇科技,10.61,3.31,0.34,80533,83978941.1,5.65,10.68,10.1,10.65,10.27,15.63,2.04,56.19,1.34
177,002433,*ST太安,3.13,3.3,0.1,222969,69138178.0,4.95,3.17,3.02,3.02,3.03,2.27,3.0,-11.31,0.68
178,002317,众生药业,20.71,3.29,0.66,871717,1808047416.95,5.74,21.35,20.2,21.0,20.05,4.74,12.06,42.37,4.1
179,002261,拓维信息,19.47,3.29,0.62,1107983,2150853495.03,7.11,19.84,18.5,18.63,18.85,2.54,9.88,211.13,9.56
180,603716,塞力医疗,11.97,3.28,0.38,178278,214707501.0,5.09,12.28,11.69,11.81,11.59,5.61,8.86,790.29,1.85
181,002728,特一药业,17.74,3.26,0.56,532961,936277516.63,4.54,17.98,17.2,17.21,17.18,9.29,23.81,19.89,3.69
182,002906,华阳集团,35.9,3.25,1.13,88073,308640919.11,5.98,36.15,34.07,34.6,34.77,2.08,1.85,51.74,3.31
183,600968,海油发展,3.18,3.25,0.1,254576,80318449.0,3.25,3.19,3.09,3.1,3.08,3.24,0.25,12.09,1.41
184,301225,恒勃股份,40.87,3.21,1.27,57502,234017192.32,8.43,42.2,38.86,39.21,39.6,2.18,24.32,40.6,3.09
185,300370,安控科技,2.94,3.16,0.09,308475,89901361.2,3.51,2.95,2.85,2.87,2.85,1.85,2.75,-26.35,6.49
186,600513,联环药业,10.14,3.15,0.31,71252,72232604.0,2.34,10.22,9.99,10.08,9.83,9.64,2.5,23.66,2.27
187,600846,同济科技,9.49,3.15,0.29,56989,53650706.0,4.24,9.55,9.16,9.16,9.2,3.33,0.91,14.99,1.58
188,300503,昊志机电,17.39,3.14,0.53,112338,191263832.0,4.21,17.45,16.74,16.89,16.86,1.48,5.33,-179.37,4.07
189,601101,昊华能源,5.92,3.14,0.18,91869,54294110.0,3.48,5.99,5.79,5.8,5.74,4.56,0.64,6.02,0.78
190,605090,九丰能源,25.03,3.13,0.76,66308,167049601.0,4.7,25.44,24.3,24.3,24.27,7.0,2.55,10.99,2.23
191,000957,中通客车,10.23,3.13,0.31,191375,195097610.28,5.04,10.41,9.91,9.93,9.92,3.76,3.23,58.67,2.24
192,603569,长久物流,15.94,3.1,0.48,94938,149471622.0,5.11,16.08,15.29,15.48,15.46,1.69,1.62,104.03,4.17
193,001288,运机集团,16.72,3.08,0.5,24592,41521689.45,7.46,17.39,16.18,16.2,16.22,3.12,4.41,27.2,1.43
194,002155,湖南黄金,12.42,3.07,0.37,278113,343494526.4,3.24,12.58,12.19,12.35,12.05,5.92,2.31,26.7,2.49
195,688357,建龙微纳,51.8,3.06,1.54,9792,50877834.0,4.1,52.68,50.62,50.72,50.26,5.28,1.18,28.74,2.74
196,000593,德龙汇能,7.1,3.05,0.21,65389,46282416.84,3.92,7.15,6.88,6.88,6.89,3.05,1.82,36.8,2.27
197,301559,C中集环,23.38,3.04,0.69,106527,250865157.77,3.39,23.95,23.18,23.5,22.69,1.69,12.61,19.58,2.85
198,601069,西部黄金,13.92,3.03,0.41,83771,115375034.0,3.55,14.02,13.54,13.81,13.51,5.29,1.22,-89.41,2.77
199,300331,苏大维格,26.18,3.03,0.77,238874,640523319.91,6.18,27.65,26.08,26.51,25.41,4.36,11.89,279.13,3.9
200,301529,福赛科技,48.79,3.02,1.43,60802,301413622.07,6.27,51.5,48.53,48.53,47.36,5.44,31.69,51.57,3.49
201,688548,广钢气体,12.38,3.0,0.36,153327,188484413.0,5.74,12.66,11.97,12.32,12.02,3.76,6.3,51.5,2.93
202,000096,广聚能源,8.95,2.99,0.26,30835,27722176.0,5.29,9.15,8.69,8.76,8.69,5.64,0.6,89.3,1.82
