word,frequency
walks,2
life,4
fruits,2
growth,3
12,2
rule,3
law,6
important,4
core,1
value,2
independence,3
judiciary,1
key,2
embodying,1
Let,2
reiterate,1
behaviour,1
arising,1
disappointment,1
certain,2
court,1
verdicts,1
including,5
unreasonable,1
attacks,1
judicial,3
Judiciary,2
interference,1
power,1
verbal,1
insults,1
judges,2
totally,1
unacceptable,1
detrimental,1
spirit,2
jurisdiction,1
Justice,1
Court,1
Final,1
Appeal,1
Geoffrey,1
MA,1
Tao,1
li,1
pointed,1
Ceremonial,1
Opening,1
Legal,1
Year,1
criticisms,1
levelled,1
informed,1
basis,2
Courts,1
concerned,2
legal,1
arise,1
disputes,1
determined,2
relevant,4
constitutional,3
duty,1
adjudicate,1
reference,2
remains,1
strong,2
respected,1
visible,1
13,1
respects,1
functions,1
exercise,1
checks,1
balances,1
executive,1
authorities,1
Upon,2
proposal,1
Committee,1
Rules,1
Procedure,1
attending,1
Question,3
Time,1
monthly,3
questions,2
short,5
format,1
addition,3
Answer,1
Q&A;,3
Session,1
held,2
times,3
2017,1
18,2
attended,2
Sessions,1
seven,1
Times,1
responded,1
139,1
sessions,1
strengthen,5
accountability,1
interaction,1
allows,1
feel,1
pulses,1
promptly,1
respond,4
concern,2
For,1
Lift,1
Modernisation,1
Subsidy,2
proposed,3
allocation,2
$2,1
assist,2
repair,1
lifts,1
older,1
buildings,5
response,1
suggestions,1
14,3
Meeting,1
demand,1
greatest,2
challenge,1
treated,1
chapter,1
placed,1
chapters,1
purpose,2
demonstrate,2
shortage,2
directly,2
leads,1
affects,1
quality,6
child,4
centres,2
elderly,2
facilities;,3
basic,1
education,9
leisure,2
open,1
space,1
cultural,2
recreational,1
maintaining,1
advantages,1
traditional,1
trades,1
promoting,3
industries,2
strictly,1
necessary,2
improvement,2
transport,7
infrastructure,3
hinge,1
strategies,2
plans,2
talk,1
15,1
stated,3
October,1
comprises,1
elements,1
include,5
establishing,1
role,2
provision,5
building,3
ladder,2
focusing,2
optimising,1
existing,3
conditions,4
Of,1
announced,3
June,1
pricing,4
subsidised,1
sale,3
flats,5
SSFs,7
effect,2
selling,2
prices,4
longer,1
linked,1
private,5
Instead,1
primarily,1
affordability,1
applicants,2
sites,3
16,1
To,7
solve,1
problem,4
faced,1
that:,1
develop,2
resolute,1
persistent,1
manner,2
¨C,1
identify,1
produce,1
build,2
reserve,1
waver,1
face,2
changes,2
fluctuations,1
property,1
prices;,1
decent,1
income,3
brackets,1
During,1
increase,5
ratio,3
Transport,2
Housing,5
Bureau,1
consideration,2
updating,1
target,4
Long,1
Term,1
Strategy;,1
undertake,1
70%,3
units,5
newly,1
developed,1
17,1
expect,1
attract,1
large,2
number,4
applications,1
Following,1
Authority,3
HKHA,4
opened,1
Home,2
Ownership,2
HOS,1
project,3
regularised,1
Green,1
Form,1
Subsidised,1
GSH,1
Starter,1
Homes,1
SH,1
pilot,2
Urban,1
Renewal,1
URA,2
launched,1
subsequently,1
projects,2
426,1
conducted,3
tests,1
batches,2
adjusted,2
loan,1
LTV,1
90%,1
SSF,2
affordable,1
households,2
payment,2
generally,1
exceed,1
40%,1
household,1
Now,2
rebuilt,1
mechanism,2
issue,2
urgently,1
deal,2
19,1
Task,5
Force,5
Land,2
Supply,1
set,5
September,2
shouldered,1
task,2
deliberation,1
attempt,1
commitment,3
hard,1
work,6
members,4
highly,3
respectable,1
Half,1
month,2
ago,1
request,1
shared,2
preliminary,1
observations,3
attention,1
centred,1
respect,1
individual,2
attracted,1
general,1
broadly,2
agrees,1
pressing;,1
prepared,1
rainy,1
days;,1
multi,1
pronged,1
20,3
line,1
They,2
Lantau,8
Tomorrow,4
Vision,4
brownfield,2
revitalisation,2
industrial,3
regards,1
analysis,1
detailed,1
recommendations,2
report,2
submitted,1
21,1
largest,1
outlying,1
island,1
home,3
International,1
Airport,1
gateway,1
commissioning,1
Zhuhai,1
Bridge,1
connectivity,1
improved,1
making,1
Double,1
Gateway,1
22,1
vision,6
islands,1
area,3
700,3
hectares,1
near,1
Kau,1
Yi,1
Chau,2
Hei,1
Ling,1
Central,2
Waters,1
North,1
coastal,1
Tuen,1
Mun,1
River,1
Trade,1
Terminal,1
planning,4
Lung,1
Kwu,1
Tan,1
supported,1
networks,1
aims,1
instil,1
meet,3
career,1
aspirations,4
providing,4
260,1
400,1
residential,1
accommodating,1
100,1
creating,1
340,1
jobs,1
coming,2
30,3
years,9
realised,1
directions,1
are:,1
increasing,4
according,2
priority,3
environmental,1
capacity,1
entertainment,1
facilities,4
And,1
achieve,2
23,3
involves,1
overall,2
implementation,3
major,2
decades,1
requires,2
Non,1
Governmental,1
Organisations,1
NGOs,1
entails,1
meticulous,1
ordination,2
soon,1
possible,1
dedicated,1
accountable,1
steer,1
direction,1
ordinate,1
monitor,3
programme,1
expanded,1
needed,2
ensure,1
effectively,2
matched,1
24,1
address,2
pressing,1
speed,2
studies,1
New,1
Territories,1
arrangements,2
reprovisioning,1
operations,2
facilitate,3
introducing,1
Sharing,1
Pilot,2
covered,1
planned,1
utilised,1
fair,1
transparent,1
needs,2
medium,2
dispel,1
worries,1
60%,1
floor,1
used,1
mainly,2
reactivate,1
scheme,5
imminent,1
allow,2
wholesale,1
conversion,1
transitional,1
25,2
Furthermore,2
Society,2
HKHS,3
redevelop,1
aged,3
rental,1
estates,1
invite,1
launch,1
redevelopment,2
Civil,1
Servants,1
Co,1
operative,1
Settlers,1
Corporation,1
Limited,2
taking,3
Tai,1
Hang,1
Sai,1
Estate,1
By,4
doing,1
owners,3
residents,1
26,1
efficient,1
light,1
operational,1
join,1
premium,3
unpaid,1
sublet,1
needy,1
introduce,3
initiative,2
occupation,1
family,3
70,1
allowed,1
enjoy,1
lifetime,1
rent,1
exemption,1
transfer,1
small,2
refurbished,1
accept,1
recommendation,1
Flat,2
Elderly,1
Owners,1
paid,1
Under,1
60,1
owned,1
sell,1
original,1
buy,1
smaller,1
flat,1
secondary,3
27,1
Our,4
adequate,1
manpower,2
8%,1
unemployment,1
rate,2
lowest,1
employers,2
expressed,1
difficulties,1
staff,1
recruitment,1
Labour,2
force,4
asset,1
labour,6
maintain,1
employees,8
productivity,1
28,1
series,4
related,1
view,2
fostering,2
relations,1
29,1
concerns,1
beleaguered,1
wage,1
earners,1
Having,2
carefully,3
considered,1
decided,1
extend,3
period,2
tier,2
subsidy,3
Together,1
entire,1
significantly,1
increased,2
$29,1
believe,6
impact,1
abolishing,1
micro,1
sized,1
secure,1
enabling,2
legislation,2
e,1
2022,1
implement,3
amendments,1
Besides,1
rights,1
injured,1
looking,2
recovery,1
effectiveness,1
occupational,1
safety,1
seriously,1
Department,3
conduct,1
depth,1
surprise,1
inspections,1
place,1
guidelines,1
online,1
platform,1
unsafe,1
working,3
mobile,1
devices,1
prompt,1
follow,1
department,1
31,1
contractors,2
source,1
human,1
Improving,1
employment,2
terms,3
help,2
inter,1
departmental,1
group,1
completed,1
review,2
non,2
skilled,1
engaged,1
contracts,1
tendered,1
April,1
2019,2
32,1
half,1
grew,1
strongly,1
4%,1
real,1
previous,1
riding,1
positive,1
global,2
Initial,1
offering,1
IPO,2
activities,2
gaining,1
momentum,1
Up,1
funds,1
raised,1
reached,2
$238,1
highest,1
counterparts,1
far,2
According,1
latest,1
annual,1
survey,1
jointly,1
Invest,1
Census,1
Statistics,1
parent,1
companies,2
situated,2
Among,1
530,1
regional,1
headquarters,1
representing,1
3%,1
compared,1
33,1
However,2
uncertainties,1
markedly,1
trade,3
friction,1
China,1
United,1
States,1
escalating,1
markets,1
affected,2
closely,1
suitably,1
Commerce,1
Economic,1
Development,2
met,2
associations,1
host,1
34,1
Meanwhile,1
serving,1
seize,2
brought,1
Belt,1
Road,1
B&R;,2
Initiative,2
generating,1
impetus,2
maritime,1
industry,3
insurance,1
film,1
Chinese,2
medicine,2
sector,4
conducive,1
step,1
I&T,1
Further,2
$50,2
additional,5
$28,1
university,2
industrialisation,1
35,1
Education,1
warrants,1
devotion,1
Since,1
2017/18,1
school,4
expended,2
recurrent,4
$3,2
accordance,1
stable,1
caring,1
teaching,2
learning,1
gradually,1
shape,1
Taking,1
account,1
initial,1
professional,2
led,1
forces,1
announce,1
involving,1
$4,1
teachers,1
principals,1
parents,1
Such,2
schools,4
Life,1
Learning,1
Grant,1
graduate,1
earmarking,1
middle,1
management,1
level,1
strengthening,1
administrative,2
operation,1
vocational,1
training,3
subsidies,1
students,2
pursue,1
post,1
special,1
educational,1
36,1
exceeded,1
earlier,1
given,1
haggle,1
trim,1
resource,1
constraints,1
look,1
hand,2
generations,1
37,1
Care,2
patient,1
poverty,1
alleviation,1
essential,1
compassionate,1
proposes,1
ethnic,1
minorities,1
youth,1
Youth,1
Commission,1
$500,1
million,1
$1,1
respectively,1
38,1
passenger,1
trips,1
means,1
tested,1
Public,1
Fare,1
waiving,1
tolls,3
charged,1
franchised,2
buses,2
using,2
tunnels,2
roads,1
ease,1
fare,1
pressure,2
alleviating,1
burden,1
expenses,1
agreement,1
franchisee,2
Western,1
Harbour,2
Crossing,1
WHC,3
pay,3
discussions,1
adjustment,1
tunnel,1
cars,1
taxis,1
motorcycles,1
distribution,1
traffic,3
congestion,2
39,1
Reducing,1
helps,1
roadside,2
air,2
pollutant,1
levels,1
following,1
successful,1
phasing,1
pre,1
Euro,2
IV,2
diesel,2
commercial,2
vehicles,2
progressively,1
phase,1
2023,1
encourage,2
green,1
metropolis,1
grounded,1
traditions,1
enriched,1
cultures,1
recent,2
museums,3
flourishing,1
West,1
Kowloon,1
Cultural,1
District,1
boast,1
class,1
M+,1
Palace,1
Museum,2
Moreover,1
Art,1
donations,1
precious,1
paintings,1
calligraphy,1
Chih,1
Lo,1
Lou,1
WU,1
Guanzhong,1
art,1
treasures,1
displayed,1
permanent,1
exhibits,1
opening,1
museum,1
distinct,1
identities,1
novel,1
landmarks,1
culture,1
arts,1
tourism,1
waterfront,1
Victoria,1
41,1
Asian,1
Games,1
Indonesia,1
August,1
athletes,5
impressed,1
achievements,1
gone,1
tough,1
demonstrated,1
perseverance,1
sportsmanship,1
games,1
takes,1
pride,1
performance,1
coaches,1
sports,5
professionals,1
organisations,2
science,1
ways,2
Sports,1
Institute,1
continue,5
elite,1
scaling,1
Tokyo,1
2020,1
Olympics,1
competitions,1
42,1
Over,1
governing,1
complex,1
situations,1
conflicts,1
emerged,1
tolerate,1
acts,4
advocate,1
threatens,1
country,5
sovereignty,1
security,3
interests,2
fearlessly,1
actions,2
safeguard,2
nip,1
bud,1
reinforced,1
understanding,1
Constitution,2
Basic,3
Law,3
national,3
fostered,1
awareness,1
43,1
legislate,1
Article,2
publicly,1
consider,1
factors,1
prudently,1
create,1
favourable,1
Yet,1
does,1
suggest,1
turn,1
blind,1
eye,1
violating,1
attempting,1
secede,1
endangering,1
security;,1
laws,1
aside,1
applied,1
prohibited,1
Security,1
took,1
applying,1
Societies,1
Ordinance,1
bears,1
testimony,1
aroused,1
extensive,1
intense,1
discussion,1
earnestly,1
positively,1
requirement,2
44,1
taxing,1
easy,1
composed,1
resilient,1
internal,1
external,1
unite,1
Nevertheless,1
happy,1
driving,1
striving,1
45,1
female,4
extra,1
devote,1
women,6
Although,1
receive,1
higher,1
men,1
nowadays,1
participation,1
lower,1
male,1
managerial,1
relatively,1
low,1
regard,1
following:,1
statutory,4
maternity,4
leave,4
weeks,5
mothers,1
spend,1
newborn,1
babies,1
Employers,1
apply,1
reimbursement,1
capped,1
$36,1
822,1
That,1
say,1
borne,1
employer,1
immediate,1
Officers,1
actual,1
expected,1
date,1
confinement,1
falls,1
initiative;,1
provided,2
based,1
carers,1
Neighbourhood,1
Support,1
Child,1
Project,1
stay,1
employment;,1
babycare,1
lactation,1
rooms,1
developers,1
breastfeeding,1
premises;,1
2019/20,1
free,1
cervical,2
cancer,3
vaccination,1
girls,1
age,1
groups,1
prevention,2
completion,1
study,1
local,2
risk,1
breast,2
cancer;,1
unfortunate,1
suffered,1
miscarriage,1
Food,1
Environmental,1
Hygiene,1
Hospital,1
implemented,1
abortuses,1
examining,1
proposals,1
holistic,1
proportion,1
bodies,1
advisory,1
committees,1
percentage,1
33%,1
35%,1
Exchanges,1
Clearing,1
Chairlady,1
Mrs,1
Laura,1
CHA,1
listed,1
appoint,1
females,1
board,1
46,1
Inaugural,1
Ceremony,1
Fifth,1
said,1
propels,1
confidence,1
foundation,1
nearly,1
outbound,1
visits,1
called,1
ministries,1
commissions,1
Beijing,1
leaders,1
provincial,1
municipal,1
autonomous,1
region,1
governments,1
visiting,1
senior,1
officials,1
countless,1
gatherings,1
academia,1
listening,1
attentively,1
observing,1
come,1
conclusion,1
intrinsic,1
alive,1
regarded,1
envied,1
47,1
myself,1
capable,1
leverage,1
exploring,1
staunch,1
rise,1
challenges,1
inject,1
Holding,1
beliefs,1
believing,3
certainly,1
48,1
rekindle,1
Thank,1
