,服装热阻,烹饪方式,皮电信号数据,烹饪持续时长,0.1m温度/℃,0.1m湿度/％,1.1m温度/℃,1.1m湿度/％,1.7m温度/℃,1.7m湿度/％,身体平均温度,黑球温度（tg，℃）,0.1m处风速,1.1m处风速,1.7m处风速,整体热感受
38,0.38,2,3.21972839609958,0.0,24.513,75.976,25.239,69.649,25.142,72.599,31.761000000000003,25.3,0.15,0.15,0.18,1
39,0.38,2,2.84201740275759,3.0,24.634,74.475,25.676,71.269,25.409,75.059,31.651000000000003,26.3,0.11,0.15,0.04,2
40,0.38,2,3.17567306399188,6.0,24.417,69.663,25.968,64.683,25.312,69.087,31.686,26.4,0.11,0.15,0.04,2
41,0.38,2,2.82671587462074,9.0,24.417,68.331,26.188,62.663,25.264,66.855,31.847999999999995,26.7,0.23,0.15,0.03,2
42,0.38,2,2.8622400335944,12.0,24.344,67.854,27.733,58.816,25.847,65.844,31.896,27.1,0.15,0.15,0.05,2
43,0.38,2,2.8622400335944,15.0,24.368,67.286,28.748,54.245,25.993,64.294,32.057,27.4,0.15,0.15,0.05,2
44,0.38,2,2.8622400335944,18.0,24.368,66.227,28.599,52.251,25.968,63.233,32.099,27.1,0.23,0.26,0.07,2
45,0.39,1,2.85410429309971,3.0,25.433,74.17,27.265,67.231,26.163,77.663,33.69,27.1,0.09,0.22,0.15,1
46,0.39,1,3.0425802899201,6.0,25.409,74.066,27.807,64.465,26.31,74.906,33.799,27.5,0.15,0.25,0.06,1
47,0.39,1,3.22866021107001,9.0,25.385,73.498,28.375,61.79,26.579,73.101,33.353,27.9,0.09,0.12,0.06,1
48,0.39,1,4.24604351976653,12.0,25.288,71.28,28.748,59.477,26.872,71.68,33.157000000000004,28.5,0.16,0.15,0.09,1
49,0.39,1,3.74614193964542,15.0,25.288,71.802,29.047,56.905,27.733,68.309,32.98,29.4,0.18,0.35,0.1,2
50,0.39,1,3.59035979311901,18.0,25.409,73.7,28.822,57.766,27.856,66.067,32.995999999999995,29.6,0.25,0.27,0.12,2
51,0.39,1,3.70233292217987,21.0,25.506,74.542,28.351,59.715,27.782,67.046,32.967999999999996,29.1,0.19,0.34,0.12,3
52,0.39,1,2.9721486212717,24.0,25.385,74.122,28.648,60.652,27.659,67.866,33.062000000000005,28.3,0.17,0.16,0.05,3
53,0.39,1,2.95592853940138,27.0,25.482,74.326,29.071,58.925,28.574,67.108,33.116,28.8,0.19,0.26,0.08,3
54,0.39,1,3.30174041488636,30.0,25.579,74.701,28.574,60.069,28.624,65.282,33.141000000000005,28.7,0.15,0.18,0.07,4
55,0.39,1,4.29999736251369,33.0,25.676,74.413,28.723,60.474,28.202,66.249,33.020999999999994,28.7,0.15,0.18,0.07,2
56,0.39,1,3.41478491041426,36.0,25.725,72.958,29.022,58.773,28.054,67.0,33.027,28.9,0.15,0.18,0.07,1
57,0.39,1,3.73638048712215,39.0,25.944,75.652,29.471,60.538,28.029,66.716,33.163000000000004,0.08,0.05,29.2,25.1,2
58,0.39,2,3.63729856518323,0.0,24.489,61.545,25.409,57.983,25.676,60.76,32.85,25.7,0.16,0.27,0.08,2
59,0.39,2,1.57265136434814,3.0,24.658,67.737,26.701,59.138,26.799,62.996,32.61,27.4,0.15,0.25,0.15,1
60,0.39,2,1.51679544692759,6.0,24.658,67.737,26.701,59.138,26.799,62.996,32.634,28.4,0.16,0.3,0.09,4
61,0.39,2,1.56402098979935,12.0,24.997,73.0,27.191,61.436,27.044,67.204,32.591,27.4,0.15,0.26,0.1,1
62,0.39,2,2.52035320945938,18.0,25.167,73.936,28.252,58.734,27.56,66.765,32.734,27.2,0.15,0.26,0.1,1
63,0.39,2,3.19824130799345,21.0,25.167,73.936,28.252,58.734,27.56,66.765,32.662,28.5,0.15,0.21,0.09,1
64,0.39,2,4.9571715005602,24.0,25.264,73.361,28.029,58.697,27.511,66.37,32.754,28.4,0.15,0.21,0.09,1
65,0.39,2,3.72208698936738,27.0,25.142,71.646,27.314,59.337,27.093,65.877,32.82,28.3,0.19,0.28,0.15,2
66,0.38,1,3.94400328061879,0.0,24.827,67.644,28.202,58.763,25.579,69.863,31.155,24.9,0.23,0.13,0.14,1
67,0.38,1,3.0997973858039,3.0,24.924,68.621,29.022,55.762,25.968,69.092,31.094000000000005,26.6,0.12,0.15,0.2,4
68,0.38,1,2.99184418984329,6.0,24.948,70.584,28.276,57.859,25.944,70.239,31.157999999999998,27.9,0.12,0.15,0.2,4
69,0.38,1,3.32050286549045,9.0,24.973,70.264,29.947,55.164,26.407,70.618,31.221000000000004,28.1,0.15,0.15,0.21,4
70,0.38,1,3.94973579736074,12.0,24.924,69.474,29.296,52.754,26.334,67.102,31.313,27.7,0.15,0.15,0.21,4
71,0.38,1,5.31318753506113,15.0,25.094,73.997,28.425,60.18,26.31,72.593,31.39,28.9,0.25,0.14,0.09,4
72,0.38,1,5.31318753506113,18.0,25.239,76.151,27.93,61.838,26.359,73.904,31.355999999999995,27.6,0.16,0.25,0.1,2
73,0.38,1,2.652834595817,21.0,25.361,77.109,27.708,64.51,26.334,75.019,31.307,27.3,0.06,0.21,0.24,2
74,0.38,1,3.02646168853201,24.0,25.433,77.444,27.536,65.537,26.383,75.608,31.323999999999995,26.7,0.06,0.21,0.24,2
75,0.38,1,1.56491484557918,27.0,25.482,77.648,27.413,66.175,26.432,75.725,31.271,26.6,0.24,0.14,0.2,2
76,0.38,1,1.74208552043771,30.0,25.555,78.514,27.413,67.174,26.456,75.846,31.438999999999997,26.4,0.1,0.24,0.28,4
77,0.38,1,1.84294625960146,33.0,25.555,77.296,27.363,66.705,26.481,75.238,31.554999999999996,26.6,0.1,0.24,0.28,2
78,0.38,1,2.24899010701158,36.0,25.531,76.439,27.733,66.392,26.456,75.064,31.480999999999995,26.5,0.14,0.04,0.18,2
79,0.38,1,2.63034430704097,39.0,25.531,76.828,29.146,63.253,26.774,76.387,31.563999999999997,26.4,0.14,0.04,0.18,2
80,0.38,1,3.29711842691612,42.0,25.603,77.922,29.321,60.426,27.069,75.662,31.465,27.7,0.14,0.04,0.18,4
81,0.38,1,2.95094995531718,45.0,25.603,76.304,28.4,61.545,26.872,73.217,31.64,28.1,0.12,0.08,0.17,4
82,0.38,2,2.60997640668531,0.0,25.385,68.038,29.671,55.216,26.31,67.522,30.961999999999996,25.6,0.12,0.15,0.06,1
83,0.38,2,2.53852722302793,3.0,25.458,69.208,30.729,52.138,26.628,67.371,31.031,27.3,0.12,0.15,0.06,3
84,0.38,2,2.80201350373092,6.0,25.531,70.181,30.123,53.824,26.799,68.636,31.177999999999997,28.9,0.23,0.1,0.21,4
85,0.38,2,3.09872475506568,9.0,25.531,69.832,29.973,53.284,26.897,67.489,31.468999999999998,29.8,0.21,0.21,0.2,4
86,0.38,2,1.22100598693756,12.0,25.579,70.095,32.157,49.465,27.191,66.766,31.292,29.1,0.17,0.24,0.05,4
87,0.4,1,2.24342998878921,39.0,25.749,68.91,29.822,53.64,27.856,63.807,32.663,27.6,0.17,0.24,0.05,1
88,0.4,1,2.32736831136662,42.0,25.433,65.448,28.499,53.345,27.609,62.125,32.50699999999999,29.0,0.17,0.23,0.16,1
89,0.4,2,2.03565255573071,0.0,25.92,68.425,29.471,55.963,27.757,67.477,32.394,27.9,0.25,0.22,0.11,1
90,0.4,2,2.23860485882751,3.0,25.895,69.436,30.628,52.783,29.196,64.723,32.267,29.4,0.25,0.22,0.11,1
91,0.4,2,2.31076745250627,6.0,25.968,71.358,31.39,49.531,29.521,62.354,32.286,30.7,0.2,0.26,0.06,1
92,0.4,2,2.45338947220677,9.0,25.968,71.358,31.39,49.531,29.521,62.354,32.304,32.4,0.2,0.26,0.06,2
93,0.4,2,0.778187450153735,12.0,26.066,70.917,31.492,49.044,29.471,61.343,32.22,31.8,0.25,0.27,0.1,2
94,0.4,2,0.83888591493686,18.0,26.042,69.451,30.375,50.871,28.947,61.716,32.649,31.9,0.25,0.27,0.1,2
95,0.4,2,0.9236755133123,21.0,26.042,69.451,29.671,52.372,28.922,62.855,32.684999999999995,30.7,0.19,0.2,0.09,4
96,0.4,2,0.997150740280299,24.0,26.09,70.098,30.983,52.981,29.571,63.021,32.480999999999995,30.6,0.22,0.33,0.11,2
97,0.4,2,1.2505221284954,27.0,26.188,70.283,31.85,49.235,29.897,61.277,32.253,30.5,0.22,0.33,0.11,4
98,0.4,2,1.34599938668217,30.0,26.188,69.168,31.262,48.626,29.671,60.331,32.12,30.7,0.18,0.25,0.06,2
99,0.4,2,1.32699012461788,33.0,26.285,69.757,30.249,51.437,29.047,61.345,32.16,31.3,0.18,0.25,0.06,2
100,0.4,2,1.48991002659884,36.0,26.432,70.247,28.673,55.36,28.648,62.32,32.135,31.4,0.15,0.48,0.34,2
101,0.38,1,1.40590008099974,0.0,23.693,64.79,26.946,52.714,28.276,68.009,30.703000000000003,23.3,0.15,0.48,0.34,1
102,0.38,1,1.40000603193379,0.0,24.103,70.085,27.511,55.884,29.246,65.973,30.902,24.7,0.05,0.16,0.11,2
103,0.38,1,1.47338335587869,3.0,24.417,70.503,27.856,56.16,29.973,60.555,31.203,25.9,0.08,0.08,0.12,2
104,0.38,1,1.55046312309252,6.0,24.489,67.544,27.757,54.235,29.847,52.53,31.491000000000003,26.5,0.05,0.08,0.2,4
105,0.38,1,1.23572413310958,9.0,24.586,64.921,28.847,50.335,31.237,53.641,31.659999999999997,26.8,0.06,0.05,0.28,3
106,0.38,1,1.19064872847991,12.0,24.779,65.816,29.747,47.692,30.451,48.433,31.798,26.9,0.06,0.05,0.28,4
107,0.38,1,1.16412979797978,15.0,24.852,65.803,28.847,48.692,29.271,51.213,31.839000000000002,26.9,0.06,0.05,0.28,3
108,0.38,1,1.31545659624678,18.0,24.779,64.281,28.128,49.6,28.301,52.618,32.053,27.8,0.06,0.05,0.28,3
109,0.38,1,1.37355417090543,21.0,24.682,64.928,27.757,52.073,27.708,55.333,31.982,29.1,0.17,0.1,0.15,4
110,0.38,1,1.52552414900806,24.0,24.827,68.098,27.683,54.694,27.585,58.625,31.772999999999996,29.0,0.08,0.15,0.19,4
111,0.38,1,1.75235996835449,27.0,25.118,70.64,27.856,57.792,27.536,62.387,31.732,27.5,0.08,0.15,0.19,2
112,0.38,1,1.75235996835449,30.0,25.385,74.283,28.698,60.439,27.955,66.354,31.781000000000002,26.8,0.08,0.09,0.18,3
113,0.38,1,2.87110449601976,33.0,25.676,77.774,29.396,61.962,28.524,68.693,31.998999999999995,26.7,0.05,0.12,0.2,3
114,0.38,1,2.95689955732366,36.0,25.749,74.965,29.922,58.18,28.997,65.744,32.165,26.8,0.11,0.06,0.22,3
115,0.38,1,4.09385292138622,39.0,25.555,69.982,29.872,53.06,28.997,60.598,32.37499999999999,27.6,0.1,0.05,0.21,4
116,0.38,1,3.74900453934091,42.0,25.336,69.264,29.246,53.467,28.723,59.463,32.427,28.5,0.1,0.05,0.21,3
117,0.38,1,4.12648622489041,45.0,25.142,66.877,28.574,52.748,28.45,57.282,32.327,29.1,0.1,0.05,0.21,4
118,0.38,1,4.25161615255206,48.0,24.924,64.204,28.078,51.689,28.202,54.804,32.0,29.2,0.15,0.15,0.2,4
119,0.38,1,4.60694114016412,51.0,23.405,63.911,23.597,61.159,23.79,63.177,28.773,28.4,0.15,0.15,0.2,4
120,0.39,1,4.48949473802063,0.0,24.634,76.396,27.856,60.481,27.24,69.968,31.868000000000002,23.7,0.35,0.23,0.1,1
121,0.39,1,4.48392669130835,3.0,24.658,73.139,28.549,56.022,27.191,67.841,32.067,25.9,0.33,0.08,0.1,2
122,0.39,1,4.32924828690155,6.0,24.537,71.133,29.296,51.294,27.339,65.717,32.242000000000004,27.7,0.21,0.1,0.15,1
123,0.39,1,4.2060537037038,9.0,24.513,70.93,28.624,52.866,27.069,65.395,32.395999999999994,27.0,0.21,0.1,0.15,1
124,0.39,1,3.63307647519877,12.0,24.513,70.93,28.103,55.099,26.848,65.436,32.601,28.3,0.28,0.03,0.6,2
125,0.39,1,4.13085955717489,15.0,24.586,71.506,27.634,57.316,26.628,66.739,32.800999999999995,29.3,0.1,0.08,0.15,2
126,0.39,1,4.29535040846038,18.0,24.513,71.388,27.167,58.98,26.456,67.433,32.763,29.0,0.03,0.06,0.1,2
127,0.39,1,4.55751895814584,21.0,24.465,71.565,26.897,59.924,26.334,67.881,32.741,27.8,0.03,0.06,0.1,3
128,0.39,1,4.67718633105574,24.0,24.441,71.698,26.725,60.844,26.261,68.198,32.913,27.2,0.22,0.08,0.09,3
129,0.39,1,3.19606235980253,27.0,24.561,71.9,26.75,61.16,26.237,68.619,32.88,26.7,0.22,0.08,0.09,1
130,0.39,1,3.50295168350172,30.0,24.417,70.268,26.652,60.508,26.31,67.852,32.94,26.4,0.17,0.05,0.16,1
131,0.39,1,3.8877026171261,33.0,24.127,69.38,25.993,60.885,26.066,66.062,32.592999999999996,26.3,0.17,0.05,0.16,1
132,0.39,1,3.94304620932582,36.0,24.272,71.895,25.749,64.092,25.895,68.533,32.458,26.3,0.26,0.05,0.08,1
133,0.39,1,4.3759690089585,39.0,22.541,74.089,23.357,69.645,23.573,73.082,32.262,26.3,0.27,0.05,0.08,1
134,0.39,2,4.39880786001816,0.0,23.982,68.011,27.511,57.22,27.413,65.109,31.901999999999997,25.6,0.16,0.11,0.1,1
135,0.39,2,3.47936999214466,3.0,23.982,68.011,27.511,57.22,27.413,65.109,31.944,27.2,0.43,0.12,0.15,1
136,0.39,2,0.67100593438592,6.0,24.103,71.572,27.659,55.497,27.388,63.329,32.111,28.9,0.22,0.15,0.05,1
137,0.39,2,2.59417016238167,9.0,24.392,71.748,27.486,56.752,27.24,64.625,32.062,28.4,0.22,0.15,0.05,1
138,0.39,2,3.15462232132839,12.0,24.392,71.748,27.486,56.752,27.24,64.625,32.098,28.6,0.18,0.2,0.1,2
139,0.39,2,3.35440975568753,15.0,24.344,69.786,28.078,55.661,28.078,64.414,32.231,28.8,0.18,0.2,0.1,1
140,0.39,2,3.78141417826671,18.0,24.344,69.786,28.078,55.661,28.078,64.414,32.195,28.7,0.25,0.15,0.08,3
141,0.39,2,3.52712024927326,21.0,24.392,68.402,28.524,52.099,28.375,61.571,32.332,27.7,0.25,0.15,0.08,2
142,0.39,2,3.48002325386157,24.0,24.561,70.721,28.45,53.831,27.955,61.551,32.43,28.8,0.25,0.15,0.08,3
143,0.39,2,2.90971662369675,27.0,24.561,70.054,27.167,56.297,27.314,62.478,32.546,29.9,0.37,0.15,0.11,3
144,0.39,2,3.90945301089766,30.0,24.489,70.611,26.334,59.846,26.848,63.852,32.726,29.6,0.37,0.15,0.11,3
145,0.39,2,1.24046298168749,33.0,22.302,64.816,22.613,62.696,22.853,65.535,27.980999999999998,29.7,0.18,0.21,0.09,4
146,0.38,2,1.75764154061616,0.0,22.565,70.697,25.871,58.063,25.094,64.721,29.986999999999995,22.4,0.18,0.21,0.09,1
147,0.38,2,1.84474164133741,3.0,22.589,71.408,25.433,59.742,25.847,65.399,30.237,23.4,0.08,0.12,0.2,1
148,0.38,2,1.8407049451165,6.0,22.709,72.864,27.511,58.036,25.847,65.344,30.368000000000002,24.0,0.08,0.12,0.2,1
149,0.38,2,1.93100979294915,9.0,22.901,73.598,28.227,54.625,26.066,65.918,30.331,25.1,0.05,0.05,0.18,1
150,0.38,2,1.7015452501404,12.0,22.901,73.598,28.227,54.625,25.847,65.344,30.384999999999998,25.0,0.05,0.05,0.18,1
151,0.38,2,1.85051661016957,15.0,23.069,73.529,27.437,54.213,26.066,65.918,30.641000000000002,24.9,0.1,0.09,0.19,1
152,0.38,2,1.12128558073657,18.0,23.165,73.615,26.725,56.859,25.944,66.259,30.833000000000002,25.7,0.06,0.05,0.15,3
153,0.38,2,1.29762978819285,21.0,23.141,72.948,26.115,58.525,25.628,66.17,31.323,26.4,0.06,0.05,0.15,2
154,0.38,2,1.13656181287861,24.0,22.997,70.066,25.579,57.633,25.361,63.309,31.247,26.8,0.05,0.06,0.12,2
155,0.38,2,2.60102333556357,27.0,22.062,66.344,22.278,65.439,22.445,66.886,24.209,27.3,0.05,0.06,0.12,3
156,0.38,2,2.46467885771538,30.0,22.206,67.217,22.421,65.983,22.517,67.486,26.43,27.3,0.15,0.11,0.1,2
157,0.2,1,2.54487685030594,0.0,23.165,75.99,26.09,62.66,25.822,68.756,31.650000000000002,22.8,0.05,0.16,0.15,1
158,0.2,1,2.37037820013363,3.0,23.213,75.808,26.017,62.901,25.895,68.78,31.812,24.0,0.05,0.16,0.15,1
159,0.2,1,2.47600248686715,6.0,23.285,76.037,26.09,63.349,25.993,68.836,31.965,25.2,0.08,0.15,0.12,1
160,0.2,1,2.48471959158693,9.0,23.381,76.148,26.188,63.4,26.163,69.098,32.223,25.9,0.13,0.07,0.14,1
161,0.2,1,2.24776361206999,12.0,23.453,75.961,26.261,63.15,26.212,68.482,31.955000000000002,25.9,0.15,0.15,0.08,1
162,0.2,1,2.21075977933806,15.0,23.525,75.543,26.237,62.788,26.212,68.206,31.947000000000003,25.8,0.06,0.12,0.08,1
163,0.2,1,2.61972330314237,18.0,23.501,75.261,26.163,62.735,26.212,67.702,31.986000000000004,25.8,0.12,0.02,0.05,2
164,0.2,1,2.5169534857656,21.0,23.501,75.374,26.579,63.11,26.334,67.948,31.987,25.9,0.12,0.11,0.15,1
165,0.2,1,2.48876725882613,24.0,23.549,75.2,27.167,61.275,26.799,66.896,32.006,25.9,0.08,0.08,0.12,2
166,0.2,1,2.44660462765362,27.0,23.621,75.248,27.044,60.637,26.75,66.233,32.047,25.8,0.15,0.1,0.09,2
167,0.2,1,2.15578192757405,30.0,23.621,74.535,26.261,61.264,26.432,66.055,32.076,25.7,0.11,0.08,0.08,2
168,0.2,1,2.01458484404895,33.0,23.573,71.903,25.628,61.101,26.481,67.172,32.232,25.6,0.11,0.08,0.08,2
169,0.2,1,2.25141855675925,36.0,22.517,68.131,22.997,64.438,23.021,66.985,31.823999999999998,26.2,0.05,0.1,0.15,2
170,0.2,1,2.86257983643545,39.0,22.517,72.219,22.973,68.181,22.973,70.99,31.909,27.1,0.07,0.15,0.1,2
171,0.2,2,2.53155859196712,0.0,23.525,75.202,27.191,59.766,25.847,70.535,32.024,23.1,0.08,0.15,0.07,1
172,0.2,2,2.73779704071189,3.0,23.525,75.202,27.191,59.766,25.847,70.535,32.024,23.9,0.17,0.23,0.06,2
173,0.2,2,3.93745676627652,6.0,23.597,74.538,27.98,56.38,26.163,68.631,32.083,23.9,21.8,0.08,0.13,2
174,0.2,2,2.26914475734642,9.0,23.645,74.586,28.773,54.2,26.285,68.091,32.047000000000004,25.8,0.15,0.17,0.15,2
175,0.2,2,2.40696286715612,12.0,23.645,74.586,28.773,54.2,26.285,68.091,32.047000000000004,26.2,0.1,0.0,0.08,4
176,0.2,2,2.4655184731806,15.0,23.742,75.932,28.897,54.74,26.456,68.726,32.037,27.1,0.1,0.0,0.08,4
177,0.2,2,2.56686396526763,18.0,23.958,78.196,28.947,55.563,26.75,70.653,32.147,27.8,0.14,0.03,0.07,4
178,0.2,2,2.70248633530001,21.0,24.103,80.538,29.421,57.007,27.044,71.794,32.182,28.2,0.14,0.03,0.07,4
179,0.2,2,2.71322551747181,24.0,24.055,76.767,27.93,56.259,26.774,67.977,32.228,28.4,0.08,0.13,0.06,4
180,0.2,2,2.6088080347205,27.0,23.91,73.039,26.921,57.023,26.237,66.265,32.239,28.2,0.08,0.08,0.05,4
181,0.2,2,2.53181758939518,30.0,26.725,71.836,29.546,63.352,29.296,67.951,34.088,28.4,0.08,0.08,0.05,4
182,0.2,2,2.47718567690932,33.0,26.334,69.444,28.872,59.412,28.4,64.193,33.961,28.6,0.08,0.08,0.05,4
183,0.39,1,2.52109285237159,0.0,25.312,65.663,32.75,43.294,27.659,59.223,33.568,27.0,0.23,0.2,0.11,2
184,0.39,1,2.5657919078363,3.0,25.336,67.654,32.44,44.037,27.634,60.768,33.406,29.1,0.24,0.14,0.15,4
185,0.39,1,2.52657725906966,6.0,25.312,66.847,30.755,46.072,27.486,60.82,33.49699999999999,29.6,0.28,0.15,0.13,4
186,0.39,1,2.41856269479078,9.0,25.603,69.783,29.646,52.834,27.536,64.463,33.701,29.6,0.15,0.17,0.13,2
187,0.39,1,2.43492357786933,12.0,26.066,77.53,29.772,60.269,27.93,72.004,33.741,29.4,0.27,0.28,0.16,3
188,0.39,1,2.27291980291722,15.0,26.042,73.729,29.371,58.097,27.98,69.231,33.795,29.6,0.15,0.18,0.06,4
189,0.39,1,3.61765042589435,45.0,27.314,78.382,28.723,71.571,28.773,75.431,34.411,29.2,0.15,0.12,0.08,3
190,0.39,2,4.18192594993789,0.0,26.603,68.28,28.177,59.603,28.004,63.778,34.068999999999996,27.9,0.21,0.15,0.08,2
191,0.39,2,3.00845463266003,3.0,26.456,67.861,28.054,60.597,28.004,64.216,34.033,28.8,0.19,0.14,0.1,4
192,0.39,2,3.25197241576237,6.0,26.407,70.743,27.782,61.935,27.831,64.487,33.95,28.8,0.15,0.26,0.16,4
193,0.39,2,2.5986939327653,9.0,26.676,76.461,27.683,67.49,27.782,70.009,34.004,27.9,0.28,0.11,0.23,3
194,0.39,2,3.07492601316852,12.0,26.97,78.484,27.807,71.832,27.905,74.912,33.87,27.7,0.2,0.12,0.1,2
195,0.39,2,3.68173323656659,15.0,23.309,61.393,22.925,61.923,23.117,63.604,33.046,28.1,0.13,0.08,0.13,3
196,0.39,2,4.69190092477712,18.0,23.309,61.393,22.925,61.923,23.117,63.604,33.046,28.6,0.18,0.15,0.08,3
197,0.39,2,4.77804556608065,0.0,24.006,60.278,25.312,55.498,26.139,57.484,33.114000000000004,23.9,0.31,0.16,0.09,1
198,0.39,2,4.62106788304633,3.0,23.934,60.046,25.239,55.203,26.139,57.24,33.119,26.1,0.18,0.22,0.15,4
199,0.39,2,4.71804509245293,6.0,23.838,60.103,25.045,55.578,26.09,57.542,32.968,27.1,0.25,0.23,0.12,4
200,0.39,2,5.56370666027517,9.0,23.838,60.514,24.997,56.045,26.066,57.273,32.966,27.3,0.25,0.13,0.13,2
201,0.39,2,5.80752465583409,12.0,23.742,59.59099537037037,25.167,54.953,25.92,55.707,33.006,26.8,0.25,0.15,0.12,2
202,0.39,2,5.52101495004437,15.0,23.405,54.786,25.094,51.339,25.652,52.416,33.022,26.2,0.25,0.1,0.08,2
