Title,20年IF,21年IF,即时IF,桑格预测IF,JCR分区,中科院分区,警告信息
ZENTRALBLATT FUR ARBEITSMEDIZIN ARBEITSSCHUTZ UND ERGONOMIE,-,-,0.35,N/A,,,
ZEMDIRBYSTE-AGRICULTURE,1.083,1.281,0.51,1.57,Q3,农林科学-4区,
ZEITSCHRIFTE FUR FAMILIENFORSCHUNG-JOURNAL OF FAMILY RESEARCH,0.406,1.375,0.63,N/A,Q4,法学-4区,
ZEITSCHRIFT FUR WIRTSCHAFTSGEOGRAPHIE,1.739,2.174,1.06,>2.72,Q3,经济学-4区,
ZEITSCHRIFT FUR VOLKSKUNDE,-,-,0.07,N/A,,,
ZEITSCHRIFT FUR VERGLEICHENDE POLITIKWISSENSCHAFT,-,-,0.74,N/A,,,
ZEITSCHRIFT FUR TOURISMUSWISSENSCHAFT,-,-,0.24,N/A,,,
ZEITSCHRIFT FUR THEOLOGIE UND KIRCHE,-,-,0.05,N/A,,,
ZEITSCHRIFT FUR SPRACHWISSENSCHAFT,0.75,0.55,0.18,<0.41,Q4,人文科学-4区,
ZEITSCHRIFT FUR SPORTPSYCHOLOGIE,1.136,0.571,0.46,<0.43,Q4,心理学-4区,
ZEITSCHRIFT FUR SOZIOLOGIE DER ERZIEHUNG UND SOZIALISATION,0.146,0.163,0.19,>0.20,Q4,教育学-4区,
ZEITSCHRIFT FUR SOZIOLOGIE,1.269,0.386,0.39,>0.48,Q4,法学-4区,
ZEITSCHRIFT FUR SLAWISTIK,-,-,0.13,N/A,,,
ZEITSCHRIFT FUR SLAVISCHE PHILOLOGIE,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR SEXUALFORSCHUNG,1.828,0.909,0.21,<0.68,Q4,心理学-4区,
ZEITSCHRIFT FUR SEMIOTIK,-,-,0.05,N/A,,,
ZEITSCHRIFT FUR ROMANISCHE PHILOLOGIE,-,-,0.09,N/A,,,
ZEITSCHRIFT FUR RHEUMATOLOGIE,1.449,1.53,0.55,<1.15,Q4,医学-4区,
ZEITSCHRIFT FUR RELIGIONS-UND GEISTESGESCHICHTE,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR PSYCHOSOMATISCHE MEDIZIN UND PSYCHOTHERAPIE,0.791,1,0.28,<0.75,Q4,医学-4区,
ZEITSCHRIFT FUR PSYCHOLOGIE-JOURNAL OF PSYCHOLOGY,2.633,2.828,0.93,<2.12,Q2,心理学-3区,
ZEITSCHRIFT FUR PHYSIKALISCHE CHEMIE-INTERNATIONAL JOURNAL OF RESEARCH IN PHYSICAL CHEMISTRY & CHEMICAL PHYSICS,2.408,4.315,1.39,<3.24,Q2,化学-3区,
ZEITSCHRIFT FUR PHILOSOPHISCHE FORSCHUNG,-,-,0.08,N/A,,,
ZEITSCHRIFT FUR PALLIATIVMEDIZIN,-,-,0.2,N/A,,,
ZEITSCHRIFT FUR PADAGOGISCHE PSYCHOLOGIE,0.897,1.808,0.66,1.83,Q4,心理学-4区,
ZEITSCHRIFT FUR PADAGOGIK,0.32,0.482,0.12,<0.36,Q4,教育学-4区,
ZEITSCHRIFT FUR ORTHOPADIE UND UNFALLCHIRURGIE,0.923,1.108,0.61,1.36,Q4,医学-4区,
ZEITSCHRIFT FUR NEUROPSYCHOLOGIE,0.575,0.553,0.23,<0.41,Q4,心理学-4区,
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION C-A JOURNAL OF BIOSCIENCES,1.649,1.885,1.05,2.29,Q4,生物学-4区,
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION B-A JOURNAL OF CHEMICAL SCIENCES,1.047,1.115,0.49,<0.84,Q4,化学-4区,
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES,1.426,1.712,1.16,2.07,Q4,物理与天体物理-4区,
ZEITSCHRIFT FUR MEDIZINISCHE PHYSIK,4.82,7.215,0.97,6.18,Q1,医学-4区,
ZEITSCHRIFT FUR KUNSTGESCHICHTE,-,-,0.03,N/A,,,
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-NEW CRYSTAL STRUCTURES,0.451,0.365,0.22,<0.27,Q4,化学-4区,中科院-低-2020
ZEITSCHRIFT FUR KRISTALLOGRAPHIE-CRYSTALLINE MATERIALS,1.616,1.383,0.6,<1.04,Q3,材料科学-4区,
ZEITSCHRIFT FUR KLINISCHE PSYCHOLOGIE UND PSYCHOTHERAPIE,0.436,0.421,0.65,>0.53,Q4,心理学-4区,
ZEITSCHRIFT FUR KIRCHENGESCHICHTE,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR KINDER-UND JUGENDPSYCHIATRIE UND PSYCHOTHERAPIE,0.904,1.397,0.65,1.18,Q4,医学-4区,
ZEITSCHRIFT FUR KATALANISTIK,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR INTERKULTURELLE GERMANISTIK,-,-,0.02,N/A,,,
ZEITSCHRIFT FUR HISTORISCHE FORSCHUNG,-,-,0.05,N/A,,,
ZEITSCHRIFT FUR HERZ THORAX UND GEFASSCHIRURGIE,-,-,0.06,N/A,,,
ZEITSCHRIFT FUR GESCHICHTSWISSENSCHAFT,-,-,0.03,N/A,,,
ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,1.311,1.292,0.67,1.17,Q4,医学-4区,
ZEITSCHRIFT FUR GERMANISTISCHE LINGUISTIK,-,-,0.03,N/A,,,
ZEITSCHRIFT FUR GERMANISTIK,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR GEOMORPHOLOGIE,0.842,1.571,1.15,>1.96,Q4,地球科学-4区,
ZEITSCHRIFT FUR GEBURTSHILFE UND NEONATOLOGIE,0.685,0.656,0.35,>0.82,Q4,医学-4区,
ZEITSCHRIFT FUR GASTROENTEROLOGIE,2,1.769,0.64,1.49,Q4,医学-4区,
ZEITSCHRIFT FUR EVIDENZ FORTBILDUNG UND QUALITAET IM GESUNDHEITSWESEN,-,-,0.57,N/A,,,
ZEITSCHRIFT FUR EVANGELISCHE ETHIK,-,-,0.05,N/A,,,
ZEITSCHRIFT FUR EVALUATION,0.231,0.179,0.17,N/A,Q4,法学-4区,
ZEITSCHRIFT FUR ETHNOLOGIE,-,0.1,0.17,N/A,Q4,,
ZEITSCHRIFT FUR ERZIEHUNGSWISSENSCHAFT,0.828,1.165,0.77,>1.46,Q4,教育学-4区,
ZEITSCHRIFT FUR EPILEPTOLOGIE,-,-,0.2,N/A,,,
ZEITSCHRIFT FUR ENTWICKLUNGSPSYCHOLOGIE UND PADAGOGISCHE PSYCHOLOGIE,0.393,1,0.53,>1.25,Q4,心理学-4区,
ZEITSCHRIFT FUR DIE NEUTESTAMENTLICHE WISSENSCHAFT UND DIE KUNDE DER ALTEREN KIRCHE,-,-,0.17,N/A,,,
ZEITSCHRIFT FUR DIE ALTTESTAMENTLICHE WISSENSCHAFT,-,-,0.12,N/A,,,
ZEITSCHRIFT FUR DIALEKTOLOGIE UND LINGUISTIK,0.125,0.375,0.11,>0.47,Q4,人文科学-4区,
ZEITSCHRIFT FUR DEUTSCHES ALTERTUM UND DEUTSCHE LITERATUR,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR DEUTSCHE PHILOLOGIE,-,-,N/A,N/A,,,
ZEITSCHRIFT FUR BIBLIOTHEKSWESEN UND BIBLIOGRAPHIE,0.125,0.162,0.03,<0.12,Q4,管理学-4区,
ZEITSCHRIFT FUR ASSYRIOLOGIE UND VORDERASIATISCHE ARCHAOLOGIE,-,-,0.15,N/A,,,
ZEITSCHRIFT FUR ARZNEI- & GEWURZPFLANZEN,0.26,0.262,0.07,<0.20,Q4,生物学-4区,
ZEITSCHRIFT FUR ARBEITS-UND ORGANISATIONSPSYCHOLOGIE,0.724,1.258,0.44,0.95,Q4,心理学-4区,
ZEITSCHRIFT FUR ANTIKES CHRISTENTUM-JOURNAL OF ANCIENT CHRISTIANITY,-,-,0.03,N/A,,,
ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE,1.492,1.414,0.93,1.6,Q4,化学-4区,
ZEITSCHRIFT FUR ANGLISTIK UND AMERIKANISTIK,-,-,0.04,N/A,,,
ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,1.934,2.221,1.2,2.75,Q1,数学-3区,
ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN,0.796,1.222,0.64,1.26,Q3,数学-4区,
ZEITSCHRIFT FUR AGYPTISCHE SPRACHE UND ALTERTUMSKUNDE,-,-,0.06,N/A,,,
ZEITSCHRIFT FUER INDIVIDUALPSYCHOLOGIE,-,-,0.14,N/A,,,
ZEITSCHRIFT FUER GANZHEITLICHE TIERMEDIZIN,-,-,0.02,N/A,,,
ZEITSCHRIFT DES DEUTSCHEN VEREINS FUR KUNSTWISSENSCHAFT,-,-,N/A,N/A,,,
ZEITSCHRIFT DES DEUTSCHEN PALASTINA-VEREINS,-,-,0.18,N/A,,,
ZEITSCHRIFT DER GESELLSCHAFT FUR MUSIKTHEORIE,-,-,0.04,N/A,,,
ZEITSCHRIFT DER DEUTSCHEN MORGENLANDISCHEN GESELLSCHAFT,-,-,N/A,N/A,,,
ZEITSCHRIFT DER DEUTSCHEN GESELLSCHAFT FUR GEOWISSENSCHAFTEN,1,1.167,0.6,>1.46,Q4,地球科学-4区,
ZEITGESCHICHTE,0.122,0.359,0.02,<0.27,Q4,人文科学-4区,
ZEBRAFISH,1.985,2.229,1.13,2.16,Q3,生物学-4区,
ZDRAVSTVENO VARSTVO,1.25,1.603,0.8,>2.00,Q4,医学-4区,
ZDM-MATHEMATICS EDUCATION,1.616,2.481,1.68,>3.10,Q2,教育学-3区,
ZBORNIK VELEUCILISTA U RIJECI-JOURNAL OF THE POLYTECHNICS OF RIJEKA,-,-,0.19,N/A,,,
ZBORNIK RADOVA VIZANTOLOSKOG INSTITUTA,-,-,N/A,N/A,,,
ZBORNIK RADOVA EKONOMSKOG FAKULTETA U RIJECI-PROCEEDINGS OF RIJEKA FACULTY OF ECONOMICS,-,-,0.66,N/A,,,
ZBORNIK PRAVNOG FAKULTETA SVEUCILISTA U RIJECI,-,-,0.04,N/A,,,
ZBORNIK MATICE SRPSKE ZA SLAVISTIKU-MATICA SRPSKA JOURNAL OF SLAVIC STUDIES,-,-,N/A,N/A,,,
ZBORNIK MATICE SRPSKE ZA LIKOVNE UMETNOSTI-MATICA SRPSKA JOURNAL FOR FINE ARTS,-,-,N/A,N/A,,,
ZBORNIK INSTITUTA ZA PEDAGOSKA ISTRAZIVANJA,-,-,0.2,N/A,,,
ZAPOROZHYE MEDICAL JOURNAL,-,-,0.05,N/A,,,
ZAMM-ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK,1.603,1.759,1.32,>2.20,Q3,工程技术-4区,
ZAGREB INTERNATIONAL REVIEW OF ECONOMICS & BUSINESS,-,-,0.36,N/A,,,
ZAGADNIENIA FILOZOFICZNE W NAUCE-PHILOSOPHICAL PROBLEMS IN SCIENCE,-,-,0.06,N/A,,,
YUYAN KEXUE-LINGUISTIC SCIENCES,-,-,0.03,N/A,,,
YUKSEKOGRETIM DERGISI,-,-,0.38,N/A,,,
YOUTH VIOLENCE AND JUVENILE JUSTICE,4.767,3.491,2,3.7,Q1,法学-1区,
YOUTH JUSTICE-AN INTERNATIONAL JOURNAL,2,1.412,0.81,>1.76,Q4,法学-4区,
YOUTH & SOCIETY,2.923,2.793,1.2,2.56,Q2,法学-2区,
YOUNG CONSUMERS,-,-,1.71,N/A,,,
YOUNG,1.635,1.342,1.15,>1.68,Q3,法学-4区,
YORKSHIRE ARCHAEOLOGICAL JOURNAL,-,-,N/A,N/A,,,
YONSEI MEDICAL JOURNAL,2.759,3.052,1.29,<2.29,Q2,医学-4区,
YONAGO ACTA MEDICA,1.641,1.371,0.56,1.52,Q4,医学-4区,
YEAST,3.239,3.325,1.64,3.77,Q3,生物学-3区,
YEARBOOK OF PHRASEOLOGY,-,-,0.15,N/A,,,
YEARBOOK FOR TRADITIONAL MUSIC,-,-,0.36,N/A,,,
YAZYK I KULTURA-LANGUAGE AND CULTURE,-,-,0.04,N/A,,,
YALE REVIEW,-,-,N/A,N/A,,,
YALE LAW JOURNAL,5.32,4.986,2.43,5.53,Q1,法学-1区,
YALE JOURNAL ON REGULATION,3.25,2.962,1.05,<2.22,Q1,法学-2区,
YALE JOURNAL OF BIOLOGY AND MEDICINE,-,-,1.49,N/A,Q2,工程技术-4区,
YALE FRENCH STUDIES,-,-,0.04,N/A,,,
YAKUT MEDICAL JOURNAL,-,-,0.04,N/A,,,
YAKUGAKU ZASSHI-JOURNAL OF THE PHARMACEUTICAL SOCIETY OF JAPAN,0.302,0.314,0.19,0.35,Q4,医学-4区,
X-RAY STRUCTURE ANALYSIS ONLINE,-,-,0.2,N/A,,,
X-RAY SPECTROMETRY,1.488,1.234,0.75,1.21,Q3,物理与天体物理-4区,
XENOTRANSPLANTATION,3.907,3.788,1.77,3.29,Q3,医学-3区,
XENOBIOTICA,1.908,1.997,0.94,<1.50,Q4,医学-4区,
WULFENIA,0.941,0.686,0.23,<0.51,Q4,生物学-4区,
WSPOLCZESNA ONKOLOGIA-CONTEMPORARY ONCOLOGY,-,-,1.02,N/A,,,
WRITTEN LANGUAGE AND LITERACY,-,-,0.07,N/A,,,
WRITTEN COMMUNICATION,2.441,2.447,0.94,<1.84,Q3,人文科学-2区,
WRITING & PEDAGOGY,-,-,0.14,N/A,,,
WPOM-WORKING PAPERS ON OPERATIONS MANAGEMENT,-,-,0.39,N/A,,,
WOUNDS-A COMPENDIUM OF CLINICAL RESEARCH AND PRACTICE,1.546,1.441,0.57,<1.08,Q4,医学-4区,
WOUND REPAIR AND REGENERATION,3.617,3.401,1.54,3,Q3,医学-3区,
WOUND PRACTICE AND RESEARCH,-,-,0.43,N/A,,,
WOUND MANAGEMENT & PREVENTION,0.698,1.222,0.68,>1.53,Q4,医学-4区,
WORLDWIDE HOSPITALITY AND TOURISM THEMES,-,-,1.22,N/A,,,
WORLDVIEWS-GLOBAL RELIGIONS CULTURE AND ECOLOGY,-,-,0.32,N/A,,,
WORLDVIEWS ON EVIDENCE-BASED NURSING,2.931,4.347,1.8,>5.43,Q1,医学-3区,
WORLDS POULTRY SCIENCE JOURNAL,2.915,3.452,1.5,3.75,Q1,农林科学-2区,
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,2.716,3,1.97,3.17,Q3,计算机科学-3区,
WORLD TRADE REVIEW,1.596,1.708,0.67,1.54,Q3,经济学-3区,
WORLD REVIEW OF POLITICAL ECONOMY,-,-,0.29,N/A,,,
WORLD REVIEW OF NUTRITION AND DIETETICS,0.575,0.256,0.28,N/A,Q4,医学-4区,
WORLD RABBIT SCIENCE,1.233,1,0.36,<0.75,Q3,农林科学-4区,
WORLD PSYCHIATRY,49.548,79.683,23.95,>99.60,Q1,医学-1区,
WORLD POLITICS,3.444,2.605,2.59,>3.26,Q2,法学-1区,
WORLD PATENT INFORMATION,-,-,1.42,N/A,,,
WORLD OF MUSIC-NEW SERIES,-,-,N/A,N/A,,,
WORLD OF MEDICINE AND BIOLOGY,-,-,0.07,N/A,,,
WORLD NEUROSURGERY,2.104,2.21,1.03,1.93,Q4,医学-4区,
WORLD MYCOTOXIN JOURNAL,3.353,2.695,1.26,2.25,Q3,医学-4区,
WORLD MEDICAL & HEALTH POLICY,-,-,2.33,N/A,,,
WORLD LITERATURE TODAY,-,-,N/A,N/A,,,
WORLD LITERATURE STUDIES,-,-,0.09,N/A,,,
WORLD LEISURE JOURNAL,-,-,0.86,N/A,,,
WORLD JOURNAL OF UROLOGY,4.226,3.661,1.88,3.25,Q2,医学-2区,
WORLD JOURNAL OF TRADITIONAL CHINESE MEDICINE,-,-,1.47,N/A,,,
WORLD JOURNAL OF SURGICAL ONCOLOGY,2.754,3.253,2.03,>4.07,Q3,医学-3区,
WORLD JOURNAL OF SURGERY,3.352,3.282,1.41,2.68,Q2,医学-3区,
WORLD JOURNAL OF STEM CELLS,5.326,5.247,2.2,5.34,Q2,,
WORLD JOURNAL OF SCIENCE TECHNOLOGY AND SUSTAINABLE DEVELOPMENT,-,-,0.9,N/A,,,
WORLD JOURNAL OF RADIOLOGY,-,-,1.63,N/A,,,
WORLD JOURNAL OF PSYCHIATRY,4.571,3.5,1.7,>4.38,Q3,医学-3区,
WORLD JOURNAL OF PLASTIC SURGERY,-,-,0.33,N/A,,,
WORLD JOURNAL OF PEDIATRICS,2.764,9.186,3.66,<6.89,Q1,医学-2区,
WORLD JOURNAL OF PEDIATRIC SURGERY,-,-,0.34,N/A,,,
WORLD JOURNAL OF ORTHOPEDICS,-,-,0.97,N/A,,,
WORLD JOURNAL OF ONCOLOGY,-,-,2.48,N/A,,,
WORLD JOURNAL OF NUCLEAR MEDICINE,-,-,0.3,N/A,,,
WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,3.312,4.253,2.28,5.05,Q2,工程技术-4区,
WORLD JOURNAL OF MENS HEALTH,5.4,6.494,2.4,<4.87,Q1,医学-2区,
WORLD JOURNAL OF HEPATOLOGY,-,-,1.27,N/A,,,
WORLD JOURNAL OF GASTROINTESTINAL SURGERY,2.582,2.505,1.09,2.65,Q4,医学-4区,
WORLD JOURNAL OF GASTROINTESTINAL ONCOLOGY,3.393,3.404,1.69,3.66,Q3,医学-4区,
WORLD JOURNAL OF GASTROINTESTINAL ENDOSCOPY,-,-,0.77,N/A,,,
WORLD JOURNAL OF GASTROENTEROLOGY,5.742,5.374,2.38,5.17,Q2,医学-3区,吉林大学第一医院-2020中山大学附属第一医院-2020昆明学院-2020
WORLD JOURNAL OF ENTREPRENEURSHIP MANAGEMENT AND SUSTAINABLE DEVELOPMENT,-,-,1.18,N/A,,,
WORLD JOURNAL OF ENGINEERING,-,-,1.15,N/A,,,
WORLD JOURNAL OF EMERGENCY SURGERY,5.469,8.165,4.34,8.8,Q1,医学-2区,
WORLD JOURNAL OF EMERGENCY MEDICINE,2.266,2.621,1.13,2.77,Q2,医学-3区,
WORLD JOURNAL OF DIABETES,3.763,4.56,2.28,4.5,Q2,医学-4区,
WORLD JOURNAL OF CLINICAL ONCOLOGY,-,-,1.59,N/A,,,
WORLD JOURNAL OF CLINICAL CASES,1.337,1.534,0.61,1.43,Q4,医学-4区,中科院-中-2021
WORLD JOURNAL OF CARDIOLOGY,-,-,0.98,N/A,,,
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY,3.941,3.418,1.65,2.95,Q3,医学-3区,
WORLD JOURNAL OF ACUPUNCTURE-MOXIBUSTION,-,-,0.45,N/A,,,
WORLD JOURNAL FOR PEDIATRIC AND CONGENITAL HEART SURGERY,-,-,0.46,N/A,,,
WORLD FEDERATION OF OCCUPATIONAL THERAPISTS BULLETIN,-,-,1.06,N/A,,,
WORLD FAMILY MEDICINE,-,-,0.1,N/A,,,
WORLD ENGLISHES,0.92,1.154,1,>1.44,Q3,人文科学-4区,
WORLD ECONOMY,1.45,2,1.09,>2.50,Q3,经济学-4区,
WORLD DEVELOPMENT PERSPECTIVES,-,-,1.03,N/A,,,
WORLD DEVELOPMENT,5.278,6.678,3.95,>8.35,Q1,经济学-1区,
WORLD COMPETITION,-,-,0.26,N/A,,,
WORLD CANCER RESEARCH JOURNAL,-,-,0.53,N/A,,,
WORLD BANK RESEARCH OBSERVER,5.111,3.778,3.82,>4.72,Q2,经济学-2区,
WORLD BANK ECONOMIC REVIEW,2.183,2.622,1.31,>3.28,Q3,经济学-2区,
WORLD ARCHAEOLOGY,-,-,0.7,N/A,,,
WORLD ALLERGY ORGANIZATION JOURNAL,4.084,5.516,2.61,>6.89,Q2,医学-3区,
WORKPLACE HEALTH & SAFETY,1.413,2.338,1.26,>2.92,Q2,医学-4区,
WORK-A JOURNAL OF PREVENTION ASSESSMENT & REHABILITATION,1.505,1.803,1.14,>2.25,Q4,医学-4区,
WORK EMPLOYMENT AND SOCIETY,5.116,4.249,1.75,4,Q1,管理学-2区,
WORK AND STRESS,6.357,7.358,2.7,5.91,Q1,心理学-2区,
WORK AND OCCUPATIONS,4.759,2.41,1.42,<1.81,Q3,法学-1区,
WORK AGING AND RETIREMENT,3.375,5.682,2.03,6.68,Q2,经济学-2区,
WORDSWORTH CIRCLE,-,-,0.04,N/A,,,
WORD-JOURNAL OF THE INTERNATIONAL LINGUISTIC ASSOCIATION,-,-,0.5,N/A,,,
WORD STRUCTURE,-,-,0.3,N/A,,,
WORD AND TEXT-A JOURNAL OF LITERARY STUDIES AND LINGUISTICS,-,-,N/A,N/A,,,
WORD & IMAGE,-,-,0.09,N/A,,,
WOOD SCIENCE AND TECHNOLOGY,2.506,2.898,1.9,>3.62,Q2,材料科学-2区,
WOOD RESEARCH,1.139,1.254,0.61,1.08,Q3,材料科学-4区,
WOOD MATERIAL SCIENCE & ENGINEERING,2.553,2.732,1.28,2.52,Q1,材料科学-2区,
WOOD AND FIBER SCIENCE,1.567,1.703,0.85,1.66,Q3,材料科学-4区,
WOMENS WRITING,-,-,0.08,N/A,,,
WOMENS STUDIES-AN INTERDISCIPLINARY JOURNAL,-,-,0.06,N/A,,,
WOMENS STUDIES INTERNATIONAL FORUM,1.497,1.736,0.68,1.92,Q2,法学-4区,
WOMENS STUDIES IN COMMUNICATION,-,-,0.46,N/A,,,
WOMENS HISTORY REVIEW,-,-,0.3,N/A,,,
WOMENS HEALTH ISSUES,3.027,3.053,1.43,>3.82,Q2,医学-2区,
WOMENS HEALTH,-,-,0.78,N/A,,,
WOMEN-A CULTURAL REVIEW,-,-,0.04,N/A,,,
WOMEN AND MUSIC-A JOURNAL OF GENDER AND CULTURE,-,-,0.08,N/A,,,
WOMEN AND BIRTH,3.172,3.349,2.08,4.04,Q2,医学-2区,
WOMEN & THERAPY,1.739,1.708,1.57,>2.13,Q4,心理学-4区,
WOMEN & HEALTH,1.739,1.708,0.65,1.38,Q4,医学-4区,
WOMEN & CRIMINAL JUSTICE,1.739,1.708,0.48,1.87,Q4,法学-4区,
WOMANS ART JOURNAL,-,-,N/A,N/A,,,
WOCHENBLATT FUR PAPIERFABRIKATION,0,0,N/A,N/A,Q4,材料科学-4区,
WMU JOURNAL OF MARITIME AFFAIRS,-,-,1.04,N/A,,,
WISDOM,-,-,0.28,N/A,,,
WISCONSIN LAW REVIEW,0.704,1.185,0.23,<0.89,Q3,法学-4区,
WIRES MECHANISMS OF DISEASE,-,-,1.71,N/A,,,
WIRELESS POWER TRANSFER,-,-,0.63,N/A,,,
WIRELESS PERSONAL COMMUNICATIONS,1.671,2.017,1.22,>2.52,Q3,计算机科学-4区,
WIRELESS NETWORKS,2.602,2.701,1.77,3.3,Q3,计算机科学-4区,
WIRELESS COMMUNICATIONS & MOBILE COMPUTING,2.336,2.146,0.99,>2.68,Q3,计算机科学-4区,
WINTERTHUR PORTFOLIO-A JOURNAL OF AMERICAN MATERIAL CULTURE,-,-,N/A,N/A,,,
WIND ENGINEERING,-,-,0.9,N/A,,,
WIND ENERGY SCIENCE,-,-,2.15,N/A,,,
WIND ENERGY,2.73,3.71,2.15,>4.64,Q3,工程技术-3区,
WIND AND STRUCTURES,2.47,1.729,0.74,<1.30,Q4,工程技术-4区,
WILSON JOURNAL OF ORNITHOLOGY,0.656,0.454,0.18,<0.34,Q4,生物学-4区,
WILLIAM CARLOS WILLIAMS REVIEW,-,-,N/A,N/A,,,
WILLIAM AND MARY QUARTERLY,-,-,0.21,N/A,,,
WILLDENOWIA,0.985,1.46,0.94,1.8,Q3,生物学-4区,
WILEY INTERDISCIPLINARY REVIEWS-WATER,6.139,7.428,4.37,>9.29,Q1,地球科学-2区,
WILEY INTERDISCIPLINARY REVIEWS-SYSTEMS BIOLOGY AND MEDICINE,5,7.288,5.75,>9.11,Q1,医学-3区,
WILEY INTERDISCIPLINARY REVIEWS-RNA,9.957,9.349,4.42,9.09,Q1,生物学-2区,
WILEY INTERDISCIPLINARY REVIEWS-NANOMEDICINE AND NANOBIOTECHNOLOGY,9.182,9.423,4.23,9.27,Q2,医学-2区,
WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT,3.803,6.016,2.36,5.7,Q2,工程技术-3区,
WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,7.25,7.558,3.83,>9.45,Q1,计算机科学-2区,
WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL STATISTICS,-,3.282,1.57,N/A,Q1,,
WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE,25.113,11.5,6.52,>14.38,Q1,化学-2区,
