Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
DKK/NOK,2023-08-30,2023-08-31,2023-09-01,0.0000108000,0.0000641000
DKK/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0000166000,0.0000408000
EUR/AUD,2023-08-30,2023-08-31,2023-09-01,-0.0000090000,0.0000543000
EUR/CAD,2023-08-30,2023-08-31,2023-09-01,0.0000230000,0.0000826000
EUR/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0000944000,-0.0000289000
EUR/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0007364000,-0.0003846000
EUR/CZK,2023-08-30,2023-08-31,2023-09-01,0.0013350000,0.0030750000
EUR/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0002226000,0.0000817000
EUR/GBP,2023-08-30,2023-08-31,2023-09-01,0.0000116000,0.0000699000
EUR/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0003241000,0.0000451000
EUR/HUF,2023-08-30,2023-08-31,2023-09-01,0.0791400000,0.0974600000
EUR/ILS,2023-08-30,2023-08-31,2023-09-01,-0.0000485000,0.0001385000
EUR/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0226000000,-0.0174600000
EUR/MXN,2023-08-30,2023-08-31,2023-09-01,0.0027695000,0.0048525000
EUR/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0000272000,0.0003634000
EUR/NZD,2023-08-30,2023-08-31,2023-09-01,0.0000501000,0.0001213000
EUR/PLN,2023-08-30,2023-08-31,2023-09-01,0.0006190000,0.0008138000
EUR/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0002305000,0.0001954000
EUR/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0001555000,0.0003275000
EUR/TRY,2023-08-30,2023-08-31,2023-09-01,0.0151888000,0.0200402000
EUR/USD,2023-08-30,2023-08-31,2023-09-01,0.0000327000,0.0000783000
EUR/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0021155000,0.0036965000
GBP/AUD,2023-08-30,2023-08-31,2023-09-01,-0.0001235000,-0.0000080000
GBP/CAD,2023-08-30,2023-08-31,2023-09-01,-0.0000732000,0.0000349000
GBP/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0001836000,-0.0000647000
GBP/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0012944000,-0.0009046000
GBP/CZK,2023-08-30,2023-08-31,2023-09-01,0.0002815000,0.0022398000
GBP/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0007646000,-0.0002158000
GBP/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0009535000,-0.0003005000
GBP/HUF,2023-08-30,2023-08-31,2023-09-01,0.0668400000,0.0988000000
GBP/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0366700000,-0.0274100000
GBP/MXN,2023-08-30,2023-08-31,2023-09-01,0.0022542000,0.0045978000
GBP/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0007908000,-0.0000931000
GBP/NZD,2023-08-30,2023-08-31,2023-09-01,-0.0000655000,0.0000631000
GBP/PLN,2023-08-30,2023-08-31,2023-09-01,0.0004033000,0.0007570000
GBP/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0010551000,-0.0002858000
GBP/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0005280000,0.0000090000
GBP/TRY,2023-08-30,2023-08-31,2023-09-01,0.0160854000,0.0216666000
GBP/USD,2023-08-30,2023-08-31,2023-09-01,-0.0000364000,0.0000464000
GBP/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0014035000,0.0031545000
HKD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0023921000,-0.0017868000
MXN/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0032395000,-0.0026245000
NOK/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0022141000,-0.0016559000
NOK/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0000387000,0.0000062000
NZD/CAD,2023-08-30,2023-08-31,2023-09-01,-0.0000260000,0.0000092000
NZD/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0000743000,-0.0000423000
NZD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0006499000,-0.0003561000
NZD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0003108000,-0.0001316000
NZD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0004580000,-0.0001290000
NZD/HUF,2023-08-30,2023-08-31,2023-09-01,0.0335896000,0.0448000000
NZD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0165300000,-0.0134400000
NZD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0003207000,-0.0000944000
NZD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0004373000,-0.0001870000
NZD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0002710000,0.0000060000
NZD/USD,2023-08-30,2023-08-31,2023-09-01,-0.0000174000,0.0000221000
SEK/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0019230000,-0.0014270000
SGD/CNH,2023-08-30,2023-08-31,2023-09-05,-0.0018725000,-0.0003865000
SGD/HKD,2023-08-30,2023-08-31,2023-09-05,-0.0017330000,-0.0000840000
SGD/JPY,2023-08-30,2023-08-31,2023-09-05,-0.0812000000,-0.0561000000
THB/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0007585300,0.0003632300
TRY/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0051551000,-0.0029419000
USD/CAD,2023-08-30,2023-08-30,2023-08-31,-0.0000486000,0.0000103000
USD/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0001303000,-0.0000729000
USD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0010479000,-0.0007321000
USD/CZK,2023-08-30,2023-08-31,2023-09-01,0.0001500000,0.0016660000
USD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0005448000,-0.0002805000
USD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0006860000,-0.0003660000
USD/HUF,2023-08-30,2023-08-31,2023-09-01,0.0553100000,0.0732900000
USD/ILS,2023-08-30,2023-08-31,2023-09-01,-0.0002316000,-0.0000684000
USD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0288700000,-0.0227200000
USD/MXN,2023-08-30,2023-08-31,2023-09-01,0.0017149000,0.0035221000
USD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0005551000,-0.0002157000
USD/PLN,2023-08-30,2023-08-31,2023-09-01,0.0003542000,0.0005508000
USD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0007516000,-0.0003830000
USD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0004495000,-0.0000285000
USD/THB,2023-08-30,2023-08-31,2023-09-01,-0.0080800000,-0.0008200000
USD/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0010423000,0.0024167000
XAG/AUD,2023-08-30,2023-08-31,2023-09-01,0.0037340000,0.0053000000
XAG/EUR,2023-08-30,2023-08-31,2023-09-01,0.0018880000,0.0028720000
XAG/USD,2023-08-30,2023-08-31,2023-09-01,0.0033000000,0.0043900000
XAU/AUD,2023-08-30,2023-08-31,2023-09-01,0.2874000000,0.3918000000
XAU/CHF,2023-08-30,2023-08-31,2023-09-01,0.0166000000,0.1053000000
XAU/EUR,2023-08-30,2023-08-31,2023-09-01,0.1450510000,0.2113490000
XAU/GBP,2023-08-30,2023-08-31,2023-09-01,0.1962000000,0.2549720000
XAU/JPY,2023-08-30,2023-08-31,2023-09-01,-11.8100000000,-3.4400000000
XAU/USD,2023-08-30,2023-08-31,2023-09-01,0.2562000000,0.3286000000
XPD/USD,2023-08-30,2023-08-31,2023-09-01,0.0949000000,0.2778000000
XPT/USD,2023-08-30,2023-08-31,2023-09-01,0.0359000000,0.2493000000
ZAR/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0025106000,-0.0017694000
