Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
CHF/SEK,2023-08-31,2023-09-01,2023-09-05,0.001936,0.003714
CHF/ZAR,2023-08-31,2023-09-01,2023-09-05,0.013202,0.019768
CNH/JPY,2023-08-31,2023-09-01,2023-09-05,-0.008392,-0.005660
DKK/NOK,2023-08-31,2023-09-01,2023-09-05,0.000002,0.000209
DKK/SEK,2023-08-31,2023-09-01,2023-09-05,-0.000053,0.000169
EUR/AUD,2023-08-31,2023-09-01,2023-09-05,-0.000066,0.000186
EUR/CAD,2023-08-31,2023-09-01,2023-09-05,0.000067,0.000304
EUR/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000357,-0.000097
EUR/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001395,-0.000074
EUR/CZK,2023-08-31,2023-09-01,2023-09-05,0.005200,0.011920
EUR/DKK,2023-08-31,2023-09-01,2023-09-05,-0.000922,0.000280
EUR/GBP,2023-08-31,2023-09-01,2023-09-05,0.000027,0.000259
EUR/HKD,2023-08-31,2023-09-01,2023-09-05,-0.000747,0.000678
EUR/HUF,2023-08-31,2023-09-01,2023-09-05,0.380180,0.434360
EUR/ILS,2023-08-31,2023-09-01,2023-09-05,-0.000178,0.000496
EUR/JPY,2023-08-31,2023-09-01,2023-09-05,-0.080640,-0.060410
EUR/MXN,2023-08-31,2023-09-01,2023-09-05,0.010809,0.019143
EUR/NOK,2023-08-31,2023-09-01,2023-09-05,-0.000483,0.001056
EUR/NZD,2023-08-31,2023-09-01,2023-09-05,0.000170,0.000451
EUR/PLN,2023-08-31,2023-09-01,2023-09-05,0.001336,0.002036
EUR/SEK,2023-08-31,2023-09-01,2023-09-05,-0.000929,0.000741
EUR/TRY,2023-08-31,2023-09-01,2023-09-05,0.069625,0.074639
EUR/USD,2023-08-31,2023-09-01,2023-09-05,0.000108,0.000289
EUR/ZAR,2023-08-31,2023-09-01,2023-09-05,0.007902,0.014079
GBP/AUD,2023-08-31,2023-09-01,2023-09-05,-0.000487,-0.000030
GBP/CAD,2023-08-31,2023-09-01,2023-09-05,-0.000286,0.000147
GBP/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000687,-0.000213
GBP/CNH,2023-08-31,2023-09-01,2023-09-05,-0.003057,-0.001734
GBP/CZK,2023-08-31,2023-09-01,2023-09-05,0.001580,0.009103
GBP/DKK,2023-08-31,2023-09-01,2023-09-05,-0.002913,-0.000723
GBP/HKD,2023-08-31,2023-09-01,2023-09-05,-0.003001,-0.000344
GBP/HUF,2023-08-31,2023-09-01,2023-09-05,0.351860,0.449850
GBP/JPY,2023-08-31,2023-09-01,2023-09-05,-0.131230,-0.094510
GBP/MXN,2023-08-31,2023-09-01,2023-09-05,0.009146,0.018568
GBP/NOK,2023-08-31,2023-09-01,2023-09-05,-0.003305,-0.000516
GBP/NZD,2023-08-31,2023-09-01,2023-09-05,-0.000248,0.000262
GBP/PLN,2023-08-31,2023-09-01,2023-09-05,0.000459,0.001719
GBP/SEK,2023-08-31,2023-09-01,2023-09-05,-0.003923,-0.000887
GBP/TRY,2023-08-31,2023-09-01,2023-09-05,0.075514,0.079929
GBP/USD,2023-08-31,2023-09-01,2023-09-05,-0.000145,0.000185
GBP/ZAR,2023-08-31,2023-09-01,2023-09-05,0.005371,0.012319
HKD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.009293,-0.007013
MXN/JPY,2023-08-31,2023-09-01,2023-09-05,-0.012174,-0.009796
NOK/JPY,2023-08-31,2023-09-01,2023-09-05,-0.007516,-0.005374
NOK/SEK,2023-08-31,2023-09-01,2023-09-05,-0.000121,0.000054
NZD/CAD,2023-08-31,2023-09-01,2023-09-05,-0.000105,0.000034
NZD/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000276,-0.000149
NZD/CNH,2023-08-31,2023-09-01,2023-09-05,-0.001709,-0.000563
NZD/DKK,2023-08-31,2023-09-01,2023-09-05,-0.001218,-0.000518
NZD/HKD,2023-08-31,2023-09-01,2023-09-05,-0.001450,-0.000173
NZD/HUF,2023-08-31,2023-09-01,2023-09-05,0.171420,0.203030
NZD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.059000,-0.047260
NZD/NOK,2023-08-31,2023-09-01,2023-09-05,-0.001371,-0.000453
NZD/SEK,2023-08-31,2023-09-01,2023-09-05,-0.001635,-0.000659
NZD/USD,2023-08-31,2023-09-01,2023-09-05,-0.000072,0.000087
SEK/JPY,2023-08-31,2023-09-01,2023-09-05,-0.006812,-0.004868
THB/JPY,2023-08-31,2023-09-01,2023-09-05,-0.002682,0.001038
TRY/JPY,2023-08-31,2023-09-01,2023-09-05,-0.017492,-0.011708
USD/CAD,2023-08-31,2023-08-31,2023-09-01,-0.000049,0.000010
USD/CHF,2023-08-31,2023-09-01,2023-09-05,-0.000483,-0.000253
USD/CNH,2023-08-31,2023-09-01,2023-09-05,-0.002582,-0.001428
USD/CZK,2023-08-31,2023-09-01,2023-09-05,0.000916,0.006834
USD/DKK,2023-08-31,2023-09-01,2023-09-05,-0.002068,-0.001008
USD/HKD,2023-08-31,2023-09-01,2023-09-05,-0.002091,-0.000833
USD/HUF,2023-08-31,2023-09-01,2023-09-05,0.286140,0.333860
USD/ILS,2023-08-31,2023-09-01,2023-09-05,-0.000842,-0.000248
USD/JPY,2023-08-31,2023-09-01,2023-09-05,-0.103540,-0.078990
USD/MXN,2023-08-31,2023-09-01,2023-09-05,0.006976,0.014288
USD/NOK,2023-08-31,2023-09-01,2023-09-05,-0.002345,-0.000997
USD/PLN,2023-08-31,2023-09-01,2023-09-05,0.000492,0.001108
USD/SEK,2023-08-31,2023-09-01,2023-09-05,-0.002801,-0.001334
USD/THB,2023-08-31,2023-09-01,2023-09-05,-0.025320,-0.004580
USD/TRY,2023-08-31,2023-08-31,2023-09-01,0.012516,0.017293
USD/ZAR,2023-08-31,2023-09-01,2023-09-05,0.003953,0.009397
XAG/AUD,2023-08-31,2023-09-01,2023-09-05,0.014766,0.021064
XAG/EUR,2023-08-31,2023-09-01,2023-09-05,0.007892,0.011798
XAG/USD,2023-08-31,2023-09-01,2023-09-05,0.013010,0.017370
XAU/AUD,2023-08-31,2023-09-01,2023-09-05,1.167400,1.562900
XAU/CHF,2023-08-31,2023-09-01,2023-09-05,0.143100,0.477450
XAU/EUR,2023-08-31,2023-09-01,2023-09-05,0.623104,0.873716
XAU/GBP,2023-08-31,2023-09-01,2023-09-05,0.786450,1.010340
XAU/JPY,2023-08-31,2023-09-01,2023-09-05,-22.840000,9.343120
XAU/USD,2023-08-31,2023-09-01,2023-09-05,1.038300,1.308050
XPD/USD,2023-08-31,2023-09-01,2023-09-05,0.375300,1.030800
XPT/USD,2023-08-31,2023-09-01,2023-09-05,0.224700,0.914900
ZAR/JPY,2023-08-31,2023-09-01,2023-09-05,-0.009152,-0.006168
