Currency Pair,Quote Date,Near Value Date,Far Value Date,Bid Price,Ask Price
GBP/AUD,2023-08-30,2023-08-31,2023-09-01,-0.0001235,-8e-06
GBP/CAD,2023-08-30,2023-08-31,2023-09-01,-7.32e-05,3.49e-05
GBP/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0001836,-6.47e-05
GBP/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0012944,-0.0009046
GBP/CZK,2023-08-30,2023-08-31,2023-09-01,0.0002815,0.0022398
GBP/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0007646,-0.0002158
GBP/HKD,2023-08-30,2023-08-31,2023-09-01,-0.0009535,-0.0003005
GBP/HUF,2023-08-30,2023-08-31,2023-09-01,0.06684,0.0988
GBP/JPY,2023-08-30,2023-08-31,2023-09-01,-0.03667,-0.02741
GBP/MXN,2023-08-30,2023-08-31,2023-09-01,0.0022542,0.0045978
GBP/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0007908,-9.31e-05
GBP/NZD,2023-08-30,2023-08-31,2023-09-01,-6.55e-05,6.31e-05
GBP/PLN,2023-08-30,2023-08-31,2023-09-01,0.0004033,0.000757
GBP/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0010551,-0.0002858
GBP/SGD,2023-08-30,2023-08-31,2023-09-05,-0.000528,9e-06
GBP/TRY,2023-08-30,2023-08-31,2023-09-01,0.0160854,0.0216666
GBP/USD,2023-08-30,2023-08-31,2023-09-01,-3.64e-05,4.64e-05
GBP/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0014035,0.0031545
HKD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0023921,-0.0017868
MXN/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0032395,-0.0026245
NOK/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0022141,-0.0016559
NOK/SEK,2023-08-30,2023-08-31,2023-09-01,-3.87e-05,6.2e-06
NZD/CAD,2023-08-30,2023-08-31,2023-09-01,-2.6e-05,9.2e-06
NZD/CHF,2023-08-30,2023-08-31,2023-09-01,-7.43e-05,-4.23e-05
NZD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0006499,-0.0003561
NZD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0003108,-0.0001316
NZD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.000458,-0.000129
NZD/HUF,2023-08-30,2023-08-31,2023-09-01,0.0335896,0.0448
NZD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.01653,-0.01344
NZD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0003207,-9.44e-05
NZD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0004373,-0.000187
NZD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.000271,6e-06
NZD/USD,2023-08-30,2023-08-31,2023-09-01,-1.74e-05,2.21e-05
SEK/JPY,2023-08-30,2023-08-31,2023-09-01,-0.001923,-0.001427
SGD/CNH,2023-08-30,2023-08-31,2023-09-05,-0.0018725,-0.0003865
SGD/HKD,2023-08-30,2023-08-31,2023-09-05,-0.001733,-8.4e-05
SGD/JPY,2023-08-30,2023-08-31,2023-09-05,-0.0812,-0.0561
THB/JPY,2023-08-30,2023-08-31,2023-09-01,-0.00075853,0.00036323
TRY/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0051551,-0.0029419
USD/CAD,2023-08-30,2023-08-30,2023-08-31,-4.86e-05,1.03e-05
USD/CHF,2023-08-30,2023-08-31,2023-09-01,-0.0001303,-7.29e-05
USD/CNH,2023-08-30,2023-08-31,2023-09-01,-0.0010479,-0.0007321
USD/CZK,2023-08-30,2023-08-31,2023-09-01,0.00015,0.001666
USD/DKK,2023-08-30,2023-08-31,2023-09-01,-0.0005448,-0.0002805
USD/HKD,2023-08-30,2023-08-31,2023-09-01,-0.000686,-0.000366
USD/HUF,2023-08-30,2023-08-31,2023-09-01,0.05531,0.07329
USD/ILS,2023-08-30,2023-08-31,2023-09-01,-0.0002316,-6.84e-05
USD/JPY,2023-08-30,2023-08-31,2023-09-01,-0.02887,-0.02272
USD/MXN,2023-08-30,2023-08-31,2023-09-01,0.0017149,0.0035221
USD/NOK,2023-08-30,2023-08-31,2023-09-01,-0.0005551,-0.0002157
USD/PLN,2023-08-30,2023-08-31,2023-09-01,0.0003542,0.0005508
USD/SEK,2023-08-30,2023-08-31,2023-09-01,-0.0007516,-0.000383
USD/SGD,2023-08-30,2023-08-31,2023-09-05,-0.0004495,-2.85e-05
USD/THB,2023-08-30,2023-08-31,2023-09-01,-0.00808,-0.00082
USD/ZAR,2023-08-30,2023-08-31,2023-09-01,0.0010423,0.0024167
XAG/AUD,2023-08-30,2023-08-31,2023-09-01,0.003734,0.0053
XAG/EUR,2023-08-30,2023-08-31,2023-09-01,0.001888,0.002872
XAG/USD,2023-08-30,2023-08-31,2023-09-01,0.0033,0.00439
XAU/AUD,2023-08-30,2023-08-31,2023-09-01,0.2874,0.3918
XAU/CHF,2023-08-30,2023-08-31,2023-09-01,0.0166,0.1053
XAU/EUR,2023-08-30,2023-08-31,2023-09-01,0.145051,0.211349
XAU/GBP,2023-08-30,2023-08-31,2023-09-01,0.1962,0.254972
XAU/JPY,2023-08-30,2023-08-31,2023-09-01,-11.81,-3.44
XAU/USD,2023-08-30,2023-08-31,2023-09-01,0.2562,0.3286
XPD/USD,2023-08-30,2023-08-31,2023-09-01,0.0949,0.2778
XPT/USD,2023-08-30,2023-08-31,2023-09-01,0.0359,0.2493
ZAR/JPY,2023-08-30,2023-08-31,2023-09-01,-0.0025106,-0.0017694
