question,answers
"What methods exist for detecting multiple antigens simultaneously in a one-sample, laboratory test?","two-dimensional gel electrophoresis , protein chip, mass spectrometry, and suspension array technology"
How many antigens could be detected by Liew's multiplex ELISA test?,9
What kind of antibodies were used in the ELISA-array assay?,monoclonal
How was the ELISA assay validated?,using cultured viruses and inoculated chicken eggs with patient sera
What capture antibodies were used in the study?,"4D5, 2B5, 1F1, 2B8, 4F9, and 4E11"
What was the spotting concentration range for the capture antibodies?,from 0.2 to 0.0125 mg/ml
How was the proper spotting concentration determined?,combination of minimized cross reaction and higher signal intensity
How was cross reaction detection determined?,"by applying JEV, YF, and DV cultures"
How was the ELISA-array assay validated?,using cultured viruses and inoculated chicken eggs with patient sera
"In 2010, how many cases of tuberculosis were estimated in China?","108 per 100,000"
What is the population of Shandong province?,94 million
What was the purpose of this study?,estimate the TB prevalence in Shandong
What was the age range for the people surveyed?,15 years old or above
How was the survey designed?,in accordance with WHO recommendations
Was was the sample size?,52500
How were the clusters selected?,A stratified multi stage random sampling
How many people were in a community cluster?,1250 to 1750
Who was excluded from the study?,Military barracks and prisons
When was the study conducted?,March to June 2010
Who conducted the study?,"clinicians, public health doctors, radiologists, laboratory technicians and nurses"
What medium was used to collect the sputum samples?,Löwenstein-Jensen medium
What was the response rate for the study?,95% to 97%
What was the average age of a study participant?,46 years
What was the prevalence rate in Shandong in 2010 for sputum positive cases of tuberculosis?,22.1
What was the most striking finding of the study regarding tuberculosis patients?,a large proportion of TB patients did not present consistent cough
How many cases of sputum positive tuberculosis patients had no persistent cough?,45%
How many tuberculosis patients in Shandong were over 65 years old?,over half
What enzymes have been reported to be linked with severity of infection and various pathological conditions caused by microorganisms?,cysteine proteases
At what temperatures was the assay completed?,"32uC, 37uC, 42uC"
What criteria sets the guideline for drug-like properties?,Lipinski's ''Rule of five''
What could be novel candidates as potent inhibitors of papain like cysteine proteases in resistant microorganisms?,"1-substituted pyridylimidazo[1,5-a]pyridine derivatives"
What method is useful in administering small molecules for systemic delivery to the body?,Intranasal
Why is the nasal mucosa useful in the delivery of small molecules into the body?,the surface area can result in rapid absorption of the medication into the blood
What are the most common methods of inhaled delivery of medications?,Metered dose inhalers (MDIs) and dry powder inhalers (DPIs)
What medications have shown good promise to in vivo delivery via dry powder inhalers?,insulin [39] and low-molecular-weight heparin [40]
How are siRNAs typically delivered for systemic effect?,intratracheal or intranasal delivery
What structures form the human airway?,"respiratory bronchioles, alveolar ducts, and alveolar sacs"
What size of particle has been shown to be most effective in the delivery to the lower airway?,1-5 μm
What are the essential conditions in siRNA delivery to effectively produce gene silencing in the lungs?,"delivered to their site of action, be stable, enter the target cells, and be present in the cytoplasm at sufficient concentration"
How long is the SAIBK gene?,"27,534 nucleotides"
How many open reading frames are in the SAIBK gene?,10
What virus has the closest genetic identity with the SAIBK gene?,Chinese IBV strain SC021202
How many surgical masks or respirators have past studies projected will be required for a pandemic in the United States?,an estimated 7.3 billion
What is the acronym MERS-CoV?,Middle East respiratory syndrome coronavirus
What are the critical factors that determine the effect of an epidemic?,Transmissibility and severity
When did the World Health Organization (WHO) officially declare the 2019-nCoV epidemic as a Public Health Emergency of International Concern?,"January 30, 2020"
What influenza virus was identified in China in 2013?,H7N9
"What past research has been done on severe, single-wave pandemics?","After a new influenza virus (H7N9) was identified in China in 2013, a series of modeling articles described the effect of, and level of preparedness for, a severe, single-wave pandemic in the United States."
What is a clinical attack rate?,the proportion of individuals who become ill with or die from a disease in a population initially uninfected
What was the clinical attack rate in the 2009 H1N1 pandemic?,20%
What is the estimated R0 of COVID-19?,2.2
"How many ventilators have past studies projected will be required for a pandemic in the United States?
",35 000 to 60 000
What viruses have been responsible for most common childhood acute respiratory track infections (ARTI)?,"The most frequently reported viruses include respiratory syncytial virus (RSV), influenza viruses A and B (IAV, IBV), parainfluenza viruses (PIVs), human rhinovirus (HRV) and adenovirus (ADV), "
Are there any vaccines against to protect against respiratory viral infections?,"Currently, there are no approved vaccines or medications available for most of the respiratory viruses"
Which type of bacteria are implicated in carrying genes of drug resistance?,Gammaproteobacteria
What may be a likely cause of sink-to-sink spreading of pathogens in the hospital setting?,via a common sanitary pipe
What types of acute respiratory infections can be screened and diagnosed with multiplex PCR?,"influenza and parainfluenza viruses, RSV, adenovirus, rhinovirus, human metapneumovirus, enterovirus, bocavirus and coronavirus"
What is the role of antibodies during infection?,Antibodies against foreign antigens are a critical component of the overall immune response and can facilitate pathogen clearance during a primary infection and also protect against subsequent infections.
How can antibodies also create health problems?,"Dysregulation of the antibody response can lead to an autoimmune disease, malignancy, or enhanced infection. "
Which technology  invention produced antibodies that are clones of a unique parent cell?, in the 1970s with the development of hybridoma technology to produce monoclonal antibodies 
What mechanism is responsible for the creation of diversified repertoire for antibodies?,somatic rearrangement during B cell differentiation was responsible for antibody diversification 
What  developments have been made possible by the study of B-cell repertoire?,(1) vaccine candidates that elicit protective antibodies; (2) antibodies that prevent disease when given prophylactically; and (3) antibodies that can be given as therapy after the onset of disease.
What motivates the study of the rare B-cells that produce Broadly Neutralizing Antibodies (bnAb)?,discovery of broadly neutralizing antibodies (bnAbs) that protect against infection across diverse viral isolates has intensified efforts to understand the developmental pathway of the rare B cells that produce these antibodies
How has the study of B-cells helped the treatment for Respiratory syncytial virus (RSV)?,"For RSV, stabilized versions of the fusion (F) protein in the pre-fusion conformation have led to insights in the B cell's response to infection and has generated potentially safer and more efficacious vaccine candidates"
How are the studies on B-cells helping the development of a universal influenza vaccine?,"Influenza also performs fusion through the stem region of the hemagglutinin protein, and the identification of B cells that target this relatively conserved site has spurred research on the development of a universal influenza vaccine ("
What role B-cell  play in malaria infection and prevention?," Rare memory B cells producing antibodies specific for the EBV fusion machinery have been isolated; these can neutralize both B cell and epithelial cell infection (20). A new paradigm in malaria vaccine development is also emerging with the discovery of IgM+ and IgD+ memory B cells targeting the Merozoite Surface Protein 1, that rapidly respond to malaria re-infection"
How can the study of B-cells help in the prevention and treatment of autoimmune diseases?,The study of autoantigen-specific B cells and a detailed analysis of B cell subsets with pathogenic potential in humans could lead to a better understanding of how to prevent and treat autoimmune diseases.
When was the  Middle East Respiratory Syndrome Coronavirus isolated first?,"(MERS-CoV) was first isolated in 2012, in a 60-year-old man who died in Jeddah, KSA due to severe acute pneumonia and multiple organ failure"
What is the Case fatality rate for MERS Coronavirus?,Recent fatality rate (CFR) of 21%
How does gender influence MERS-COV infection?, MERS-CoV infects males more than females
Which is the source animal for the MERS-COV?,Dromedary camels are the major animal source of MERS-CoV transmission to humans.
What is the median time until death in MERS-COV?,median time until death is 11-13 days (range 5-27 days) among severely ill patients
What is the incubation period for MERS-COV?, incubation period of 16 days with a mean of 5-6 days [
What is the treatment for MERS-COV?,"ere is no specific treatment for MERS-CoV. Like most viral infections, the treatment options are supportive and symptomatic"
What age group had the most MERS-COV infections?,majority of confirmed cases of MERS-CoV were reported among people aged 40 and above
Why are cotton rats considered a strong animal model for biomedical research?,"its well defined immunological and genetic information, costeffectiveness, and abundant inbred strains and research reagents"
What is the structure of the CD40 Ligand?,"a sandwiched extracellular structure composed of a β-sheet, α-helix loop, and a β-sheet"
What is the effect of CD40L on Dendritic Cells?,"it promotes cytokine production, the induction of cell surface co-stimulatory molecules, and facilitates the cross-presentation of antigen by these cells"
What is the effect of CD40L on B Cells?,"it promotes germinal center formation, immunoglobulin (Ig) isotype switching, somatic hypermutation to enhance antigen affinity, and lastly, the formation of long-lived plasma cells and memory B cells"
What factor may influence viral replication and gene expression?,the average codon usage frequencies in the host genome
What accounts for the variation of codon usage among open reading frameworks?,mutational pressure and translational selection
What conditions are considered upper respiratory tracts infections?,"common cold, pharyngitis, otitis, sinusitis, laryngotracheitis, epiglottitis"
What conditions are considered lower respiratory tract infections?,"bronchitis, pneumonia and bronchiolitis"
What immune cells are primarily involved in eliminating virus-infected cells?,NK cells (CD3-/CD16+/CD56+)
What molecules have been shown to hinder T cell responses to viral infections?,Excessive reactive oxygen species (ROS)
The accumulation of what molecule hinders phagocytic activity in T cells?,reactive oxygen species (ROS)
When did the last Director General of the WHO resign?,"June 30, 2017"
Why might an organization like the WHO be necessary?,"to promote, set standards in, and evaluate progress toward better health for people in all countries"
Where should the next Director General for the WHO come from?,a lowincome or middle-income country
What traits should the new Director General of the WHO have?,open-minded and creative
What is the leading cause of death among children after the age of 1 month?,"Pneumonia remains the leading cause of death in children outside the neonatal period,"
How has the number  of  childhood pneumonia been reduced?,"New conjugate vaccines against Haemophilus influenzae type b and Streptococcus pneumoniae have contributed to decreases in radiologic, clinical and complicated pneumonia cases"
What percentage of childhood deaths are due to  pneumonia?," approximately 900,000 of the estimated 6.3 million child deaths in 2013 "
How has the childhood population grown in the last two  decades?,global childhood population from 605 million in 2000 to 664 million in 2015 
What is the reduction in the number of childhood pneumonia cases?,"Recent data suggest that there has been a 25% decrease in the incidence of pneumonia, from 0.29 episodes per child year in low-and middle-income countries in 2000, to 0.22 episodes per child year in 2010 [3] . This is substantiated by a 58% decrease in pneumonia-associated disability-adjusted life years between 1990 and 2013, from 186 million to 78 million "
How much  is the reduction in the childhood pneumonia deaths?,"Pneumonia deaths decreased from 1.8 million in 2000 to 900,000 in 2013"
Childhood pneumonia rate for  high income countries vs low and middle income countries.,"The incidence in high-income countries is estimated at 0.015 episodes per child year, compared to 0.22 episodes per child year in low-and middle-income countries [3] . On average, 1 in 66 children in high-income countries is affected by pneumonia per year, compared to 1 in 5 children in low-and middle-income countries."
What  percentage of childhood pneumonia deaths occur outside hospital in low and middle  income countries?,up to 81% of severe pneumonia deaths occur outside a hospital 
Case Fatality Rates for Childhood Pneumonia in high income vs low and middle income countries.,the case fatality rate is estimated to be almost 10-fold higher in low-and middle-income countries as compared to high-income countries
How can childhood pneumonia affect the subsequent health of a person?,Early life pneumonia can impair longterm lung health by decreasing lung function [6] . Severe or recurrent pneumonia can have a worse effect on lung function; increasing evidence suggests that chronic obstructive pulmonary disease might be related to early childhood pneumonia
What is the increase in the risk of respiratory disease after having childhood pneumonia.,The risk of developing at least one of the major sequelae was estimated as 6% after an ambulatory pneumonia event and 14% after an episode of hospitalized pneumonia.
Which is the best method to identify pneumonia in a person?,Chest radiologic changes have been considered the gold standard for defining a pneumonia event
What is end point consolidation with regard to pneumonia diagnosis?,"The term ""end-point consolidation"" was described as a dense or fluffy opacity that occupies a portion or whole of a lobe, or the entire lung. "
What is responsible for the reduction of radiologic pneumonia?,Widespread use of pneumococcal conjugate vaccination and Haemophilus influenzae type B conjugate vaccination has decreased the incidence of radiologic pneumonia.
What is the percentage reduction in pneumonia cases due to  vaccination?,"Haemophilus influenzae type B conjugate vaccination in high-burden communities, the vaccination was associated with an 18% decrease in radiologic pneumonia [13] . Introduction of pneumococcal conjugate vaccination was associated with a 26% decrease in radiologic pneumonia in California between 1995 and 1998 [14] . In vaccine efficacy trials in low-and middle-income countries, pneumococcal conjugate vaccination reduced radiologic pneumonia by 37% in the Gambia [15] , 25% in South Africa [16] and 26% in the Philippines "
What is the revised WHO definition of Bacterial Pneumonia?," A revised case definition of ""presumed bacterial pneumonia"" has been introduced, and this definition includes pneumonia cases with WHO-defined alveolar consolidation, as well as those with other abnormal chest radiograph infiltrates and a serum C-reactive protein of at least 40 mg/L "
What is the reduction in bacterial pneumonia under the revised WHO  definition of bacterial pneumonia?," Using the revised definition, the 10-valent pneumococcal conjugate vaccine (pneumococcal conjugate vaccination-10), had a vaccine efficacy of 22% in preventing presumed bacterial pneumonia in young children in South America [22] , and pneumococcal conjugate vaccination-13 had a vaccine efficacy of 39% in preventing presumed bacterial pneumonia in children older than 16 weeks who were not infected with human immunodeficiency virus (HIV) in South Africa [21]"
What caused the increase in the  incidence of empyema in children in the recent past?," An increased incidence of empyema in children was noted in some high-income countries following pneumococcal conjugate vaccination-7 introduction, and this was attributed to pneumococcal serotypes not included in pneumococcal conjugate vaccination-7, especially 3 and 19A"
How have the incidence Empyema been reduced?,These trends have been reversed since the introduction of pneumococcal conjugate vaccination-13. Data from the United States suggest that empyema decreased by 50% in children younger than 5 years 
What pneumonia related or chest conditions indicate the need for child radiography?,"chest radiography should not be routinely performed in children with ambulatory pneumonia [31] [32] [33] . Indications for chest radiography include hospitalization, severe hypoxemia or respiratory distress, failed initial antibiotic therapy, or suspicion for other diseases (tuberculosis, inhaled foreign body) or complications. "
What chest diseases and pneumonia were identified as leading causes prior to  the availability of vaccines?,"prior to availability of new conjugate vaccines confirmed S. pneumoniae and H. influenzae type B as the most important bacterial causes of pneumonia, with Staphylococcus aureus and Klebsiella pneumoniae associated with some severe cases. Respiratory syncytial virus was the leading viral cause, identified in 15-40% of pneumonia cases, followed by influenza A and B, parainfluenza, human metapneumovirus and adenovirus"
Why has pertussis immunity in infants has decreased in infants?,"Because pertussis immunity after acellular pertussis vaccination is less long-lasting than immunity after wild-type infection or whole-cell vaccination, many women of child-bearing age have waning pertussis antibody levels. "
What is the effect of childhood tuberculosis in childhood pneumonia?,"A recent systematic review of tuberculosis as a comorbidity of childhood pneumonia reported culture-confirmed disease in about 8% of cases [50] . Because intrathoracic tuberculosis disease is only culture-confirmed in a minority of cases, the true burden could be even higher; tuberculosis could therefore be an important contributor to childhood pneumonia incidence and mortality in high-prevalence areas"
What are the risk factors in childhood pneumonia?," incomplete or inadequate vaccination must be considered as a major preventable risk factor for childhood pneumonia. Other risk factors include low birth weight, which is associated with 3.2 times increased odds of severe pneumonia in low-and middle-income countries, and 1.8 times increased odds in high-income countries [51] . Similarly, lack of exclusive breastfeeding for the first 4 months of life increases odds of severe pneumonia by 2.7 times in low-and middle-income countries and 1.3 times in highincome countries. "
How does air pollution affect the incidence of childhood pneumonia?, Indoor air pollution from use of solid or biomass fuels increases odds of pneumonia by 1.6 times; lack of measles vaccination by the end of the first year of age increases odds of pneumonia by 1.8 times 
What is the strongest risk factor for childhood pneumonia?,"The single strongest risk factor for pneumonia is HIV infection, which is especially prevalent in children in sub-Saharan Africa. HIV-infected children have 6 times increased odds of developing severe pneumonia or of death compared to HIV-uninfected children"
What is the global coverage of influenza and pneumonia vaccines?," By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. However, inequities are still apparent among regions: in the Americas coverage is estimated at 90%, while in the Western Pacific it is only 25%. By 2015, pneumococcal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumococcal conjugate vaccination for infant populations"
Is influenza vaccination during pregnancy safe? How long does it protect the child?,"Influenza vaccination during pregnancy is safe, provides reasonable maternal protection against influenza, and also protects infants for a limited period from confirmed influenza infection (vaccine efficacy 63% in Bangladesh [63] and 50.4% in South Africa [64] ). However as antibody levels drop sharply after birth, infant protection does not persist much beyond 8 weeks"
What is emphyema?,a rare complication of pneumonia
What is the Hepatitis C virus?,"enveloped, positive-stranded RNA virus"
How many people have persistent hepatitis C virus?,170 million people worldwide
What is the long-term risk of chronic hepatitis C infection?,cirrhosis and hepatocellular carcinoma
What antiviral treatments are used for hepatitis C infection?,pegylated alpha-interferon and ribavirin
What is the main cause of death in the neonatal period of calves?,Calf septicemia
Where was hepcidin first discovered?,human urine
What is hepcidin?,"low molecular weight, antimicrobial peptide hormone"
What organ produces hepcidin?,liver
What stimulates the release of hepcidin?,inflammatory reactions and high Fe concentrations
What element does hepcidin play a roles in regulating during metabolism?,Fe
Is hepcidin toxic?,potentially toxic
Why is iron critical to bacteria?,"bacteria utilize Fe for survival, growth and proliferation"
How does hepcidin work in the duodenum?,control of excessive Fe absorption
How does hepcidin affect macrophages?,regulation of Fe release
What leads to oxidative stress in the body?,production of ROS
What parameter is used to measure antioxidant levels?,superoxide dismutase
What is Acute hemorrhagic encephalomyelitis?,a rare form of acute disseminated encephalomyelitis
What are the salient findings in Acute hemorrhagic encephalomyelitis?,fulminant encephalopathy with hemorrhagic necrosis
What is RANBP2?,nuclear pore protein
What is the suggested role of RANBP2 in the cell?,intracellular protein trafficking or energy maintenance and homeostasis of neuronal cells
What is the hallmark finding of acute necrotizing encephalopathy?,"multiple, symmetric brain lesions located in the thalami bilaterally, putamina, deep periventricular white matter, cerebellum, and brainstem"
What could trigger acute necrotizing encephalopathy?,viral infection in previously healthy children
When did she present with rapidly progressive right-hand weakness?,1 month later
Compounds from what framework have shown promising anticancer and antiviral properties?,quinazolin-4-one
The replication of what virus is strongly inhibited by 2-(4-hydroxybenzyl)quinazolin-4(3H)-one (1)?,tobacco mosaic virus
How many samples were obtained?,"11,399"
What percentage of patients were positive for at least one respiratory pathogen?,49.2%
What percentage of patients tested positive for HBoV1?,2.2%
When was HBoV1 first identified?,2005
What are the symptoms of HBoV1 infection?,"cough, rhinitis, fever"
What are the ages of the patients in this study?,≤14 years old
What was the male to female ratio for this study?,1.82:1
What are critical to regulate cellular biological processes?,long non-coding RNAs
How is the HeteSim measured used?,calculate the relatedness of objects with the same or different types
What kind of data is included in the STRING database?,weighted protein interactions
What is the function of MALAT1?,regulates cell cycle and survival
What test can detect reduced anticoccidial efficacy in the field?,faecal oocyst count reduction test (FOCRT)
What is toltrazuril used to treat?,anticoccidial
What is multiple evanescent white dot syndrome?,"a rare, sudden onset of unilateral chorioretinopathy"
What precedes about half of the reported cases of MEWDS?,flu-like illness
What types of viruses can be diagnosed through serological testing?,"herpes simplex virus (HSV) I-II, varicella zoster virus (VZV), West Nile virus, coxsackievirus, echovirus (subgroup of enterovirus), and corona virus"
What type of clinical test can differentiate multiple evanescent white dot syndrome (MEWDS) from optic neuritis?,multimodal imaging
"What were the most common viruses sampled from nasal swabs in Ilorin, Nigeria","Parainfluenza virus 4, respiratory syncytial virus B and enterovirus"
What was the most common virus detected in community members in this sample?,Coronavirus OC43
How bad is the burden of disease in developing countries?,2-5 times higher than in developed countries
Where do the majority of all infectious disease outbreaks happen?,Africa
What are some risk factors for countries to experience a high prevalence of Acute Respiratory Infections?,"age, sex, overcrowding, nutritional status, socio-economic status, and where study of ARIs is currently limited"
What symptoms are associated with acute respiratory infections?,"sore throat, fever, couch, running nose, vomiting, body ache, leg pain, nausea, chills, shortness of breath "
"What was the most common virus detected in community samples in Ilorin, Nigeria?",Coronavirus OC43
"What was the prevalence of Coronavirus OC43 in community samples in Ilorin, Nigeria?",13.3% (95% CI 6.9-23.6%)
"What was the prevalence of Coronavirus OC 229 E/NL63 in clinical subjects in Ilorin, Nigeria?",12.5%
What was the difference between community and clinic cases of acute respiratory infections?,increased severity of illness in the clinical sample
How can countries enhance public health surveillance?,active community surveillance
Why do respiratory tract infections pose major public health problems?,"world-wide occurrence, ease of transmission and considerable morbidity and mortality effecting people of all ages"
How much of a greater risk are children than adults to viral infections?,two to three times more frequently
What is the most common infection in childhood?,acute RTI
What can respiratory viruses cause?,"common colds, pharyngitis, croup, bronchiolitis, viral pneumonia and otitis media"
When do respiratory infections usually happen?,during winter and early spring months
What are the most common viruses?,"respiratory syncytial virus (RSV), influenza A and B (INF-A, INF-B) viruses, parainfluenza viruses (PIVs), and human adenoviruses (HAdVs)"
What is the most common viral infection for infants up to 3 months old?,RSV
What is the incidence of RSV in children older than 3 years of age?,13%
What is the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants?,544 base pairs
What is the difference between the Tokachi09 and Irish coronavirus genomic sequences?,148-nucleotide insertion
What suggests that Irish equine coronaviruses may have a low genetic diversity?,high level of homology between viruses
Where have most outbreaks of equine coronavirus occurred in the United States?,"adult riding, racing and show horses"
What kind of pertussis vaccine is used in middle and high income countries?,acellular
Where is the highest rate of childhood pertussis globally?,Southeast Asia
What type of pertussis vaccine has been recently recommended by the WHO?,whole cell pertussis vaccines
What are the clinical symptoms of pertussis?,"apnea, cyanosis, cough with vomit, or whoop/whooping cough"
What type of swabs are used to sample patients with pertussis?,mid-nasal nylon flocked
How frequently do pertussis outbreaks peak?,every 2 to 4 years
What is the WHO criteria for a pertussis infection?,"a minimum of 2 weeks of cough, whoop, or posttussive vomiting"
What is used by the Canadian Public Health System to identify periods of influenza activity?,weekly proportion of laboratory tests that are positive for influenza
Why is laboratory confirmation of influenza infection not commonly performed?,"diagnosis will often not alter patient management, a paucity of real-time, accurate, inexpensive testing methods [4] and because influenza is not recognized as the etiology of the clinical presentation"
What types of viral infections are monitored through Canada's Respiratory Virus Detection Surveillance System (RVDSS)?,"nfluenza, respiratory syncytial virus (RSV), para-influenza virus (PIV), and adenovirus"
What is discussed in this publication?,"the potential anti-virus activity of inositol-requiring enzyme 1 (IRE1), a well characterized effector of the cellular homeostatic response to an overloading of the endoplasmic reticulum (ER) protein-folding capacity. IRE1, an ER-membrane-resident ribonuclease (RNase), upon activation catalyses regulated cleavage of select protein-coding and non-coding host RNAs, using an RNase domain which is homologous to that of the known anti-viral effector RNaseL. "
What is discussed in this publication?,The review first discusses the anti-viral mechanism of the OAS/RNaseL system and evasion tactics employed by different viruses. This is followed by a review of the RIDD pathway and its potential effect on the stability of viral RNAs. 
What is reported in this publication?,comparison of the enzymatic activity of the two RNases followed by deliberations on the physiological consequences of their activation.
What is the conclusion regarding IRE1 and RNaseL proteins?,"In the context of a virus infection, the pathway leading from both these proteins have the potential to lead to cell death. Notwithstanding the fact that this might be an efficient way of virus clearance, it also portends pathological outcomes for the infected organism. Future research would probably lead to design of drugs targeting these proteins based on the structural homology of their effector domains, regulating the pathological denouement of their activation without compromising their anti-viral or potential anti-viral functions."
What is the structure of an Echovirus?,"nonenveloped, single-stranded, positive-sense RNA"
What diseases are associated with echoviruses?,"respiratory illness, hand-foot-and-mouth disease, and aseptic meningitis,"
"In California, to where are meningitis cases reported according to the California Code of Regulations?",California Department of Public Health (CDPH)
"According to the California Code of Regulations, when should a meningitis case be reported?",within 1 day of identification
Where is the Viral and Rickettsial Disease Laboratory located?,CDPH
What type of reference genome was used in the study?,E-30
What was the read coverage for the E-30 genome in this study?,260-fold
What are the structural regions of the enterovirus polyprotein in this study?,one structural (P1-capsid) and two nonstructural (P2 and P3) regions
What can nuclear receptors regulate?,"homeostasis, differentiation, embryonic development, and organ physiology"
"What are associated with cancer, diabetes, inflammatory disease, and osteoporosis?",Nuclear receptors (NRs)
What are nuclear receptors (NRs)?,class of ligand-inducible transcription factors
What biological factors for nuclear receptors regulate?,"homeostasis, differentiation, embryonic development, and organ physiology"
How many families are in the NR superfamily?,seven
What is a prerequisite to make a molecular docking study feasible?,a reliable 3D (three dimensional) structure of the target protein
What tool can be used to determine the 3D structure of proteins?,X-ray crystallography
What are the shortcomings of X-ray crystallography?,time-consuming and expensive
What types of proteins are difficult to crystallize?,membrane proteins
Where were the data collected for this study?,KEGG (Kyoto Encyclopedia of Genes and Genomes)
Who performed the sampling procedures?,veterinarians
When were the fecal samples collected?,from November 2004 to November 2014
What reference genome was used in the study?,BatCoV HKU10
What is the length of the replicase gene ORF1ab?,20.4 kb
What type of coronavirus was detected in R. affinis and R. sinicus species?,BtCoV/Rh/YN2012
What is a natural reservoir of coronavirus?,Bats
What is the genome size of the coronavirus?,26-32 kb
What is the structure of the coronavirus?,"enveloped, non-segmented, positive-strand RNA viruses"
What animals do gamma and delta coronavirus mainly infect?,birds
How many types of coronaviruses are known to cause human disease?,Six
What plays a role in regulating the immune response to a viral infection?,NF-κB
