iron,coal,grain,ord,deli,scrap, bunker ,cur,int,bci,capesize
48879,21083.3,41260.8,68731990,1171269,0,340.9,118.8,8.3,8363,69
44025,25528.1,35243.9,72442746,587330,0,340,120.9,8.3,9192,76
41619,21794.8,29379.5,82442344,555338,0,348.8,122.6,8.3,7616,76
48580,24933.6,45582.3,89045850,1390672,0,384,121.7,8.3,8439,80
45796,25122.2,42334.1,92988863,360410,0,372.3,116.8,8.3,9736,90
47849,23942.4,42599,99404025,562035,0,389.9,115.2,8,11856,90
47324,24447.8,38664.8,106020953,357403,0,435.9,116,7.8,14855,102
51080,24089.8,41054.4,112801152,1150620,0,498.6,111.4,7.6,15171,107
49825,25412.3,43545,118624772,1093019,0,477.4,112.6,7.3,14634,105
54087,26625.7,37495.9,127329674,712779,0,469.4,108.2,7.1,9669,103
52697,23318.9,36141.1,131589212,358170,0,466,106.9,6,9780,104
51265,23822.6,42370,135599275,735018,0,498,102.3,5.8,11252,110
57800,25557.5,50743.4,140324189,358053,0,523.5,102.4,5.3,12066,110
54296,25224.2,43765,146049271,562285,0,583.2,104.4,5,16808,113
54213,26188.6,38630.3,150195093,1261930,0,630,107.3,5,15815,113
56037,28153.9,46104.7,151739551,477642,0,720.3,106.7,5,13221,116
52689,25876.1,40998.6,162465849,704726,0,687.3,109,5,11665,116
55031,24953.8,37037.4,164837861,475339,0,604.4,106.5,5,6741,105
48800,25536.4,45995.6,167444923,927763,393981,416.6,100.4,4.5,2490,57
47454,24437,36608.9,166930584,1018421,1130706,232.9,96.2,4,1028,37
49712,25725.8,37944.2,164632163,1209519,633136,236,91.3,3.8,1172,31
45376,25527.7,30431.9,163242644,533312,420669,256.1,90,3.3,1776,30
57428,22263.7,22767.8,163266232,812511,391200,261.8,93.4,3.3,3179,38
60420,23381.5,38576.5,163939388,1055226,138350,248.8,97.1,3.3,2442,38
66785,23263.2,44431.2,162885244,1124953,267889,290.3,99.2,3.3,2206,37
63743,23511.4,40304,161040291,885369,225162,342.3,96.9,3.3,3725,45
65227,30322,37575.3,159813922,1936471,0,402.4,96.7,3.3,7226,45
70233,33445,58266.9,157654026,3298291,0,407.9,94.6,3.3,5628,47
63364,31942.5,59026.4,157341774,1540114,0,443.9,94.7,3.3,4400,47
78863,33092.3,54243.2,155668787,2919329,0,433.6,91.7,3.3,3232,46
61385,32053.5,63903.6,152749458,2285990,0,440.6,90.3,3.3,4163,44
66597,33890.4,53115.4,152041900,2133205,0,471.9,89.1,3.3,6618,44
76509,37400.4,61634.9,152413306,2460361,0,463,89.6,3.3,5296,44
62130,37674.7,69941.4,150508580,3042677,134806,484.2,91.7,3.3,4041,45
62800,34831.2,53100.3,150351420,2567085,0,460.4,90.3,3.3,3367,45
76094,37320.9,66398.9,148938203,4211115,299833,462.3,90.7,3.3,3591,45
71551,35328,56247,147772869,2563920,0,481.3,93.4,3.3,3286,45
67092,33361.2,54676.5,146883712,2631893,276167,456.4,91.5,3.3,4626,45
63480,32961.4,57734.4,148599467,3439148,148629,440,91,3.3,3793,45
66921,39289.8,55443.5,149338952,4586723,738731,438.8,87.5,3.3,1969,42
61154,36193.3,59382.9,142274981,2137919,442353,447.5,85.7,3.3,2987,42
66629,37077.2,48955.7,138943635,3509564,0,440.3,84.5,3.3,3609,42
61994,35508.5,46907.5,136584932,3652691,277278,466.2,82,3.3,4163,42
74877,37470.7,68415.2,132211518,2668213,127907,488.5,82.6,3.3,3656,41
75000,40032.5,63133.5,131731701,3399737,279669,503.9,83.5,3.3,2711,38
85092,41427.6,59516.4,130342509,6593459,811662,541,83,3.3,1653,38
63223,30448,58853.3,125900190,2071956,1029603,617.6,82.5,3.3,1375,38
76432,34088.8,61367,124703056,3886398,1377620,640.1,81.1,3.3,1682,37
69042,29918.5,56734,121024567,3025986,729883,666.9,83.3,3.3,1608,37
67445,33782.9,69266.3,117247330,4105237,1892396,639.5,81.3,3.3,1602,35
66821,34595.8,67339.6,113318553,3543544,2211722,656.1,80.6,3.3,1876,35
71730,39672.2,68755.4,112242680,3436341,460462,665.9,79.5,3.3,1941,33
77271,42005.9,64624.7,109423627,2845409,480371,651.8,77.4,3.3,2054,28
77588,43340.6,69346.8,107612867,5760627,732457,659.7,76.8,3.3,3128,29
65268,38282.1,70791.5,101501740,3269447,307936,667.3,76.6,3.3,3391,29
81130,47788.8,74208.3,98411153,4151178,301487,686.3,77.4,3.3,3065,30
79301,45756.3,76058.1,95053932,2853003,173028,671.2,77.7,3.3,3516,27
76285,43625.2,63692.5,91954308,5318968,319007,732,77.1,3.3,1846,28
80249,40317,61834.6,87300400,3371614,850985,732.8,78.1,3.3,1468,28
78708,41467.9,72959.1,84503123,4383856,998801,733.3,82.1,3.3,1450,24
73445,40355,69813,77862439,4751047,1468186,721.8,81.4,3.3,1519,24
82742,46418.4,72689.7,72957684,4240671,1713958,672.3,79.8,3.3,1536,24
75147,43911.5,65613.4,66197013,6374450,967700,592.6,79.4,3.3,1187,22
72902,46477.1,65095.3,60669877,3253388,989429,614.4,79,3.3,1316,22
80129,44045.3,66282.3,57444635,1551087,470665,657.7,78.6,3.3,1154,21
79805,41507.8,68114.1,56940177,3700295,1751432,663,78.1,3.3,1342,21
74395,41888.4,77645.3,52429260,2168182,993933,637.6,79.1,3.3,2104,21
83043,48762.3,83218.6,49180897,1734411,931712,605,81.2,3.3,2280,21
85729,52503.3,81752.2,47086486,1249388,123503,606.4,84,3.3,1584,21
82156,50760.8,77439.2,47164897,3625309,1257226,634.1,88.6,3.3,1441,21
71948,42986.4,74635.6,45826505,1293137,1168007,655.3,92.6,3.3,1398,22
79610,46376.7,82609.8,45434951,3499772,797493,636.9,94.5,3.3,1275,22
83660,48256.2,80664.7,45909401,2175958,764687,617.4,98.4,3.3,1237,22
85827,46670,83574.9,46314383,1408832,749081,604.1,100.3,3.3,1347,23
76999,43467.6,72963.2,49116094,1717846,263124,600.8,97.3,3.3,1637,22
90799,51281.8,78059.9,49084453,1806694,430086,595.5,99.8,3.3,1986,22
85296,50741.1,70639.7,52399668,1000525,535317,601.2,98,3.3,2069,22
91531,44315.3,67672,53797399,1549243,335971,605.4,99.4,3.3,3467,27
85672,44111.1,73211.6,53697497,1511193,186876,618.4,97.6,3.3,3294,29
95808,48662.5,81850,57770990,1976084,998158,610.6,100.1,3.3,2494,30
90262,55796.8,80378.7,60883309,498416,448393,611.6,103.5,3.3,3843,31
104489,58262.2,69331.8,68155254,2860284,470729,612.6,104.1,3.3,2171,33
77256,44128,71265.7,72348059,1564617,811965,617.9,102.1,3.3,1674,34
91223,47395.5,81120.1,73418823,2106296,0,606.1,102.4,3.3,2766,36
102283,46176.3,75725.4,73680057,1178811,755563,589.8,102.5,3.3,1550,38
94914,42911.6,77208.1,74082063,980449,792865,594.6,101.7,3.3,1490,37
90830,46358.8,73684.1,74650735,1734867,0,601.6,101.9,3.3,1768,34
100497,46535.8,72815.3,75469975,2006686,0,595.8,101.7,3.3,1451,34
92790,42276.1,68348.8,75991242,564764,649502,594.2,102.9,3.3,1854,34
101217,42453.5,73932.7,76625141,2161593,158537,574.8,107.3,3.3,2306,35
97964,43295,70754.1,76012912,1862341,0,497.1,107.9,3.3,2085,32
84525,40367.3,75654.2,74332771,866922,591395,465.8,116.5,3.3,3149,30
105061,49521.1,77551.3,73465649,650128,0,366,119.7,3.3,971,28
96403,41534.9,71514,72681483,3564940,1444102,289.5,118.5,3.3,627,26
84640,38169.5,66379.7,69172935,1072503,1931406,354.1,118.7,3.3,612,21
97746,40215.6,78315.5,65400432,1092968,1765361,332.6,120.4,3.3,439,22
97759,42816.6,72575.5,61618094,1433258,3657132,330,119.7,3.3,508,22
86348,33381.6,65880.8,59685001,831514,1637043,375.7,120.8,3.3,782,18
90934,39717.7,63516.9,56899590,1147853,812355,361.5,123.7,3.3,1043,18
103729,46280.5,66430.5,57650300,2090797,149391,308.5,123.3,3.3,1632,20
90437,41031.8,64958.7,55619389,1331725,861985,249.8,123.4,3.3,1890,20
102737,40585.1,64962.4,54287664,1517668,628199,239.4,120.3,3.3,1547,20
93974,37284.5,69003.1,54207071,1052174,1096866,239.7,119.9,3.3,1516,20
98654,38650.8,65410.3,53057325,933374,474074,227.8,122.5,3.3,883,15
114291,40674.3,70348.3,53433098,849251,980318,190.6,122.1,3.3,718,14
98527,40063.8,66119.4,53217492,3300770,2279527,164,118.6,3.5,278,13
89940,35181.5,62283.8,49916722,2606254,2741952,159.6,113.6,3.5,203,12
103020,42667.5,69163.1,47310468,1952742,2434135,178,112.7,3.5,187,12
100255,38044.3,62162.8,50940460,1140540,1345630,195.1,110.1,3.5,846,14
102753,39276.3,62725.9,51396609,1478847,1985178,224,108.8,3.5,860,14
97982,40938.9,65967,49917762,1802927,680476,240.1,106.2,3.5,938,14
104978,43317.1,63126.2,48114835,1107923,164218,245.5,104,3.5,952,14
105425,46769,70340.1,46798912,1139082,171039,238.8,100.8,3.5,857,14
111807,47675.6,69798.6,45659830,2869214,172561,257.9,101.9,3.5,1733,14
96958,43288.6,69551,42790616,1146827,695896,282.1,104.1,3.5,1827,14
108503,47833.5,71266.2,41786672,598084,151053,278.8,108,3.5,2158,15
106341,50086.5,72400.7,41605489,827556,513762,329.3,116.5,3.6,1518,15
108331,49390,70263.4,39955933,3245208,1763888,340.5,114.9,3.8,1473,16
97392,39883.9,60906.2,36710725,1881320,505680,328.4,112.8,3.8,859,16
112932,45462.9,75001.1,34931252,2395710,473685,306.9,113.1,3.8,2060,20
99453,44603.1,71221.5,32208542,955689,422349,315,110.3,4,2081,24
107547,42862.6,68342.4,31612853,1263842,326880,310.4,112.4,4,1616,24
111657,45857.8,64208,32313884,1617673,256147,297.2,111.2,4.1,1239,24
102680,44617.5,69680,31885560,694218,151525,307.3,112.5,4.3,1000,20
104956,48571.1,66028.7,32567659,569003,172846,313.3,109.7,4.3,2080,21
120277,51763.4,75618.4,32415280,1399075,973463,335.9,110.6,4.3,2727,22
95876,44149.8,76068.1,35258268,391095,161010,343,112.9,4.3,3006,21
111268,44696.4,73116.3,38816182,279740,884632,373.4,113,4.3,3304,20
102046,48550.9,73757.4,40154032,622375,284480,373.5,112.7,4.3,3847,21
117181,53301.7,74822.8,45471731,2169878,570021,392.1,111,4.5,2074,24
99747,44287.2,68498.5,50068884,832008,170475,375,108,4.5,1643,24
101132,49961,80416.3,51034498,1040296,362486,367.2,106.3,4.5,1309,24
98454.8,45666.2,73284.7,51456138,607874,0,398.8,107.9,4.8,1426,24
111968,43248.2,74472.5,51213695,1404936,324523,441.8,109.6,4.8,2076,25
100676,45672,74114.9,51956497,1214705,0,448.1,109.9,4.8,2045,26
104993,52127.1,80819.4,51142009,1524317,233016,462.8,111.7,5,3093,26
107333.7,54549,71881.1,50608480,1268300,185777,459.7,111.1,5,3372,26
108467.6,46731.9,75876.9,51093914,1379849,171191,471.5,112.1,5.1,2088,25
105105.1,44413.7,83215.6,50522307,398453,299907,504.8,112.8,5.3,2234,25
104152.6,45794.3,77155.3,51123296,1832555,266629,478.6,113.2,5.3,1627,24
102215.6,41078.5,78500.8,52184135,586586,552902,385.6,112.4,5.3,2106,24
106630.7,51498.9,84194.9,52015356,1193734,453282,385.1,108.5,5.3,1830,26
97845.3,40292.1,72766.8,52704224,1337786,422102,423.1,110,5.3,710,25
100828.8,42255.6,83182.8,51398420,1041203,1213892,431.5,111.1,5.3,300,25
96417,45690.2,79525.3,49757217,1113950,1346520,436.3,111.6,5.3,474,25
101705.5,46435.8,83791,52913486,1826842,0,415.1,110.2,5.5,1442,25
90595.1,46288.7,70710.7,52551533,1637085,0,390.5,108,5.5,2006,24
108358.3,58178.7,82046.8,50914448,1050197,397125,460.9,108.2,5.5,3609,24
111718.3,55847.6,78110.8,51216062,1636920,238818,393.1,106.4,5.3,3673,24
114708.6,51195.6,80133.5,51714950,1279629,0,459.6,107.7,5.2,4356,23
110224.4,49491.9,87450.8,52201908,3224497,469191,360.8,108,5,3093,23
105878.8,44734.2,49635.6,49159759,2131438,409913,341.6,108.8,4.8,2691,22
118775.1,46639.7,49044.1,47634599,1567349,960243,340.1,109.3,4.8,2672,22
104876.3,48822.8,48352.5,47689250,3830232,959254,366.2,109.2,4.8,714,21
101686.2,44326.3,45290.1,44851018,832592,1481433,315,110.5,4.8,0,21
99423.6,50918.6,48646.7,44018426,2117789,507034,215.6,107.7,3.8,0,21
112601.8,54334.3,41379.5,41900637,2750060,268132,185.4,108.1,3.3,726,21
98610.5,40724.8,38685.2,41012577,1139248,1249890,184.5,107,3.3,247,20
112810.4,43971.1,41235.1,39973329,3332584,1669167,243,107.6,3.3,2267,21
124714.2,46863.5,42174.6,36640745,1452671,530249,271.2,106.5,3.3,3024,20
114027.8,38226.3,38439.5,35188074,1793973,0,287.4,106.2,3.3,2335,20
122291.5,36995,39364.1,33394101,2510713,1419972,270.6,105.6,3.3,2179,20
121780.2,32552.2,41341.2,30883388,942643,1133332,274.1,105.2,3.3,2850,20
114279.2,31487.5,46262.5,30564745,2119179,0,303.1,104.1,3.3,1588,20
113092.3,59369.3,50543.1,30281566,2175512,2191420,316.4,103.6,3.3,1587,20
105909.8,40483.7,46005.7,29016054,3036558,1187396,340.3,103.8,3.3,2614,21
104099.1,41968.9,42377.3,26399496,1643141,805824,379.8,105.6,3.3,1535,22
118717.8,47720.1,45119.3,26793555,1722769,266307,400.6,108.7,3.3,2048,27
