sender,datetime,message
wxid_hz0g6i0fg9h511 ,2022/4/11 16:57,  量少 1分钟秒光了[捂脸]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/11 16:58,  老人家动作慢了[捂脸]
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 17:02,  @404 雁雁?你好！付款里没写门牌有事吗？只管抢又忘了[捂脸]群团里有备注称伲门号的
203(wxid_5glc0nycq89h11) ,2022/4/11 17:02,  @夕军?提前到那个小程序里，改掉自己的常用地址，不然每次团购都是错误地址。
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 17:03,  哦，那现在可进去改吗？
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 17:04,  我去找找看吧
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 17:15,  不知道怎么弄了[捂脸]等@203?你空了再指教我好吗？[抱拳][抱拳][抱拳]
203(wxid_5glc0nycq89h11) ,2022/4/11 17:18,  好的 晚一点噢
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 17:24,  0k！谢谢??
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/11 17:40,  @203?怎么退回了
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 19:41,images\[00156]2022-04-11 19-41-36
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 19:41,images\[00157]2022-04-11 19-41-36
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 19:42,  @203?团长对了吗？请指点[抱拳]
203(wxid_5glc0nycq89h11) ,2022/4/11 19:43,  现在对啦～
203(wxid_5glc0nycq89h11) ,2022/4/11 19:43,  
203(wxid_5glc0nycq89h11) ,2022/4/11 19:43,  棒～
203(wxid_5glc0nycq89h11) ,2022/4/11 19:43,  @喧暮笙央?晚上重新团
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 19:43,  哦，谢谢啦[抱拳]
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:34,  @203?你好！一打开就要写地址，然后我已保存了呀，又没抢到[捂脸]
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:39,  不知问题在哪里了
203(wxid_5glc0nycq89h11) ,2022/4/11 21:41,  没抢到是因为别人抢太快啦
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:44,  不是的，可能还是地址不对，里面要我收货地址，我把老地址到删除了或[捂脸]
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:48,  @203?明天还是麻烦你请帮我看看好吗？否则我什么东西都买不了，不好付了[抱拳]
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:48,  弄得不好付款了[捂脸]
203(wxid_5glc0nycq89h11) ,2022/4/11 21:48,  可以的，你把原来错误地址删掉
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:50,  原来无锡这个地址已经删除了
203(wxid_5glc0nycq89h11) ,2022/4/11 21:50,  嗯嗯
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:51,  明天上午给你看好吗[抱拳]
夕军(wxid_18xodpzfqk9n22) ,2022/4/11 21:53,  不会太早的[微笑]
203(wxid_5glc0nycq89h11) ,2022/4/12 4:25,  有没有没睡的，醒了的，现在【每日优鲜】app有货
203(wxid_5glc0nycq89h11) ,2022/4/12 4:25,images\[00158]2022-04-12 04-25-51
203(wxid_5glc0nycq89h11) ,2022/4/12 4:26,  可以买水果和虾
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 4:31,  买了谢谢
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 4:31,  妹妹你真好[呲牙]
203(wxid_5glc0nycq89h11) ,2022/4/12 4:36,  不要客气[呲牙]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:05,  什么时候开始团购
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:06,  我抢2份
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:07,  抢好了？
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:07,  是每曰优鲜
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:07,  我没有的
203(wxid_5glc0nycq89h11) ,2022/4/12 5:11,images\[00159]2022-04-12 05-11-57
203(wxid_5glc0nycq89h11) ,2022/4/12 5:12,  @毛头?现在水果只剩下这两个
203(wxid_5glc0nycq89h11) ,2022/4/12 5:12,  其他蔬菜水果都没有了
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:12,  我帮她抢了，谢谢哦
203(wxid_5glc0nycq89h11) ,2022/4/12 5:13,  噢噢好的
203(wxid_5glc0nycq89h11) ,2022/4/12 5:13,  本来想问问要不要帮大妈妈抢一份的
203(wxid_5glc0nycq89h11) ,2022/4/12 5:13,  买好了就行
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:13,  小朋友: 楼上阿姨帮我群到了[偷笑]谢谢你了[握手][握手][握手]
203(wxid_5glc0nycq89h11) ,2022/4/12 5:14,  我们最近也在帮大家找优惠的水果团购[呲牙]会尽快安排上的
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:14,  万分感谢[握手][握手][握手]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:14,  哦哦
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:15,"  小朋友你赶快睡觉[睡] 吧
  真的很辛苦的[合十]"
203(wxid_5glc0nycq89h11) ,2022/4/12 5:15,  我还可以帮买5份这个橘子，明天20:30-22:30可以送到，就是不知道大家要不要。
203(wxid_5glc0nycq89h11) ,2022/4/12 5:15,  再不买也要没有了
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:16,  有你们这样的邻居真好，谢谢哦
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:16,  那跟我买二份
203(wxid_5glc0nycq89h11) ,2022/4/12 5:16,  只买2份要运费的，要不然我先买5份，明天大妈妈帮我处理掉可以伐？
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:17,  好的
203(wxid_5glc0nycq89h11) ,2022/4/12 5:17,  看看有没有不会用手机的老人家家里没水果了
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:17,  那你5伐都拿下[握手]
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:17,  肯定有人要都买下
203(wxid_5glc0nycq89h11) ,2022/4/12 5:18,  买好了，价格是11.9元/份（400g）
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:18,  小朋友一共多少钱，我转账给你。
203(wxid_5glc0nycq89h11) ,2022/4/12 5:18,images\[00160]2022-04-12 05-18-31
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:18,  好的
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:19,"  马上转账给你
  谢谢啦[握手]
 真的不好意思[捂脸]"
203(wxid_5glc0nycq89h11) ,2022/4/12 5:20,  明天转给我妈就行[呲牙]
203(wxid_5glc0nycq89h11) ,2022/4/12 5:20,  不着急 等你先找到下家
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:20,  知道了
203(wxid_5glc0nycq89h11) ,2022/4/12 5:20,  哈哈哈
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:20,  不用找下家的[偷笑]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:21,"  你快点睡觉吧
  天都亮了"
203(wxid_5glc0nycq89h11) ,2022/4/12 5:22,  我睡了一觉半夜醒了的～我等到6点看看能不能抢到叮咚
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:23,  能抢多抢点，我都要。
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:24,  一定要你方便的情况下[捂脸]
嘟嘟(wxid_zjsdshi1xzkg22) ,2022/4/12 5:24,  什么地方枪
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:24,  叮咚
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:25,  每曰优鲜已抢完了
沈玉华502(wxid_4l2vbwjld1m212) ,2022/4/12 5:26,  6点到叮咚抢
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 5:26,"  我平时从来不用每日优鲜、叮咚、盒马什么的，都是到菜场或者超市买东西。
  现在要下载这些地方买东西了。"
雯雯(wxid_95t9kf4tv1h522) ,2022/4/12 6:33,  搂组长，如果水果有多给一份好吗
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:34,  好的
雯雯(wxid_95t9kf4tv1h522) ,2022/4/12 6:34,  谢谢啦[拥抱][拥抱][拥抱]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:35,"  不用谢的
  是203室的小朋友半夜抢到的[强]"
雯雯(wxid_95t9kf4tv1h522) ,2022/4/12 6:36,  同时也谢谢203朋友[强][强][强]
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:40,  楼组长＇我也想要::，不知有多的么
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:40,  好的
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:41,  谢谢
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:41,  先抢下来的目的，也是想万一有人要。
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:41,  同时也谢谢203朋友[强][强][强]
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:42,  非常时期肯定有人要，网上买不太会[抱拳][抱拳][抱拳]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:43,  嗯嗯
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:44,"  橘子现在已经分完了。
  不好意思了[合十]"
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:46,  没事的
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 6:46,  你有的
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:47,  哦[抱拳]大好了
政通路305弄1号楼组群 ,2022/4/12 6:47,"  ""友谊"" 撤回了一条消息"
友谊(wxid_46lwnapv592c22) ,2022/4/12 6:47,  太
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 8:05,  哈哈起来晚了没有分享到好邻居的特恵哦[憨笑]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 10:12,images\[00161]2022-04-12 10-12-57
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 10:16,  收到[抱拳]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 10:17,[点击播放语音]
政通路305弄1号楼组群 ,2022/4/12 10:48,"  ""夕军"" 撤回了一条消息"
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 10:50,  这个楼群，大家都可以加入的。
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 10:52,  @203?你好！儿子讲好的，怎么才能进刚需群？请指点！谢谢??
203(wxid_5glc0nycq89h11) ,2022/4/12 10:59,  大妈妈，你拉你儿子进群就好了～
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:01,  进这个群对吗？
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:03,  邀请了，要等对方同意的
政通路305弄1号楼组群(21444913089@chatroom) ,2022/4/12 11:08,"  """
政通路305弄1号楼组群 ,2022/4/12 11:08,"  ""许益(Ben)""与群里其他人都不是微信朋友关系，请注意隐私安全"
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:09,  @203?团长进来了[微笑]
203(wxid_5glc0nycq89h11) ,2022/4/12 11:14,  不是这个群大妈妈
203(wxid_5glc0nycq89h11) ,2022/4/12 11:14,  进那个团购群
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:15,  哦，我直接拉能进啊，我试试
英姿(wxid_azz5pbps4v3b22) ,2022/4/12 11:16,  @203?应该叫阿婆吧[呲牙]
203(wxid_5glc0nycq89h11) ,2022/4/12 11:18,  [转发的网页]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:18,  可以随便，没关系的[憨笑]我拉他了，在等待同意呢
英姿(wxid_azz5pbps4v3b22) ,2022/4/12 11:19,  不过你看着像大妈妈，不想外婆[呲牙]
英姿(wxid_azz5pbps4v3b22) ,2022/4/12 11:19,  不像
203(wxid_5glc0nycq89h11) ,2022/4/12 11:20,images\[00162]2022-04-12 11-20-23
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 11:22,images\[00163]2022-04-12 11-22-29
政通路305弄1号楼组群 ,2022/4/12 11:22,"  ""毛头"" 撤回了一条消息"
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:22,  哈哈我的大孙女都十三岁了，已经完全进入了奶奶队伍啦[憨笑]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 11:23,[点击播放语音]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:23,  我已发儿子了，二维码
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 11:23,[点击播放语音]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:25,  好的，谢谢??已经进的就不用进了吧
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 11:26,[点击播放语音]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 11:30,  @203?@毛头?谢谢??
英姿(wxid_azz5pbps4v3b22) ,2022/4/12 11:33,  之前已经在群里的就不要重复进了 团购小程序会在四个群同时发的
友谊(wxid_46lwnapv592c22) ,2022/4/12 12:07,[点击播放语音]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 12:08,  好的
Zedd在的(wxid_wg41ckltfjwv41) ,2022/4/12 12:32,images\[00164]2022-04-12 12-32-53
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 12:33,  @毛头?今天要做抗原吗？
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 12:36,  没有接到通知
雁雁_Kim(kimyan330) ,2022/4/12 12:37,  我们以为今天搞作的
雁雁_Kim(kimyan330) ,2022/4/12 12:37,  要做的
Zedd在的(wxid_wg41ckltfjwv41) ,2022/4/12 12:37,  搞错了
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 12:43,  哦[偷笑]
Zedd在的(wxid_wg41ckltfjwv41) ,2022/4/12 12:45,  我把上面发的群二维码当成上传的抗原检测码了[捂脸]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 12:58,  [憨笑]
203(wxid_5glc0nycq89h11) ,2022/4/12 14:14,  [转发的网页]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 14:16,  家里有的，谢谢??
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 14:18,"  小朋友: 家里有的  谢谢啦[握手]
  辛苦了[合十]"
203(wxid_5glc0nycq89h11) ,2022/4/12 14:19,  醋、盐、料酒、老抽、生抽、蚝油+2罐午餐肉，67元，有需要的可以买，海天的，品牌有保障。
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 17:06,[点击播放语音]
203(wxid_5glc0nycq89h11) ,2022/4/12 18:01,"  水果团购：晚上6:30 
??红玫瑰苹果??：8斤（约15只）
139??【每人限购一份】

2??水果团购：晚上7:30
??埃及橙子??：8斤（约15只）
99??【每人限购一份】

3??调料团购：下午2:15
??海天调味料套装（含午餐肉）
??团购价：67?? 
??总数量：300份（每人不限购）"
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 18:41,  很难抢太快了[捂脸]
友谊(wxid_46lwnapv592c22) ,2022/4/12 19:15,  [转发的网页]
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 19:35,  难、难、难[捂脸]
友谊(wxid_46lwnapv592c22) ,2022/4/12 19:37,  秒没
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 19:38,[点击播放语音]
喧暮笙央(wxid_2sjh2szrrmhf22) ,2022/4/12 19:39,  好的
wxid_hz0g6i0fg9h511 ,2022/4/12 19:39,  好
友谊(wxid_46lwnapv592c22) ,2022/4/12 19:39,  好的＇谢谢
薛雯婷(wxid_omhlkiks6h1w21) ,2022/4/12 19:39,  好的
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 19:41,  好的，谢谢??
雯雯(wxid_95t9kf4tv1h522) ,2022/4/12 19:47,  好的，谢谢??
英姿(wxid_azz5pbps4v3b22) ,2022/4/12 19:58,  好的
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 20:17,[点击播放语音]
雯雯(wxid_95t9kf4tv1h522) ,2022/4/12 20:18,  OK
友谊(wxid_46lwnapv592c22) ,2022/4/12 20:18,  来了
夕军(wxid_18xodpzfqk9n22) ,2022/4/12 20:26,  卸米的地方有的人口罩都没戴好，露出鼻子当心啊，人都拥在一起了[捂脸]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 20:27,[点击播放语音]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/12 20:34,[点击播放语音]
友谊(wxid_46lwnapv592c22) ,2022/4/12 20:34,  来了
Xingying(wxid_mx7kedbaclw221) ,2022/4/12 20:35,  谢谢，马上下来了
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 9:36,[点击播放语音]
英姿(wxid_azz5pbps4v3b22) ,2022/4/13 9:39,  大概几点啊@毛头?
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 9:39,  医生已经来了
英姿(wxid_azz5pbps4v3b22) ,2022/4/13 9:39,  哦
Xingying(wxid_mx7kedbaclw221) ,2022/4/13 9:40,  明白
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 9:40,  [强]
夕军(wxid_18xodpzfqk9n22) ,2022/4/13 9:40,  
雁雁_Kim(kimyan330) ,2022/4/13 9:43,  好的
wxid_hz0g6i0fg9h511 ,2022/4/13 9:46,  好
友谊(wxid_46lwnapv592c22) ,2022/4/13 10:00,  好
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 10:27,[点击播放语音]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 10:27,[点击播放语音]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 10:28,[点击播放语音]
华华(wxid_zbk3k0ujszlp22) ,2022/4/13 10:56,  [转发的网页]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/13 17:49,[点击播放语音]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 8:39,"  1号楼居民:
  昨天做的核酸检查出来了。
  大家看一下[Fight]
  还是一句话: 足不出户[Fight]
  不要掉以轻心[Worship]"
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 8:39,  
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 8:40,images\[00165]2022-04-14 08-40-14
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 8:41,  [转发的网页]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 8:43,  我们1号楼，一定要同心协力[Fight]坚守着1号的净土[Fight][Fight][Fight]
友谊(wxid_46lwnapv592c22) ,2022/4/14 8:45,  [OK]
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 8:50,images\[00166]2022-04-14 08-50-24
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 8:51,  [Sob][Sob][Sob]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 10:39,images\[00167]2022-04-14 10-39-22
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 10:39,  @所有人?各位楼组长，请统计各自楼组需要这个套餐的居民 并收好钱款 请尽量用微信或支付宝支付 全部统计好收好钱款后 楼组长老师请交到我处 谢谢
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 10:41,"  1号楼居民:
  谁要这个套餐请在群里说一下[Fight]"
wxid_hz0g6i0fg9h511 ,2022/4/14 10:42,  我???♂? 
友谊(wxid_46lwnapv592c22) ,2022/4/14 10:44,  我要:
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 10:58,  603需要一套
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 10:59,  怎么付款
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:00,  601需要一套
英姿(wxid_azz5pbps4v3b22) ,2022/4/14 11:02,  我也要一份
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:03,"  最好从微信转给我。
  一份是50元。"
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:04,  明白
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:04,"  如果需要二份的也可以。
  我们楼里可以调剂一下。"
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:05,  @毛头?你发个收款二维码，我传给你
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:06,  等一会哦
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:07,  谢谢603追加一套
友谊(wxid_46lwnapv592c22) ,2022/4/14 11:07,  我不会二维码:楼组长红包转在群里:还是个人
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:08,images\[00168]2022-04-14 11-08-20
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:08,  也可以的
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:09,"  1-603-2套
1-602-1套"
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:09,  @毛头?是你的收款码吗
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:09,  是的
友谊(wxid_46lwnapv592c22) ,2022/4/14 11:10,  这怎么付呀
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:10,  好的，请你查收
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:10,  备注一下是谁付钱了。
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:11,  好的
友谊(wxid_46lwnapv592c22) ,2022/4/14 11:11,  显示是陈的
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:11,"  我知道，没事的。
  我承认的"
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:12,  504收到了
友谊(wxid_46lwnapv592c22) ,2022/4/14 11:12,  己付款请查收[Fight]
102阿姨(wxid_68ejyv9j3i1g22) ,2022/4/14 11:13,  603收到三份
Xingying(wxid_mx7kedbaclw221) ,2022/4/14 11:13,  对的，谢谢[Rose]
