编号,持续时间,数量,内容
1,2022/4/12 5:05-2022/4/12 5:26,45,"  什么时候开始团购   我抢2份   抢好了？   是每曰优鲜   我没有的 images\[00159]2022-04-12 05-11-57   @毛头?现在水果只剩下这两个   其他蔬菜水果都没有了   我帮她抢了，谢谢哦   噢噢好的   本来想问问要不要帮大妈妈抢一份的   买好了就行   小朋友: 楼上阿姨帮我群到了[偷笑]谢谢你了[握手][握手][握手]   我们最近也在帮大家找优惠的水果团购[呲牙]会尽快安排上的   万分感谢[握手][握手][握手]   哦哦   小朋友你赶快睡觉[睡] 吧
  真的很辛苦的[合十]   我还可以帮买5份这个橘子，明天20:30-22:30可以送到，就是不知道大家要不要。   再不买也要没有了   有你们这样的邻居真好，谢谢哦   那跟我买二份   只买2份要运费的，要不然我先买5份，明天大妈妈帮我处理掉可以伐？   好的   看看有没有不会用手机的老人家家里没水果了   那你5伐都拿下[握手]   肯定有人要都买下   买好了，价格是11.9元/份（400g）   小朋友一共多少钱，我转账给你。 images\[00160]2022-04-12 05-18-31   好的   马上转账给你
  谢谢啦[握手]
 真的不好意思[捂脸]   明天转给我妈就行[呲牙]   不着急 等你先找到下家   知道了   哈哈哈   不用找下家的[偷笑]   你快点睡觉吧
  天都亮了   我睡了一觉半夜醒了的～我等到6点看看能不能抢到叮咚   能抢多抢点，我都要。   一定要你方便的情况下[捂脸]   什么地方枪   叮咚   每曰优鲜已抢完了   6点到叮咚抢   我平时从来不用每日优鲜、叮咚、盒马什么的，都是到菜场或者超市买东西。
  现在要下载这些地方买东西了。"
1,2022/4/12 6:33-2022/4/12 6:47,18,"  搂组长，如果水果有多给一份好吗   好的   谢谢啦[拥抱][拥抱][拥抱]   不用谢的
  是203室的小朋友半夜抢到的[强]   同时也谢谢203朋友[强][强][强]   楼组长＇我也想要::，不知有多的么   好的   谢谢   先抢下来的目的，也是想万一有人要。   同时也谢谢203朋友[强][强][强]   非常时期肯定有人要，网上买不太会[抱拳][抱拳][抱拳]   嗯嗯   橘子现在已经分完了。
  不好意思了[合十]   没事的   你有的   哦[抱拳]大好了   ""友谊"" 撤回了一条消息   太"
1,2022/4/12 8:05-2022/4/12 8:05,1,  哈哈起来晚了没有分享到好邻居的特恵哦[憨笑]
1,2022/4/12 10:12-2022/4/12 10:17,3,images\[00161]2022-04-12 10-12-57   收到[抱拳] [点击播放语音]
1,2022/4/12 10:48-2022/4/12 11:33,28,"  ""夕军"" 撤回了一条消息   这个楼群，大家都可以加入的。   @203?你好！儿子讲好的，怎么才能进刚需群？请指点！谢谢??   大妈妈，你拉你儿子进群就好了～   进这个群对吗？   邀请了，要等对方同意的   ""   ""许益(Ben)""与群里其他人都不是微信朋友关系，请注意隐私安全   @203?团长进来了[微笑]   不是这个群大妈妈   进那个团购群   哦，我直接拉能进啊，我试试   @203?应该叫阿婆吧[呲牙]   [转发的网页]   可以随便，没关系的[憨笑]我拉他了，在等待同意呢   不过你看着像大妈妈，不想外婆[呲牙]   不像 images\[00162]2022-04-12 11-20-23 images\[00163]2022-04-12 11-22-29   ""毛头"" 撤回了一条消息   哈哈我的大孙女都十三岁了，已经完全进入了奶奶队伍啦[憨笑] [点击播放语音]   我已发儿子了，二维码 [点击播放语音]   好的，谢谢??已经进的就不用进了吧 [点击播放语音]   @203?@毛头?谢谢??   之前已经在群里的就不要重复进了 团购小程序会在四个群同时发的"
1,2022/4/12 12:07-2022/4/12 12:08,2,[点击播放语音]   好的
1,2022/4/12 12:32-2022/4/12 12:45,8,images\[00164]2022-04-12 12-32-53   @毛头?今天要做抗原吗？   没有接到通知   我们以为今天搞作的   要做的   搞错了   哦[偷笑]   我把上面发的群二维码当成上传的抗原检测码了[捂脸]
1,2022/4/12 12:58-2022/4/12 12:58,1,  [憨笑]
1,2022/4/12 14:14-2022/4/12 14:19,4,"  [转发的网页]   家里有的，谢谢??   小朋友: 家里有的  谢谢啦[握手]
  辛苦了[合十]   醋、盐、料酒、老抽、生抽、蚝油+2罐午餐肉，67元，有需要的可以买，海天的，品牌有保障。"
1,2022/4/12 17:06-2022/4/12 17:06,1,[点击播放语音]
1,2022/4/12 18:01-2022/4/12 18:01,1,"  水果团购：晚上6:30 
??红玫瑰苹果??：8斤（约15只）
139??【每人限购一份】

2??水果团购：晚上7:30
??埃及橙子??：8斤（约15只）
99??【每人限购一份】

3??调料团购：下午2:15
??海天调味料套装（含午餐肉）
??团购价：67?? 
??总数量：300份（每人不限购）"
1,2022/4/12 18:41-2022/4/12 18:41,1,  很难抢太快了[捂脸]
1,2022/4/12 19:15-2022/4/12 19:15,1,  [转发的网页]
1,2022/4/12 19:35-2022/4/12 19:47,9,  难、难、难[捂脸]   秒没 [点击播放语音]   好的   好   好的＇谢谢   好的   好的，谢谢??   好的，谢谢??
1,2022/4/12 19:58-2022/4/12 19:58,1,  好的
1,2022/4/12 20:17-2022/4/12 20:35,8,[点击播放语音]   OK   来了   卸米的地方有的人口罩都没戴好，露出鼻子当心啊，人都拥在一起了[捂脸] [点击播放语音] [点击播放语音]   来了   谢谢，马上下来了
1,2022/4/13 9:36-2022/4/13 9:46,9,[点击播放语音]   大概几点啊@毛头?   医生已经来了   哦   明白   [强]      好的   好
1,2022/4/13 10:00-2022/4/13 10:00,1,  好
1,2022/4/13 10:27-2022/4/13 10:28,3,[点击播放语音] [点击播放语音] [点击播放语音]
1,2022/4/13 10:56-2022/4/13 10:56,1,  [转发的网页]
1,2022/4/13 17:49-2022/4/13 17:49,1,[点击播放语音]
1,2022/4/14 8:39-2022/4/14 8:51,8,"  1号楼居民:
  昨天做的核酸检查出来了。
  大家看一下[Fight]
  还是一句话: 足不出户[Fight]
  不要掉以轻心[Worship]    images\[00165]2022-04-14 08-40-14   [转发的网页]   我们1号楼，一定要同心协力[Fight]坚守着1号的净土[Fight][Fight][Fight]   [OK] images\[00166]2022-04-14 08-50-24   [Sob][Sob][Sob]"
1,2022/4/14 10:39-2022/4/14 10:44,5,"images\[00167]2022-04-14 10-39-22   @所有人?各位楼组长，请统计各自楼组需要这个套餐的居民 并收好钱款 请尽量用微信或支付宝支付 全部统计好收好钱款后 楼组长老师请交到我处 谢谢   1号楼居民:
  谁要这个套餐请在群里说一下[Fight]   我???♂?    我要:"
1,2022/4/14 10:58-2022/4/14 12:05,48,"  603需要一套   怎么付款   601需要一套   我也要一份   最好从微信转给我。
  一份是50元。   明白   如果需要二份的也可以。
  我们楼里可以调剂一下。   @毛头?你发个收款二维码，我传给你   等一会哦   谢谢603追加一套   我不会二维码:楼组长红包转在群里:还是个人 images\[00168]2022-04-14 11-08-20   也可以的   1-603-2套
1-602-1套   @毛头?是你的收款码吗   是的   这怎么付呀   好的，请你查收   备注一下是谁付钱了。   好的   显示是陈的   我知道，没事的。
  我承认的   504收到了   己付款请查收[Fight]   603收到三份   对的，谢谢[Rose]   我单独转了，谢谢阿姐[Rose]   没事的   201收到了   @毛头?你好我也买了一份，直接付了，谢谢?? images\[00169]2022-04-14 11-28-48   302 两份 images\[00170]2022-04-14 11-31-40   302收到二份   你撤回了一条消息   602一份   602收到了   想问下哪位好邻居能否匀点油，我这儿有鲜牛奶、酸奶、鹌鹑蛋、苹果(拼团的还没到)可以换[Whimper][Rose] 可以私聊我。。家里油只能撑几天了一直买不到油，感恩…   @602?你可以组团买啊，我们家里也没多少了，也想买   @602?我有   已经换到了，隔壁奶奶不会打字，还敲门换给我们的[Hurt]@华华?。真的太感动了，太谢谢[Hurt]了。    哦好 没油的可以过来匀      @302?暂时还好过上几天的，谢谢啦[Fight]   没事 随时可以 images\[00171]2022-04-14 12-03-58   [转发的网页]   这个到勿错，份额又少，但要组团的"
1,2022/4/14 14:19-2022/4/14 14:35,9,  50份太多了   10份 楼道里团团 还有可能   就是或   470弄自己本弄拉了一个群我刚看到团的早点蛮好的 images\[00172]2022-04-14 14-32-04   很好的[ThumbsUp]   我们305弄不好进去买   470弄他们是昨晚上组的团，而且昨晚团购的鸡蛋今天会到了   [转发的网页]
1,2022/4/14 16:13-2022/4/14 16:41,24,"images\[00173]2022-04-14 16-13-35   有哪位需要？   就在小区了   如果多那个人会送到楼梯口的   需要酸奶   @友谊?你是几楼啊？   @夕军?504   ""友谊"" recalled a message   1号504   哦，我想去买的，但在470弄6号口，小朋友想喝的，要么我帮你带一箱？   你能出去吗:可以帮忙带一箱＇谢谢   怎么给你钱   我带上酒精手套口罩去拿吧，当心点吧   当心点＇做好防护:   ""友谊"" recalled a message   钱回来再给吧，加个私信   提不动:很重的   好   没事的   耍你去拿＇真不好意思   以为团的呢   我问了，只有我俩要[Facepalm]   哦＇人不多   一会儿"
1,2022/4/14 17:58-2022/4/14 18:24,9,"  1号楼居民:
  今晚发牛奶。
  到时候我按各家门铃或者微信你们下来拿。   收到   收到   请大家先耐心等待，不要下来。   收到      收到谢谢??   收到，謝謝。   好的"
1,2022/4/15 5:52-2022/4/15 5:52,2,"  大家好，我是我们1号楼的团购志愿者，之前建新小区团购群因种种问题解散了，但是大家的民生问题还是需要得到保障的。所以我们所有305弄的志愿者们又一起组织了305弄纯公益非盈利团购团队，希望为大家提供多一种渠道，尽可能为大家提供安全、平价的生活必需品。
我们团队是报备过居委的，每次配送团品前都会进行统一消杀，并有志愿者们穿着小蓝防护服送到楼栋下。
我们这次重新组队，决定优化团购及配送流程，将不再建立大群，而是由每一栋楼志愿者转发团购链接至楼栋群内，后台统一定时开启团购。后续也由志愿者在楼栋群内通知更新团品配送信息，收集售后问题等 。
现在向大家征集意见，请大家在以下链接中勾选目前最需要团购的产品，投票截止于4月15日下午14:00，稍后我们会整合大家需求，尽快为大家安排团购。   [转发的网页]"
1,2022/4/15 6:15-2022/4/15 6:15,1,  谢谢你们[Shake][Rose][Rose][Rose]
1,2022/4/15 6:48-2022/4/15 6:48,3,"  谢谢你们[Shake][Rose][Rose][Rose]      谢谢你们[ThumbsUp]
  有你们年轻人的关心真好[Rose][Rose][Rose]"
1,2022/4/15 8:29-2022/4/15 8:29,1,  我们的团长没有忘记我们，305弄有望了！真心感谢[Worship][Worship][Worship]
1,2022/4/15 9:06-2022/4/15 9:06,1,  感谢 终于有我们自己的组织了
1,2022/4/15 9:34-2022/4/15 9:43,3,  我没有收到过报备，请问你向哪位居委干部报备的？ images\[00174]2022-04-15 09-34-39   没有备报的话重新备报啊
1,2022/4/15 10:22-2022/4/15 10:22,1,  我们是延续之前刚需群的，现在分成305弄来做而已。@陶陶?居委老师您不同意的话，我们就不做了，没事的。
1,2022/4/15 10:38-2022/4/15 10:46,4,  [Fight][Fight]和居委老师通过电话了，之后我会再去和居委主任沟通的   那有同意不同意之说，你们能继续为百姓服务、付出，如305弄不组团，那后面的我们为了生存，一是有钱的人买高价食物，另类的人就要到处占营求得自己的生活刚需，这就带来了乱窜乱走状况，这难道是居委干部抗疫的初衷吗？真心为民办事的团体为什么要手续这个复杂？@404 雁雁?如们不做305弄的百姓就没指望了，那有困难就找居委吧万分感激??   纠正：如果你们不做   谢谢雁雁和小鹿[Fight]你们真的很辛苦[Facepalm]了不起的年轻人[ThumbsUp]
1,2022/4/15 10:58-2022/4/15 10:58,1,[点击播放语音]
1,2022/4/15 12:11-2022/4/15 12:20,12,"  [转发的网页]   ""404 雁雁"" recalled a message   建新小区305弄（仅限305弄） 
水果团购，水果组合，3-4种 超过8斤，100元一份。
下单时间：4/15 12:30开始团购，14:00截止
配送时间：预计4月18号   @404 雁雁?一个人只能一份嘛   要抢吗[Facepalm]   不用 没有上限。但只有305 能买哦   如果未解封，目前暂定是7-10后安排下一波水果团，大家按需求购买[Heart]   好的   不设上限 不用抢   305弄的居民2点前下单都有库存    不抢再好不过了，谢谢啦[Fight]   谢谢两位美女团长[Grin]"
1,2022/4/15 12:31-2022/4/15 12:35,5,  [转发的网页]   [转发的网页]   [转发的网页]   谢谢团长们买了[Fight]   [转发的网页]
1,2022/4/15 12:47-2022/4/15 12:52,9,"[点击播放语音]   收到 来了   好的   来了   ""友谊"" recalled a message   来了来了   来了   收到   来了"
1,2022/4/15 13:24-2022/4/15 13:27,4,  [转发的网页]   @404 雁雁?姐，我们团了4份   好的   没事 1号楼最方便
1,2022/4/15 13:50-2022/4/15 14:34,57,"images\[00175]2022-04-15 13-50-20   @所有人?接上级通知原套餐因货源不足等原因现更换为以下套餐，每家需多收五元。[Facepalm][Facepalm]   没有青菜了是吗？可以退吗？   我是看中青菜的呀   同问   同问   1号楼的居民:
  昨天50元的套餐，因货源不足，现更改为刚刚上传套餐。
  每套餐再加5元。   大家注意??，阳楼285-21号发起的团购，不能参加啊！ images\[00176]2022-04-15 13-58-57   大家安全点。。买我们305自己的团购[Hurt]   对的   外面的快递千万要注意了，叮咚的订单都取消了   @毛头?嗯嗯不去[Fight]   你们提出的: 青菜没了，可以退吗？
  我在问: 居委会，还没回复我[Facepalm]   @陶陶?: 我们1号楼有的居民问: 昨天买的套餐里有青菜的，现在没了能退吗？   1号楼的居民:
  这次只能委屈一下了[Shrunken] 
  蔬菜马上要覆盖了[Fight][Rose]
  就请大家理解和谅解一下[Fight][Fight][Fight]
  对不起了[Facepalm][Facepalm][Facepalm]   居委组织的还难到位，可见团购的年轻人容易吗   是的   能退吗   昨天套餐的钱已经付上去了，退不了[Facepalm]   拿加钱怎么加？   那   还是微信转吧   要么套餐发的时候，你们再付5元[Fight]   @雯雯?不行卖给我   好的   @喧暮笙央?你还要吗？   不要了@夕军?   退一份给你   @喧暮笙央?谢谢啦   已转   ""夕军"" recalled a message   还有人要吗    猪肉+鸡肉305弄团购 4/15 15:00点开团，17:00点截止
六和集团，美好/千喜鹤食品上海供保套餐。套餐包括 猪腿肉2斤，五花肉2斤，鸡翅根2斤，酥肉一包，午餐肉罐头1个。
价格 172元 （包括平台手续费）
预计送货 4月16日。
请大家按需求购买[Heart]不要过多囤货。   团肉了 images\[00177]2022-04-15 14-23-33   太好啦[Shake][Hug]   有鸡翅   [Hey] images\[00178]2022-04-15 14-24-59   ""毛头"" recalled a message   大家有的吃了[Hurt]我也想买肉很久了。。终于找到资源了   302室，10元收到了[Fight]      ??   @404 雁雁?谢谢??   @毛头?603一 15  已付   @毛头?收到吗   收到   收到了603      @雯雯?多少钱我到时候给你   1份55元   不急的   @毛头?加你微信接受一下[Fight]   603室收到[Fight]   明白[Fight]"
1,2022/4/15 14:59-2022/4/15 15:12,6,  [转发的网页]   [转发的网页]   @毛头?毛头大妈妈，我们楼里有没有不会用手机的，需要肉类套餐呀，可以麻烦你帮忙问问看吗？   哦哦   如果有的话，可以麻烦你代下单嘛[Rose]   可以
1,2022/4/15 15:30-2022/4/15 15:30,1,  [转发的网页]
1,2022/4/15 15:46-2022/4/15 15:46,1,  [转发的网页]
1,2022/4/15 17:55-2022/4/15 17:55,1,  [转发的网页]
1,2022/4/15 19:43-2022/4/15 20:04,14,[点击播放语音] [点击播放语音]      来了   @喧暮笙央?谢谢啦！ [点击播放语音]   马上来了，前面一直在开会。不好意思   午餐肉340克，现收到198克，不相符 images\[00179]2022-04-15 19-51-42   [微信转账，金额：5.00元] images\[00180]2022-04-15 19-53-35   我们也是198g   @陶陶?: 能解释一下原因吗？   我们也是198g
1,2022/4/15 20:28-2022/4/15 20:33,2,  差142g，总共帮居民办一次团购就缺斤少量不在理吧[Facepalm]   @陶陶?: 能解释一下原因吗？
1,2022/4/15 20:44-2022/4/15 21:18,18,images\[00181]2022-04-15 20-44-37 images\[00182]2022-04-15 20-44-37   你们手里的单子和公布的单子有出入   为什么会出现不一样？ [点击播放语音] [点击播放语音] [点击播放语音] [点击播放语音] [点击播放语音] [点击播放语音]   你刚刚已经作了解释大家都清楚了，就是居委单子和公布出来的不一样，你也不知道，谁知道，只有老天知道，居委干部本身就是百姓的父母官，难道你们出差错了连个问清楚的权利都没有吗？问的目的不是要你吃进去，再穷这点钱也付得起的，早知道有蔬菜包是应该谢谢你们的，你们的辛苦大家有目共睹的，所以遇事不管再苦再累也应该和百姓解释，解释清了会理解的 [点击播放语音] [点击播放语音]   我们应该是相亲相爱的好邻居[Rose][Rose][Rose]      [Fight]      
1,2022/4/15 21:42-2022/4/15 21:44,3,  @所有人：明天上午7点，街道爱卫会、第三方、物业公司将集中对小区环境、楼宇进行预防性消杀，请各居委会积极配合，把小喇叭放起来，关好门窗开展消杀作业。请周知。另外，街道配备了小喷壶，请居委会发动志愿者、物业门卫对本楼组、小区快递进行预防性消杀。喷壶不足可到街道保障组来领取。      
1,2022/4/15 22:08-2022/4/15 22:09,3,  @所有人?明天上午7点，街道爱卫会、第三方、物业公司将集中对小区环境、楼宇进行预防性消杀，请居民关好门窗开展消杀作业。   知道了   收到
1,2022/4/15 23:00-2022/4/15 23:00,1,  [转发的网页]
1,2022/4/16 7:32-2022/4/16 7:32,1,  收到
1,2022/4/16 7:51-2022/4/16 7:55,4,  @所有人?今天下午两点半全员核酸。   收到   收到   收到
1,2022/4/16 9:07-2022/4/16 9:07,1,  收到
1,2022/4/16 10:50-2022/4/16 10:50,1,  收到
1,2022/4/16 11:08-2022/4/16 11:08,1,  收到
1,2022/4/16 12:12-2022/4/16 12:14,2,"images\[00183]2022-04-16 12-12-48   1号楼的居民: 
  这是居委会刚刚发的，请大家注意一下。"
1,2022/4/16 12:38-2022/4/16 12:52,11,  @所有人?补充一下：305-5、305-6也属于核酸异常。   @毛头?好的，这两个楼口在我们楼的西面还是后面啊   六号在后面，五号离我们远一点。 images\[00184]2022-04-16 12-44-46   [ThumbsUp][ThumbsUp][ThumbsUp]   谢谢涛涛[ThumbsUp]   应该的   这样做是情义[ThumbsUp]   哦明白了防重点在那里是件好事，谢谢@毛头?居委的提醒[Fight]   应该的   透明度提高了[ThumbsUp][ThumbsUp][ThumbsUp]
1,2022/4/16 13:45-2022/4/16 13:46,5,  今天医生又晚了，具体时间待定通知[Facepalm]   好的   0k   收到   收到
1,2022/4/16 15:23-2022/4/16 15:37,8,[点击播放语音]   收到 等你通知就下楼   光明鲜牛奶，有需要的可以下单，我们305弄和285弄一起拼，200份起送   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]   [转发的网页]
1,2022/4/16 15:53-2022/4/16 15:55,4,[点击播放语音]   来了   好的   最好有蔬菜[Chuckle]
1,2022/4/16 17:06-2022/4/16 17:33,19,"  蔬菜团购预告
1.46元蔬菜包（6-8斤随机5种蔬菜）
2.26元番茄包（2斤6种本地水果小番茄）
团购时间：17:30-19:30
团购份数：不限
配送时间：预计4月18日   [转发的网页]   这个蛮好的，谢谢??   谢谢1号楼的二位团长美女[Rose][ThumbsUp]   涨价了噢，不是我涨的～ images\[00185]2022-04-16 17-09-31   我们价格都是透明的哈～   大家有需要等会可以买噢   明白消费没事的，还是要感谢??   很好[ThumbsUp]   [ThumbsUp]   能够买到已经很好了[Fight]   水果今天可以到不   水果18号左右到   昨天买的肉今天晚上送～   好的   ??    [转发的网页]   [转发的网页]"
1,2022/4/16 17:56-2022/4/16 18:01,4,  肉收到了，谢谢[Fight]   肉收到了＇谢谢你们[Fight]   不用谢，大家开心就好[Fight]   肉＇蔬菜＇水果都有了，可以吃上几天了:，谢谢团长＇楼组长＇志愿者[Fight]
1,2022/4/16 19:22-2022/4/16 19:50,18,"  ??葱姜蒜团购预告??
香葱：100g
?老姜：250g
?蒜头：2个（约200g）
团购价格：19元
团购时间：19:30-21:30
配送日期：预计4/18   [转发的网页]   这个好??   很难团到的   [转发的网页]   能不能有个豆制品团购呀？豆干 豆皮 腐竹之类的～    [转发的网页]   哈哈哈豆制品晚一点噢   先安排大家都很需要的东西   对的[Rose]   [转发的网页]   葱姜蒜的供应商，主动要求我们不可以涨价，不然就不卖给我们了，现在还是好心人多～ images\[00186]2022-04-16 19-43-45   [ThumbsUp][ThumbsUp][ThumbsUp]   [Rose][Rose][Rose]   [ThumbsUp]   [ThumbsUp][ThumbsUp][ThumbsUp]   谢谢供货商和团长??"
1,2022/4/16 20:08-2022/4/16 20:35,18,"  [转发的网页]   ??面包团购预告??
团购内容：静安面包房面包
团购价格：59元
团购时间：20:30-22:30
配送时间：4/19-4/19   [转发的网页]   ""毛头"" recalled a message   这是今天抢来的面包[Hurt]8点抢来的   限购吗？   每人不限购，一共160份   应该购大家分的   [ThumbsUp]   [OK]   [转发的网页]   买好了   [转发的网页]   [转发的网页]   谢谢二位美女团长[Fight]是我心想事成[Fight][Fight][Fight]   [转发的网页]   买了，谢谢二位团长[Fight]   [转发的网页]"
1,2022/4/16 20:46-2022/4/16 20:46,1,  [转发的网页]
1,2022/4/16 21:17-2022/4/16 21:17,1,  大家，之前在刚需群团购了大米的，现在送来时间不确定，可以取消吗？(居委已经发了大米了)
1,2022/4/16 21:40-2022/4/16 21:41,3,  可以，我没问题。   已经确定不取消，明天还是会送的[Grin]   好的。
1,2022/4/16 22:50-2022/4/16 22:51,3,"images\[00187]2022-04-16 22-50-57   ""404 雁雁"" recalled a message    明天4/17 10:00-13:00团 小梅园预制菜。
160元 包括 成本158元+1元平台手续费 1元防疫消杀费用
包括鱼香肉丝，奥尔良中翅，醋熘鱼片，手工鸡柳，免浆猪肝，香酥牛肉饼，鲜肉酥饼，鲜肉小馄饨。"
1,2022/4/16 23:39-2022/4/16 23:39,1,  [转发的网页]
1,2022/4/17 7:07-2022/4/17 7:21,3,"  ??配送预告??
昨天团购的19元葱姜蒜??
预计今天下午配送??
最迟不耽误晚餐??
请大家听到志愿者按门铃后带好口罩尽快下楼??
保持手机通畅～   好的＇谢谢[Fight]   "
1,2022/4/17 7:46-2022/4/17 7:46,1,  知道了，谢谢
1,2022/4/17 8:43-2022/4/17 8:43,2,images\[00188]2022-04-17 08-43-21   请大家还是要坚守阵地[Fight]足不出户[Fight][Fight][Fight]
1,2022/4/17 9:17-2022/4/17 9:18,2,  核酸出来了   是的
1,2022/4/17 11:24-2022/4/17 11:46,6,"images\[00189]2022-04-17 11-24-34 images\[00190]2022-04-17 11-24-41 [点击播放语音] [点击播放语音]   所有生活非必需品不要买了！！外卖快递现在有很多外卖小哥抗原阳性！！
团购我们联系的全部是正规商家，非私人小店，司机核酸报告均为当天，到货后全部统一消杀才志愿者配送。
后续非生活必需品，不开团了。   谢谢你们[Fight]
  你们真的好辛苦的[Fight]我们都看在眼里，心里到明白[Rose]
  有你们是我们的幸运[ThumbsUp]"
1,2022/4/17 12:12-2022/4/17 12:13,2,  @毛头?谢谢楼组长的传达提醒[Fight]   @404 雁雁?你们的团购我们是放心的，辛苦你们了[Fight]
1,2022/4/17 13:11-2022/4/17 13:11,1,  [转发的网页]
1,2022/4/17 13:53-2022/4/17 13:53,2,  昨天发的小梅园预制菜还有人要吗？目前没到起送份数，所以又重新开了购买链接，截止到14:30噢～   [转发的网页]
1,2022/4/17 15:27-2022/4/17 15:37,3,"  ??团购预告??

团购内容：清风原木金装3层S规130抽*3包
团购价格：9.6元/3包
团购份数：共40份，每人限购1份
团购时间：17:00-18:00
配送时间：今晚或明天

备注：份数非常有限，请尽量让给急需的居民朋友?? [点击播放语音]   来了"
1,2022/4/17 15:53-2022/4/17 15:54,2,  46蔬菜包什么时候到@203?   明天到
1,2022/4/17 17:56-2022/4/17 18:11,10,"  不好意思，餐巾纸我女儿忘在我们群发链接了，抱歉了[Sweats][Fight] images\[00191]2022-04-17 17-57-14   没事的 images\[00192]2022-04-17 18-02-41   这是上海云南一家亲救灾物资，其它群里在吵了不得了，要投诉街道，我在看 images\[00193]2022-04-17 18-09-16   已经投诉了   我东西不要，但不能这样的，捐赠的物资凭什么拿来卖   为你们点赞   ""104"" recalled a message"
1,2022/4/17 18:29-2022/4/17 18:30,2,声明.pdf   这是居委会发来的，大家看一下。
1,2022/4/17 18:46-2022/4/17 18:46,1,  @404 雁雁?赞同
1,2022/4/17 20:05-2022/4/17 20:05,1,[点击播放视频]
1,2022/4/17 20:37-2022/4/17 20:46,2,"  @203?@夕军?：丫鬟1丫|i中111@203?1||1|||/‘！：丨丨：：√i|11/@夕军?@夕军?@毛头?迟二1仁丫丫|11丶：]11‘11|∵/一|1|v一；丶l一：   ""104"" recalled a message"
