"global_date","certain","uncertain","die","recure","certain_inc","uncertain_inc","die_inc","recure_inc","updatetime"
"2020.02.26","3093","52","53","230","506","0","12","11","2023-03-15 12:00:00"
"2020.02.27","3949","50","64","277","913","0","11","48","2023-03-15 12:00:00"
"2020.02.28","4942","17","79","295","993","0","15","23","2023-03-15 12:00:00"
"2020.02.29","6349","12","95","435","1468","0","16","141","2023-03-15 12:00:00"
"2020.03.01","7723","12","119","442","1252","0","24","6","2023-03-15 12:00:00"
"2020.03.02","9613","3","154","659","1889","0","35","217","2023-03-15 12:00:00"
"2020.03.03","11985","24","185","879","2372","21","31","220","2023-03-15 12:00:00"
"2020.03.04","13824","42","221","1079","1839","18","36","200","2023-03-15 12:00:00"
"2020.03.05","16121","42","293","1565","2292","0","72","488","2023-03-15 12:00:00"
"2020.03.06","19750","42","364","1812","3634","0","71","247","2023-03-15 12:00:00"
"2020.03.07","23089","4","452","2881","3339","0","88","1069","2023-03-15 12:00:00"
"2020.03.08","26834","4","560","2960","3745","0","108","79","2023-03-15 12:00:00"
"2020.03.09","30590","4","764","3774","3756","0","204","843","2023-03-15 12:00:00"
"2020.03.10","35417","4","947","4300","4827","0","183","551","2023-03-15 12:00:00"
"2020.03.11","40402","4","1227","5010","4985","0","278","710","2023-03-15 12:00:00"
"2020.03.12","48251","1","1582","5511","7849","0","355","501","2023-03-15 12:00:00"
"2020.03.13","57419","338","1928","6247","9168","337","346","736","2023-03-15 12:00:00"
"2020.03.14","67677","145","2357","7507","10260","0","429","1260","2023-03-15 12:00:00"
"2020.03.15","80468","195","2870","8828","12791","50","513","1321","2023-03-15 12:00:00"
"2020.03.16","92752","177","3457","9533","12284","21","587","746","2023-03-15 12:00:00"
"2020.03.17","104959","171","4214","11158","12253","0","757","1625","2023-03-15 12:00:00"
"2020.03.18","122276","0","4878","13291","17317","0","664","2133","2023-03-15 12:00:00"
"2020.03.19","142729","0","5942","15213","20453","0","1064","1922","2023-03-15 12:00:00"
"2020.03.20","171616","0","7152","17295","28887","0","1210","2082","2023-03-15 12:00:00"
"2020.03.21","202289","0","8576","20820","30673","0","1424","3525","2023-03-15 12:00:00"
"2020.03.22","233471","0","10229","22451","31182","0","1653","1631","2023-03-15 12:00:00"
"2020.03.23","265884","0","11960","26059","32414","0","1731","3608","2023-03-15 12:00:00"
"2020.03.24","309971","0","13848","27762","44087","0","1888","1703","2023-03-15 12:00:00"
"2020.03.25","353726","0","16242","30726","43755","0","2394","2964","2023-03-15 12:00:00"
"2020.03.26","403771","0","18764","41139","50045","0","2523","10414","2023-03-15 12:00:00"
"2020.03.27","466490","0","21827","51157","62719","0","3064","10035","2023-03-15 12:00:00"
"2020.03.28","534118","0","25083","55450","67628","0","3257","4293","2023-03-15 12:00:00"
"2020.03.29","600764","0","28741","69620","66646","0","3658","16675","2023-03-15 12:00:00"
"2020.03.30","660402","37","31764","80616","59656","37","3023","10996","2023-03-15 12:00:00"
"2020.03.31","724044","37","35972","96370","63642","0","4208","15754","2023-03-15 12:00:00"
"2020.04.01","800802","61","40664","108205","76758","24","4692","11835","2023-03-15 12:00:00"
"2020.04.02","880749","3888","45634","121832","79947","3827","4970","13632","2023-03-15 12:00:00"
"2020.04.03","954181","4714","51227","138417","73432","826","5597","16585","2023-03-15 12:00:00"
"2020.04.04","1052617","4779","57138","151369","98480","65","5911","12952","2023-03-15 12:00:00"
"2020.04.05","1140084","4779","62973","175967","87467","0","5836","24598","2023-03-15 12:00:00"
"2020.04.06","1206423","5404","67098","198970","66339","625","4134","23003","2023-03-15 12:00:00"
"2020.04.07","1284860","217","73877","215003","78437","22","6779","16037","2023-03-15 12:00:00"
"2020.04.08","1371325","217","80203","230636","86465","0","6326","15633","2023-03-15 12:00:00"
"2020.04.09","1453582","217","86588","262071","82257","0","6385","31436","2023-03-15 12:00:00"
"2020.04.10","1538604","217","93897","287690","85022","0","7309","25619","2023-03-15 12:00:00"
"2020.04.11","1638858","217","101510","311781","100254","0","7613","24091","2023-03-15 12:00:00"
"2020.04.12","1716536","217","107485","340959","77678","0","5979","29178","2023-03-15 12:00:00"
"2020.04.13","1788665","217","112742","365733","72129","0","5257","24822","2023-03-15 12:00:00"
"2020.04.14","1865481","217","118514","388417","76816","0","5772","22684","2023-03-15 12:00:00"
"2020.04.15","1930575","217","126098","424454","65094","0","7584","36037","2023-03-15 12:00:00"
"2020.04.16","2017941","217","135983","448883","87366","0","9885","24429","2023-03-15 12:00:00"
"2020.04.17","2104355","217","142992","489270","86414","0","7009","40387","2023-03-15 12:00:00"
"2020.04.18","2190835","13581","151486","509185","86480","13364","8494","19915","2023-03-15 12:00:00"
"2020.04.19","2282888","12586","157613","532077","92053","0","6127","22892","2023-03-15 12:00:00"
"2020.04.20","2345866","10356","162512","560236","72962","0","4888","28159","2023-03-15 12:00:00"
"2020.04.21","2418190","10356","167446","582738","72324","0","4934","22526","2023-03-15 12:00:00"
"2020.04.22","2511134","10356","175311","629695","92944","0","7865","46957","2023-03-15 12:00:00"
"2020.04.23","2583856","10356","181700","660194","72722","0","6389","30499","2023-03-15 12:00:00"
"2020.04.24","2686384","10356","189732","689017","102528","0","8032","28823","2023-03-15 12:00:00"
"2020.04.25","2757140","10356","195424","731262","70756","0","5692","42245","2023-03-15 12:00:00"
"2020.04.26","2857815","10356","200076","771661","100675","0","4652","40399","2023-03-15 12:00:00"
"2020.04.27","2941460","10356","203691","817978","83645","0","3615","46317","2023-03-15 12:00:00"
"2020.04.28","3008455","10356","208316","861351","66995","0","4625","43373","2023-03-15 12:00:00"
"2020.04.29","3083108","10356","214928","905072","74653","0","6612","43721","2023-03-15 12:00:00"
"2020.04.30","3166741","10356","224872","945840","83633","0","9944","40768","2023-03-15 12:00:00"
"2020.05.01","3252239","10356","230689","978323","85498","0","5817","32483","2023-03-15 12:00:00"
"2020.05.02","3344975","10356","236196","1021278","94443","0","5507","43807","2023-03-15 12:00:00"
"2020.05.03","3425906","10356","241091","1054500","80970","0","4896","33223","2023-03-15 12:00:00"
"2020.05.04","3509329","10416","244698","1088011","83423","60","3607","33511","2023-03-15 12:00:00"
"2020.05.05","3589192","277","248860","1131434","79863","0","4162","43506","2023-03-15 12:00:00"
"2020.05.06","3674400","277","258087","1179558","85208","0","9227","48124","2023-03-15 12:00:00"
"2020.05.07","3768951","277","263678","1237333","94551","0","5591","57775","2023-03-15 12:00:00"
"2020.05.08","3867324","277","268913","1280927","98373","0","5235","43594","2023-03-15 12:00:00"
"2020.05.09","3962657","277","274512","1326167","95333","0","6596","45240","2023-03-15 12:00:00"
"2020.05.10","4052316","217","278504","1379400","89659","0","3992","53233","2023-03-15 12:00:00"
"2020.05.11","4135925","217","281990","1695350","83609","0","3486","315950","2023-03-15 12:00:00"
"2020.05.12","4211074","217","286056","1730489","75149","0","4066","35139","2023-03-15 12:00:00"
"2020.05.13","4293106","217","291345","1767872","82032","0","5289","37383","2023-03-15 12:00:00"
"2020.05.14","4385659","217","297024","1811897","92853","0","5685","44025","2023-03-15 12:00:00"
"2020.05.15","4475278","217","300895","1844911","89619","0","3871","33014","2023-03-15 12:00:00"
"2020.05.16","4578991","217","306352","1891788","103713","0","5457","46877","2023-03-15 12:00:00"
"2020.05.17","4665427","217","310135","1928394","86436","0","3783","36606","2023-03-15 12:00:00"
"2020.05.18","4744732","217","313411","1965148","79305","0","3276","36754","2023-03-15 12:00:00"
"2020.05.19","4840942","217","317080","2012022","96210","0","3669","46874","2023-03-15 12:00:00"
"2020.05.20","4933688","217","321978","2061711","92746","0","4898","49694","2023-03-15 12:00:00"
"2020.05.21","5040791","217","326826","2114144","107103","0","4848","52433","2023-03-15 12:00:00"
"2020.05.22","5138477","0","331122","2157573","97686","0","4296","43429","2023-03-15 12:00:00"
"2020.05.23","5252242","0","336253","2216785","113765","0","5131","59212","2023-03-15 12:00:00"
"2020.05.24","5351639","0","340121","2257719","99397","0","3868","40934","2023-03-15 12:00:00"
"2020.05.25","5446992","0","342871","2391653","95353","0","2750","133934","2023-03-15 12:00:00"
"2020.05.26","5537574","0","346163","2450945","90582","0","3292","59292","2023-03-15 12:00:00"
"2020.05.27","5629196","0","350321","2499801","91622","0","4158","48856","2023-03-15 12:00:00"
"2020.05.28","5733134","0","355020","2555873","103938","0","4983","56552","2023-03-15 12:00:00"
"2020.05.29","5855656","0","359909","2614549","122522","0","4889","58676","2023-03-15 12:00:00"
"2020.05.30","5972870","0","362760","2683227","117282","0","4482","68690","2023-03-15 12:00:00"
"2020.05.31","6106218","0","366969","2741619","133348","0","4209","58392","2023-03-15 12:00:00"
"2020.06.01","6211583","0","369771","2785819","105365","0","2802","44200","2023-03-15 12:00:00"
"2020.06.02","6319527","0","373507","2848822","107944","0","3736","63003","2023-03-15 12:00:00"
"2020.06.03","6431565","0","378542","2933380","112038","0","5035","84558","2023-03-15 12:00:00"
"2020.06.04","6558366","0","383957","3064316","126801","0","5415","130936","2023-03-15 12:00:00"
"2020.06.05","6691641","0","389479","3130701","133275","0","5522","66385","2023-03-15 12:00:00"
"2020.06.06","6841733","0","394661","3282457","150092","0","5182","151756","2023-03-15 12:00:00"
"2020.06.07","6969996","0","398250","3355407","128263","0","3589","72950","2023-03-15 12:00:00"
"2020.06.08","7082354","0","406920","3411308","112358","0","8670","55901","2023-03-15 12:00:00"
"2020.06.09","7185633","0","404843","3551411","103279","0","1975","140103","2023-03-15 12:00:00"
"2020.06.10","7311052","0","409918","3643040","125419","0","5075","91629","2023-03-15 12:00:00"
"2020.06.11","7449168","0","415238","3738711","138116","0","5320","95671","2023-03-15 12:00:00"
"2020.06.12","7586346","0","420080","3815625","137178","0","4842","76914","2023-03-15 12:00:00"
"2020.06.13","7725433","0","424360","3919860","139087","0","4280","104235","2023-03-15 12:00:00"
"2020.06.14","7853585","0","428270","4000163","128152","0","3910","80303","2023-03-15 12:00:00"
"2020.06.15","7981769","0","431750","4077860","128184","0","3480","77697","2023-03-15 12:00:00"
"2020.06.16","8107856","0","435264","4185550","126087","0","3514","107690","2023-03-15 12:00:00"
"2020.06.17","8251564","0","442123","4276675","143708","0","6859","91125","2023-03-15 12:00:00"
"2020.06.18","8428154","0","447438","4403788","176590","0","5315","127113","2023-03-15 12:00:00"
"2020.06.19","8571470","0","452416","4492426","143316","0","4978","88638","2023-03-15 12:00:00"
"2020.06.20","8747786","0","458460","4600960","176316","0","6044","108534","2023-03-15 12:00:00"
"2020.06.21","8873148","1904","462733","4716150","125362","1904","4273","115190","2023-03-15 12:00:00"
"2020.06.22","9031567","1904","466762","4790714","164647","0","4029","74564","2023-03-15 12:00:00"
"2020.06.23","9181421","1904","470926","4899148","149854","0","4164","108434","2023-03-15 12:00:00"
"2020.06.24","9350845","1904","476532","5015332","169424","0","5606","116184","2023-03-15 12:00:00"
"2020.06.25","9515481","0","481411","5133957","164636","0","4910","118625","2023-03-15 12:00:00"
"2020.06.26","9697081","0","488187","5231173","181600","0","6779","97216","2023-03-15 12:00:00"
"2020.06.27","9911027","0","493798","5355296","213946","0","5611","124123","2023-03-15 12:00:00"
"2020.06.28","10071082","0","497742","5453816","160055","0","3944","98520","2023-03-15 12:00:00"
"2020.06.29","10238227","0","500985","5546137","167145","0","3243","94519","2023-03-15 12:00:00"
"2020.06.30","10396555","0","505427","5653162","158328","0","4442","107025","2023-03-15 12:00:00"
"2020.07.01","10593616","0","511307","5783862","197061","0","5880","130700","2023-03-15 12:00:00"
"2020.07.02","10795638","0","516210","5920879","202022","0","4903","137017","2023-03-15 12:00:00"
"2020.07.03","11005704","0","521365","6178522","210066","0","5155","257643","2023-03-15 12:00:00"
"2020.07.04","11210579","0","526433","6324838","204875","0","5068","156573","2023-03-15 12:00:00"
"2020.07.05","11402056","0","530805","6462453","191477","0","4372","137615","2023-03-15 12:00:00"
"2020.07.06","11577964","0","534109","6581475","175908","0","3304","119022","2023-03-15 12:00:00"
"2020.07.07","11757061","0","538138","6721853","179097","0","4029","140378","2023-03-15 12:00:00"
"2020.07.08","11970871","0","543948","6889229","213810","0","5810","167376","2023-03-15 12:00:00"
"2020.07.09","12188954","0","549451","7054419","218083","0","5503","165190","2023-03-15 12:00:00"
"2020.07.10","12401794","0","554496","7192664","212840","0","5045","138245","2023-03-15 12:00:00"
"2020.07.11","12641354","0","559974","7362344","239560","0","5478","169680","2023-03-15 12:00:00"
"2020.07.12","12832615","0","564911","7499576","215749","0","4937","137232","2023-03-15 12:00:00"
"2020.07.13","13021914","0","568670","7625390","189299","0","3759","125814","2023-03-15 12:00:00"
"2020.07.14","13220850","0","572855","7786025","198936","0","4185","160635","2023-03-15 12:00:00"
"2020.07.15","13444417","0","578570","7967553","223567","0","5715","181528","2023-03-15 12:00:00"
"2020.07.16","13684835","0","584169","8153107","240418","0","5599","185554","2023-03-15 12:00:00"
"2020.07.17","13945331","0","589995","8314071","260496","0","5826","160964","2023-03-15 12:00:00"
"2020.07.18","14185885","0","596613","8537564","240554","0","6620","223493","2023-03-15 12:00:00"
"2020.07.19","14416616","0","602091","8684268","230731","0","5478","146704","2023-03-15 12:00:00"
"2020.07.20","14635176","0","605900","8855529","218560","0","3809","171261","2023-03-15 12:00:00"
"2020.07.21","14842525","0","609964","9027241","207349","0","4064","171712","2023-03-15 12:00:00"
"2020.07.22","15083678","0","616603","9161514","241153","0","6639","180855","2023-03-15 12:00:00"
"2020.07.23","15370277","0","623661","9437838","286599","0","7058","276324","2023-03-15 12:00:00"
"2020.07.24","15635075","0","633289","9615452","264798","0","9628","177614","2023-03-15 12:00:00"
"2020.07.25","15881195","0","639684","9889654","246120","0","6395","274250","2023-03-15 12:00:00"
"2020.07.26","16198246","0","644725","10061389","317051","0","5041","171735","2023-03-15 12:00:00"
"2020.07.27","16412526","0","649062","10214370","214280","0","4337","152981","2023-03-15 12:00:00"
"2020.07.28","16641679","0","653554","10413150","229153","0","4492","198780","2023-03-15 12:00:00"
"2020.07.29","16896566","0","660541","10627119","254887","0","6987","213969","2023-03-15 12:00:00"
"2020.07.30","17182691","0","667265","10845955","286125","0","6724","218836","2023-03-15 12:00:00"
"2020.07.31","17447495","0","673441","11042547","264804","0","6176","197364","2023-03-15 12:00:00"
"2020.08.01","17762523","0","680095","11283398","315028","0","6654","240851","2023-03-15 12:00:00"
"2020.08.02","18003383","0","685510","11467820","240860","0","5415","184422","2023-03-15 12:00:00"
"2020.08.03","18238187","0","689831","11645061","234804","0","4321","177241","2023-03-15 12:00:00"
"2020.08.04","18442875","0","694411","11866441","204688","0","4580","221380","2023-03-15 12:00:00"
"2020.08.05","18703450","0","701051","12115383","260575","0","6640","248942","2023-03-15 12:00:00"
"2020.08.06","18970151","0","707828","12345116","266701","0","6777","229733","2023-03-15 12:00:00"
"2020.08.07","19262586","0","714564","12569896","292435","0","6736","224780","2023-03-15 12:00:00"
"2020.08.08","19528290","0","720711","12754007","265704","0","6147","184111","2023-03-15 12:00:00"
"2020.08.09","19804559","0","726376","12948662","276269","0","5665","194655","2023-03-15 12:00:00"
"2020.08.10","20029968","0","730672","13133925","225409","0","4296","185263","2023-03-15 12:00:00"
"2020.08.11","20258273","0","736007","13412206","228305","0","5335","278281","2023-03-15 12:00:00"
"2020.08.12","20464195","0","741426","13643816","205922","0","5419","231610","2023-03-15 12:00:00"
"2020.08.13","20808183","0","749498","13915038","343988","0","8072","271222","2023-03-15 12:00:00"
"2020.08.14","21099142","0","759578","14092439","290959","0","10080","177401","2023-03-15 12:00:00"
"2020.08.15","21377648","0","765615","14374562","278506","0","6037","282123","2023-03-15 12:00:00"
"2020.08.16","21622089","0","770703","14537706","244441","0","5088","163144","2023-03-15 12:00:00"
"2020.08.17","21844519","0","775058","14773667","222562","0","4355","235961","2023-03-15 12:00:00"
"2020.08.18","22044986","0","773960","15018171","200467","0","4246","244504","2023-03-15 12:00:00"
"2020.08.19","22310445","0","781270","15256778","265459","0","7310","238607","2023-03-15 12:00:00"
"2020.08.20","22583606","0","787959","15501222","273161","0","6689","244444","2023-03-15 12:00:00"
"2020.08.21","22860342","0","794055","15720608","276736","0","6096","219386","2023-03-15 12:00:00"
"2020.08.22","23122301","0","800329","15925015","261959","0","6274","204407","2023-03-15 12:00:00"
"2020.08.23","23380298","0","805734","16124172","257997","0","5405","199157","2023-03-15 12:00:00"
"2020.08.24","23593462","0","809825","16338302","213164","0","4091","214130","2023-03-15 12:00:00"
"2020.08.25","23820357","0","814474","16581757","226895","0","4649","243455","2023-03-15 12:00:00"
"2020.08.26","24059736","0","820589","16810699","239379","0","6115","228942","2023-03-15 12:00:00"
"2020.08.27","24337746","0","827191","17067073","278010","0","6602","256374","2023-03-15 12:00:00"
"2020.08.28","24637733","0","833026","17288161","299987","0","5835","221088","2023-03-15 12:00:00"
"2020.08.29","24919877","0","838727","17492946","282144","0","5701","204785","2023-03-15 12:00:00"
"2020.08.30","25179190","0","843880","17721341","259313","0","5153","228395","2023-03-15 12:00:00"
"2020.08.31","25384466","0","847539","17908819","205276","0","3659","187478","2023-03-15 12:00:00"
"2020.09.01","25644069","0","852056","18139183","259603","0","4517","230364","2023-03-15 12:00:00"
"2020.09.02","25919085","0","858733","18414622","275016","0","6677","275439","2023-03-15 12:00:00"
"2020.09.03","26190588","0","863424","18642526","273846","0","5944","241123","2023-03-15 12:00:00"
"2020.09.04","26459406","0","868842","18839299","269946","0","5427","219211","2023-03-15 12:00:00"
"2020.09.05","26811027","0","875244","19107018","351621","0","6403","267719","2023-03-15 12:00:00"
"2020.09.06","27066788","0","879934","19371148","213685","0","3983","192984","2023-03-15 12:00:00"
"2020.09.07","27294613","0","889160","19556310","236086","0","9249","196224","2023-03-15 12:00:00"
"2020.09.08","27499676","0","893021","19788422","205063","0","3861","232112","2023-03-15 12:00:00"
"2020.09.09","27752537","0","898402","20015213","252861","0","5381","226791","2023-03-15 12:00:00"
"2020.09.10","28041292","0","904344","20265687","288755","0","5942","250474","2023-03-15 12:00:00"
"2020.09.11","28346086","0","910180","20503887","304794","0","5867","238200","2023-03-15 12:00:00"
"2020.09.12","28681307","0","916242","20743702","335221","0","6062","239815","2023-03-15 12:00:00"
"2020.09.13","28942303","0","920637","20984938","260996","0","4395","241236","2023-03-15 12:00:00"
"2020.09.14","29198815","0","924758","21165532","256512","0","4121","181040","2023-03-15 12:00:00"
"2020.09.15","29463157","0","929172","21441919","264342","0","4414","276539","2023-03-15 12:00:00"
"2020.09.16","29748353","0","935730","21642993","285196","0","6558","247656","2023-03-15 12:00:00"
"2020.09.17","30058563","0","941699","21937055","310210","0","5969","294063","2023-03-15 12:00:00"
"2020.09.18","30365877","0","946880","22172416","307314","0","5181","235361","2023-03-15 12:00:00"
"2020.09.19","30714826","0","952773","22440425","348949","0","5893","268009","2023-03-15 12:00:00"
"2020.09.20","30996622","0","957937","22724671","281796","0","5164","284246","2023-03-15 12:00:00"
"2020.09.21","31266650","0","961520","22932928","270028","0","3583","208257","2023-03-15 12:00:00"
"2020.09.22","31500723","0","965672","23200957","234073","0","4152","268029","2023-03-15 12:00:00"
"2020.09.23","31798123","0","971813","23419083","297400","0","6141","264708","2023-03-15 12:00:00"
"2020.09.24","32093665","0","977741","23733940","295542","0","5928","315150","2023-03-15 12:00:00"
"2020.09.25","32427058","0","983917","23930692","333393","0","6176","243334","2023-03-15 12:00:00"
"2020.09.26","32784015","0","989897","24257272","356957","0","5980","326580","2023-03-15 12:00:00"
"2020.09.27","33052477","0","994664","24512168","268462","0","4767","254896","2023-03-15 12:00:00"
"2020.09.28","33317384","0","998564","24738431","264907","0","3900","226263","2023-03-15 12:00:00"
"2020.09.29","33596594","0","1003283","25005980","279210","0","4719","267549","2023-03-15 12:00:00"
"2020.09.30","33886140","0","1009358","25260486","289546","0","6076","254509","2023-03-15 12:00:00"
"2020.10.01","34200247","0","1015443","25528227","314107","0","6085","267741","2023-03-15 12:00:00"
"2020.10.02","34499252","0","1023893","25746044","299005","0","8450","217817","2023-03-15 12:00:00"
"2020.10.03","34853712","0","1029631","25974380","354460","0","5743","228336","2023-03-15 12:00:00"
"2020.10.04","35151050","0","1034410","26248079","297338","0","4779","273699","2023-03-15 12:00:00"
"2020.10.05","35270206","0","1036359","26340847","119156","0","1949","92768","2023-03-15 12:00:00"
"2020.10.06","35768841","0","1045573","26742288","498635","0","9214","401441","2023-03-15 12:00:00"
"2020.10.07","36103852","0","1051529","26982976","335011","0","5959","245659","2023-03-15 12:00:00"
"2020.10.08","36462718","0","1057510","27247285","358866","0","5981","264309","2023-03-15 12:00:00"
"2020.10.09","36791763","0","1062914","27465788","329045","0","5407","218503","2023-03-15 12:00:00"
"2020.10.10","37131687","0","1069338","27653871","363193","0","6424","234665","2023-03-15 12:00:00"
"2020.10.11","37425102","0","1073402","27843543","293415","0","4064","189672","2023-03-15 12:00:00"
"2020.10.12","37810056","0","1078160","28155249","384954","0","4819","311706","2023-03-15 12:00:00"
"2020.10.13","38074426","0","1082318","28343833","265769","0","4158","235826","2023-03-15 12:00:00"
"2020.10.14","38428905","0","1087832","28597352","354479","0","5514","253519","2023-03-15 12:00:00"
"2020.10.15","38811135","0","1093704","28832441","382230","0","5872","235089","2023-03-15 12:00:00"
"2020.10.16","39257439","0","1100004","29060922","446304","0","6300","228481","2023-03-15 12:00:00"
"2020.10.17","39625353","0","1105599","29294091","367914","0","5595","233169","2023-03-15 12:00:00"
"2020.10.18","39917115","0","1110294","29486816","291762","0","4695","192725","2023-03-15 12:00:00"
"2020.10.19","40359345","0","1115282","29743810","442230","0","4988","256994","2023-03-15 12:00:00"
"2020.10.20","40732729","0","1120099","29962142","373384","0","4817","218332","2023-03-15 12:00:00"
"2020.10.21","41126572","0","1126767","30384121","393843","0","6668","421979","2023-03-15 12:00:00"
"2020.10.22","41583533","0","1133511","30438589","456961","0","6845","252786","2023-03-15 12:00:00"
"2020.10.23","42093434","0","1139660","30688300","509901","0","6151","249711","2023-03-15 12:00:00"
"2020.10.24","42593703","0","1146716","30923640","500269","0","7056","235340","2023-03-15 12:00:00"
"2020.10.25","42825411","0","1149875","31016950","231708","0","3159","93312","2023-03-15 12:00:00"
"2020.10.26","43323268","0","1155267","31312788","497857","0","5392","295838","2023-03-15 12:00:00"
"2020.10.27","43828659","0","1161958","31565590","517443","0","6691","299384","2023-03-15 12:00:00"
"2020.10.28","44365262","0","1169710","32190808","536603","0","7752","629630","2023-03-15 12:00:00"
"2020.10.29","44897657","0","1176895","32514492","532395","0","7185","323684","2023-03-15 12:00:00"
"2020.10.30","45431318","0","1183315","32759577","533661","0","6420","245085","2023-03-15 12:00:00"
"2020.10.31","45910236","0","1189901","32982875","478923","0","6586","214941","2023-03-15 12:00:00"
"2020.11.01","46512440","0","1198128","33340887","602204","0","8227","1220847","2023-03-15 12:00:00"
"2020.11.02","46949492","0","1202960","33611552","437052","0","4832","270665","2023-03-15 12:00:00"
"2020.11.03","47360005","0","1208871","33887900","411804","0","5912","267923","2023-03-15 12:00:00"
"2020.11.04","47792945","0","1215894","34106572","432940","0","7190","270562","2023-03-15 12:00:00"
"2020.11.05","48603075","0","1229088","34532180","810130","0","13194","430579","2023-03-15 12:00:00"
"2020.11.06","49172505","0","1237351","34772211","569430","0","8263","286613","2023-03-15 12:00:00"
"2020.11.07","49822464","0","1246982","35152503","649959","0","9631","380292","2023-03-15 12:00:00"
"2020.11.08","50185351","0","1252095","35348033","362887","0","5113","195530","2023-03-15 12:00:00"
"2020.11.09","50864660","0","1259731","35669724","679309","0","7644","321691","2023-03-15 12:00:00"
"2020.11.10","51236331","0","1264710","35895458","372082","0","4979","225734","2023-03-15 12:00:00"
"2020.11.11","51880611","0","1276412","36289947","689664","0","11702","427222","2023-03-15 12:00:00"
"2020.11.12","52250383","0","1283135","36400622","369772","0","6723","190675","2023-03-15 12:00:00"
"2020.11.13","53225954","0","1297382","36933706","975571","0","14247","621242","2023-03-15 12:00:00"
"2020.11.14","53834888","0","1306223","37266091","608934","0","8841","332385","2023-03-15 12:00:00"
"2020.11.15","54428589","0","1316185","37584863","593701","0","9962","327980","2023-03-15 12:00:00"
"2020.11.16","54761438","0","1320026","37783404","332849","0","3841","198541","2023-03-15 12:00:00"
"2020.11.17","55472376","0","1330865","38274761","710938","0","10839","537939","2023-03-15 12:00:00"
"2020.11.18","55959176","0","1339148","38589447","486804","0","8283","314686","2023-03-15 12:00:00"
"2020.11.19","56725818","0","1353374","39151446","766642","0","14226","561999","2023-03-15 12:00:00"
"2020.11.20","57409116","0","1364569","39531282","683298","0","11195","379836","2023-03-15 12:00:00"
"2020.11.21","58062503","0","1376043","39903217","653387","0","11474","371935","2023-03-15 12:00:00"
"2020.11.22","58641751","0","1384161","40265862","579248","0","8118","362645","2023-03-15 12:00:00"
"2020.11.23","59131333","0","1391696","40583252","489582","0","7535","317390","2023-03-15 12:00:00"
"2020.11.24","59677340","0","1400867","40942326","552610","0","9171","405656","2023-03-15 12:00:00"
"2020.11.25","60240761","0","1413728","41340922","563421","0","12861","398596","2023-03-15 12:00:00"
