School_code,AgeID,School_name,Street,Town_suburb,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,Preschool_ind,Distance_education,Intensive_english_centre,School_gender,Late_opening_school,Date_1st_teacher,LGA,electorate_from_2023,electorate_2015_2022,Fed_electorate,Operational_directorate,Principal_network,Operational_directorate_office,Operational_directorate_office_phone,Operational_directorate_office_address,FACS_district,Local_health_district,AECG_region,ASGS_remoteness,Latitude,Longitude,Assets unit,SA4,Date_extracted
1040,49126,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,4982 1187,annabay-p.school@det.nsw.edu.au,https://annabay-p.schools.nsw.gov.au,4982 1879,343.0,12.0,5.0,969,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1879-11-01,Port Stephens (A),Port Stephens,Port Stephens,Paterson,Regional North,Port Stephens,Newcastle,4924 9900,"Level 1, 117 Bull St, Newcastle 2300",Hunter New England & Central Coast,Hunter New England,Hunter,Inner Regional Australia,-32.77637,152.089912,Hunter/Central Coast,Hunter Valley exc Newcastle,2023-08-22
1041,45497,Annandale Public School,25 Johnston St,Annandale ,2038,9516 3711,annandale-p.school@det.nsw.edu.au,https://annandale-p.schools.nsw.gov.au,9550 4581,397.0,2.0,37.0,1132,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,N,1886-08-01,Inner West (A),Balmain,Balmain,Grayndler,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.885782,151.169599,Sydney,Sydney - Inner West,2023-08-22
1042,44930,Annandale North Public School,206 Johnston St,Annandale ,2038,9660 3972,annandalen-p.school@det.nsw.edu.au,https://annandalen-p.schools.nsw.gov.au,9692 8323,391.0,3.0,27.0,1151,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1907-05-01,Inner West (A),Balmain,Balmain,Grayndler,Metropolitan South,Iron Cove,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.877905,151.171835,Sydney,Sydney - Inner West,2023-08-22
1045,50197,Appin Public School,97 Appin Road,APPIN,2560,4631 1220,appin-p.school@det.nsw.edu.au,https://appin-p.schools.nsw.gov.au,4631 1486,342.0,8.0,8.0,989,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1868-01-01,Wollondilly (A),Campbelltown,Wollondilly,Hume,Regional South,Camden,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",South Western Sydney,South Western Sydney,Dharawal,Inner Regional Australia,-34.198417,150.78766,South Western Sydney,Sydney - Outer South West,2023-08-22
1048,57392,Arcadia Public School,140 Arcadia Road,ARCADIA,2159,9653 1207,arcadia-p.school@det.nsw.edu.au,https://arcadia-p.schools.nsw.gov.au,9653 2697,77.0,np,19.0,1055,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1894-05-01,Hornsby (A),Hornsby,Hornsby,Berowra,Regional North,Windsor,Nirimba,9208 7611,"Building T3C, Nirimba Education Precinct, Eastern Rd, Quakers Hill 2763","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Inner Regional Australia,-33.623487,151.051031,Northern Sydney,Sydney - Baulkham Hills and Hawkesbury,2023-08-22
1051,50519,Ardlethan Central School,Mithul St,Ardlethan ,2665,6978 2046,ardlethan-c.school@det.nsw.edu.au,https://ardlethan-c.schools.nsw.gov.au,6978 2202,73.39999999999999,27.0,np,891,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,N,1910-01-01,Coolamon (A),Cootamundra,Cootamundra,Riverina,Rural South and West,West Wyalong,Griffith,02 6961 8100,"Government Offices, 104-110 Banna Ave, Griffith 2680","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.354098,146.900557,Southern NSW,Riverina,2023-08-22
1055,50520,Ariah Park Central School,Reid St,Ariah Park ,2665,6974 1105,ariahpark-c.school@det.nsw.edu.au,https://ariahpark-c.schools.nsw.gov.au,6974 1017,138.0,4.0,np,963,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,N,1899-04-01,Temora (A),Cootamundra,Cootamundra,Riverina,Rural South and West,West Wyalong,Griffith,02 6961 8100,"Government Offices, 104-110 Banna Ave, Griffith 2680","Murrumbidgee, Far West & Western NSW",Murrumbidgee,Riverina 1,Outer Regional Australia,-34.346925,147.218018,Southern NSW,Riverina,2023-08-22
1057,49372,Armidale City Public School,Faulkner St,Armidale ,2350,6772 3420,armidalec-p.school@det.nsw.edu.au,https://armidalec-p.schools.nsw.gov.au,6771 2262,379.0,13.0,30.0,982,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1861-06-01,Armidale Regional (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Armidale,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-30.519501,151.664056,North Western NSW,New England and North West,2023-08-22
1058,49376,Drummond Memorial Public School,250 Rusden Street,ARMIDALE,2350,6772 3736,drummondm-p.school@det.nsw.edu.au,https://drummondm-p.schools.nsw.gov.au,6771 2275,223.0,39.0,29.0,805,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1890-10-01,Armidale Regional (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Armidale,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Inner Regional Australia,-30.511469,151.650715,North Western NSW,New England and North West,2023-08-22
1061,47612,Artarmon Public School,McMillan Rd,Artarmon ,2064,9411 1950,artarmon-p.school@det.nsw.edu.au,https://artarmon-p.schools.nsw.gov.au,9415 1243,1237.0,0.0,87.0,1169,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1910-10-01,Willoughby (C),Willoughby,Lane Cove,North Sydney,Metropolitan North,Gordon,MacPark,9886 7000,"Level 2, 75 Talavera Rd, Macquarie Park 2113","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.811249,151.186001,Northern Sydney,Sydney - North Sydney and Hornsby,2023-08-22
1064,47773,Ashbury Public School,Trevenar St,Ashbury,2193,9798 4509,ashbury-p.school@det.nsw.edu.au,https://ashbury-p.schools.nsw.gov.au,9716 8089,377.0,2.0,41.0,1115,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1924-05-01,Canterbury-Bankstown (A),Summer Hill,Summer Hill,Watson,Metropolitan South,Canterbury,Arncliffe,9582 2800,"Cnr Segenhoe & Avenal St, Arncliffe 2205","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.898833,151.11944,Sydney,Sydney - Inner West,2023-08-22
1065,47774,Ashfield Public School,Liverpool Rd,Ashfield ,2131,9798 4400,ashfield-p.school@det.nsw.edu.au,https://ashfield-p.schools.nsw.gov.au,9716 7250,476.0,2.0,75.0,1100,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1862-01-01,Inner West (A),Summer Hill,Summer Hill,Grayndler,Metropolitan South,Canterbury,Arncliffe,9582 2800,"Cnr Segenhoe & Avenal St, Arncliffe 2205","South Eastern Sydney, Northern Sydney & Sydney",Sydney,Metropolitan East,Major Cities of Australia,-33.889723,151.12821,Sydney,Sydney - Inner West,2023-08-22
1066,49412,Ashford Central School,Albury St,Ashford ,2361,6725 4101,ashford-c.school@det.nsw.edu.au,https://ashford-c.schools.nsw.gov.au,6725 4336,148.0,39.0,np,814,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,Y,1868-01-01,Inverell (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Northern Tablelands,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-29.321262,151.094638,North Western NSW,New England and North West,2023-08-22
1070,45797,Asquith Public School,3 Dudley St,Asquith,2077,9477 1258,asquith-p.school@det.nsw.edu.au,https://asquith-p.schools.nsw.gov.au,,402.0,1.0,56.0,1093,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1930-03-01,Hornsby (A),Hornsby,Hornsby,Bradfield,Metropolitan North,Hornsby,MacPark,9886 7000,"Level 2, 75 Talavera Rd, Macquarie Park 2113","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.685729,151.112177,Northern Sydney,Sydney - North Sydney and Hornsby,2023-08-22
1071,49369,Attunga Public School,Railway St,Attunga ,2345,6769 5554,attunga-p.school@det.nsw.edu.au,https://attunga-p.schools.nsw.gov.au,6769 5690,35.0,40.0,0.0,854,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1878-04-01,Tamworth Regional (A),Tamworth,Tamworth,New England,Rural North,Peel,Tamworth,6755 5000,"Level 3, Noel Park House, 155-157 Marius St, Tamworth 2340",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.930445,150.846575,North Western NSW,New England and North West,2023-08-22
1073,47799,Auburn North Public School,100 Adderley St,Auburn ,2144,9748 1036,auburnnth-p.school@det.nsw.edu.au,https://auburnnth-p.schools.nsw.gov.au,9748 0109,630.0,np,98.0,998,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1891-01-01,Cumberland (A),Auburn,Auburn,Blaxland,Metropolitan South,Auburn,St Peters,9582 5800,"Church St, St Peters 2044",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.841669,151.038618,South Western Sydney,Sydney - Parramatta,2023-08-22
1075,47801,Auburn West Public School,Chiswick Rd,Auburn ,2144,9649 6774,auburnwest-p.school@det.nsw.edu.au,https://auburnwest-p.schools.nsw.gov.au,9749 1467,563.0,1.0,97.0,913,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1934-08-01,Cumberland (A),Auburn,Auburn,Blaxland,Metropolitan South,Auburn,St Peters,9582 5800,"Church St, St Peters 2044",Western Sydney & Nepean Blue Mountains,Western Sydney,Metropolitan South West,Major Cities of Australia,-33.860931,151.019764,South Western Sydney,Sydney - Parramatta,2023-08-22
1076,49986,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,4267 1311,austinmer-p.school@det.nsw.edu.au,https://austinmer-p.schools.nsw.gov.au,4267 1018,257.0,3.0,8.0,1112,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1866-01-01,Wollongong (C),Heathcote,Keira,Cunningham,Regional South,Wollongong North,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.305398,150.934991,Southern NSW,Illawarra,2023-08-22
1077,48545,Austral Public School,219 Edmondson Avenue,AUSTRAL,2179,9606 0312,austral-p.school@det.nsw.edu.au,https://austral-p.schools.nsw.gov.au,9606 0080,424.0,2.0,75.0,994,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1893-06-01,Liverpool (C),Leppington,Camden,Werriwa,Metropolitan South and West,Glenfield,Glenfield,9203 9900,"Roy Watts Rd, Glenfield 2167",South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.934487,150.812638,South Western Sydney,Sydney - South West,2023-08-22
1081,50243,Avoca Public School,Sheepwash Rd,Avoca,2577,4887 7224,avoca-p.school@det.nsw.edu.au,https://avoca-p.schools.nsw.gov.au,4887 7380,9.0,0.0,0.0,1007,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1872-09-01,Wingecarribee (A),Goulburn,Goulburn,Whitlam,Regional South,Goulburn,Campbelltown,4633 2700,"Cnr Lindesay & Lithgow Streets, Campelltown 2560",South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.612697,150.479766,Southern NSW,Southern Highlands and Shoalhaven,2023-08-22
1082,56159,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,4382 1416,avocabch-p.school@det.nsw.edu.au,https://avocabch-p.schools.nsw.gov.au,4381 1431,451.0,3.0,10.0,1083,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1935-05-01,Central Coast (C),Terrigal,Terrigal,Robertson,Regional North,Brisbane Water,Tuggerah,4348 9100,"14 Pioneer Ave, Tuggerah 2259",Hunter New England & Central Coast,Central Coast,Central Coast,Major Cities of Australia,-33.471154,151.430745,Hunter/Central Coast,Central Coast,2023-08-22
1084,48964,Awaba Public School,Mulbring Street,Awaba,2283,4959 2502,awaba-p.school@det.nsw.edu.au,https://awaba-p.schools.nsw.gov.au,4950 4905,27.0,np,np,943,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1891-06-01,Lake Macquarie (C),Lake Macquarie,Lake Macquarie,Hunter,Regional North,Lake Macquarie West,Gateshead West,4088 3518,"40-44 Coral Cr, Gateshead West 2290",Hunter New England & Central Coast,Hunter New England,Hunter,Major Cities of Australia,-33.010554,151.538068,Hunter/Central Coast,Newcastle and Lake Macquarie,2023-08-22
1085,56197,Colo Vale Public School,Wattle St,Colo Vale ,2575,4889 4250,colovale-p.school@det.nsw.edu.au,https://colovale-p.schools.nsw.gov.au,4889 4285,170.0,6.0,7.0,967,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1882-01-01,Wingecarribee (A),Wollondilly,Wollondilly,Hume,Regional South,Wollondilly,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",South Western Sydney,South Western Sydney,Upper South Coast,Inner Regional Australia,-34.401281,150.476178,Southern NSW,Southern Highlands and Shoalhaven,2023-08-22
1098,49413,Bald Blair Public School,2132 Greenhills Road,GUYRA,2365,6779 1578,baldblair-p.school@det.nsw.edu.au,https://baldblair-p.schools.nsw.gov.au,6779 2060,39.0,np,np,965,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1920-05-01,Armidale Regional (A),Northern Tablelands,Northern Tablelands,New England,Rural North,Northern Tablelands,Armidale,6776 4100,"Suites 2 & 3, North Power Building, 175 Rusden St Armidale",Hunter New England & Central Coast,Hunter New England,North Western 2,Outer Regional Australia,-30.229893,151.785056,North Western NSW,New England and North West,2023-08-22
1104,47691,Seaforth Public School,37 Kempbridge Avenue,Seaforth ,2092,9948 1694,seaforth-p.school@det.nsw.edu.au,https://seaforth-p.schools.nsw.gov.au,9907 0858,446.0,np,18.0,1164,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1881-07-01,Northern Beaches (A),Manly,Manly,Warringah,Metropolitan North,The Beaches,Dee Why,9982 0500,"72 Fisher Rd, Dee Why 2099","South Eastern Sydney, Northern Sydney & Sydney",Northern Sydney,Metropolitan North,Major Cities of Australia,-33.793262,151.251235,Northern Sydney,Sydney - Northern Beaches,2023-08-22
1106,50002,Balgownie Public School,Balgownie Rd,Balgownie ,2519,4284 4245,balgownie-p.school@det.nsw.edu.au,https://balgownie-p.schools.nsw.gov.au,4284 3462,336.0,2.0,17.0,1085,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1889-04-01,Wollongong (C),Keira,Keira,Cunningham,Regional South,Wollongong,Wollongong,4247 1007,"Block H, Level 2, 84 Crown Street, Wollongong 2500",Illawarra Shoalhaven & Southern NSW,Illawarra Shoalhaven,Upper South Coast,Major Cities of Australia,-34.386984,150.872076,Southern NSW,Illawarra,2023-08-22
1111,51039,Ballimore Public School,Bomen St,Ballimore ,2830,6886 5151,ballimore-p.school@det.nsw.edu.au,https://ballimore-p.schools.nsw.gov.au,6886 5167,14.0,np,0.0,917,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-07-01,Dubbo Regional (A),Dubbo,Dubbo,Parkes,Regional North and West,Mudgee,Dubbo,02 6883 6300,"Level 2, 37 Carrington Ave, Dubbo 2830","Murrumbidgee, Far West & Western NSW",Western NSW,Western 1,Outer Regional Australia,-32.193596,148.899631,North Western NSW,Far West and Orana,2023-08-22
1112,49765,Ballina Public School,48 Crane St,Ballina ,2478,6686 2205,ballina-p.school@det.nsw.edu.au,https://ballina-p.schools.nsw.gov.au,6686 0692,266.0,38.0,11.0,848,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1861-08-01,Ballina (A),Ballina,Ballina,Richmond,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.869724,153.563707,North Coast,Richmond - Tweed,2023-08-22
1115,46377,Balranald Central School,We St,Balranald,2715,03 5020 2222,balranald-c.school@det.nsw.edu.au,https://balranald-c.schools.nsw.gov.au,03 5020 2269,175.0,15.0,7.0,919,Central/Community School,Not Selective,N,Comprehensive,Kinder to Year 12,,N,N,N,Coed,Y,1865-09-01,Balranald (A),Murray,Murray,Farrer,Rural South and West,Deniliquin,Deniliquin,03 5898 3700,"Harfleur St, Deniliquin 2710","Murrumbidgee, Far West & Western NSW",Far West,Riverina 3,Outer Regional Australia,-34.635575,143.564769,Southern NSW,Murray,2023-08-22
1118,49770,Bangalow Public School,Byron St,Bangalow ,2479,6687 1434,bangalow-p.school@det.nsw.edu.au,https://bangalow-p.schools.nsw.gov.au,6687 2036,250.0,np,11.0,1085,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1884-10-01,Byron (A),Ballina,Ballina,Richmond,Rural North,Lennox Coast,Goonellabah,6623 5900,"610 Ballina Rd, Goonellabah 2480",Mid North Coast & Northern NSW,Northern NSW,Upper North Coast,Inner Regional Australia,-28.68554,153.525743,North Coast,Richmond - Tweed,2023-08-22
1121,46390,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,9316 9608,banksmeado-p.school@det.nsw.edu.au,https://banksmeado-p.schools.nsw.gov.au,9316 4513,293.0,3.0,34.0,1038,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Y,N,N,Coed,N,1881-08-01,Bayside (A),Maroubra,Maroubra,Kingsford Smith,Metropolitan South,Botany Bay,St Peters,9582 5800,"Church St, St Peters 2044","South Eastern Sydney, Northern Sydney & Sydney",South Eastern Sydney,Metropolitan East,Major Cities of Australia,-33.953739,151.20661,Sydney,Sydney - City and Inner South,2023-08-22
1123,48557,Greenacre Public School,Waterloo Rd,Greenacre,2190,9759 1305,greenacre-p.school@det.nsw.edu.au,https://greenacre-p.schools.nsw.gov.au,9740 4035,779.0,1.0,97.0,912,Primary School,Not Selective,Y,Comprehensive,Kinder to Year 6,,N,N,N,Coed,N,1921-05-01,Canterbury-Bankstown (A),Bankstown,Lakemba,Watson,Metropolitan South,Chullora,St Peters,9582 5800,"Church St, St Peters 2044",South Western Sydney,South Western Sydney,Metropolitan South West,Major Cities of Australia,-33.911161,151.057581,South Western Sydney,Sydney - Inner South West,2023-08-22
