,博主名称,博主主页,关注数,粉丝数,博文链接,发布内容,Unnamed: 6,图片数量,是否存在图片,是否存在视频,发布时间,转发数,评论数,点赞数,confidence,score,sentiment
10,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1JPmi6ye?uid=2014034660&rl=0#cmtfrm,上海滨江森林公园首届森林乐享节来了，玩亲子跳绳、飞盘、投壶，观看蚯蚓科普片，参加森林探秘科普游，爱心义卖……日前，滨江森林公园首届森林乐享节开幕，公园里热闹非凡。此外，八仙花展也同步开幕。园内5万株八仙花缤纷怒放，点缀着这一片城市森林，为市民游客展现出不一样的森林魅力。 #魔都美好打卡地#,信息类,4.0,有,,05月22日 10:32,,,4.0,0.99298,0.996841,2
11,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1JGkjx1u?uid=2014034660&rl=0#cmtfrm,#美育日课# 春秋大翼战船金雕模型：纯金打造战船模型，生动再现春秋时期水战场景👇,信息类,,有,,05月22日 10:09,,,4.0,0.994022,0.99731,2
12,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1J7Stm3C?uid=2014034660&rl=0#cmtfrm,#早安上海#生活不一定要五彩缤纷，但一定要活出自己的颜色~#早安#,信息类,,有,,05月22日 08:45,,11.0,5.0,0.999792,0.999907,2
13,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1EDQ3wu7?uid=2014034660&rl=0#cmtfrm,#五颜六色的睡莲绽放好惊艳#据央视新闻，初夏时节，浙江金华，朵朵睡莲竞相绽放。黄色、粉色、紫色，色彩各异的花朵在绿叶衬托下，格外娇艳。分享视频，愿你好运“莲莲”！#这一池睡莲绽放惊艳了夏日# 央视新闻的微博视频,参与类,,,有,05月21日 21:20,,,0.0,0.999796,0.999908,2
14,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1EjxymR3?uid=2014034660&rl=0#cmtfrm,七月云间剧院将上演舞蹈诗剧《只此青绿》，感受浩荡长卷《千里江山图》一舞成画。2022年春节联欢晚会上，一个时长6分钟的舞蹈作品《只此青绿》惊动国内外舞蹈界，至今热度不减，成为现象级审美艺术作品。舞蹈《只此青绿》以北宋晚期天才画家王希孟的名画《千里江山图》为背景创作而成。有人说，《只此青绿》演活了《千里江山图》，有人认为，《千里江山图》成就了《只此青绿》。两者都赋予中国传统文化的意蕴，两种艺术横跨千年，我们有幸窥见，青绿明艳、光华灿烂。,信息类,6.0,有,,05月21日 20:30,,,1.0,0.999494,0.999772,2
15,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1DR87M77?uid=2014034660&rl=0#cmtfrm,"155年前的自行车长啥样 自行车主题展嘉定开展。近日，《了不起的自行车主题展》在上海汽车博物馆临展厅开幕。向观众呈现了自行车自诞生之日起，近三百年的浮沉转变。市民可以一睹最古老的自行车：博物馆馆藏的米肖式自行车，也可以看到二八杠等属于自行车王国的 ""回忆杀""。 SMGNEWS的微博视频",信息类,,,有,05月21日 19:20,1.0,,2.0,0.991206,0.996043,2
16,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1DsMaZqV?uid=2014034660&rl=0#cmtfrm,"#美食推荐# 大鱼大肉吃腻了，这道凉拌皮蛋豆腐可以安排起来，好吃过瘾又爽口""家常菜 ""下饭菜 ""凉拌皮蛋豆腐（不二日食） 不二日食的微博视频",信息类,,,有,05月21日 18:20,3.0,2.0,6.0,0.998384,0.999273,2
17,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1CWj0WLH?uid=2014034660&rl=0#cmtfrm,北外滩的天台上，新开了一个公园！上月底，位于北外滩来福士4楼空间的全新“来福公园”惊喜开园！全新升级启幕的来福公园，以苍穹为披、绿茵为毯，在钢筋水泥与北外滩来福士双子塔之间打造了一处“轻山系”风格的绿洲栖息地，为都市出游增添了新选择。无需驱车远离市区即可抵达绿色天地，在北外滩的天台花园就能尽情享受阳光。作为新生代社交场，来福公园用满分的悠逛疗愈配方和丰富的社交体验，带来美好生活方式及放松选择。#魔都美好打卡地#,信息类,9.0,有,,05月21日 17:00,1.0,,3.0,0.999955,0.99998,2
18,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1CG4iwXb?uid=2014034660&rl=0#cmtfrm,据@上海孙中山故居纪念馆 上海孙中山故居纪念馆将于2023年5月22日（周一）起闭馆，后续开馆时间将另行通知。,信息类,,有,,05月21日 16:20,,,0.0,0.850978,0.93294,2
19,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1ChIiskN?uid=2014034660&rl=0#cmtfrm,#国家级非遗项目#“钧瓷烧制技艺”作品亮相上海!为更好地传承发展#钧瓷# 文化，弘扬优秀非物质文化遗产，以“日月同辉”为主题的钧瓷烧制技艺代表性传承人杨志暨李胜强、杨晓平伉俪作品展，已于昨日在上海群众艺术馆盛大亮相，为观众带来一场极致绚丽的艺术感官之旅。展览主题分为技艺、传承、创新、生活四个篇章，集中展示80余件优秀钧瓷精品，涵盖了杨志大师60年来不同时期的艺术成就，以及徒弟李胜强、杨晓平这对钧瓷伉俪的艺术风采。从传统到现代，从艺术到日常，古老的钧瓷文化穿越千年，与摩登上海在此刻相遇，带领观众进入钧彩万千的窑变世界。,信息类,6.0,有,,05月21日 15:20,,,0.0,0.999689,0.99986,2
20,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1BTmkztP?uid=2014034660&rl=0#cmtfrm,上海一公园“再现”世界名画，网友：连树枝都一模一样。近日，有网友晒出在上海大宁灵石公园拍摄的风景照，与法国画家乔治·修拉的油画《大碗岛的星期天下午》相似度极高，宛如AI作画。评论区有人赞叹，连树枝都几乎一模一样。是继此前爆火的莫奈花园后，上海公园内再次出现置身世界名画般的梦幻景色。七环视频的微博视频,信息类,,,有,05月21日 14:20,1.0,1.0,3.0,0.996238,0.998307,2
21,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1BmT7dGQ?uid=2014034660&rl=0#cmtfrm,夏花灿烂，走进花开海上生态园，来一场浪漫的旅行吧~#魔都美好打卡地#,参与类,6.0,有,,05月21日 13:00,,2.0,1.0,0.998573,0.999358,2
22,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1B6EnIFX?uid=2014034660&rl=0#cmtfrm,周末去哪儿玩 ?在 法国梧桐下，来一场浪漫约会吧，徐汇衡山路到复兴路地段曾是法租界，让这里拥有法式浪漫情调，沿街的法国梧桐映衬着独特的建筑风格，像是一幅幅油画，在树荫下漫步，树叶间洒下的阳光微暖，感受生活闲暇的惬意。 推荐路线 徐家汇地铁站-衡山路-余庆路-武康路-五原路-常熟路-淮海中路-陕西南路-复兴中路-宝庆路-衡山路-徐家汇公园,参与类,9.0,有,,05月21日 12:20,1.0,5.0,9.0,0.999312,0.99969,2
23,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1ACd4i2J?uid=2014034660&rl=0#cmtfrm,上海琉璃艺术博物馆新推《觅游忆境》艺术展，朦胧的色彩、富有韵律的曲线，展厅中呈现的30组玻璃雕塑作品打破了人们对玻璃的固有印象。青年艺术家赵瑾雅对于玻璃吹制工艺有着独到见解，她运用颜色渐变与结构层叠，表达对自然环境的赞美、时光荏苒的追忆。 SMGNEWS的微博视频,信息类,,,有,05月21日 11:05,1.0,,3.0,0.999695,0.999863,2
24,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1AhUBkjc?uid=2014034660&rl=0#cmtfrm,国内首演！三部原版好戏要来了!2023年7月至11月间，上海文化广场首届“以色列戏剧展演”将呈现《多余的人》《恶灵》《哈姆雷特》三部原版以色列经典戏剧作品的全国首秀，联合以色列极富盛名的米查菲加剧院、盖舍尔剧院及贝特莱辛剧院的众多国宝级主创和演员，以希伯来语的原版演出配以中文字幕，为观众献上原汁原味的艺术盛宴。国内首演！三部原版好戏要来了,信息类,4.0,有,,05月21日 10:15,,,2.0,0.999866,0.99994,2
25,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1AePn73q?uid=2014034660&rl=0#cmtfrm,#美育日课# 上海老味道：童谣与游艺↓,信息类,,有,,05月21日 10:07,,,1.0,0.96892,0.986014,2
26,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1zBimgge?uid=2014034660&rl=0#cmtfrm,#早安#带着你的微笑，面对人生的不期而遇~#早安上海#,信息类,,有,,05月21日 08:30,,,2.0,0.999964,0.999984,2
27,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1vfn8BNh?uid=2014034660&rl=0#cmtfrm,#晚间分享#天水一色，云影相涵！#74秒看遍形色各异的天空之境#据荔枝风景线，摄影师通过航拍视角记录了全国各地水天相映的唯美景象。水天一色的月牙堤，浮光跃金的巴里坤湖，倒映雪山的赛里木湖，美出层次的元阳梯田，静影沉璧的泸沽湖……各种形态的水镜和万千天色，演绎出“天光云影碧相涵，百顷玻璃一望间”的绝美意境。 荔枝风景线的微博视频,信息类,,,有,05月20日 21:25,2.0,2.0,1.0,0.999921,0.999964,2
28,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1uT3DR04?uid=2014034660&rl=0#cmtfrm,#这一池睡莲绽放惊艳了夏日# 初夏时节，睡莲竞相绽放。转发分享，愿你好运“莲莲”！@上海徐汇发布 上海徐汇发布的微博视频,参与类,,,有,05月20日 20:30,1.0,,3.0,0.996746,0.998536,2
29,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1uqDgJ4Q?uid=2014034660&rl=0#cmtfrm,#沪渝蓉高铁崇明特大桥正式开建# 沪渝蓉高速铁路在崇明区域内的施工除了崇太长江隧道、崇启公铁长江大桥之外，还有崇明特大桥。日前，崇明特大桥先行用地范围内节点桥梁正式开工建设。同时，配套工程东平梁场也将在下月底达到正式生产条件。@上海崇明 上海发布的微博视频,信息类,,,有,05月20日 19:20,1.0,,1.0,0.939311,0.97269,2
30,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1u4jg4EW?uid=2014034660&rl=0#cmtfrm,#美食推荐#清凉开胃！#夏日必备的肉丝拉皮#了解一下夏日天气炎热没胃口？不妨试试开胃解腻的肉丝拉皮：①用淀粉制作拉皮；②制作好的拉皮用开水烫一下捞出后加入香油搅拌；③热锅凉油放入蒜末、葱丝、肉丝并调味；④将做好的料汁淋在拉皮上，一口下去超爽滑，快点动手试试吧~（央视频号：央视一套） 央视频的微博视频,参与类,,,有,05月20日 18:25,1.0,2.0,2.0,0.996706,0.998518,2
31,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1tDVkYEd?uid=2014034660&rl=0#cmtfrm,#520表白日# 以爱之名，约上Ta去上海马戏城看一场演出吧~,参与类,6.0,有,,05月20日 17:20,1.0,2.0,2.0,0.995934,0.99817,2
32,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1tnGAmKK?uid=2014034660&rl=0#cmtfrm,#看得见的城市#苏河明珠熠熠闪耀，开启“一江一河”幸福旅程。（文汇报） 上海黄浦的微博视频,信息类,,,有,05月20日 16:40,,,1.0,0.999484,0.999768,2
33,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1sTfnxfH?uid=2014034660&rl=0#cmtfrm,大宁公园绚烂的金鸡菊，是初夏的旋律呀！赏过了杜鹃花、睡莲...金灿灿的大花金鸡菊又跃入了我们的镜头中，大宁公园的大花金鸡菊位于南外环荷花池区域，整片“金色小太阳”占地面积约3500㎡，风吹半夏时，它们卷起明媚的细浪，闪起“橙”亮的波光~#魔都美好打卡地#,信息类,6.0,有,,05月20日 15:25,,,3.0,0.996089,0.99824,2
34,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1soO0Oh7?uid=2014034660&rl=0#cmtfrm,【逛淀山湖畔宝藏园林 沉浸式感受《红楼梦》】怡红院里，晴雯病补孔雀裘；沁芳闸桥边，宝黛共读西厢记；山石僻静处，憨湘云醉眠芍药裀……读过红楼的人，不免都曾在心中想象过大观园的样子，而在上海淀山湖畔，就有一座真实的大观园…… SMGNEWS的微博视频,信息类,,,有,05月20日 14:10,,,4.0,0.995996,0.998198,2
35,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1s5qzE13?uid=2014034660&rl=0#cmtfrm,【上海市青年科技创业先锋十强首次发布，来看看这些青年人才是谁】5月20日，第四届上海创新创业青年50人论坛举行。论坛上首次发布了“2023年上海市青年科技创业先锋（U45创先锋）十强”名单，熊磊、陈运文、郑静、张鑫、潘晶、刘冰、吴云、周妍、彭剑英、肖建宏入选。上海市青年科技创业先锋十强首次发布，来看看这些青年人才是谁,参与类,,有,,05月20日 13:22,1.0,,2.0,0.800006,0.910003,2
36,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1s54r5Mo?uid=2014034660&rl=0#cmtfrm,【闯上海、创巅峰，双创青年逐梦上海】青年们来到一座城、喜欢一座城、扎根一座城，归根到底是因为这里能够追逐梦想，拥有无限可能。以中国式现代化推进中华民族伟大复兴的新征程上，上海需要凝聚更多青春力量勇立潮头、奋楫争先、彰显担当、尽展风采。网页链接,参与类,,有,,05月20日 13:21,,,0.0,0.998446,0.999301,2
37,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1s4GsLGm?uid=2014034660&rl=0#cmtfrm,【上海与“新青年”双向奔赴！50人论坛倡言“青年发展型”城市】 闯上海，青年孕育无限希望；创巅峰，上海成就多彩青春。领敢为人先之风气、强善作善成之本领、淬百折不挠之斗志、承踔厉奋发之精神，上海与青年的‘双向奔赴’，注定成为上海发展交响曲中最澎湃的乐章。”——5月20日，第四届上海创新创业青年 50 人论坛如约而至，这段青春宣言，道出“闯上海”的“新青年”们的共同心声。思想碰撞，激情洋溢，他们热议今年论坛主题词之一——“建设青年发展型城市”。 大江东｜上海与“新青年”双向奔赴！50人论坛倡言“青年发展型”城市,信息类,,有,,05月20日 13:20,2.0,,1.0,0.998555,0.99935,2
38,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1s0s6efO?uid=2014034660&rl=0#cmtfrm,即日起至8月13日，上海博物馆展出玉楮流芳：上海博物馆藏宋元古籍展。这也是上海博物馆建馆以来首个大型古籍专题特展，共展出馆藏宋元古籍66部，其中不乏稀见之本，甚至孤本。本展按写本、刻本、拓本三种版本类型，分为翰墨斑斓、古椠生辉、宝拓传真三个板块。#上海看展#,信息类,,有,,05月20日 13:10,,1.0,,0.992243,0.996509,2
39,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1rA4ce5f?uid=2014034660&rl=0#cmtfrm,"即日起-21日在洛克·外滩源举行“好！艺术节""！从外廊式的众安·美丰大楼进入，穿过首次对外开放的博物院广场，再到英式建筑圆明园公寓，最后游走至安仁大楼。在百年建筑街区游走，享受年轻一代创作者带来的艺术盛宴。现场活动不限于艺术市集、展览、工作坊、行为艺术、分享会、读书会、木偶巡游、舞蹈演出等。",信息类,,有,,05月20日 12:05,,,3.0,0.997498,0.998874,2
40,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1rmNx5fQ?uid=2014034660&rl=0#cmtfrm,#美育日课# 《妙法莲华经》：珍罕北宋写本↓,信息类,,有,,05月20日 11:32,,,1.0,0.81693,0.917618,2
41,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1rdK7aIJ?uid=2014034660&rl=0#cmtfrm,【“建筑可阅读”小镇——张堰】沪上首个“建筑可阅读”小镇，上海十大“中国历史文化名镇”之一的张堰，已有千年历史。经过修缮改造，如今20处历史风貌建筑拂去历史尘埃，展现古镇新貌。让更多市民游客走进“活着的”博物馆，感受江南水乡古镇的魅力。 SMGNEWS的微博视频,信息类,,,有,05月20日 11:10,,,0.0,0.993387,0.997024,2
42,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1qLkmys0?uid=2014034660&rl=0#cmtfrm,上海大剧院艺术体验日来了，5月20日是“出乎艺料”美食艺术节启动的第一天，也是被人们赋予浪漫与甜蜜意义的“520”，当艺术遇上美食和爱情，会迸发出怎样的滋味？甜蜜的，火辣的，平淡的，苦涩的，通过“形、声、闻、味、触”五感，打通艺术、食物、情感之间的联系，在“520我爱你”的周末，走进剧院的各个空间，用各种艺术的方式——一首歌、一幅画、一段词、一部戏、一本书……来体验美食的千滋百味，解构爱情的千姿百态。,参与类,,有,,05月20日 10:00,1.0,1.0,2.0,0.999614,0.999826,2
43,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1q8LwTfj?uid=2014034660&rl=0#cmtfrm,#早安#允许自己试错，才能拥抱越来越好的结果。#早安上海#,信息类,,有,,05月20日 08:25,1.0,3.0,4.0,0.999689,0.99986,2
44,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1lMQqXjA?uid=2014034660&rl=0#cmtfrm,#晚间分享##古人的旅行真是诗和远方#尽管没有高速、舒适的交通工具，古人的活动范围也不小。一次出行往往就是千山万水、经年累月，但也因此留下了无数关于旅途的诗句。 CCTV纪录的微博视频,信息类,,,有,05月19日 21:20,,,0.0,0.999774,0.999898,2
45,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1ll5t4PH?uid=2014034660&rl=0#cmtfrm,5月19日，2023“半马苏河”精品旅游线路发布暨团建徒步首发活动启动仪式在上海少年儿童图书馆广场举行。普陀区文旅局联手春秋旅游，围绕苏州河沿岸旅游资源，精心设计了三条以团建、亲子、徒步为主题的精品旅游线路，团建游主打“低碳、环保”，亲子游主打“欢乐、研学”，徒步游主打“挑战、突破”。 三条线路聚焦苏州河普陀段沿岸，线路囊括长风公园、长风海洋世界、顾正红纪念馆、上海纺织博物馆、普陀公园、苏州河梦清园环保主题公园、天安千树、M50创意园、苏州河工业文明展示馆等普陀重点文旅景点。坐着苏州河游船，从不同视角看“半马苏河”，漫步到M50创意园，转角遇见艺术，到苏州河工业文明展示馆品一杯网红咖啡，看云卷云舒，夕阳下的落日余晖洒满了苏州河，尽享曼妙无比的都市休闲生活。普陀区文旅局希望以多样化的文旅体验，满足不同人群的需求，向广大市民游客提供更多质量高、互动性强的都市休闲旅游选择。 三条精品旅游线路产品将在春秋平台正式上线。错过了首发团，市民游客也可选择后续日期报名参加。,信息类,4.0,有,,05月19日 20:11,1.0,1.0,5.0,0.998425,0.999291,2
46,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1lgnaics?uid=2014034660&rl=0#cmtfrm,地铁可以天上飞？#上海首条空铁预计9月开启试运行#据021视频，近日，上海宝山羿鹏空铁示范线项目传来好消息，首期400米轨道及车站已经建成，有望今年9月中下旬试运行。轨道由立柱支撑在空中，列车悬挂于轨道下方“凌空飞行”，这样的出行方式即将在上海成为现实。据了解，宝山空铁示范线项目，引进的是德国零事故率安全运营39年的原型系统，并在此基础上进行了近五年的自主研发和迭代，目前全系统国产化率已达90%以上。示范线路预计九月开启试运行，未来还将采用全自动无人驾驶。021视频的微博视频,信息类,,,有,05月19日 20:00,,,2.0,0.998531,0.999339,2
47,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1lahwTIr?uid=2014034660&rl=0#cmtfrm,#这山水很中国#中国旅游日，一起“瞰”见大美中国↓↓↓ #中国旅游日# @人民日报 人民日报的微博视频,参与类,,,有,05月19日 19:45,,,0.0,0.99926,0.999667,2
48,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1kS1cp8n?uid=2014034660&rl=0#cmtfrm,"【点亮夜间经济 大学路打造“限时步行街”】上海中心城区将再添一条""限时步行街""，这一次是杨浦区的""网红街区""大学路。为充分发挥五角场地区""首批国家级夜间文旅消费集聚区""载体优势，本周六起，大学路部分路段将实施限时步行街。配套交通组织方案也已公布。 SMGNEWS的微博视频",信息类,,,有,05月19日 19:00,2.0,,0.0,0.942347,0.974056,2
49,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1kHS6jAU?uid=2014034660&rl=0#cmtfrm,上海高校小龙虾到货！#上海师大夜宵小龙虾上新啦#：香辣、咸蛋黄、十三香等多种口味。近日，上海师范大学食堂应季推出夜宵小龙虾，香辣、咸蛋黄、十三香等多种口味，深受在校学生欢迎。除了小龙虾，食堂还贴心准备了烧烤、啤酒、卤味等品种多样的小食，为同学们就餐提供了更多选择。你们学校的小龙虾上新了吗？@021视频 021视频的微博视频,信息类,,,有,05月19日 18:35,,,0.0,0.987331,0.994299,2
50,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1krFpLR4?uid=2014034660&rl=0#cmtfrm,总面积约2000平方米的“上海苏富比空间” 正式揭幕，该空间位于魔都都市艺术文化“会客厅”，与知名艺术场馆和历史文化地标近在咫尺。苏富比将其打造为一个功能丰富、开放多元的综合性收藏生态空间，可提供展览、讲座、工作坊等多种形式的线下体验和文化服务，旨在为广大藏家群体及文化艺术爱好者搭建充满流动性和生命力的文化社区。一起来看看吧~ 乐游上海的微博视频,参与类,,,有,05月19日 17:55,2.0,1.0,1.0,0.99648,0.998416,2
51,乐游上海,https://weibo.cn/shanghaitourism?gid=10001,420,404万,https://weibo.cn/comment/N1kfsr9Up?uid=2014034660&rl=0#cmtfrm,【今天#中国旅游日#，#跟着语文课本去旅行#】你是不是也曾向往过，书本里提到的“诗和远方”？跟随一段视频，让课文中描述的字字句句成为眼前的风景，让书本上的插图变得全面立体。打卡童年“种草”目的地↓↓感受#语文课本里的中国有多美#。（人民日报） 人民日报的微博视频,参与类,,,有,05月19日 17:25,,,0.0,0.999927,0.999967,2
