id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4809402198789353,M3WAPASvL,1408078073,梁湘,#东软#外省的朋友问我，为啥你们四川疫情总是上热搜？我说：因为我们批话多！他说：什么叫批话？我说：我们喜欢相互批评，指出不足。这个是传递好的价值观来的。他说，他明天去给他四川的同事说：让她以后批话尽量再多点儿……成都,,,,东软,105,164,5068,2022-09-02 23:58,成都超话,['https://wx2.sinaimg.cn/large/53ed90f9ly1h5spaj496aj20u01sx0z2.jpg'],,
4809387606280586,M3WdiqlRM,2258116103,成都吃土青年,今晚#成都核酸#现状：医护人员在等。我们也在排队等。核酸系统等东软。#成都疫情防控#,,成都,,"成都核酸,成都疫情防控",33,126,955,2022-09-02 23:00,成都超话,['https://wx3.sinaimg.cn/large/86981e07ly1h5sn361bqyj20qp0zkdla.jpg'],,
4809393117861186,M3WmbwZ3k,1600463082,中国刘杰,#南通一人连续5次未参加核酸检测致疫情传播风险#网友：查遍了法律条文也没找到不做核酸检测是什么违法行为？有知道的么？#南通疫情防控#,,,,"南通一人连续5次未参加核酸检测致疫情传播风险,南通疫情防控",201,80,830,2022-09-02 23:22,,"['https://wx3.sinaimg.cn/large/5f6520eagy1h5so9jnc34j20u01sxtcq.jpg', 'https://wx1.sinaimg.cn/large/5f6520eagy1h5sohyjcz3j20ku23qdo5.jpg']",,
4809389955093512,M3Wh5ln3q,1644862084,小党,这个脸打得啊，啪啪啪啪啪#成都核酸系统崩了##成都疫情最新情况##成都疫情#,,成都,,"成都核酸系统崩了,成都疫情最新情况,成都疫情",99,29,149,2022-09-02 23:09,iPhone 12 Pro,"['https://wx2.sinaimg.cn/large/620a9a84ly1h5snwlsxf8j20mo0tamzx.jpg', 'https://wx2.sinaimg.cn/large/620a9a84ly1h5snwll0wyj20n013macs.jpg', 'https://wx4.sinaimg.cn/large/620a9a84ly1h5snwm2hcaj20u01sxdlq.jpg']",,
4809393424308475,M3WmGi4Px,7302514149,SinkYang-,一个疫情拿着鸡毛当令箭搬个家还要拿报警吓唬我笑了…这样子下去不如毁灭得了隔三差五不是这封就是那封的没完没了🤷‍♀️就作吧！我就瞅瞅这些人能嚣张到何时！千万别让我笑话！,,深圳,,,6,133,763,2022-09-02 23:23,iPhone客户端,,,
4809401430446381,M3WzB1S7H,3812400789,无为李爷,#东软#成都这两天的疫情防控，可以说各方面做得都挺好，成都市民很配合防控工作，生活物资准备够充分，在昨天前天因为一些消息而引起抢购的情况下，今天各大商超、菜市场物资供应十分充足，没有掉链子。本应该是一次优秀的大都市疫情防控案例，万万没想到，倒在了核酸检测系统上。个瓜娃子的！,,,,东软,70,201,4406,2022-09-02 23:55,HUAWEI Mate 30 5G,,,
4809387791615682,M3WdB6Mjo,5890309364,mil7uka,疫情再不结束我人生的一切错误都归于疫情,,,,,8673,365,10049,2022-09-02 23:01,iPhone XS Max,,,
4809391503315866,M3WjAdUBI,1750987934,广州交通电台,【广州海珠继续强化社会面疫情防控，管控区域内暂停堂食】刚刚，@广州海珠发布通告：当前，海珠区疫情防控形势严峻复杂，为坚决阻断疫情传播途径，区新型冠状病毒肺炎疫情防控指挥部研究决定，从9月3日0时至9月4日24时，继续强化海珠区社会面疫情防控措施，通告如下：一、全区范围内实施以下防控措施（一）全区居民持24小时核酸阴性证明离开本区。（二）做好个人防护和每日健康监测，配合开展核酸检测，严格限制聚集性活动，保持1米以上社交距离，有发热、干咳、乏力、咽痛等症状时及时就诊。（三）继续开展2天全员核酸检测，请市民朋友按照所在街道或社区的通知指引，分时段参加核酸检测，做到“应检尽检、不漏一人”。（四）单位内部食堂（含机关事业单位、学校、工厂、工地、企业等食堂）实行测温、扫码进场，采取分批分时段就餐、单向就坐、挡板分隔或打包自取等防疫措施。（五）中小学阶段学校、幼儿园暂停返校及线下教学，校外培训机构暂停线下教学，托育、托管机构暂停服务。二、海珠区北至滨江西路-滨江中路、南至石岗路-工业大道南-新滘西路、西至珠江、东至东晓路-东晓南路区域在实施以上措施的基础上，实行“强化社会面管控、严格限制人员聚集”防控措施（一）区域内以社区、小区、机团单位、大院、企业等为单位，严格落实人员进出管理，人员进出实行测温、扫码并查验24小时核酸阴性证明。（二）区域内暂停堂食，密闭半密闭场所和休闲娱乐场所暂停营业。各单位、企业提倡居家办公。（三）超市和农贸市场严格落实限流、测温、扫码并查验24小时核酸阴性证明。以上措施，将根据疫情防控形势变化适时调整，感谢广大市民群众的理解支持和配合。特此通告。广州市海珠区新型冠状病毒肺炎疫情防控指挥部办公室2022年9月2日#广州爆料##广州疫情#,,,广州海珠发布,"广州爆料,广州疫情",36,72,353,2022-09-02 23:15,微博 weibo.com,['https://wx4.sinaimg.cn/large/685df49egy1h5so3bejb1j20u010kwrp.jpg'],,
4809388408439175,M3WeAzppJ,3309826382,健康成都官微,【成都市近期本土病例活动轨迹及风险区通告】为方便市民排查风险轨迹，现将我市本轮本土疫情病例活动轨迹整理如下，请市民朋友们对照自查。如与以下活动轨迹有重叠，立即向社区和单位（或居住的酒店）报备，三天内接受三次核酸检测（间隔24小时），期间做好个人防护，不聚会、不聚餐。如有疑问，请拨打12345咨询。,,,,,22,143,659,2022-09-02 23:03,HUAWEI P30,"['https://wx2.sinaimg.cn/large/c547f14egy1h5sno66jksj20dw0af0t4.jpg', 'https://wx3.sinaimg.cn/large/c547f14egy1h5t31x7omij20u0975nij.jpg', 'https://wx4.sinaimg.cn/large/c547f14egy1h5snpkzwazj20u06au19q.jpg', 'https://wx3.sinaimg.cn/large/c547f14egy1h5snpmanlaj20u05mjnpd.jpg', 'https://wx2.sinaimg.cn/large/c547f14egy1h5snpomosej20u09mg1kz.jpg', 'https://wx3.sinaimg.cn/large/c547f14egy1h5snpq7alcj20u07a97wi.jpg', 'https://wx4.sinaimg.cn/large/c547f14egy1h5snqisv13j20u079v193.jpg', 'https://wx3.sinaimg.cn/large/c547f14egy1h5snqka10ej20u077knbe.jpg', 'https://wx4.sinaimg.cn/large/c547f14egy1h5snqlyqg4j20f0b4u7va.jpg']",,
4809025344247415,M3MN0hOWH,3075511595,通州发小,对了，看到成都抢菜，想起一件事，上海疫情期间，居委会那些坑害老百姓被迫买高价菜，抓了几个，有消息吗？#上海疫情##成都疫情#,,,,"上海疫情,成都疫情",86,136,3859,2022-09-01 23:00,微博 weibo.com,,,
4809031040111529,M3MWc0t0R,1594296825,表志啃黄瓜,看到成都大连静默抢菜，突然一阵恍惚梦回三月底的上海。疫情不结束，永远会陷入这种动荡不安，和生活永远被他人支配的无力中。可怕的是核酸似乎没有尽头，疫情似乎没有结束。,,,,,28,168,2076,2022-09-01 23:23,,,,
4809030561697521,M3MVq77Bn,1298535315,占豪,给大家看一下武汉的免费核酸采样点，你说有多少个？真不知道有多少个，密密麻麻的，密密麻麻的！所以，武汉疫情只要一起来总是能控制住是有原因的。占豪的观点L占豪的微博视频,,,,,85,123,1292,2022-09-01 23:21,占豪的观点超话,,"http://f.video.weibocdn.com/o0/BcdawAr4lx07YSDJb6GA01041200i5SB0E010.mp4?label=mp4_720p&template=616x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1670240398&ssig=s%2F%2F8zdb%2BT8&KID=unistore,video",
4809035779670767,M3N3PEzO7,1671109627,包容万物恒河水,🔺一看内容爹味十足。🔺一看ip……🔺就这么盼着别的城市干不好呀？共沉沦是吧？#成都商超农贸市场正常营业##成都疫情传入链条超过20条#,,,,"成都商超农贸市场正常营业,成都疫情传入链条超过20条",133,535,5921,2022-09-01 23:42,iPhone客户端,['https://wx3.sinaimg.cn/large/639b1bfbgy1h5rj8lppm2j20yi1sbao6.jpg'],,
4809026208006827,M3MOoxAWn,1408078073,梁湘,我还是说两句眼前的情况吧……本来周一上午在宜宾上课后就该回成都，一堆事儿等着处理，早上有个朋友给我来了个电话，我果断把票退了，然后就回到了自贡。有人调侃我是在自贡躲成都的疫情，说是也不是，关键是现在的情况走哪儿都不合适。每天和成都的伙伴们交流着种种，不过远程的工作效率真是不太高。关键是什么时候能恢复，观世音都说不清。我不是一个爱吐槽的人，现在如同走哪儿都披着一件不透气的雨衣，压抑感蔓延,,,,,4,54,174,2022-09-01 23:04,iPhone 12 Pro Max,,,
4809025713081805,M3MNBcVIx,3203137375,四川观察,【#西昌全域静态管理时间延长三天#】根据前期疫情防控需要，8月30日0时以来在全市范围内实行了全域静态管理，有效遏制了疫情蔓延扩散势头。但当前西昌市及周边地区疫情防控形势依然严峻复杂，社区传播风险仍然较大。为进一步降低交叉感染风险，减少人员流动，保证广大人民群众生命健康安全，持续巩固当前来之不易的疫情防控成果，根据《新型冠状病毒肺炎防控方案》（第九版）规定和专家综合研判，决定将西昌市7个街道、18个乡镇全域静态管理时间延长三天至9月5日0时，期间继续严格执行《西昌市应对新型冠状病毒肺炎疫情应急指挥部关于实行全域静态管理的通告》防控要求。按照《中华人民共和国刑法》《中华人民共和国传染病防治法》《突发公共卫生事件应急条例》等规定，主动配合疫情防控是公民的法定义务，拒不执行疫情防控措施将面临法律严惩！请广大市民和游客务必严格遵守静态管理有关要求，公安机关将依照法律法规从重从快从严打击疫情防控中的一切违法行为。广大市民和游客朋友们，让我们团结起来、同心抗疫，一同守护我们的美好家园！本通告根据疫情防控形势适时调整，未尽事宜另行告知。L四川观察的微博视频,,,,西昌全域静态管理时间延长三天,22,43,139,2022-09-01 23:02,微博视频号,,"http://f.video.weibocdn.com/o0/mknaOevzlx07YSCpfgiI0104120039Jy0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1670240398&ssig=EPmaLMR8Er&KID=unistore,video",
4809040187621687,M3NaWvYKr,1674427277,林小暖bella,童年有几年，疫情就三年。,,,,,3,101,106,2022-09-01 23:59,iPhone 13 Pro,,,
4809039395947385,M3N9FoXbz,2258116103,成都吃土青年,一向热闹的城市突然安静下来了，就像按下了暂停键，全员开始居家模式，此刻，躺在床上，竟毫无睡意，没想到真的会到这一步，今年太难熬了，咱们同心抗疫，相信成都，很快就会恢复往日的烟火气，成都雄起！加油！#小土的碎片事务所##我的碎片收藏夹##成都疫情防控#,,成都,,"小土的碎片事务所,我的碎片收藏夹,成都疫情防控",15,44,84,2022-09-01 23:56,阿土的日记本超话,['https://wx2.sinaimg.cn/large/86981e07ly1h5rja5048dj20u01407c8.jpg'],,
4809040226682168,M3Nb0s2kU,1992424454,堯偂澍,"确诊再破万宗多11人亡　15月大女童情况危殆　张竹君：疫情会继续升#香港疫情#本港新冠疫情持續升溫，確診個案數目再次突破五位數。衞生署衞生防護中心公佈，今日新增10,586宗確診個案，包括10,342宗本地個案及244宗輸入個案，另有11宗離世個案。衞生署衞生防護中心傳染病處主任張竹君表示，相隔五個月本地確診個案再破萬宗，她相信疫情趨勢會繼續上升，但難以預測會升得「有幾快、有幾急」，當局會持續關注重症及死亡數字。她說，近期學校開始開學，而最近亦有兒童重症個案，鼓勵家長帶子女接種疫苗。她又指，下周公佈疫苗通行證下調至五歲兒童，需要接種兩劑疫苗，料有兩個月過渡期。變異病毒株佔比方面，懷疑涉及BA.4或BA.5個案升至60%，BA.5佔52.8%，BA.4佔7.2%，BA2.12.1佔6.5%，BA2.2佔33.5%。聯合醫院外科病房亦出現感染群組，一名77歲男病人週二確診後，院方追蹤發現同一病房多四名病人亦染疫，年齡介乎52至83歲，全部人情況穩定。",,,,香港疫情,9,18,89,2022-09-02 00:00,iPhone客户端,['https://wx4.sinaimg.cn/large/76c1fc06gy1h5rjqul2bpj20qo0qoag0.jpg'],,
4809030268355041,M3MUWz3wJ,1558785357,稳健投资者_a11,#成都核酸系统崩了#三年了，看来系统累了，其实都累了。自即时起，不再关注转发评论任何有关疫情的信息，如果与我无关的话。啥崩了都无所谓，实在憋气的话，多喝茶，多看看美壶。不过我差点把卖壶小妹拉黑了，净发漂亮的壶诱惑我，今天差点又没管住手，不知道现在啥经济条件啊今后多聚焦市场的交易机会，以后有关赚钱的讨论都盖上粉丝可见，我们自己玩，卷别人，蛋糕就那么点，不够分。大部分人没意识到，就不要惊动他们了，这市场永远是少数人赚钱，多数人在质疑。比如，以前打可转债没人干的时候，我都用箩筐装，后来等大家都开空户打新了，现在一年都中不到一张，每次一键申购当是还愿,,,,成都核酸系统崩了,4,19,58,2022-09-01 23:20,HUAWEI Mate 20 X,['https://wx1.sinaimg.cn/large/5ce92d4dgy1h5rhpn5mifj20zk1hcaec.jpg'],,
4818821519511092,M7TDhDUgI,6198648442,好大的奕,我一同事住在龙华更是惨。下午被电话通知隔离，然后傍晚就被拉到车上跟着去接其它需要一起隔离的人，在车上转来转去仨小时了，人还没到隔离的酒店。目前来看，南山、宝安、龙华这三个区已经有好多人被隔离了。隔离的酒店已经属于爆满状态，不晓得深圳下一步会不会再次进行全程静默了。希望这一次疫情可以得到有效的管控吧，久不久出现一次，真的好难受。L好大的奕的微博视频,,,,,156,375,1957,2022-09-28 23:47,打怪兽买的iPhone客户端,,"http://f.video.weibocdn.com/u0/3MZ5exhEgx07ZzJxXhfW010412002Yy60E010.mp4?label=mp4_720p&template=544x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1670240410&ssig=iy1sY8e119&KID=unistore,video",
4818824623555170,M7TIieURs,1787526981,飞虎合肥,#合肥疫情#关于新站区某小区，具体疫情信息以官方通报为准，给大家造成不必要的麻烦实在抱歉🙏大家等官方通报，做好个人防护。,,,,合肥疫情,1,38,69,2022-09-28 23:59,iQOO 3 5G性能旗舰,,,
4818821489101896,M7TDeCbOM,3309826382,健康成都官微,#疫情防控#【来（返）蓉人员疫情防控政策】在继续落实对有中、高风险区旅居史人员管理措施的基础上，分以下层次开展对来（返）川人员的排查管控。四川省疫情防控重点地区提示表请查看以下链接：O网页链接,,,,疫情防控,26,98,25,2022-09-28 23:47,HUAWEI P30,"['https://wx2.sinaimg.cn/large/c547f14egy1h6mr43wfmbj20dw08pt97.jpg', 'https://wx3.sinaimg.cn/large/c547f14egy1h6mr45xs0oj20u08zvb2a.jpg']",,
4818820998368163,M7TCrz6Wn,2288486705,奏耐天津,【9月26日天津新增阳性感染者活动轨迹公布】　　记者从市疫情防控指挥部获悉，经多方流调，2022年9月26日天津新增的阳性感染者活动轨迹基本确定，其中涉及到的主要区域和场所予以公布。　　9月21日-26日模泰（天津）塑胶电器有限公司（滨海新区开发区百和路）　　9月24日-26日老王头饺子馆（河西区四信里）　　9月21日和22日20:00-21:00庐山道街心公园（滨海新区塘汉公路与庐山道交口）　　9月23日　　06:22-06:30食早约营养早餐麻辣烫（滨海新区贻成豪庭内）　　06:25-06:22饭大妈生鲜超市(滨海新区贻成豪庭内）　　07:06-07:16天津包子王（滨海新区桂江里）　　07:18-07:22滨海新区工农村小学门口　　07:26-07:40麦当劳（滨海新区北海路）　　15:23-15:36好利来（河西区广东路中裕园）　　16:00-16:23韵达快递点（河西区幸福家园）　　16:50-17:30康乐园市场（滨海新区金江路）　　16:50-18:17贻景门诊部（滨海新区新北路）　　17:00-17:10鲜果多(滨海新区百和路)　　17:00-17:11滨海新区柳江里菜市场　　17:00-17:10丫丫化妆品（滨海新区国翔公寓附近)　　17:05-17:15宜万家购物超市(滨海新区睦宁一街)　　17:05-17:15飘香凉皮（滨海新区第四大街鸿发大众风味小吃店）　　17:30-17:40小红门小饭桌（滨海新区塘沽向阳第三小学对面）　　17:40-18:30滨海新区北塘古镇　　19:00-19:05滨海新区贻成尚北2栋超市　　20:00-次日08:50天津顶彩包装有限公司（滨海新区渤海路）　　9月24日　　07:00-08:00滨海新区中心北路菜市场　　07:15-20:00欣阳创新科技天津有限公司（滨海新区第九大街与泰华路交口）　　07:20-07:30鲲鹏人力中介公司（滨海新区第五大街百和路）　　07:43-08:50滨海新区中医医院（滨海新区杭州道）　　08:30-10:00滨海新区塘沽妇产医院　　09:00-09:30滨海新区岷江里早市　　09:00-10:20津南区何庄子阿米玛玛农产品批发市场　　10:21-10:41审美造型（滨海新区国翔公寓底商）　　10:27-10:30宜万家购物超市（滨海新区梦想儿童中心东北门西侧）　　10:30-11:30华润万家（滨海新区泰达店）　　10:45-23:00瀛洲海鲜（滨海新区康居园对面）　　11:21-11:25肖二两百年卤味（滨海新区黄海路）　　11:36-14:12九九自助美甲美睫（滨海新区米兰世纪花园5号楼）　　12:00-13:20客悦居海鲜馆（滨海新区汉沽汉南支线大神堂村）　　13:20-15:00华睿艺术学校（滨海新区凯德林假日酒店4层）　　14:11-16:07滨海新区友阿奥特莱斯　　14:20-16:00洪贵布艺店（滨海新区河北路美景园布头市场)　　14:35-14:55格调林泉底商105-108号（滨海新区第一大街与洞庭路交口）　　14:52-14:56菜鸟驿站（河西区健美里31门）　　15:00-15:20露天菜市场（滨海新区新北路贻成尚北菜市场西侧）　　15:09-15:14河西区前进道菜市场　　15:15-15:23河西区增强楼社区党群服务中心　　15:30-17:30铃木摩托专卖店（滨海新区解放路）　　16:05-16:20滨海新区文明里市场　　16:06-17:24露天市场（滨海新区新北公路华联超市对面）　　16:43-17:53滨海购物广场（滨海新区解放路商业街店）　　17:00-17:10蔬菜水果摊（滨海新区迎宾园10栋）　　17:20-17:30和顺蔬菜水果店（滨海新区永莲国际购物中心）　　18:00-20:30喜福来烧烤（滨海新区杭州道）　　19:10-22:00华仔田园菜馆（滨海新区第六大街）　　19:15-19:25旺福乐连锁超市（河西区洞庭路四信公寓）　　9月25日　　08:30-09:30滨海新区柳江里菜市场　　09:00-11:30塘沽森林公园（滨海新区塘汉线与北杨线交口）　　09:00-13:00滨海新区庐山道街心公园　　09:00-18:00月儿湾婴幼儿水育中心（滨海新区金元宝海洋生活广场）　　10:30-11:00天猫小店鸿旭便利店（河西区大沽南路复兴门钢厂宿舍）　　10:30-11:00凭风图南（滨海新区湘江里）　　11:29-12:10腾龙菜市场（滨海新区第三大街）　　12:00-12:10滨海新区贻成尚北21号楼快递点　　12:00-12:10滨海新区贻成尚北23号楼快递点　　12:00-13:00渝记羊肉汤馆（滨海新区厦门路与云山道交口金元宝海洋广场）　　12:00-22:00新加坡瑞珍酒楼（滨海新区新金融大厦）　　12:30-16:00滨海新区迎年里诊所　　13:00-13:15爱与光超市（滨海新区滨海·智谛山11号楼）　　13:13-13:2018:25-18:40板面饸饹面（滨海新区滨海·智谛山）　　14:30-15:3019:30-20:00滨海新区堰宾里长凳　　15:00-15:30河西区幸福家园门口菜摊　　15:30-15:50滨海新区迎宾园10栋菜鸟驿站　　15:00-16:00滨海花鸟鱼虫市场旁边路边摊（滨海新区广州道）　　16:00-16:30康乐园市场（滨海新区金江路）　　16:01-16:10河西区健美里门口菜摊　　17:00-17:30诚信成汽车一站式服务洗车（滨海新区百和路）　　17:15-18:30御仁堂足疗店（滨海新区福州道乐购二层）　　17:24-18:07滨海新区向阳市场外摊位　　17:30-17:42滨海新区柳江里菜市场　　17:40-17:50宜万家购物超市（滨海新区梦想儿童中心东北门西侧）　　18:02-18:05猴哥快递代收点（滨海新区河北路迎春里15号楼）　　18:15-18:40家家惠食品超市（滨海新区滨海·智谛山）　　18:30-19:15乐购超市（滨海新区福州道）　　19:00-19:40滨海新区贻成尚北菜市场后门蔬菜摊　　9月26日　　06:00-06:20滨海新区文明里早点摊　　06:55-07:15煎饼果子摊（滨海新区天池路与第六大街交口）　　07:18-07:25滨海新区工农村小学门口　　07:30-07:35鲜果多（滨海新区国翔公寓）　　07:35-07:45鸿翔风味快餐（滨海新区睦宁一街鸿发工业园配套公寓）　　18:30-19:30中新药业(百百寿药房)（滨海新区桂江里）　　市疾控部门提醒，与发布病例轨迹有交集人员，请立即主动向社区、单位或辖区疾控部门报告，配合做好集中隔离、居家隔离、健康监测、核酸检测等各项防控措施。,,天津,,,22,249,607,2022-09-28 23:45,,['https://wx3.sinaimg.cn/large/88678931ly1h6mr23wfsnj20b808274v.jpg'],,
4818810182304928,M7Tl09FCg,5825150043,差评帝,#一京外阳性人员涉及北京轨迹公布#十一假期要来了，看到这个热搜想去骂一骂再一看行程:每天都有积极做核酸，凌晨上班白天睡觉，给永辉超市送货，确实不容易，关键核酸也没有落下，希望尽快康复吧，这疫情什么时候是个头啊,,,,一京外阳性人员涉及北京轨迹公布,3,39,320,2022-09-28 23:02,,['https://wx2.sinaimg.cn/large/b10c1bc2ly1h5i2zq9oi9g208c08caoq.jpg'],,
4818816037032475,M7Turtvt1,2708476577,港真DE,人大常委谭耀宗认为，以现时香港疫情来说，与内地实施「逆向隔离」有困难。有政界人士指，有内地官员对于香港放宽入境「0+3」表示欢迎，但就对取消登机前核酸检测感到不解。#深圳疫情防控##深圳疫情#,,,,"深圳疫情防控,深圳疫情",8,71,367,2022-09-28 23:25,中国超话,['https://wx4.sinaimg.cn/large/a17012a1gy1h6mqa1wfndj20x60mv42k.jpg'],,
