,Annual Mean Annual MRT (C),,,,,Annual Mean Solar Gains ,,,,,Volumne Flow Rate ,,,,,Total Ventilation Heat Gain [W],,,,,Total Ventilation Heat Loss [W],,,,,Daylight - Glare percentage ,,,,,Cooing Energy Uses,,,,,Lighting Energy Uses,,,,,Total Energy Uses,,,,
4.5,28.66766,28.63237,29.64907,26.25192,24.06605,512.3264042,596.434846,537.2376067,433.8573664,386.1510743,4.395836263,4.671740639,5.542178265,8.893778965,6.069213938,10.1332523,7.359144443,11.31484038,17.55163268,4.36293177,385.4489402,440.9761721,412.9624503,376.9615658,346.6826548,0.153065726,0.097068819,0.109258071,0.076973397,0.064251833,160438.2106,136683.2903,216119.3348,186430.7752,63462.13645,527.7002076,500.857469,551.3032535,593.7295758,629.4676707,160965.9108,137184.1478,216670.6381,187024.5048,64091.60412
5.0,28.72048,28.70937,29.70936,26.29022,24.09966,569.535908,664.3845076,597.6356162,481.2796419,429.1242541,4.395877118,4.67181112,5.542220138,8.893804552,6.069245069,9.075236032,6.470040304,9.155191224,15.89958907,4.219968708,401.9264867,464.1707234,429.827253,386.9565925,357.58235,0.106307896,0.117247239,0.116741501,0.13083297,0.08538163,160582.0019,136871.2437,216206.5152,186477.1236,63504.97214,412.4755936,392.3200292,431.2001778,471.1887555,527.43872,160994.4775,137263.5637,216637.7154,186948.3124,64032.41086
5.5,28.86105,28.90377,29.87308,26.40751,24.19978,697.5926202,818.5047579,735.6187107,589.1507598,527.747799,4.395993945,4.672015489,5.542352077,8.893910621,6.06934739,7.387807261,5.31271999,5.891294987,12.32299133,4.091855809,449.9568124,528.6250877,481.2350652,423.1170356,393.1104919,0.249669166,0.217926933,0.257429976,0.299825556,0.226175075,161065.4198,137445.4883,216557.3406,186671.5927,63667.89677,261.0095235,246.9556883,270.8452826,308.1122678,398.0473175,161326.4293,137692.444,216828.1859,186979.7049,64065.94409
6.0,28.68621,28.654395,29.665305,26.261879999999998,24.073545000000003,533.20013275,619.03255125,556.734156,449.68417795,399.76332575000004,4.395858436499999,4.6717630425,5.542175984,8.893783617,6.069219767,10.0607933855,7.6257318635,11.548564184,17.49309401,4.4458570635,391.92591875,448.94329500000003,418.8011103,380.24838294999995,349.76366425000003,0.129466255,0.11055649949999999,0.10765447950000001,0.102158744,0.0728762395,160506.73365,136745.6425,216146.7763,186445.886,63475.11628,494.63088225,463.55344385,510.9406049,548.4557093999999,593.1053825500001,161001.36455,137209.1959,216657.7169,186994.34165000002,64068.221659999996
6.5,28.700145,28.677365,29.69376,26.27618,24.079585,551.00882035,644.65708855,582.8693364000001,468.76384165,419.47721435,4.395889948500001,4.6717774290000005,5.5421922785,8.8938140605,6.0692404804999995,14.1060532085,13.3179001245,18.82377981,20.254810565,5.8616741144999995,408.29008669999996,472.63025074999996,441.54106925,393.0701854,358.731307,0.0282311425,0.0180543755,0.023626256,0.0327082425,0.0320181115,160633.41285000002,136913.5757,216230.69945000001,186457.6113,63465.626825,489.86459335,485.3613512,494.4387157,490.7843211,509.74470475,161123.27745,137398.93699999998,216725.1382,186948.39565,63975.371530000004
7.0,28.49104,28.3724,29.43783,26.09788,23.92899,366.9355205,414.0271968,375.2389097,309.0797381,271.0597578,4.395726659,4.671466519,5.541950718,8.893656202,6.06908674,15.92482411,15.41977591,24.21696793,25.440597,5.867227578,334.5715751,370.593484,360.420463,337.1106375,304.9061348,0.06616674,0.089209856,0.046611075,0.04361099,0.031694696,159861.4421,135944.8149,215643.6556,186105.1506,63211.81507,673.3852878,639.862293,695.8777041,716.7661968,739.7937334,160534.8274,136584.6772,216339.5333,186821.9168,63951.6088
7.5,28.825315,28.838695,29.832755,26.38542,24.173665,658.36321875,772.6749072,698.08541745,558.9739277,501.94918345,4.39599321,4.6719369175,5.542324015,8.893925826,6.0693399195,13.484830758500001,12.899041064999999,17.80430955,18.9498043805,5.841393384,456.72694349999995,533.8704993,493.27671685,433.22707545,396.21433305,0.0238200265,0.01731096,0.021060509,0.029110336,0.0310478655,161230.5561,137573.38429999998,216701.9712,186771.16185,63697.650089999996,488.14852505000005,483.1507364,492.6739069,489.1409425,507.235922,161718.7046,138056.535,217194.6451,187260.3028,64204.88601
8.0,28.72738,28.71567,29.70907,26.28907,24.09584,583.9146997,677.4056976,607.5984742,490.0108006,435.4939158,4.395876526,4.67181499,5.542215102,8.893805893,6.069243827,8.94180647,6.420036164,9.154486749,15.99170379,4.250702347,403.9671739,465.8833008,429.4832588,386.2274793,356.3088662,0.216144685,0.221325404,0.226854821,0.231792412,0.154808107,160569.9083,136844.5,216167.3254,186448.7565,63487.78609,351.3289653,330.3645471,370.347574,408.9801705,480.0145322,160921.2373,137174.8646,216537.673,186857.7366,63967.80062
8.5,28.66744,28.62178,29.6347,26.24331,24.05454,517.437294,595.4605957,534.2625375,433.1544015,383.0897362,4.395828763,4.671734692,5.542154688,8.893765897,6.069204741,10.22395534,7.693912609,12.11255561,18.15590701,4.462133368,385.4843961,438.1127377,409.3561697,374.790742,343.2726373,0.146890163,0.090696686,0.124224931,0.081116441,0.069857697,160419.9111,136643.0423,216074.938,186415.6479,63448.09654,496.1253487,473.3234585,524.1302686,571.1414325,612.1746885,160916.0364,137116.3657,216599.0683,186986.7894,64060.27123
9.0,28.40975,28.2685,29.36081,26.03402,23.87924,282.6644827,322.2397106,298.3146892,245.3189444,217.0686213,4.395683841,4.671328445,5.541884992,8.893598631,6.06904834,20.67642753,21.00075701,31.94964401,29.57073284,7.132246865,315.73501,348.8437305,346.243495,323.5023822,291.7177229,0.0,0.0,0.0,0.0,0.0,159649.6683,135744.6252,215499.0954,185996.0722,63132.01412,831.7633942,821.9884379,830.007159,833.1883025,835.0819906,160481.4317,136566.6137,216329.1026,186829.2605,63967.09611
9.5,29.44369,29.67456,30.53087,26.91531,24.62298,1215.925127,1442.457471,1294.86803,1026.28977,927.7501293,4.396509333,4.672842164,5.543009228,8.89444722,6.069803387,5.774879423,4.335992455,2.763118956,7.14314796,4.66840247,680.9283345,824.8538358,730.5428969,612.846619,565.6417855,0.045655051,0.033559898,0.036561899,0.053423463,0.060155239,163825.6769,140528.7533,218708.7223,188079.4101,64658.22582,141.6818005,139.4932294,151.8890417,142.0415924,175.2771406,163967.3587,140668.2465,218860.6113,188221.4517,64833.50296
10.0,28.72232,28.697319999999998,29.695405,26.286925,24.09171,569.58416025,656.8739524499999,588.4825451,475.82041630000003,421.4895021,4.395872732,4.6718017895,5.5422027825,8.893796519999999,6.0692387715,9.1814919385,6.699853871,9.890613398500001,16.410573069999998,4.2948724039999995,402.84533475,461.19776915,426.68776655,386.9783978,355.59148749999997,0.1387295985,0.1355140185,0.125935429,0.11218927149999999,0.0809616215,160601.2711,136856.36095,216199.91009999998,186496.46745,63512.285715,424.72543765,403.77082210000003,452.47700614999997,504.3906747,556.37048665,161025.9965,137260.1318,216652.3871,187000.8581,64068.656205
10.5,28.93954,29.001445,29.951349999999998,26.467914999999998,24.240775,773.11705455,904.09188275,810.2239334999999,648.6750361,580.173893,4.3960514565,4.672119616,5.54242533,8.893980891,6.0693934345,7.480298896999999,5.4546394055,6.2261890095,12.343210696,4.3023943655,482.12963965,567.6248491,512.52075575,446.82261005,411.44798579999997,0.150419056,0.1282922685,0.1521274325,0.1844744875,0.1471539455,161424.2554,137824.0547,216798.85450000002,186835.00025,63758.973275,203.01186610000002,194.55710225,213.16310095,227.56700645,290.3213285,161627.26725,138018.6118,217012.01755,187062.56725000002,64049.2946
11.0,28.61447,28.54373,29.56663,26.1955,24.01051,483.9801133,549.0033055,492.3651307,401.9361128,353.1266322,4.395792606,4.671657548,5.542099263,8.893726172,6.069163479,11.39356183,9.413178965,15.29101345,20.18939774,4.788744411,369.0125662,415.0554636,390.6128552,361.2156262,329.1372891,0.155712395,0.134876805,0.143254223,0.080898386,0.071366969,160204.0426,136368.1782,215889.0859,186293.2244,63352.85906,475.559082,450.8225854,510.1691752,566.3713471,610.7287639,160679.6017,136819.0007,216399.2551,186859.5958,63963.58782
11.5,28.448,28.306565,29.3923,26.06027,23.89949,332.367485,368.52524404999997,340.92651145,280.50979395,247.30243080000002,4.395685362,4.6713588515,5.541891303,8.8936179815,6.0690635539999995,18.502895504999998,19.27120969,28.734737105,27.594606815,6.3951950805,325.25144939999996,357.5092849,352.285075,329.1168569,297.11465445,0.043339214499999994,0.039719625999999994,0.0215950395,0.0196249455,0.016062958,159749.18785,135818.3128,215564.90769999998,186039.6912,63161.572954999996,719.9328604,703.5948420499999,734.54324665,753.8875353999999,767.82625755,160469.1207,136521.90765,216299.45095,186793.57875,63929.399215
12.0,28.42474,28.28479,29.37546,26.04524,23.88851,301.5875799,341.1697344,316.1419213,259.4823805,229.5932814,4.395680068,4.671339137,5.541887246,8.893599902,6.069053059,19.68923766,20.06994986,30.35544657,28.63784528,6.754225018,319.1223516,352.1103011,348.6116684,325.6056681,293.9254078,0.001102779,0.0,0.000427625,0.0,0.0,159689.4544,135778.659,215528.9228,186014.408,63146.14731,788.0754017,773.1348379,789.1391441,799.6592603,806.0728345,160477.5298,136551.7939,216318.0619,186814.0673,63952.22014
12.5,29.14865,29.28201,30.19352,26.65012,24.39115,951.5136469,1120.28804,1003.973283,799.8394187,718.7686467,4.396224654,4.672423032,5.542645609,8.894156359,6.069548099,6.179165966,4.567072485,3.491405793,8.79587045,4.340456432,559.7906771,668.3582794,596.403953,509.4451551,468.8149807,0.052492281,0.035259133,0.043831516,0.064108155,0.063389392,162351.0596,138873.8813,217521.4418,187300.4904,64079.33552,143.0591882,140.6089964,153.3990964,143.6285484,179.073157,162494.1188,139014.4903,217674.8409,187444.119,64258.40868
13.0,28.800379999999997,28.79875,29.785,26.351395,24.13786,652.934211,752.6217146500001,675.84872505,545.239014,484.63142744999993,4.395942206,4.671912055,5.542271725,8.893872868999999,6.069290198,10.0736191345,9.02024304,12.1767001605,16.363108799499997,4.7927525685,436.30355325000005,504.506661,463.24493295,412.1408342,376.3190292,0.1059770625,0.0988742565,0.0880906565,0.070649804,0.0651142735,160929.79895,137216.85444999998,216427.6468,186611.18505,63576.060365,318.26914965,306.97218475,344.39648015,365.75108865000004,404.66380285,161248.0681,137523.82665,216772.04335,186976.93615,63980.724165
13.5,28.82774,28.84642,29.81393,26.36213,24.15023,677.3903086,783.8623656,700.5663827,564.0707725,500.8864678,4.395957264,4.671948737,5.542301452,8.893866193,6.069297131,7.755710416,5.620746726,6.917736876,13.80111398,4.182806043,438.7209342,509.6730102,462.5376599,408.819723,375.796336,0.134759594,0.115335599,0.114817191,0.201482774,0.197283312,160875.3626,137195.5187,216343.6936,186527.3914,63543.28749,199.4165476,192.3461014,212.0772212,222.0612991,311.2133178,161074.7792,137387.8649,216555.7708,186749.4527,63854.50081
14.0,28.69804,28.66031,29.65503,26.2544,24.05978,565.2697707,644.5965388,575.96551,467.7818339,411.9845468,4.395847444,4.671764845,5.542159426,8.89377577,6.069210421,9.549623617,7.186720066,11.16782672,17.6022276,4.441094979,394.7942603,449.2247994,414.2048935,376.5710248,344.6799867,0.249669166,0.249362787,0.302544366,0.289358918,0.19512721,160426.4079,136636.8466,216009.9884,186370.4758,63420.3484,325.0452632,301.6928425,344.1314602,404.8273187,474.2052802,160751.4532,136938.5394,216354.1199,186775.3032,63894.55368
14.5,29.194105,29.34111,30.24275,26.689855,24.425645,994.1258737,1171.2748588499999,1049.62385915,835.5845545,751.3931057,4.3962725,4.6724818335,5.5427012465,8.8942020815,6.069589333,6.2365766449999995,4.591144483000001,3.6033436865,8.8315140765,4.4127062925,579.4997874000001,693.4008469,617.7260477,526.1195948,484.12719489999995,0.050948389999999996,0.0368521665,0.044472952499999996,0.061055385999999996,0.0640362225,162589.6693,139136.04255,217708.5725,187425.80099999998,64172.564285,143.62274535,141.1560652,154.0811867,144.37967730000003,180.77881615,162733.29205,139277.19865,217862.6537,187570.18065,64353.343105
15.0,28.4494,28.31018,29.39855,26.06278,23.90383,321.9955985,361.257313,335.1260971,274.7087768,243.0143813,4.395686027,4.671356541,5.54188651,8.893612886,6.069068513,18.60246438,19.06184114,28.48169578,27.55548971,6.381499646,325.921492,358.7617114,353.9133541,330.0190174,298.419885,0.010366123,0.005522515,0.003634809,0.004361099,0.001509271,159782.9738,135866.9565,215599.0877,186059.9169,63181.52375,773.4716315,755.0785888,776.0566416,786.5087616,797.2196073,160556.4454,136622.0351,216375.1444,186846.4257,63978.74336
15.5,28.5191,28.399974999999998,29.46212,26.116065,23.944164999999998,394.373082,439.39308135,400.83459875,329.37396205000005,289.21407345,4.395729613,4.671465529,5.541958983000001,8.8936552505,6.069101246,15.544044099999999,15.55829731,23.328479285,24.54748018,5.709785673500001,344.1302005,380.5507748,367.66898505,342.43141685,309.99262135000004,0.08050286749999999,0.0835811385,0.0709856745,0.039904056,0.033958603000000004,159953.3271,136052.90269999998,215706.45604999998,186152.6726,63246.640705,628.37286255,608.261971,651.0330394,682.8196885,708.9392114,160581.69994999998,136661.1647,216357.4891,186835.49229999998,63955.579920000004
16.0,29.0692,29.1727,30.09598,26.57522,24.32451,882.6797745,1034.241837,924.8566399,738.7665411,661.3705125,4.396145776,4.672314727,5.542551415,8.894074566,6.069476822,6.434613866,4.705366774,3.99519011,9.687304892,4.27958982,528.6614998,626.9567403,560.2787249,482.0820258,442.4026171,0.056462285,0.037170773,0.048535386,0.066288705,0.064467443,161969.8346,138433.6669,217198.8523,187096.6737,63926.90833,144.6050711,141.8660558,155.0424037,145.4710536,183.0722738,162114.4397,138575.533,217353.8947,187242.1448,64109.9806
16.5,28.46823,28.32828,29.41503,26.076,23.91504,337.2466872,375.315273,348.6285432,285.7280915,252.7301992,4.395693808,4.671373339,5.541899435,8.893626677,6.069075975,17.89023338,18.43636132,27.27569134,26.78979534,6.150401752,331.4294024,363.8812308,358.0910749,333.6237628,301.9193038,0.012351125,0.010620221,0.008338679,0.009594418,0.003018542,159858.7547,135935.222,215653.6978,186097.0883,63209.07686,767.092037,747.3439964,771.0096817,782.2851468,793.8409435,160625.8467,136682.566,216424.7075,186879.3735,64002.9178
17.0,28.852655,28.87634,29.836325000000002,26.378605,24.158395,700.05621685,808.5095272,720.87851105,580.6392965,514.7554275499999,4.3959753065000005,4.6719827825,5.5423203045000005,8.893883506,6.0693077195,7.5953934675,5.5273978360000005,6.6583982255,13.52100676,4.215263922,447.90082540000003,520.3408674,470.16169225,414.41912249999996,379.17028695,0.10840317599999999,0.076146984,0.073016891,0.12058438699999999,0.13809831849999998,160975.9441,137295.82494999998,216397.622,186571.0971,63557.638680000004,174.0071562,167.37278215,185.9969702,182.55051535,256.82582405,161149.95124999998,137463.19770000002,216583.619,186753.64760000003,63814.464510000005
17.5,28.73246,28.6986,29.68509,26.27886,24.0785,591.2333997,672.1180973,598.7633512,486.6041405,427.687393,4.395874241,4.671805986,5.542190287,8.893787057,6.069229446,9.116903582,6.905180872,10.54760164,16.99822067,4.400081811,406.265616,462.0212635,423.9259344,384.3688379,351.4206048,0.244596383,0.24617672,0.301475305,0.290885303,0.197498922,160570.63,136784.872,216102.0609,186443.3044,63472.02145,322.6422613,299.7024565,341.6691661,401.6853403,471.907223,160893.2722,137084.5744,216443.73,186844.9897,63943.92867
18.0,28.47019,28.33166,29.41711,26.07697,23.91515,338.0849212,377.4976238,349.7025637,286.188192,253.0530902,4.395690319,4.671372393,5.541898459,8.893626564,6.069074815,17.7460074,18.23636873,27.01970577,26.69255684,6.146139684,331.5346996,364.2837195,358.1304512,333.5089841,301.7107089,0.013895015,0.022727273,0.012401112,0.013737462,0.005390254,159858.8351,135938.6987,215653.0375,186095.3629,63206.35592,761.7535573,739.403114,765.5028159,777.2879151,787.2590167,160620.5887,136678.1019,216418.5403,186872.6508,63993.61494
18.5,28.6166,28.541545,29.565895,26.18307,23.997259999999997,504.7790524,567.09741595,510.95579580000003,415.4319391,365.8372359,4.395786095,4.67160438,5.5420607035,8.893717635,6.069154833000001,12.745568554999998,12.131092663499999,17.717619272,21.1717784,5.123314496,373.10411055,419.94297835,393.81455975,358.81895039999995,326.01194780000003,0.14975738849999998,0.1493203055,0.138764165,0.1423898825,0.135618801,160145.58865,136305.22105,215799.28725,186184.8789,63275.82617,351.458572,336.2161451,373.97117990000004,407.68175399999996,469.97141810000005,160497.04725,136641.4372,216173.25845,186592.56069999997,63745.797585
19.0,28.48512,28.35122,29.4205,26.08047,23.9136,393.6698216,429.5711492,394.4330466,322.9200971,283.7372747,4.395679809,4.671383388,5.541912156,8.893636008,6.069073371,16.36362793,17.33834033,25.25475991,25.66096243,5.773686043,333.7590438,366.66328,355.774462,331.6817273,299.7819436,0.168504632,0.182242991,0.165918324,0.08591365,0.076326003,159747.7357,135814.902,215543.3225,186019.8963,63144.38026,499.4356227,476.8056983,532.7139725,589.3159871,626.1301467,160247.1713,136291.7077,216076.0365,186609.2123,63770.5104
19.5,28.88922,28.92287,29.87452,26.40808,24.18152,729.5660398,843.1683059,750.5715718,604.1258596,535.5204473,4.396009673,4.672033436,5.542348197,8.893910526,6.069329461,7.301982385,5.341655987,6.123895915,12.87826524,4.204694182,460.9336977,536.5860165,482.992051,424.2298297,387.7758783,0.108513454,0.069456245,0.061364122,0.098342782,0.125269513,161136.2329,137471.1477,216511.5812,186653.123,63612.93448,167.7041552,161.8251026,179.6350659,173.6917481,242.1500538,161303.9371,137632.9728,216691.2163,186826.8148,63855.08453
20.0,28.81631,28.810125,29.80425,26.36379,24.151495,659.5708386,760.3278875,685.7476349,550.8055461,491.8414548,4.395955840999999,4.6718982675,5.5422817185,8.8938904235,6.0693115429999995,11.478283630499998,11.068820821,14.654661280500001,17.401049441,5.096310246,447.105765,516.3228197,475.86066630000005,420.8188196,384.21210245,0.0549183945,0.0634027185,0.0434038915,0.050806803,0.0454937475,161105.95285,137384.55904999998,216567.19895,186688.73745000002,63634.374265000006,400.26586725,384.55470479999997,413.1647667,422.53386565000005,450.32677839999997,161506.2187,137769.1138,216980.3637,187111.27135,64084.70104
20.5,28.48986,28.35676,29.42914,26.088015,23.920830000000002,385.89600225000004,423.6651968,389.80612055,319.30846585,280.89321359999997,4.3956879395,4.671389699500001,5.5419263005,8.8936376175,6.0690812975,16.355283800000002,17.059048195,24.933255235,25.428122430000002,5.7652150045,335.44036074999997,368.56827150000004,358.40855,334.13493135,302.20941285000004,0.12064402299999999,0.141142736,0.108830447,0.066288705,0.0572445015,159815.66684999998,135881.33195,215599.51875,186060.61229999998,63176.394255,566.85484605,540.1694743,590.8551367,635.1888521000001,665.5161439999999,160382.52165,136421.50144999998,216190.37394999998,186695.80115,63841.9104
21.0,28.53391,28.40925,29.4651,26.11998,23.94366,429.8274973,468.5673754,427.55611,351.6235909,307.2946832,4.395712477,4.671449708,5.541953652,8.89366334,6.069098158,14.78064328,15.49125541,22.22056932,23.69124096,5.415888319,347.6850729,382.4683237,366.8691488,341.7775821,308.9450835,0.17644464,0.177357689,0.166559761,0.090274749,0.080638206,159924.8505,136001.5831,215659.9023,186117.799,63213.1832,481.3552336,460.1509852,517.1413719,574.5856025,615.2120813,160406.2058,136461.7341,216177.0437,186692.3846,63828.39528
21.5,29.37379,29.57974,30.44801,26.85051,24.56508,1151.526021,1363.092526,1222.082909,969.8815418,875.0215153,4.396437304,4.672730185,5.542908923,8.894371911,6.069741933,5.82163158,4.360877093,2.855805859,7.417128475,4.577246296,651.2788619,786.1473221,696.6013135,586.8447192,540.9552485,0.045655051,0.033347494,0.037844772,0.054295683,0.059939629,163466.38,140120.3314,218410.3869,187887.9734,64514.43372,141.682191,139.4957685,151.8914323,142.0659287,175.2924808,163608.0622,140259.8272,218562.2783,188030.0394,64689.7262
22.0,28.78642,28.768324999999997,29.75102,26.326279999999997,24.112095,646.4456831,735.7620832499999,658.5248596,533.5431787499999,470.90412365,4.395915529,4.671861019,5.542231477,8.893847392,6.0692647635,9.8084549175,9.0273748205,11.834119873499999,16.43957308,4.6537344014999995,429.39719605,492.36675195,449.88124344999994,402.01473455,365.78430019999996,0.15979267749999998,0.15962192,0.1924310455,0.1605974705,0.12818025,160801.16305,137052.5929,216275.5002,186527.1299,63512.694675,255.53115524999998,245.01028759999997,276.8035532,309.92531965,361.67954514999997,161056.6942,137297.6032,216552.30375,186837.05525,63874.37422
22.5,29.09014,29.19573,30.11133,26.58848,24.33351,899.1807679,1052.142738,938.0208512,749.6206615,669.7511562,4.396164063,4.67233966,5.542568014,8.894092022,6.069488464,6.364661253,4.672777462,3.943580018,9.635564589,4.287202441,536.5319921,635.6990368,566.1719641,487.039146,446.1117584,0.052712836,0.040994053,0.047252512,0.067815089,0.065114273,162064.71,138528.0072,217250.9052,187143.0496,63958.67083,144.6155365,141.9823278,155.241882,145.591414,183.4820003,162209.3255,138669.9895,217406.147,187288.641,64142.15283
23.0,28.50619,28.37431,29.43874,26.09298,23.92449,410.0360047,446.2593757,408.891038,333.6515173,293.3228954,4.395683665,4.671397379,5.541918587,8.893640821,6.069082292,15.72994058,16.6484432,24.06438422,24.92884857,5.602483819,339.9227977,373.1904939,360.2597215,334.9356056,303.0708107,0.179973533,0.178207307,0.166345948,0.092019189,0.083656749,159822.7174,135890.8726,215592.5625,186051.5267,63168.98569,484.7337312,460.002829,516.7074854,577.245983,615.1639503,160307.4511,136350.8754,216109.27,186628.7727,63784.14964
23.5,28.766045,28.74195,29.73203,26.30781,24.098824999999998,633.51093115,720.7876501000001,646.7187967,522.09003515,462.1253497,4.395894507,4.671817152,5.5422047195,8.8938363575,6.0692521425,10.8465774945,10.356055278,13.7318921325,17.53652599,4.8536563515,424.8235783,486.81936570000005,446.50421704999997,398.11740065000004,362.3026231,0.1653065725,0.160152931,0.19157579649999998,0.1637592675,0.128934886,160736.72785,136981.8686,216235.29235,186481.11905,63480.103975000005,258.34136824999996,247.42280929999998,277.9586943,311.95276815,362.3353909,160995.0692,137229.29135,216513.251,186793.07185,63842.43937
