,,Annual Mean Annual MRT (C),,,,,Annual Mean Solar Gains ,,,,,Volumne Flow Rate ,,,,,Total Ventilation Heat Gain [W],,,,,Total Ventilation Heat Loss [W],,,,,Daylight - Glare percentage ,,,,,Cooing Energy Uses,,,,,Lighting Energy Uses,,,,,Total Energy Uses,,,,,Embodied Carbon,,,,,
145,4.732127335,28.66766,28.63237,29.64907,26.25192,24.06605,512.3264042,596.434846,537.2376067,433.8573664,386.1510743,4.395836263,4.671740639,5.542178265,8.893778965,6.069213938,10.1332523,7.359144443,11.31484038,17.55163268,4.36293177,385.4489402,440.9761721,412.9624503,376.9615658,346.6826548,0.153065726,0.097068819,0.109258071,0.076973397,0.064251833,160438.2106,136683.2903,216119.3348,186430.7752,63462.13645,527.7002076,500.857469,551.3032535,593.7295758,629.4676707,160965.9108,137184.1478,216670.6381,187024.5048,64091.60412,,,,,,
43,5.386568029,28.72048,28.70937,29.70936,26.29022,24.09966,569.535908,664.3845076,597.6356162,481.2796419,429.1242541,4.395877118,4.67181112,5.542220138,8.893804552,6.069245069,9.075236032,6.470040304,9.155191224,15.89958907,4.219968708,401.9264867,464.1707234,429.827253,386.9565925,357.58235,0.106307896,0.117247239,0.116741501,0.13083297,0.08538163,160582.0019,136871.2437,216206.5152,186477.1236,63504.97214,412.4755936,392.3200292,431.2001778,471.1887555,527.43872,160994.4775,137263.5637,216637.7154,186948.3124,64032.41086,,,,,,
170,5.509208583,28.86105,28.90377,29.87308,26.40751,24.19978,697.5926202,818.5047579,735.6187107,589.1507598,527.747799,4.395993945,4.672015489,5.542352077,8.893910621,6.06934739,7.387807261,5.31271999,5.891294987,12.32299133,4.091855809,449.9568124,528.6250877,481.2350652,423.1170356,393.1104919,0.249669166,0.217926933,0.257429976,0.299825556,0.226175075,161065.4198,137445.4883,216557.3406,186671.5927,63667.89677,261.0095235,246.9556883,270.8452826,308.1122678,398.0473175,161326.4293,137692.444,216828.1859,186979.7049,64065.94409,,,,,,
26,6.005033535,28.77022,28.77312,29.76409,26.33194,24.13519,607.6016285,709.4501779,637.6246722,512.7133781,457.5489283,4.395917868,4.671872598,5.542260148,8.893840171,6.069277962,8.435691711,6.013070792,7.929857188,14.63499804,4.141274209,418.6154453,485.2657505,447.0972115,400.020319,370.1558769,0.101455668,0.112786746,0.113748129,0.128434365,0.084734799,160793.0794,137107.5322,216369.3975,186587.4508,63586.87985,411.1934405,391.3576831,430.2960796,469.4612462,526.0634938,161204.2729,137498.8898,216799.6935,187056.912,64112.94334,,,,,,
426,6.358187859,28.6022,28.53567,29.56652,26.19182,24.0119,458.798637,528.6149246,475.8436398,386.6549778,341.9777232,4.395799005,4.671653487,5.54209182,8.893727063,6.069161572,11.68589506,9.238392935,15.16727118,20.35118998,4.750439918,365.2363922,412.6208395,390.5050091,360.4764469,329.3714516,0.157476842,0.108326253,0.10156083,0.075883123,0.06101768,160220.3879,136383.7528,215924.1551,186304.3212,63363.35271,578.068324,535.7492046,591.5851302,627.4501726,660.1472713,160798.4562,136919.502,216515.7403,186931.7713,64023.49998,,,,,,
107,6.799167492,29.00936,29.10531,30.04436,26.53207,24.29169,833.0841773,980.6870532,880.4266473,702.5647429,631.0817479,4.39610752,4.672236091,5.542500547,8.894036137,6.069442686,6.660737787,4.814173959,4.25349104,10.06260619,4.248445084,505.8699954,601.3239953,540.7778683,466.0148968,429.0813556,0.056462285,0.036108751,0.047252512,0.065416485,0.064036223,161690.2231,138151.946,217017.4429,186956.0131,63827.07308,143.9356033,141.3008651,154.3183068,144.6465918,181.2868659,161834.1587,138293.2468,217171.7612,187100.6597,64008.35994,,,,,,
364,6.992442399,28.39093,28.24942,29.34316,26.02029,23.86748,268.9334634,308.6271239,285.3120255,234.9629404,207.8726808,4.395672377,4.671318767,5.54188401,8.893591984,6.069038275,21.55136863,21.82162629,33.39406858,30.44701494,7.474903145,310.710178,343.9365062,342.3042702,320.125474,288.3812584,0,0,0,0,0,159576.6026,135675.2054,215443.956,185959.2095,63104.18057,835.7935834,829.4218373,834.5591246,836.9220504,838.2025436,160412.3962,136504.6272,216278.5152,186796.1316,63942.38312,,,,,,
192,7.260880479,28.49104,28.3724,29.43783,26.09788,23.92899,366.9355205,414.0271968,375.2389097,309.0797381,271.0597578,4.395726659,4.671466519,5.541950718,8.893656202,6.06908674,15.92482411,15.41977591,24.21696793,25.440597,5.867227578,334.5715751,370.593484,360.420463,337.1106375,304.9061348,0.06616674,0.089209856,0.046611075,0.04361099,0.031694696,159861.4421,135944.8149,215643.6556,186105.1506,63211.81507,673.3852878,639.862293,695.8777041,716.7661968,739.7937334,160534.8274,136584.6772,216339.5333,186821.9168,63951.6088,,,,,,
125,7.90075489,28.40319,28.26108,29.35436,26.02931,23.87517,278.3461145,317.3714754,294.0524619,242.1301276,214.2338198,4.395683042,4.671323425,5.541882029,8.893596087,6.069045261,21.01151236,21.3493136,32.50523583,29.88562548,7.251043465,314.1989382,347.147958,344.9963524,322.4906632,290.6680656,0,0,0,0,0,159626.4202,135720.0843,215481.3136,185984.488,63122.92683,833.7914639,826.0777258,832.5048167,835.2248998,836.7476619,160460.2117,136546.162,216313.8184,186819.7129,63959.67449,,,,,,
469,7.961609788,29.24744,29.41631,30.31115,26.74153,24.47216,1038.380323,1227.978339,1102.118373,875.8177278,789.6645471,4.396303378,4.67255041,5.542766001,8.894255565,6.069634578,5.958149157,4.44876853,3.10338327,8.013983281,4.431743303,599.2549488,720.5930406,641.5570813,543.9634877,501.7606005,0.047640053,0.03462192,0.042121018,0.058220672,0.062095731,162834.692,139426.6843,217922.6288,187557.8357,64272.37335,142.5055862,140.223747,152.8429971,143.0569852,177.7241821,162977.1975,139566.908,218075.4718,187700.8927,64450.09753,,,,,,
278,8.434687361,28.72738,28.71567,29.70907,26.28907,24.09584,583.9146997,677.4056976,607.5984742,490.0108006,435.4939158,4.395876526,4.67181499,5.542215102,8.893805893,6.069243827,8.94180647,6.420036164,9.154486749,15.99170379,4.250702347,403.9671739,465.8833008,429.4832588,386.2274793,356.3088662,0.216144685,0.221325404,0.226854821,0.231792412,0.154808107,160569.9083,136844.5,216167.3254,186448.7565,63487.78609,351.3289653,330.3645471,370.347574,408.9801705,480.0145322,160921.2373,137174.8646,216537.673,186857.7366,63967.80062,,,,,,
479,8.83693363,28.66744,28.62178,29.6347,26.24331,24.05454,517.437294,595.4605957,534.2625375,433.1544015,383.0897362,4.395828763,4.671734692,5.542154688,8.893765897,6.069204741,10.22395534,7.693912609,12.11255561,18.15590701,4.462133368,385.4843961,438.1127377,409.3561697,374.790742,343.2726373,0.146890163,0.090696686,0.124224931,0.081116441,0.069857697,160419.9111,136643.0423,216074.938,186415.6479,63448.09654,496.1253487,473.3234585,524.1302686,571.1414325,612.1746885,160916.0364,137116.3657,216599.0683,186986.7894,64060.27123,,,,,,
345,9.298243035,28.40975,28.2685,29.36081,26.03402,23.87924,282.6644827,322.2397106,298.3146892,245.3189444,217.0686213,4.395683841,4.671328445,5.541884992,8.893598631,6.06904834,20.67642753,21.00075701,31.94964401,29.57073284,7.132246865,315.73501,348.8437305,346.243495,323.5023822,291.7177229,0,0,0,0,0,159649.6683,135744.6252,215499.0954,185996.0722,63132.01412,831.7633942,821.9884379,830.007159,833.1883025,835.0819906,160481.4317,136566.6137,216329.1026,186829.2605,63967.09611,,,,,,
485,9.551174693,29.44369,29.67456,30.53087,26.91531,24.62298,1215.925127,1442.457471,1294.86803,1026.28977,927.7501293,4.396509333,4.672842164,5.543009228,8.89444722,6.069803387,5.774879423,4.335992455,2.763118956,7.14314796,4.66840247,680.9283345,824.8538358,730.5428969,612.846619,565.6417855,0.045655051,0.033559898,0.036561899,0.053423463,0.060155239,163825.6769,140528.7533,218708.7223,188079.4101,64658.22582,141.6818005,139.4932294,151.8890417,142.0415924,175.2771406,163967.3587,140668.2465,218860.6113,188221.4517,64833.50296,,,,,,
82,10.07281466,28.71915,28.69352,29.69225,26.28446,24.0897,567.1655923,654.1703363,586.1336475,473.9377028,419.8434318,4.395870114,4.67179835,5.54220029,8.893793978,6.069236891,9.227731972,6.732795369,9.967732061,16.47916324,4.300309506,401.7886772,459.943326,425.6889439,386.2080756,354.8741969,0.138950154,0.135726423,0.125935429,0.111644134,0.081500647,160587.8738,136842.0108,216190.381,186489.6162,63507.21294,424.8509581,403.8709346,452.6043433,504.604904,556.4833269,161012.7247,137245.8818,216642.9853,186994.2211,64063.69627,,,,,,
307,10.38390023,28.72549,28.70112,29.69856,26.28939,24.09372,572.0027282,659.5775686,590.8314427,477.7031298,423.1355724,4.39587535,4.671805229,5.542205275,8.893799062,6.069240652,9.135251905,6.666912373,9.813494736,16.3419829,4.289435302,403.9019923,462.4522123,427.6865892,387.74872,356.3087781,0.138509043,0.135301614,0.125935429,0.112734409,0.080422596,160614.6684,136870.7111,216209.4392,186503.3187,63517.35849,424.5999172,403.6707096,452.349669,504.1764454,556.2576464,161039.2683,137274.3818,216661.7889,187007.4951,64073.61614,,,,,,
397,10.63703849,29.14056,29.2733,30.18713,26.6446,24.38709,944.6182297,1113.108522,998.1188369,794.9972899,714.8295252,4.396217306,4.672411483,5.542635386,8.894151212,6.069543738,6.201936418,4.580134313,3.512908625,8.826584472,4.334418067,556.6069718,664.9356029,593.8504611,507.2798666,467.0903282,0.051830613,0.034197111,0.042762455,0.062363716,0.062526951,162312.3073,138836.3641,217497.7565,187281.2515,64065.81604,142.8103493,140.3990082,153.0735438,143.3981047,178.2206969,162455.1176,138976.7631,217650.83,187424.6496,64244.03673,,,,,,
2,10.9034927,28.73852,28.72959,29.71557,26.29123,24.09446,601.6158794,695.0752435,622.3290301,502.3527823,445.5182608,4.395885607,4.671827749,5.542215274,8.89381057,6.069243131,8.758661376,6.329144498,8.939469394,15.85983692,4.270370664,407.6523075,470.3140953,431.1910504,386.3653535,355.8056434,0.249007499,0.222387426,0.26149241,0.306585259,0.23178094,160536.2035,136811.7453,216099.9525,186388.749,63452.13051,263.2133829,248.7151963,273.2526581,311.7359082,402.4219601,160799.4169,137060.4605,216373.2051,186700.4849,63854.55247,,,,,,
44,11.42577643,28.61447,28.54373,29.56663,26.1955,24.01051,483.9801133,549.0033055,492.3651307,401.9361128,353.1266322,4.395792606,4.671657548,5.542099263,8.893726172,6.069163479,11.39356183,9.413178965,15.29101345,20.18939774,4.788744411,369.0125662,415.0554636,390.6128552,361.2156262,329.1372891,0.155712395,0.134876805,0.143254223,0.080898386,0.071366969,160204.0426,136368.1782,215889.0859,186293.2244,63352.85906,475.559082,450.8225854,510.1691752,566.3713471,610.7287639,160679.6017,136819.0007,216399.2551,186859.5958,63963.58782,,,,,,
380,11.76731105,28.45291,28.3136,29.39515,26.06329,23.90031,347.876893,383.9649481,353.5915344,291.140253,255.7878124,4.395683728,4.671364115,5.541904758,8.893625426,6.069064452,17.97074182,18.8495625,28.03752609,27.21613526,6.260396081,325.6184118,358.0913115,351.8657402,328.9428463,296.8455321,0.08138509,0.077952421,0.042976267,0.039249891,0.032125916,159728.1705,135792.2167,215546.0316,186027.1904,63149.83025,652.9911755,633.026583,678.3001119,706.689042,728.406401,160381.1617,136425.2433,216224.3317,186733.8795,63878.23665,,,,,,
348,11.98229056,28.44309,28.29953,29.38945,26.05725,23.89867,316.858077,353.08554,328.2614885,269.8793349,238.8170492,4.395686996,4.671353588,5.541877848,8.893610537,6.069062656,19.03504919,19.69285688,29.43194812,27.97307837,6.52999408,324.884487,356.9272583,352.7044098,329.2908675,297.3837768,0.005293339,0.001486831,0.000213812,0,0,159770.2052,135844.4089,215583.7838,186052.192,63173.31566,786.8745453,774.1631011,790.7863814,801.0860288,807.2461141,160557.0797,136618.572,216374.5702,186853.278,63980.56178,,,,,,
423,12.44321782,28.42474,28.28479,29.37546,26.04524,23.88851,301.5875799,341.1697344,316.1419213,259.4823805,229.5932814,4.395680068,4.671339137,5.541887246,8.893599902,6.069053059,19.68923766,20.06994986,30.35544657,28.63784528,6.754225018,319.1223516,352.1103011,348.6116684,325.6056681,293.9254078,0.001102779,0,0.000427625,0,0,159689.4544,135778.659,215528.9228,186014.408,63146.14731,788.0754017,773.1348379,789.1391441,799.6592603,806.0728345,160477.5298,136551.7939,216318.0619,186814.0673,63952.22014,,,,,,
463,12.76820223,29.14865,29.28201,30.19352,26.65012,24.39115,951.5136469,1120.28804,1003.973283,799.8394187,718.7686467,4.396224654,4.672423032,5.542645609,8.894156359,6.069548099,6.179165966,4.567072485,3.491405793,8.79587045,4.340456432,559.7906771,668.3582794,596.403953,509.4451551,468.8149807,0.052492281,0.035259133,0.043831516,0.064108155,0.063389392,162351.0596,138873.8813,217521.4418,187300.4904,64079.33552,143.0591882,140.6089964,153.3990964,143.6285484,179.073157,162494.1188,139014.4903,217674.8409,187444.119,64258.40868,,,,,,
93,13.23152907,28.54564,28.44048,29.48554,26.1373,23.95831,434.6981792,483.4322253,436.7935317,359.8570909,314.5489244,4.395750023,4.671528452,5.542003284,8.893678615,6.069112044,13.65329895,13.30897099,20.30677758,22.97135117,5.313295967,349.2867968,388.0254593,370.5954332,345.8422274,313.1480163,0.155271284,0.16057774,0.127645927,0.075447013,0.065976714,159955.0734,136065.4551,215696.7022,186158.2329,63247.97579,491.9324385,472.0778742,533.7491232,586.0274788,626.2540053,160447.0058,136537.533,216230.4514,186744.2604,63874.22979,,,,,,
457,13.48416818,29.05512,29.15702,30.08446,26.56549,24.31741,871.1702428,1021.811204,914.9039184,730.6209371,654.7139305,4.396134389,4.672295658,5.542540166,8.894067123,6.069468352,6.493939319,4.73151509,4.046622741,9.754866429,4.27220917,523.3203097,620.9878627,555.8944327,478.439441,439.4900421,0.056682841,0.037170773,0.048535386,0.065852595,0.064251833,161904.5245,138368.2538,217158.5914,187064.1372,63904.14494,144.6058608,141.8664953,155.0438371,145.4746985,183.0736004,162049.1304,138510.1203,217313.6353,187209.6119,64087.21854,,,,,,
71,13.93073993,28.82774,28.84642,29.81393,26.36213,24.15023,677.3903086,783.8623656,700.5663827,564.0707725,500.8864678,4.395957264,4.671948737,5.542301452,8.893866193,6.069297131,7.755710416,5.620746726,6.917736876,13.80111398,4.182806043,438.7209342,509.6730102,462.5376599,408.819723,375.796336,0.134759594,0.115335599,0.114817191,0.201482774,0.197283312,160875.3626,137195.5187,216343.6936,186527.3914,63543.28749,199.4165476,192.3461014,212.0772212,222.0612991,311.2133178,161074.7792,137387.8649,216555.7708,186749.4527,63854.50081,,,,,,
228,14.27651718,28.69804,28.66031,29.65503,26.2544,24.05978,565.2697707,644.5965388,575.96551,467.7818339,411.9845468,4.395847444,4.671764845,5.542159426,8.89377577,6.069210421,9.549623617,7.186720066,11.16782672,17.6022276,4.441094979,394.7942603,449.2247994,414.2048935,376.5710248,344.6799867,0.249669166,0.249362787,0.302544366,0.289358918,0.19512721,160426.4079,136636.8466,216009.9884,186370.4758,63420.3484,325.0452632,301.6928425,344.1314602,404.8273187,474.2052802,160751.4532,136938.5394,216354.1199,186775.3032,63894.55368,,,,,,
314,14.50586004,29.01834,29.10661,30.03977,26.53131,24.28734,839.9630984,982.8803737,879.4021253,703.1835272,629.0550803,4.396112286,4.672238437,5.54249724,8.894036915,6.069438989,6.643398121,4.817617827,4.349001472,10.24571709,4.250990273,509.2529781,602.3243414,539.8184054,466.2590665,427.8285332,0.056241729,0.040356839,0.051101133,0.067815089,0.068132816,161731.4331,138168.7574,217014.4821,186972.1536,63836.14195,145.5632629,142.8162504,156.2709236,146.6928789,186.2648828,161876.9964,138311.5737,217170.753,187118.8464,64022.40684,,,,,,
334,14.89649312,29.36987,29.57561,30.44573,26.8484,24.56395,1148.288649,1359.669344,1219.845593,967.9855818,873.7311311,4.396432714,4.67272523,5.542905253,8.894367248,6.069739677,5.829755169,4.364671139,2.857685901,7.417311063,4.574422312,649.7465967,784.4773524,695.63369,585.9801231,540.4258566,0.045655051,0.033347494,0.037844772,0.054295683,0.059939629,163447.9055,140103.3277,218402.6629,187879.4484,64508.98662,141.6822278,139.49588,151.8914498,142.0664757,175.2927495,163589.5877,140242.8236,218554.5544,188021.5149,64684.27937,,,,,,
421,15.3161834,28.4494,28.31018,29.39855,26.06278,23.90383,321.9955985,361.257313,335.1260971,274.7087768,243.0143813,4.395686027,4.671356541,5.54188651,8.893612886,6.069068513,18.60246438,19.06184114,28.48169578,27.55548971,6.381499646,325.921492,358.7617114,353.9133541,330.0190174,298.419885,0.010366123,0.005522515,0.003634809,0.004361099,0.001509271,159782.9738,135866.9565,215599.0877,186059.9169,63181.52375,773.4716315,755.0785888,776.0566416,786.5087616,797.2196073,160556.4454,136622.0351,216375.1444,186846.4257,63978.74336,,,,,,
138,15.62733632,28.58446,28.48536,29.52184,26.16639,23.98198,463.4222216,514.2281684,463.5450149,381.6676208,333.3320946,4.395769871,4.671570472,5.5420286,8.893694654,6.069131766,12.66658326,12.2249979,18.47343675,21.71807591,5.093287572,361.1580237,401.1847707,380.5400856,354.1072979,320.8327297,0.149757389,0.160152931,0.137267479,0.074356738,0.065761104,160107.5661,136223.5385,215802.1967,186237.6423,63305.89182,485.3781209,464.151959,527.7731782,580.6402143,621.874046,160592.9442,136687.6905,216329.9699,186818.2825,63927.76587,,,,,,
353,15.86945141,28.45374,28.31459,29.4024,26.06574,23.90635,325.3239424,364.5579943,338.1241826,277.0803033,245.0960523,4.395689355,4.671360586,5.541889366,8.893615847,6.069070726,18.42150494,18.89159672,28.18352182,27.37688445,6.326283775,327.1023773,359.9167789,354.7978845,330.7555358,299.152513,0.011248346,0.007009346,0.00470387,0.005451374,0.002156102,159799.0881,135882.2669,215610.7154,186067.7029,63187.38959,771.3676042,752.371983,774.2929006,784.9991627,796.0043768,160570.4557,136634.6389,216385.0083,186852.7021,63983.39397,,,,,,
335,16.4781752,29.0692,29.1727,30.09598,26.57522,24.32451,882.6797745,1034.241837,924.8566399,738.7665411,661.3705125,4.396145776,4.672314727,5.542551415,8.894074566,6.069476822,6.434613866,4.705366774,3.99519011,9.687304892,4.27958982,528.6614998,626.9567403,560.2787249,482.0820258,442.4026171,0.056462285,0.037170773,0.048535386,0.066288705,0.064467443,161969.8346,138433.6669,217198.8523,187096.6737,63926.90833,144.6050711,141.8660558,155.0424037,145.4710536,183.0722738,162114.4397,138575.533,217353.8947,187242.1448,64109.9806,,,,,,
67,16.7601064,28.46823,28.32828,29.41503,26.076,23.91504,337.2466872,375.315273,348.6285432,285.7280915,252.7301992,4.395693808,4.671373339,5.541899435,8.893626677,6.069075975,17.89023338,18.43636132,27.27569134,26.78979534,6.150401752,331.4294024,363.8812308,358.0910749,333.6237628,301.9193038,0.012351125,0.010620221,0.008338679,0.009594418,0.003018542,159858.7547,135935.222,215653.6978,186097.0883,63209.07686,767.092037,747.3439964,771.0096817,782.2851468,793.8409435,160625.8467,136682.566,216424.7075,186879.3735,64002.9178,,,,,,
425,17.27303524,28.83155,28.84699,29.81077,26.35976,24.14297,682.5165007,786.7213102,701.3185849,565.507845,500.753554,4.395955846,4.671949409,5.542300511,8.893866136,6.069291221,7.776248691,5.658301398,7.078620401,14.03646413,4.226189403,440.351368,510.2521837,461.8147764,408.2917293,373.5393633,0.105425673,0.082837723,0.084883472,0.141517662,0.150711514,160884.2536,137189.6382,216325.093,186523.4511,63526.26392,180.0858029,172.7986305,192.2099122,191.1992241,271.1953029,161064.3394,137362.4368,216517.303,186714.6503,63797.45923,,,,,,
