年份,地级市,邻1,邻2,邻3
2007,牡丹江市,绥化市,佳木斯市,齐齐哈尔市
2007,黑河市,鹤岗市,伊春市,七台河市
2007,绥化市,牡丹江市,齐齐哈尔市,佳木斯市
2007,大兴安岭地区,七台河市,伊春市,鹤岗市
2007,武汉市,宜昌市,襄阳市,荆州市
2007,黄石市,黄冈市,孝感市,荆门市
2007,十堰市,荆门市,黄石市,黄冈市
2007,宜昌市,襄阳市,荆州市,孝感市
2007,襄阳市,宜昌市,荆州市,孝感市
2007,鄂州市,恩施土家族苗族自治州,随州市,咸宁市
2007,荆门市,十堰市,黄石市,黄冈市
2007,孝感市,黄冈市,黄石市,荆州市
2007,荆州市,孝感市,黄冈市,黄石市
2007,黄冈市,孝感市,黄石市,荆州市
2007,咸宁市,随州市,恩施土家族苗族自治州,鄂州市
2007,随州市,咸宁市,恩施土家族苗族自治州,鄂州市
2007,恩施土家族苗族自治州,鄂州市,随州市,咸宁市
2007,乌鲁木齐市,伊犁哈萨克自治州,克拉玛依市,巴音郭楞蒙古自治州
2007,克拉玛依市,伊犁哈萨克自治州,巴音郭楞蒙古自治州,昌吉回族自治州
2007,吐鲁番地区,塔城地区,阿克苏地区,阿勒泰地区
2007,哈密地区,阿勒泰地区,博尔塔拉蒙古自治州,和田地区
2007,昌吉回族自治州,阿克苏地区,塔城地区,吐鲁番地区
2007,伊犁哈萨克自治州,克拉玛依市,巴音郭楞蒙古自治州,昌吉回族自治州
2007,塔城地区,阿克苏地区,吐鲁番地区,阿勒泰地区
2007,阿勒泰地区,哈密地区,博尔塔拉蒙古自治州,和田地区
2007,博尔塔拉蒙古自治州,和田地区,哈密地区,阿勒泰地区
2007,巴音郭楞蒙古自治州,克拉玛依市,伊犁哈萨克自治州,昌吉回族自治州
2007,阿克苏地区,塔城地区,吐鲁番地区,昌吉回族自治州
2007,克孜勒苏柯尔克孜自治州,和田地区,博尔塔拉蒙古自治州,哈密地区
2007,和田地区,博尔塔拉蒙古自治州,哈密地区,阿勒泰地区
2008,北京市,
2008,天津市,
2008,长春市,吉林市,松原市,四平市
2008,吉林市,松原市,四平市,通化市
2008,四平市,通化市,松原市,白山市
2008,辽源市,白城市,白山市,通化市
2008,通化市,白山市,四平市,白城市
2008,白山市,白城市,辽源市,通化市
2008,松原市,四平市,通化市,吉林市
2008,白城市,白山市,辽源市,通化市
2008,上海市,
2008,南京市,无锡市,南通市,常州市
2008,杭州市,宁波市,温州市,绍兴市
2008,南昌市,赣州市,九江市,上饶市
2008,景德镇市,鹰潭市,萍乡市,新余市
2008,萍乡市,新余市,抚州市,景德镇市
2008,九江市,上饶市,宜春市,赣州市
2008,新余市,萍乡市,抚州市,景德镇市
2008,鹰潭市,景德镇市,萍乡市,新余市
2008,赣州市,九江市,上饶市,宜春市
2008,吉安市,抚州市,新余市,宜春市
2008,宜春市,上饶市,九江市,吉安市
2008,抚州市,新余市,萍乡市,吉安市
2008,上饶市,宜春市,九江市,吉安市
2008,济南市,烟台市,潍坊市,淄博市
2008,青岛市,烟台市,济南市,潍坊市
2008,淄博市,潍坊市,济宁市,东营市
2008,枣庄市,滨州市,聊城市,菏泽市
2008,东营市,济宁市,临沂市,淄博市
2008,烟台市,济南市,潍坊市,青岛市
2008,潍坊市,淄博市,济宁市,东营市
2008,济宁市,东营市,临沂市,淄博市
2008,泰安市,德州市,聊城市,威海市
2008,威海市,临沂市,泰安市,东营市
2008,日照市,菏泽市,莱芜市,枣庄市
2008,莱芜市,日照市,菏泽市,枣庄市
2008,临沂市,东营市,济宁市,威海市
2008,德州市,泰安市,聊城市,滨州市
2008,聊城市,滨州市,德州市,枣庄市
2008,滨州市,聊城市,枣庄市,德州市
2008,菏泽市,日照市,枣庄市,莱芜市
2008,长沙市,岳阳市,常德市,衡阳市
2008,株洲市,衡阳市,常德市,郴州市
2008,湘潭市,永州市,郴州市,邵阳市
2008,衡阳市,常德市,株洲市,岳阳市
2008,邵阳市,永州市,娄底市,益阳市
2008,岳阳市,常德市,衡阳市,株洲市
2008,常德市,衡阳市,岳阳市,株洲市
2008,张家界市,怀化市,益阳市,娄底市
2008,益阳市,怀化市,娄底市,邵阳市
2008,郴州市,湘潭市,永州市,邵阳市
2008,永州市,邵阳市,湘潭市,娄底市
2008,怀化市,益阳市,娄底市,邵阳市
2008,娄底市,益阳市,怀化市,邵阳市
2008,广州市,深圳市,佛山市,东莞市
2008,韶关市,阳江市,梅州市,潮州市
2008,深圳市,广州市,佛山市,东莞市
2008,珠海市,汕头市,湛江市,茂名市
2008,汕头市,珠海市,湛江市,清远市
2008,佛山市,东莞市,中山市,惠州市
2008,江门市,惠州市,茂名市,中山市
2008,湛江市,珠海市,汕头市,茂名市
2008,茂名市,江门市,惠州市,湛江市
2008,肇庆市,揭阳市,清远市,韶关市
2008,惠州市,江门市,茂名市,中山市
2008,梅州市,阳江市,潮州市,韶关市
2008,汕尾市,云浮市,河源市,潮州市
2008,河源市,汕尾市,潮州市,云浮市
2008,阳江市,梅州市,潮州市,韶关市
2008,清远市,揭阳市,肇庆市,韶关市
2008,东莞市,佛山市,中山市,惠州市
2008,中山市,惠州市,江门市,茂名市
2008,潮州市,梅州市,阳江市,河源市
2008,揭阳市,肇庆市,清远市,韶关市
2008,云浮市,汕尾市,河源市,潮州市
2008,海口市,三亚市
2008,三亚市,海口市
2008,重庆市,
2008,商洛市,安康市,铜川市,汉中市
2008,银川市,石嘴山市,吴忠市,中卫市
2008,石嘴山市,吴忠市,中卫市,固原市
2008,吴忠市,中卫市,石嘴山市,固原市
2008,固原市,中卫市,吴忠市,石嘴山市
2008,中卫市,固原市,吴忠市,石嘴山市
2008,鄂尔多斯市,包头市,呼和浩特市,通辽市
2008,沈阳市,大连市,鞍山市,营口市
2008,大连市,沈阳市,鞍山市,营口市
2008,鞍山市,营口市,锦州市,盘锦市
2008,抚顺市,盘锦市,锦州市,营口市
2008,本溪市,辽阳市,丹东市,抚顺市
2008,丹东市,辽阳市,铁岭市,本溪市
2008,锦州市,营口市,盘锦市,抚顺市
2008,营口市,锦州市,盘锦市,抚顺市
2008,阜新市,朝阳市,葫芦岛市,铁岭市
2008,辽阳市,丹东市,铁岭市,本溪市
2008,盘锦市,抚顺市,锦州市,营口市
2008,铁岭市,丹东市,辽阳市,本溪市
2008,朝阳市,葫芦岛市,铁岭市,丹东市
2008,葫芦岛市,朝阳市,铁岭市,丹东市
2008,镇江市,泰州市,扬州市,盐城市
2008,泰州市,镇江市,扬州市,盐城市
2008,宿迁市,连云港市,淮安市,泰州市
2008,金华市,嘉兴市,台州市,绍兴市
2008,衢州市,丽水市,舟山市,湖州市
2008,台州市,嘉兴市,绍兴市,金华市
2008,丽水市,舟山市,衢州市,湖州市
2008,宁波市,杭州市,温州市,绍兴市
2008,嘉兴市,金华市,台州市,绍兴市
2008,湖州市,衢州市,丽水市,舟山市
2008,绍兴市,温州市,台州市,嘉兴市
2008,舟山市,丽水市,衢州市,湖州市
2008,温州市,绍兴市,台州市,嘉兴市
2008,阜阳市,六安市,滁州市,宿州市
2008,拉萨市,日喀则市,昌都市,林芝市
2008,昌都市,林芝市,山南市,那曲地区
2008,山南市,林芝市,那曲地区,昌都市
2008,日喀则市,昌都市,林芝市,山南市
2008,西宁市,海西蒙古族藏族自治州,海东市,海南藏族自治州
2008,海东市,海南藏族自治州,海北藏族自治州,黄南藏族自治州
2008,海北藏族自治州,黄南藏族自治州,海南藏族自治州,玉树藏族自治州
2008,黄南藏族自治州,海北藏族自治州,玉树藏族自治州,海南藏族自治州
2008,海南藏族自治州,海北藏族自治州,黄南藏族自治州,玉树藏族自治州
2008,果洛藏族自治州,玉树藏族自治州,黄南藏族自治州,海北藏族自治州
2008,玉树藏族自治州,黄南藏族自治州,果洛藏族自治州,海北藏族自治州
2008,海西蒙古族藏族自治州,西宁市,海东市,海南藏族自治州
2008,贵阳市,遵义市,毕节市,六盘水市
2008,六盘水市,毕节市,黔南布依族苗族自治州,黔东南苗族侗族自治州
2008,遵义市,贵阳市,毕节市,六盘水市
2008,安顺市,黔西南布依族苗族自治州,铜仁市,黔东南苗族侗族自治州
2008,铜仁市,黔东南苗族侗族自治州,黔西南布依族苗族自治州,安顺市
2008,黔西南布依族苗族自治州,铜仁市,黔东南苗族侗族自治州,安顺市
2008,毕节市,六盘水市,黔南布依族苗族自治州,黔东南苗族侗族自治州
2008,黔东南苗族侗族自治州,铜仁市,黔西南布依族苗族自治州,黔南布依族苗族自治州
2008,黔南布依族苗族自治州,黔东南苗族侗族自治州,铜仁市,黔西南布依族苗族自治州
2008,无锡市,南京市,南通市,常州市
2008,徐州市,常州市,盐城市,扬州市
2008,常州市,徐州市,南通市,盐城市
2008,苏州市,无锡市,南京市,南通市
2008,南通市,常州市,徐州市,盐城市
2008,连云港市,宿迁市,淮安市,泰州市
2008,淮安市,连云港市,宿迁市,泰州市
2008,盐城市,扬州市,镇江市,泰州市
2008,扬州市,盐城市,镇江市,泰州市
2008,那曲地区,山南市,林芝市,昌都市
2008,阿里地区,那曲地区,山南市,林芝市
2008,林芝市,山南市,那曲地区,昌都市
2008,石家庄市,唐山市,邯郸市,沧州市
2008,承德市,张家口市,衡水市,秦皇岛市
2008,张家口市,承德市,衡水市,秦皇岛市
2008,唐山市,石家庄市,邯郸市,沧州市
2008,廊坊市,邢台市,秦皇岛市,张家口市
2008,保定市,沧州市,邯郸市,廊坊市
2008,沧州市,保定市,邯郸市,廊坊市
2008,秦皇岛市,张家口市,承德市,衡水市
2008,衡水市,承德市,张家口市,秦皇岛市
2008,邢台市,廊坊市,秦皇岛市,张家口市
2008,邯郸市,沧州市,保定市,石家庄市
2008,呼和浩特市,鄂尔多斯市,包头市,通辽市
2008,包头市,鄂尔多斯市,呼和浩特市,通辽市
2008,呼伦贝尔市,赤峰市,通辽市,巴彦淖尔市
2008,兴安盟,阿拉善盟,乌海市,锡林郭勒盟
2008,通辽市,赤峰市,呼伦贝尔市,巴彦淖尔市
2008,赤峰市,通辽市,呼伦贝尔市,巴彦淖尔市
2008,锡林郭勒盟,乌兰察布市,巴彦淖尔市,乌海市
2008,乌兰察布市,巴彦淖尔市,锡林郭勒盟,乌海市
2008,巴彦淖尔市,乌兰察布市,锡林郭勒盟,呼伦贝尔市
2008,乌海市,阿拉善盟,兴安盟,锡林郭勒盟
2008,阿拉善盟,兴安盟,乌海市,锡林郭勒盟
2008,合肥市,芜湖市,安庆市,马鞍山市
2008,淮北市,铜陵市,亳州市,宣城市
2008,亳州市,宣城市,淮南市,淮北市
2008,宿州市,滁州市,六安市,蚌埠市
2008,蚌埠市,巢湖市,宿州市,淮南市
2008,淮南市,巢湖市,蚌埠市,宣城市
2008,滁州市,宿州市,六安市,阜阳市
2008,六安市,阜阳市,滁州市,宿州市
2008,马鞍山市,安庆市,阜阳市,六安市
2008,巢湖市,蚌埠市,淮南市,宿州市
2008,芜湖市,安庆市,马鞍山市,阜阳市
2008,宣城市,亳州市,淮南市,淮北市
2008,铜陵市,淮北市,黄山市,亳州市
2008,池州市,黄山市,铜陵市,淮北市
2008,安庆市,芜湖市,马鞍山市,阜阳市
2008,黄山市,池州市,铜陵市,淮北市
2008,太原市,临汾市,运城市,长治市
2008,长治市,运城市,吕梁市,临汾市
2008,晋城市,晋中市,大同市,吕梁市
2008,朔州市,忻州市,晋城市,阳泉市
2008,晋中市,大同市,晋城市,吕梁市
2008,运城市,长治市,吕梁市,临汾市
2008,忻州市,阳泉市,朔州市,晋城市
2008,临汾市,运城市,长治市,吕梁市
2008,吕梁市,长治市,大同市,运城市
2008,大同市,晋中市,晋城市,吕梁市
2008,阳泉市,忻州市,朔州市,晋城市
2008,成都市,绵阳市,德阳市,宜宾市
2008,自贡市,内江市,资阳市,泸州市
2008,攀枝花市,眉山市,广安市,资阳市
2008,泸州市,内江市,自贡市,资阳市
2008,德阳市,绵阳市,宜宾市,达州市
2008,绵阳市,德阳市,宜宾市,达州市
2008,广元市,巴中市,雅安市,遂宁市
2008,遂宁市,广安市,眉山市,攀枝花市
2008,内江市,自贡市,泸州市,资阳市
2008,乐山市,凉山彝族自治州,南充市,达州市
2008,南充市,达州市,乐山市,凉山彝族自治州
2008,眉山市,广安市,攀枝花市,遂宁市
2008,宜宾市,达州市,南充市,德阳市
2008,广安市,眉山市,攀枝花市,遂宁市
