区域,区域.1,房屋,链接,参考总价,参考单价,小区,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房协编码
福田区,百花,长泰花园 大户型五房 东南向 满五年 诚心卖,https://sz.lianjia.com/ershoufang/105107376253.html,1860万,100000元/平米,长泰花园,5室3厅1厨3卫,高楼层 (共30层),185.96㎡,暂无数据,暂无数据,塔楼,西南,钢混结构,其他,三梯十一户,有,2021/5/20,商品房,2001/11/8,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.10E+11
福田区,百花,百花园一期小户型 总价低 诚心卖,https://sz.lianjia.com/ershoufang/105107391846.html,642万,120000元/平米,百花园一期,1室1厅1厨1卫,低楼层 (共29层),53.44㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,其他,三梯十六户,有,2021/5/22,商品房,2009/7/27,普通住宅,满五年,非共有,有抵押 300万元 招商银行 客户偿还,已上传房本照片,2.11E+11
福田区,百花,长乐花园高层东南向三房 红本在手满五唯一 诚心出售,https://sz.lianjia.com/ershoufang/105107174272.html,1113万,98700元/平米,长乐花园,3室2厅1厨2卫,高楼层 (共29层),112.69㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,三梯七户,有,2021/4/29,商品房,2002/1/14,普通住宅,满五年,非共有,无抵押,已上传房本照片,U218066707620
福田区,百花,百花公寓精装三房/高楼层/采光好/满五唯一,https://sz.lianjia.com/ershoufang/105104922376.html,1250万,117300元/平米,百花公寓一期,3室2厅1厨2卫,中楼层 (共32层),106.54㎡,暂无数据,暂无数据,塔楼,东北,钢混结构,简装,三梯八户,有,2020/7/25,商品房,2014/11/25,普通住宅,满五年,非共有,有抵押,已上传房本照片,U217103033258
福田区,百花,长安花园五房 红本在手 满五年 业主诚出售,https://sz.lianjia.com/ershoufang/105104752172.html,1491万,100000元/平米,长安花园,5室1厅1厨2卫,高楼层 (共30层),149.01㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,三梯七户,有,2020/7/4,商品房,2017/11/1,普通住宅,满两年,非共有,无抵押,已上传房本照片,U211601510607
福田区,百花,长城花园南北通透户型，满五唯一免个税,https://sz.lianjia.com/ershoufang/105107100419.html,1243万,100000元/平米,长城花园,3室2厅1厨2卫,中楼层 (共17层),124.22㎡,暂无数据,暂无数据,塔楼,南 北,钢混结构,简装,两梯十六户,有,2021/4/22,商品房,2004/6/7,普通住宅,满五年,非共有,无抵押,已上传房本照片,U219212258817
福田区,百花,百花公寓一期，东南朝向三房两卫，采光好，满五年唯一,https://sz.lianjia.com/ershoufang/105106744485.html,1255万,117300元/平米,百花公寓一期,3室1厅1厨2卫,低楼层 (共32层),106.91㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,三梯八户,有,2021/3/23,商品房,2001/7/13,普通住宅,满五年,非共有,无抵押,已上传房本照片,U214655044603
福田区,百花,满五年红本，全明格局，装修保养好,https://sz.lianjia.com/ershoufang/105106913952.html,1281万,120000元/平米,南天一花园,3室1厅1厨1卫,中楼层 (共17层),106.7㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,六梯四十户,有,2021/4/7,商品房,2007/5/14,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.19E+11
福田区,百花,南天二花园 3室2厅 南,https://sz.lianjia.com/ershoufang/105106921024.html,1066万,120000元/平米,南天二花园,3室2厅1厨2卫,低楼层 (共18层),88.83㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,其他,一梯六户,有,2021/4/8,商品房,2009/1/8,普通住宅,满五年,非共有,有抵押 864万元,已上传房本照片,U21881715624
福田区,百花,长怡花园少有三房业主诚心出售  满五,https://sz.lianjia.com/ershoufang/105104402431.html,1035万,100000元/平米,长怡花园,3室2厅1厨2卫,高楼层 (共29层),103.48㎡,暂无数据,暂无数据,塔楼,北,钢混结构,精装,三梯六户,有,2020/5/21,商品房,2001/12/5,普通住宅,满五年,非共有,有抵押 11万元 工商银行 业主自还,已上传房本照片,2.02E+11
福田区,百花,长安花园  满五年  采光无遮挡视野好  业主诚心出售,https://sz.lianjia.com/ershoufang/105106553588.html,1032万,100000元/平米,长安花园,3室2厅1厨2卫,高楼层 (共30层),103.2㎡,暂无数据,暂无数据,塔楼,西北,钢混结构,精装,三梯八户,有,2021/3/5,商品房,2015/12/1,普通住宅,满五年,非共有,有抵押 370万元 招商银行 业主自还,已上传房本照片,2.18E+11
福田区,车公庙,福田CBD正规2居室，户型好，红本满5.V一税少,https://sz.lianjia.com/ershoufang/105102183340.html,458万,72100元/平米,都市花园,2室2厅1厨1卫,低楼层 (共13层),63.45㎡,平层,暂无数据,板楼,东,钢混结构,精装,一梯四户,有,2019/3/30,商品房,2016/2/24,普通住宅,满五年,非共有,无抵押,已上传房本照片,1.70E+11
福田区,车公庙,君临天下正南向三房，好房，强烈推荐,https://sz.lianjia.com/ershoufang/105107352060.html,768万,83700元/平米,君临天下,3室1厅1厨2卫,中楼层 (共45层),91.67㎡,平层,55.05㎡,塔楼,北,钢混结构,精装,八梯八户,有,2021/5/18,商品房,2014/2/21,普通住宅,满五年,非共有,有抵押 350万元 北京银行,已上传房本照片,2.14E+11
福田区,车公庙,天然氧吧，高尔夫景观，金融街辐射区，业主急售,https://sz.lianjia.com/ershoufang/105107375090.html,1041万,69800元/平米,天安高尔夫海景花园,4室2厅1厨2卫,中楼层 (共31层),149.05㎡,平层,暂无数据,塔楼,东,钢混结构,简装,三梯四户,有,2021/5/20,商品房,2007/9/29,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.17E+11
福田区,车公庙,满五唯一，红本，税费少，复式二楼不算面积，带电梯,https://sz.lianjia.com/ershoufang/105106807915.html,531万,64000元/平米,国都高尔夫一期,3室2厅1厨2卫,高楼层 (共9层),82.82㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,一梯四户,有,2021/3/28,商品房,2004/5/28,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.11E+11
福田区,车公庙,本小区单价底的一套房子，满五，红本在手,https://sz.lianjia.com/ershoufang/105106886803.html,1026万,64000元/平米,国都高尔夫花园二期,4室1厅1厨2卫,中楼层 (共31层),160.19㎡,平层,132.53㎡,塔楼,西北,钢混结构,精装,三梯四户,有,2021/4/4,商品房,2005/9/15,普通住宅,满五年,非共有,无抵押,已上传房本照片,1.94E+11
福田区,车公庙,君临天下，满五唯一红本在手，高层高尔夫全景,https://sz.lianjia.com/ershoufang/105107299882.html,637万,83700元/平米,君临天下,2室1厅1厨1卫,高楼层 (共45层),76㎡,平层,暂无数据,塔楼,北,钢混结构,精装,八梯三户,有,2021/5/12,商品房,2014/1/22,普通住宅,满五年,非共有,无抵押,已上传房本照片,U211478550608
福田区,车公庙,满五唯一 厅出大阳台 精装修拎包入住 停车位充足,https://sz.lianjia.com/ershoufang/105104193503.html,638万,56500元/平米,福宇轩,3室2厅1厨2卫,中楼层 (共11层),112.92㎡,平层,99.92㎡,板塔结合,东 北,钢混结构,精装,一梯三户,有,2020/4/26,商品房,2008/4/24,普通住宅,满五年,共有,有抵押 383万元 客户偿还,已上传房本照片,U206980705314
福田区,车公庙,满五唯一，户型方正，实用率高，采光好,https://sz.lianjia.com/ershoufang/105104588365.html,608万,64000元/平米,国都高尔夫一期,3室2厅1厨2卫,中楼层 (共9层),94.93㎡,平层,暂无数据,板楼,北,钢混结构,精装,一梯四户,有,2020/6/13,商品房,2015/1/29,普通住宅,满五年,非共有,有抵押 130万元 1300000 客户偿还,已上传房本照片,U206588644419
福田区,车公庙,都市花园小高层南向精装两房 满五唯一 居家好房,https://sz.lianjia.com/ershoufang/105106902892.html,458万,72100元/平米,都市花园,2室2厅1厨1卫,低楼层 (共13层),63.45㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,有,2021/4/6,商品房,2014/3/14,普通住宅,满五年,非共有,有抵押 36万元 中国工商银行股份有限公司深圳星河支行 业主自还,已上传房本照片,U216863945068
福田区,车公庙,君临天下满五唯一，精装修朝南2居,https://sz.lianjia.com/ershoufang/105107358671.html,549万,83700元/平米,君临天下,2室2厅1厨1卫,中楼层 (共45层),65.48㎡,暂无数据,暂无数据,塔楼,南,钢混结构,精装,八梯八户,有,2021/5/18,商品房,2016/1/18,普通住宅,满五年,非共有,有抵押 240万元 中国农业银行福田支行 客户偿还,已上传房本照片,U215757774590
福田区,车公庙,此房正规三房。户型方正实用，没有浪费的空间,https://sz.lianjia.com/ershoufang/105107374543.html,432万,55800元/平米,活力宝小区,3室2厅1厨1卫,中楼层 (共6层),77.31㎡,暂无数据,暂无数据,板楼,南,框架结构,精装,一梯三户,无,2021/5/20,商品房,2003/11/25,普通住宅,满五年,共有,有抵押 100万元 中国工商银行股份有限公司深圳光明支行 客户偿还,已上传房本照片,U211001931400
福田区,车公庙,都市花园 正规两房 购物公园旁，满五唯一,https://sz.lianjia.com/ershoufang/105105110568.html,458万,72100元/平米,都市花园,2室1厅1厨1卫,高楼层 (共13层),63.45㎡,暂无数据,暂无数据,板楼,东,钢混结构,简装,一梯四户,有,2020/8/18,商品房,2010/4/20,普通住宅,满五年,非共有,有抵押 50万元 客户偿还,已上传房本照片,2.13E+11
福田区,车公庙,采光充足，停车方便，出入便利，看高尔夫球场,https://sz.lianjia.com/ershoufang/105107129184.html,301万,57600元/平米,趣园,1室0厅1厨1卫,低楼层 (共26层),52.19㎡,暂无数据,37.41㎡,塔楼,北,钢混结构,简装,三梯十一户,有,2021/4/25,商品房,2015/6/24,普通住宅,满五年,非共有,有抵押 95万元,已上传房本照片,U210098930153
福田区,车公庙,装修好 户型方正 业主诚心出售  小户型居家,https://sz.lianjia.com/ershoufang/105107418083.html,458万,72100元/平米,都市花园,2室2厅1厨1卫,低楼层 (共13层),63.45㎡,平层,暂无数据,板楼,东,钢混结构,简装,一梯四户,有,2021/5/25,商品房,2008/9/9,普通住宅,满五年,非共有,有抵押 50万元 客户偿还,已上传房本照片,2.19E+11
福田区,车公庙,“居住用地”初始积分80分 业主诚心出售,https://sz.lianjia.com/ershoufang/105107470916.html,497万,94800元/平米,泰安轩,2室1厅1厨1卫,低楼层 (共20层),52.37㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,三梯十八户,有,2021/5/30,商品房,2014/12/31,普通住宅,满五年,非共有,有抵押 110万元,已上传房本照片,U185928014230
福田区,车公庙,高尔夫景收眼底，品味人生恰意美宅！,https://sz.lianjia.com/ershoufang/105101666086.html,433万,57600元/平米,趣园,2室2厅1厨1卫,高楼层 (共26层),75.14㎡,平层,53.86㎡,塔楼,北,钢混结构,精装,三梯十一户,有,2018/10/23,商品房,2015/9/8,普通住宅,满五年,非共有,有抵押 150万元 金融公司垫资,已上传房本照片,U209686468482
福田区,车公庙,全高尔夫景观住家精装修，红本满五年唯一税少诚心出售,https://sz.lianjia.com/ershoufang/105101091088.html,583万,83700元/平米,君临天下,2室2厅1厨1卫,中楼层 (共45层),69.64㎡,平层,41.74㎡,塔楼,北,钢混结构,精装,三梯八户,有,2017/11/9,商品房,2012/2/27,普通住宅,满五年,非共有,无抵押,已上传房本照片,U183895411550
福田区,车公庙,全高尔夫景观，精装修，红本满五年唯一税少 诚心出售,https://sz.lianjia.com/ershoufang/105101162913.html,583万,83700元/平米,君临天下,2室1厅1厨1卫,中楼层 (共45层),69.64㎡,平层,41.74㎡,塔楼,北,钢混结构,精装,三梯八户,有,2017/12/25,商品房,2012/2/27,普通住宅,满五年,非共有,无抵押,已上传房本照片,U187020169661
福田区,车公庙,国都高尔夫花园 安静住家五房 看高尔夫景,https://sz.lianjia.com/ershoufang/105102220513.html,1026万,64000元/平米,国都高尔夫花园二期,5室2厅2厨2卫,中楼层 (共31层),160.19㎡,平层,160.19㎡,塔楼,南,钢混结构,精装,三梯六户,有,2019/4/8,商品房,2010/2/9,普通住宅,满五年,非共有,无抵押,已上传房本照片,1.94E+11
福田区,车公庙,君临天下 1室1厅 南,https://sz.lianjia.com/ershoufang/105107189431.html,430万,83700元/平米,君临天下,1室1厅1厨1卫,低楼层 (共45层),51.33㎡,复式,暂无数据,塔楼,南,钢混结构,精装,八梯三十户,有,2021/4/30,商品房,2013/5/2,商务公寓,满五年,非共有,无抵押,已上传房本照片,U193226968462
福田区,车公庙,福田z心看高尔夫景观3居室，采光好，高楼层，税费少,https://sz.lianjia.com/ershoufang/105107373177.html,551万,65500元/平米,嘉洲华苑,3室2厅1厨1卫,高楼层 (共25层),83.98㎡,错层,71.97㎡,板塔结合,西北,钢混结构,其他,两梯六户,有,2021/5/20,商品房,2016/1/7,普通住宅,满五年,非共有,有抵押 100万元 中行 业主自还,已上传房本照片,2.13E+11
福田区,车公庙,房源是高楼层景观好，看高尔夫球场，满五唯一税费很少,https://sz.lianjia.com/ershoufang/105107478948.html,301万,57600元/平米,趣园,1室1厅1厨1卫,高楼层 (共26层),52.19㎡,平层,37.41㎡,塔楼,北,钢混结构,其他,三梯十一户,有,2021/5/31,商品房,2013/5/17,普通住宅,满五年,非共有,有抵押 170万元,已上传房本照片,U205446717673
福田区,车公庙,低于指导价急售 双“住宅” 深高80分 带燃气满五,https://sz.lianjia.com/ershoufang/105106762237.html,2244万,50000元/平米,世纪豪庭,5室2厅1厨2卫,低楼层 (共50层),448.78㎡,平层,暂无数据,板塔结合,北,钢混结构,其他,三梯六户,有,2021/3/25,商品房,2005/8/16,普通住宅,满五年,非共有,有抵押 400万元 中国工商银行股份有限公司深圳蛇口支行 客户偿还,已上传房本照片,U215606692705
福田区,车公庙,华海住宅小区 4室2厅 南,https://sz.lianjia.com/ershoufang/105105587447.html,457万,56700元/平米,华海住宅小区,4室2厅1厨1卫,低楼层 (共7层),80.52㎡,平层,暂无数据,板塔结合,南,钢混结构,其他,一梯两户,无,2020/10/21,商品房,2008/11/7,普通住宅,满五年,共有,有抵押 200万元 农村商业银行 客户偿还,已上传房本照片,2.09E+11
福田区,车公庙,看房高尔夫全景，看房高尔夫全景，看房高尔夫全景,https://sz.lianjia.com/ershoufang/105100803417.html,433万,57600元/平米,趣园,2室1厅1厨1卫,高楼层 (共26层),75.14㎡,平层,53.86㎡,塔楼,东北,钢混结构,精装,三梯十一户,有,2017/5/14,商品房,2014/11/20,普通住宅,满五年,非共有,有抵押 140万元 招商银行股份有限公司深圳分行 客户偿还,已上传房本照片,U174110076328
福田区,车公庙,天安高尔夫大三房，高尔夫景观，天然氧吧，环境优美,https://sz.lianjia.com/ershoufang/105102316799.html,663万,53700元/平米,天安高尔夫花园,3室2厅1厨2卫,高楼层 (共19层),123.34㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯六户,有,2019/4/29,商品房,2014/2/11,普通住宅,满五年,非共有,无抵押,已上传房本照片,U198249028786
福田区,车公庙,安静 看花园  “有20多平阳光院子” 业主诚心卖,https://sz.lianjia.com/ershoufang/105101430530.html,418万,72100元/平米,都市花园,2室1厅1厨1卫,低楼层 (共13层),57.89㎡,平层,暂无数据,板楼,西,钢混结构,精装,一梯四户,有,2018/7/3,商品房,2009/11/18,普通住宅,满五年,非共有,有抵押 230万元 客户偿还,已上传房本照片,U197189473553
福田区,车公庙,北欧风实用多功能空间，高尔夫景观,https://sz.lianjia.com/ershoufang/105101268523.html,301万,57600元/平米,趣园,1室1厅1厨1卫,中楼层 (共26层),52.19㎡,平层,37.41㎡,塔楼,北,钢混结构,精装,三梯十一户,有,2018/3/18,商品房,2017/6/27,普通住宅,满两年,共有,有抵押 170万元 中国银行 客户偿还,已上传房本照片,1.88E+11
福田区,车公庙,君临天下 4室2厅 西,https://sz.lianjia.com/ershoufang/105105290033.html,621万,83700元/平米,君临天下,4室2厅1厨2卫,低楼层 (共45层),74.09㎡,复式,40.33㎡,塔楼,西,钢混结构,精装,三梯十户,有,2020/9/10,商品房,2013/12/9,商务公寓,满五年,非共有,无抵押,已上传房本照片,2.15E+11
福田区,车公庙,珑园三期，195平，高楼层，业主诚心放卖！高尔夫景观,https://sz.lianjia.com/ershoufang/105105983095.html,1976万,101300元/平米,天安高尔夫珑园,4室2厅1厨2卫,中楼层 (共32层),195.02㎡,平层,159.92㎡,塔楼,南 北,钢混结构,简装,一梯一户,有,2020/12/9,商品房,2016/11/3,普通住宅,满两年,非共有,有抵押 客户偿还,已上传房本照片,1.93E+11
福田区,车公庙,2013年建成次新房，东南朝向采光好装修好、拎包即住,https://sz.lianjia.com/ershoufang/105107325718.html,547万,83700元/平米,君临天下,2室2厅1厨1卫,中楼层 (共45层),65.34㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,三梯八户,有,2021/5/15,商品房,2016/10/18,普通住宅,满两年,共有,有抵押 88万元 客户偿还,已上传房本照片,U207940347365
福田区,车公庙,此房满五年唯一税费少，高层带电梯 采光好户型方正。,https://sz.lianjia.com/ershoufang/105107289370.html,598万,72100元/平米,都市花园,3室2厅1厨2卫,中楼层 (共35层),82.94㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯八户,有,2021/5/11,商品房,2003/3/24,普通住宅,满五年,共有,无抵押,已上传房本照片,U199727909341
福田区,车公庙,修保养好，北向采光足，高楼层，看高尔夫景观安静宜居,https://sz.lianjia.com/ershoufang/105101553628.html,1026万,64000元/平米,国都高尔夫花园二期,3室1厅1厨2卫,中楼层 (共31层),160.19㎡,平层,132.53㎡,塔楼,南 北,钢混结构,精装,三梯四户,有,2018/9/15,商品房,2005/4/21,普通住宅,满五年,非共有,无抵押,已上传房本照片,U165695544042
福田区,车公庙,车公庙大三房  房子满五唯一，红本在手,https://sz.lianjia.com/ershoufang/105103829181.html,558万,56500元/平米,福宇轩,3室2厅1厨1卫,高楼层 (共12层),98.66㎡,平层,87.33㎡,板塔结合,东南,钢混结构,精装,一梯四户,有,2020/3/12,商品房,2005/3/7,普通住宅,满五年,非共有,无抵押,已上传房本照片,2.04E+11
福田区,车公庙,此房已满5年，坐北朝南，小区北侧是深圳高尔夫球场,https://sz.lianjia.com/ershoufang/105105764447.html,505万,56700元/平米,华海住宅小区,2室1厅1厨1卫,中楼层 (共7层),88.89㎡,平层,81.19㎡,板塔结合,南 北,钢混结构,简装,一梯两户,无,2020/11/12,商品房,1991/7/1,普通住宅,满五年,非共有,有抵押 100万元,已上传房本照片,U197593267514
福田区,车公庙,"满五唯一，户型方正，使用率高，朝南，采光好,高楼层",https://sz.lianjia.com/ershoufang/105106514926.html,598万,72100元/平米,都市花园,3室1厅1厨2卫,高楼层 (共35层),82.94㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,三梯八户,有,2021/3/2,商品房,2009/3/18,普通住宅,满五年,共有,有抵押 300万元,已上传房本照片,U197298876943
福田区,车公庙,福田，车公庙，满五年住房，价格实惠的三房,https://sz.lianjia.com/ershoufang/105106939558.html,475万,55800元/平米,活力宝小区,3室1厅1厨1卫,高楼层 (共8层),85㎡,平层,暂无数据,板楼,北,框架结构,简装,一梯四户,无,2021/4/9,商品房,1990/12/27,普通住宅,满五年,非共有,无抵押,已上传房本照片,U211637496979
福田区,车公庙,都市花园 精装3房，业主诚心出售,https://sz.lianjia.com/ershoufang/105104625792.html,649万,72100元/平米,都市花园,3室1厅1厨1卫,高楼层 (共13层),90㎡,平层,暂无数据,板楼,北,钢混结构,精装,一梯三户,有,2020/6/18,商品房,2016/3/7,普通住宅,满五年,非共有,有抵押 330万元 客户偿还,已上传房本照片,U199110433520
福田区,车公庙,满五不唯一  南北向  户型方正  采光好  通风好,https://sz.lianjia.com/ershoufang/105106662702.html,1489万,72100元/平米,都市花园,5室2厅1厨2卫,高楼层 (共12层),206.46㎡,复式,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2021/3/16,商品房,2007/3/28,普通住宅,满五年,非共有,有抵押 700万元 客户偿还,已上传房本照片,2.03E+11
福田区,车公庙,南北通风板楼 使用率高 低楼层 出行方便,https://sz.lianjia.com/ershoufang/105105878906.html,438万,55800元/平米,活力宝小区,3室2厅1厨2卫,低楼层 (共7层),78.45㎡,平层,暂无数据,板楼,南,框架结构,简装,一梯两户,无,2020/11/26,商品房,2005/8/22,普通住宅,满五年,非共有,无抵押,已上传房本照片,U206442758127
福田区,车公庙,君临天下，精装大四房，业主诚心出售，可议价,https://sz.lianjia.com/ershoufang/105101858104.html,1637万,83700元/平米,君临天下,4室2厅1厨2卫,高楼层 (共45层),195.46㎡,平层,暂无数据,塔楼,北,钢混结构,精装,八梯四户,有,2018/12/18,商品房,2013/5/23,普通住宅,满五年,共有,有抵押 客户偿还,已上传房本照片,U198364594114
福田区,车公庙,满五唯一，装修好，看高尔夫景！业主诚心出售！,https://sz.lianjia.com/ershoufang/105105892181.html,838万,64000元/平米,国都高尔夫花园二期,3室2厅1厨2卫,中楼层 (共31层),130.84㎡,平层,暂无数据,塔楼,北 西北,钢混结构,精装,三梯八户,有,2020/11/28,商品房,2015/5/25,普通住宅,满五年,非共有,有抵押 400万元 中国银行 客户偿还,已上传房本照片,U194828904490
福田区,车公庙,双拼大平层南北通，高层180度俯瞰高尔夫景观。,https://sz.lianjia.com/ershoufang/105104041924.html,1637万,83700元/平米,君临天下,4室2厅1厨3卫,高楼层 (共45层),195.46㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,八梯三户,有,2020/4/8,商品房,2014/6/24,普通住宅,满五年,非共有,有抵押 200万元,已上传房本照片,U217143623240
福田区,车公庙,13年次新房 180度高尔夫景观 300万装修,https://sz.lianjia.com/ershoufang/105105337269.html,2364万,83700元/平米,君临天下,6室1厅1厨4卫,高楼层 (共45层),282.43㎡,平层,167.98㎡,塔楼,东南,钢混结构,精装,三梯三户,有,2020/9/16,商品房,2018/4/23,普通住宅,满两年,共有,有抵押 1500万元 交通银行深圳金叶支行 客户偿还,已上传房本照片,U200781904184
