标题,介绍,总价,单价
金家湾 精装修两室 中高楼层 满两室 看房方便,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼, 66万,"6,805元/平"
精装修 一天没住 业主嘎嘎诚心,3室2厅 | 140.63平米 | 南 北 | 精装 | 高楼层(共16层) | 2007年建 | 板楼, 92万,"6,542元/平"
四号线旁 步梯洋房公摊小 精装修 随时看房,3室2厅 | 123.35平米 | 南 北 | 精装 | 中楼层(共5层) | 2009年建 | 板楼, 105万,"8,513元/平"
长白岛 万科物业 2室 南北通透 有钥匙拎包入住,2室1厅 | 84.96平米 | 南 北 | 精装 | 低楼层(共26层) | 2012年建 | 板楼, 119万,"14,007元/平"
中海三期两室装修保持新精装好楼层采光好,2室1厅 | 87.02平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼, 153万,"17,583元/平"
万科城 洋房 南北通透 万科原精装 南昌 铁五 保持好,2室2厅 | 95.66平米 | 南 北 | 精装 | 中楼层(共5层) | 2006年建 | 板塔结合, 157万,"16,413元/平"
吉祥小区 户型好 近地铁 不顶 清水房 随时看房子,2室2厅 | 98.3平米 | 东 西 | 毛坯 | 高楼层(共8层) | 2000年建 | 板楼, 39万,"3,968元/平"
南北通透 楼层好视野宽阔 彩光充足,2室2厅 | 72.64平米 | 南 北 | 毛坯 | 高楼层(共32层) | 2015年建 | 板楼, 33万,"4,543元/平"
满两年 新市府 地铁口 龙湖天街 园林住区 高层视野好,3室1厅 | 125.41平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼, 196万,"15,629元/平"
阳光100凤凰湾 居住舒适 南北三室 双南卧 两卫,3室2厅 | 104.1平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼, 98万,"9,415元/平"
浑南奥体 万科新榆公馆 南北朝向三居室 精装 诚心出售,2室2厅 | 94.29平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼, 83万,"8,803元/平"
中海国际一期两室不临街园区出门地铁4号线6号线,2室1厅 | 89.04平米 | 南 | 精装 | 低楼层(共33层) | 2009年建 | 板塔结合, 145万,"16,285元/平"
：两层别墅， ，采光好不挡光，方林装修 环境优美,4室2厅 | 175.08平米 | 南 北 | 精装 | 2层  | 板楼 | 联排别墅 , 320万,"18,278元/平"
浑南   麦德龙红星美凯龙  万锦三期房子出售,2室2厅 | 81.88平米 | 东 南 北 | 其他 | 高楼层(共34层)  | 板楼, 110万,"13,435元/平"
和平区长白岛 富海澜湾半岛 精装修洋房 拎包入住,3室2厅 | 120.82平米 | 南 北 | 精装 | 高楼层(共6层) | 2014年建 | 板楼, 265万,"21,934元/平"
加州花园 5室3厅 南 北,5室3厅 | 185平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据, 270万,"14,595元/平"
房主诚心卖 3室清水 车位 价格能研究 好楼层 全款房,3室2厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合, 62万,"6,459元/平"
金沙巴黎花园 邻七星大街 位置好 双书包 看房方便,3室1厅 | 117.91平米 | 南 北 | 毛坯 | 中楼层(共29层) | 2020年建 | 板楼, 78万,"6,616元/平"
新南站 华发大开 短进深 大开间  优质三室,3室1厅 | 95.92平米 | 南 北 | 毛坯 | 低楼层(共33层) | 2020年建 | 板楼, 76万,"7,924元/平"
九州御府带花园带车库三层大洋房,4室2厅 | 171.32平米 | 南 北 | 精装 | 低楼层(共6层) | 2016年建 | 板楼, 329万,"19,204元/平"
央企开发 万科物业 北向观河 3室好楼层 急售 诚心卖,3室1厅 | 90.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合, 62.5万,"6,908元/平"
品质园区，品牌开发，园区开发自持物业，环境优美.,3室1厅 | 102平米 | 南 | 简装 | 低楼层(共23层)  | 板楼, 67万,"6,569元/平"
四期，清水毛坯，不临街，全明户型，三室一卫,3室2厅 | 112.07平米 | 南 北 | 毛坯 | 低楼层(共26层) | 2007年建 | 板楼, 128万,"11,422元/平"
小石城e期 精装两居室 满两年 房主诚心出售,2室1厅 | 83.85平米 | 南 北 | 精装 | 高楼层(共32层) | 2018年建 | 塔楼, 75万,"8,945元/平"
龙湖品牌开发 小区环境优美 配地上停车位 非顶楼,3室1厅 | 109.56平米 | 南 北 | 毛坯 | 高楼层(共8层) | 2017年建 | 板楼, 61万,"5,568元/平"
万科城洋房一楼 带大花园 随时看房,4室1厅 | 162.32平米 | 南 北 | 精装 | 低楼层(共4层) | 2006年建 | 板楼, 405万,"24,951元/平"
海兴花园 精装修 南北标户 随时看房 拎包入住 启二,3室2厅 | 90.57平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼, 88.8万,"9,805元/平"
国企品牌 华润置地公元九里 南北通透 精装修 采光好,2室2厅 | 87.27平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼, 80万,"9,167元/平"
南北通透户型方正 采光好 园区绿园高 产权清晰,3室1厅 | 97.35平米 | 南 北 | 精装 | 低楼层(共33层) | 2017年建 | 板楼, 90万,"9,245元/平"
环北家园 143平精装三室 好楼层 56万急售 满,3室2厅 | 142.83平米 | 南 北 | 精装 | 中楼层(共7层) | 2004年建 | 板楼, 56万,"3,921元/平"
大四室 有衣帽间 随时看房 房主无抵押,4室2厅 | 147.39平米 | 南 北 | 简装 | 中楼层(共30层) | 2015年建 | 板楼, 88万,"5,971元/平"
远洋大河宸章 一梯一户 小高层 全明户型 好楼层,3室1厅 | 129.38平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼, 288万,"22,261元/平"
吾悦华府B4地块 好楼层 采光好 无遮挡,3室1厅 | 85平米 | 南 北 | 毛坯 | 中楼层(共33层) | 2021年建 | 板楼, 69.8万,"8,212元/平"
万科精装修，新房龄，全明户型，采光视野好,3室2厅 | 110.13平米 | 北 南 | 精装 | 高楼层(共34层)  | 板塔结合, 158万,"14,347元/平"
恒大名都三期，精装，楼层好，视野好,3室1厅 | 117.16平米 | 南 | 精装 | 中楼层(共32层) | 2019年建 | 板楼, 83.5万,"7,128元/平"
美的城精装修 一天没住 看房方便,3室1厅 | 97.1平米 | 南 北 | 精装 | 低楼层(共32层) | 2020年建 | 板楼, 90万,"9,269元/平"
满两年 无大税  商场、地铁齐全,2室2厅 | 68.89平米 | 东 南 北 | 其他 | 中楼层(共33层) | 2014年建 | 板楼, 53.5万,"7,767元/平"
南北通透格局，精装修，楼层好，视野开阔，采光好！,3室1厅 | 89.8平米 | 南 北 | 精装 | 中楼层(共33层) | 2016年建 | 板楼, 96万,"10,691元/平"
品质园区 万科物业 南北通透 全天采光,2室2厅 | 87.74平米 | 南 北 | 精装 | 中楼层(共29层) | 2017年建 | 板楼, 105万,"11,968元/平"
满五年，小两居 南北户型 不把山,2室1厅 | 70.1平米 | 南 北 | 简装 | 高楼层(共22层) | 2005年建 | 板楼, 56万,"7,989元/平"
南北大三居、中高楼层、采光充足视野开阔、随时看房,3室1厅 | 94.69平米 | 南 北 | 精装 | 高楼层(共24层) | 2011年建 | 板楼, 77万,"8,132元/平"
三室洋房，南北通透，楼层好，采光足,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼, 95万,"9,048元/平"
急售不顶高层 楼下双地铁 明卫无连廊 视野开阔,2室2厅 | 79.22平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2016年建 | 板楼, 122万,"15,401元/平"
紫荆花西区2室2楼南北55.7平37万急售,2室1厅 | 55.42平米 | 南 北 | 其他 | 低楼层(共7层)  | 板塔结合, 36.8万,"6,641元/平"
皇姑 一环内 岐山一四十三 十号线地铁塔湾 采光好,3室2厅 | 127.85平米 | 南 北 | 简装 | 高楼层(共33层) | 2012年建 | 板楼, 165万,"12,906元/平"
珠五虹桥 精装 三室19年房龄 诚心卖价格便宜着急出售,3室1厅 | 102.53平米 | 南 北 | 精装 | 低楼层(共31层) | 2019年建 | 板楼, 85万,"8,291元/平"
中海寰宇天下南北两室 急售 保持良好,2室2厅 | 95.3平米 | 南 北 | 其他 | 高楼层(共34层) | 2014年建 | 板楼, 109万,"11,438元/平"
南北通透 精装 修 保持良好 看房方便 诚心出售,2室2厅 | 96.78平米 | 南 北 | 其他 | 低楼层(共33层) | 2014年建 | 板楼, 135万,"13,950元/平"
二室三阳户型园区内不把山不临街采光好满五随时看房,2室1厅 | 60.5平米 | 南 | 其他 | 低楼层(共27层) | 2012年建 | 板楼, 63.5万,"10,496元/平"
长白岛幸福里 两居室清水房 随时看房诚心出售,2室1厅 | 97.24平米 | 东北 | 毛坯 | 高楼层(共34层)  | 板楼, 129万,"13,267元/平"
金地檀府 三室一卫 三叶草 清水随意装修 中间楼层,3室2厅 | 106.98平米 | 南 北 | 毛坯 | 中楼层(共34层) | 2018年建 | 板楼, 125万,"11,685元/平"
新市府好位置，中间楼层，嘎嘎合适，近地铁两大商场,3室1厅 | 110.46平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼, 139万,"12,584元/平"
房源满五，南北通透，清水房源，好楼层全天采光,2室1厅 | 90.96平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2014年建 | 板楼, 92万,"10,115元/平"
二环旁  多层公摊少 中楼层 三室两厅 精装,3室1厅 | 87.55平米 | 南 北 | 精装 | 中楼层(共6层) | 2014年建 | 板楼, 73万,"8,339元/平"
采光很好，诚心出售 房子好楼层,2室2厅 | 78平米 | 东南 | 精装 | 中楼层(共27层) | 2018年建 | 板楼, 59万,"7,565元/平"
中海城锦城，南北标户，落地窗，小高，我有钥匙，可贷,2室2厅 | 77.92平米 | 南 北 | 其他 | 高楼层(共18层) | 2017年建 | 板楼, 88万,"11,294元/平"
南北通透，全明格局，有电梯，精装修,3室1厅 | 114.51平米 | 南 北 | 精装 | 中楼层(共31层) | 2019年建 | 板塔结合, 132万,"11,528元/平"
急售急售，金地精装三室，房主诚心出售，看房方便,3室2厅 | 146.51平米 | 南 北 | 精装 | 低楼层(共26层) | 2011年建 | 板楼, 169万,"11,536元/平"
两室有阳台无连廊明厨明卫精装修高区不挡光,2室2厅 | 79.22平米 | 南 北 | 其他 | 高楼层(共33层) | 2016年建 | 板楼, 129万,"16,284元/平"
棋盘山类独栋 精装修 已改建 近育才 无遮挡 采光充足,5室3厅 | 311.48平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 , 225万,"7,224元/平"
棠颂8号楼园区好位置  中间楼层 带家政间,3室2厅 | 146.07平米 | 南 北 | 精装 | 中楼层(共34层) | 2021年建 | 板塔结合, 343万,"23,482元/平"
万科花园新城 4跃6层，喜欢跃层的来，有露台，喜欢的,5室2厅 | 245.08平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼, 140万,"5,713元/平"
长白岛内 满五年 北向河景房 中间楼层无遮挡 景色优美,4室2厅 | 161.17平米 | 南 北 | 精装 | 中楼层(共32层) | 2011年建 | 板楼, 279万,"17,311元/平"
浑南奥体 金地檀郡小高 带入户花园！ 全天不挡光 ！,3室2厅 | 145.31平米 | 南 北 | 精装 | 高楼层(共12层) | 2011年建 | 板楼, 230万,"15,829元/平"
保利香槟国际，急售，随时看房，拎包入住，采光充足。,4室2厅 | 124.53平米 | 南 北 | 精装 | 高楼层(共6层) | 2014年建 | 板楼, 154万,"12,367元/平"
2楼不把山不临街  南北   好房源,4室2厅 | 165.66平米 | 南 北 | 简装 | 低楼层(共2层)  | 板楼, 98万,"5,916元/平"
北八栋 精装修保持好 好楼层 采光好 视野好 看房方便,3室2厅 | 133.31平米 | 南 西 北 | 精装 | 中楼层(共33层) | 2009年建 | 板楼, 210万,"15,753元/平"
园区内洋房7楼采光好，满二无大税，急卖，看房有钥匙,4室1厅 | 125.11平米 | 南 北 | 毛坯 | 高楼层(共9层) | 2017年建 | 板楼, 158万,"12,629元/平"
恒大名都 四室精装修 近地铁 楼层好 采光充足,4室2厅 | 174.99平米 | 南 北 | 精装 | 中楼层(共33层) | 2012年建 | 板楼, 86万,"4,915元/平"
看房方便户型方正，随时看房奥体.....,4室2厅 | 258.7平米 | 南 北 | 精装 | 高楼层(共24层) | 2009年建 | 板楼, 189万,"7,306元/平"
泉涌新镇三越四！连排别墅带车库带露台！清水房！！！,3室2厅 | 172.3平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼, 57万,"3,309元/平"
洋房 拎包入住 带阁楼50平 业主急售 标准南北通透,3室2厅 | 82.78平米 | 南 北 | 精装 | 高楼层(共5层) | 2014年建 | 板楼, 129万,"15,584元/平"
洋房顶跃，精装修，拎包入住，看房方便,4室2厅 | 174.69平米 | 东 南 北 | 精装 | 高楼层(共7层) | 2015年建 | 板楼, 282万,"16,143元/平"
国王湖人间仙境 私家岛屿城堡别墅,4室2厅 | 148.08平米 | 南 北 | 精装 | 低楼层(共4层) | 2011年建 | 平房, 210万,"14,182元/平"
带大阁楼103平米楼下标户，南北不挡光，满五,5室2厅 | 90.4平米 | 南 北 | 精装 | 高楼层(共6层) | 2004年建 | 板楼, 79.9万,"8,839元/平"
浑南 金地檀郡 四室精装修 未住 房主因工作调动 急售,4室2厅 | 155.19平米 | 南 北 | 精装 | 高楼层(共33层) | 2011年建 | 板楼, 175万,"11,277元/平"
新上三室   户型好中间楼层。,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2018年建 | 板楼, 195万,"15,854元/平"
顶楼层，采光好，上学便利，双总老牌，总价单价双低,2室1厅 | 58.38平米 | 南 北 | 简装 | 高楼层(共9层) | 1996年建 | 板塔结合, 49万,"8,394元/平"
浑南中路 建筑大学旁 泰荣湾 多层洋房 好位置 婚房装,2室1厅 | 88.22平米 | 南 北 | 精装 | 中楼层(共5层) | 2010年建 | 板楼, 87万,"9,862元/平"
二环内，美好愿景，户型方正，小区环境好,2室1厅 | 75.97平米 | 西南 | 简装 | 中楼层(共27层)  | 板楼, 58万,"7,635元/平"
全南户型，客厅朝南，有电梯，精装修,2室2厅 | 79.35平米 | 南 | 精装 | 高楼层(共33层) | 2012年建 | 板楼, 96万,"12,099元/平"
三隆世纪新城  好楼层采光好 南北通透,2室1厅 | 85.94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼, 75万,"8,728元/平"
封闭式物业园区。两室一厅南向电梯直达。位置繁华。,2室1厅 | 70.1平米 | 南 | 简装 | 低楼层(共15层)  | 板楼, 37.8万,"5,393元/平"
依云北郡四期一室小户型，看房有钥匙，。。。,1室1厅 | 44.19平米 | 东南 | 简装 | 高楼层(共21层) | 2014年建 | 板楼, 35万,"7,921元/平"
丰泽社区 T1 幺三四 不顶 随时看,2室1厅 | 56.28平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼, 46万,"8,174元/平"
急售 碧桂园公园里二期 精装 交通便利,2室1厅 | 105.15平米 | 南 北 | 精装 | 低楼层(共28层) | 2016年建 | 板楼, 86万,"8,179元/平"
D铁洋房 装修好 位置好 保持好 价格可议,3室1厅 | 97.93平米 | 南 北 | 精装 | 低楼层(共6层) | 2015年建 | 板楼, 102万,"10,416元/平"
急售，看房方便，好位置，好楼层,2室2厅 | 92.62平米 | 南 北 | 精装 | 中楼层(共28层) | 2016年建 | 板楼, 85万,"9,178元/平"
华润大品牌开发商高层南北标准两室全天采光 房主急售,2室2厅 | 85.6平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼, 105万,"12,267元/平"
沈阳南体院旁精装修保持好房子户型挺亮堂,2室2厅 | 73.19平米 | 东南 | 精装 | 中楼层(共33层) | 2015年建 | 板楼, 46万,"6,286元/平"
精装修，价格美丽，好楼层，好位置，客卧分离,1室1厅 | 54.86平米 | 南 | 精装 | 高楼层(共18层) | 2009年建 | 板楼, 31万,"5,651元/平"
位置好，交通便利，配套成熟，精装修，价格可议。,2室1厅 | 79.11平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼, 55万,"6,953元/平"
首创四期  精装两室  无连廊  没住过几天 诚心出售,2室2厅 | 81.96平米 | 南 北 | 精装 | 高楼层(共34层) | 2017年建 | 板塔结合, 96万,"11,714元/平"
唐轩公馆旁 近DT 满五年 好楼层 一室一厅 单价六千+,1室1厅 | 53.45平米 | 西北 | 精装 | 中楼层(共31层) | 2012年建 | 塔楼, 35万,"6,549元/平"
房子满五不唯一 看房子方便 精装修房,2室1厅 | 57.96平米 | 东 | 精装 | 低楼层(共33层) | 2013年建 | 塔楼, 50万,"8,627元/平"
小区为封闭式小区，安全，有自己的物业，园区环境好，,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合, 60万,"6,977元/平"
中铁香湖三期 出门丁香湖地铁 看房方便,2室1厅 | 87.2平米 | 南 北 | 简装 | 低楼层(共28层)  | 板楼, 99万,"11,354元/平"
碧桂园星荟16年交房 南北小三室精装修不临街可议价,3室2厅 | 94.8平米 | 南 北 | 精装 | 中楼层(共27层) | 2016年建 | 板楼, 90万,"9,494元/平"
皇姑区交通方便出行有地铁教育全面 采光好 南北通透,2室2厅 | 106.22平米 | 南 北 | 简装 | 高楼层(共6层) | 2007年建 | 板楼, 65万,"6,120元/平"
三室精装修 全天采光 装修好 高楼层,3室2厅 | 128.44平米 | 南 北 | 精装 | 高楼层(共26层) | 2010年建 | 板楼, 109万,"8,487元/平"
三千院 电梯房 大阳台 房主诚心卖 看房方便,2室1厅 | 53平米 | 西 北 | 精装 | 中楼层(共35层) | 2009年建 | 塔楼, 40万,"7,548元/平"
望湖路  南昌  精装修 两室 南北通透  无抵押诚心出售,2室2厅 | 91.99平米 | 南 北 | 精装 | 中楼层(共31层) | 2016年建 | 板楼, 168万,"18,263元/平"
望湖路 南昌 带车位 南北通透 无抵押 万科物业,2室2厅 | 91.87平米 | 南 北 | 精装 | 中楼层(共31层) | 2016年建 | 板楼, 177万,"19,267元/平"
荣盛盛京绿洲南北2室家具家电齐全 方便看 园区好位置,2室2厅 | 74.97平米 | 南 北 | 精装 | 低楼层(共18层) | 2017年建 | 板楼, 49万,"6,536元/平"
一楼 南北通透 不把山不临街  花园地下仓房,2室1厅 | 97.82平米 | 南 北 | 精装 | 低楼层(共29层) | 2013年建 | 板楼, 84万,"8,588元/平"
开发商，品牌 楼层好格局好，交通便利,3室2厅 | 119.59平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 暂无数据, 62万,"5,185元/平"
"全屋米家智能家居】香江家居装修好杠杠滴18W,真急卖",2室2厅 | 84.6平米 | 南 北 | 精装 | 低楼层(共33层) | 2018年建 | 板塔结合, 80万,"9,457元/平"
御览嘉园 不把不临 中间层 南北通透 诚心售卖,2室1厅 | 71.47平米 | 南 北 | 简装 | 中楼层(共7层) | 2004年建 | 板楼, 69万,"9,655元/平"
9号楼 全天采光 高层河景 清水三室 世茂五里河,3室2厅 | 134.74平米 | 南 北 | 毛坯 | 高楼层(共57层) | 2020年建 | 板楼, 188万,"13,953元/平"
户型方正，园区位置好，南北清水，高品质园区,3室2厅 | 113.96平米 | 南 北 | 毛坯 | 中楼层(共29层) | 2021年建 | 板楼, 147万,"12,900元/平"
多层2楼  南北通透  拎包入住,3室1厅 | 91.04平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼, 61万,"6,701元/平"
其仕盛和祥品质小区。采光好，交通便利。,3室1厅 | 98.61平米 | 南 北 | 精装 | 低楼层(共20层) | 2016年建 | 板楼, 105万,"10,649元/平"
一环内近地铁 不把山不临街 中间层 出行方便 配套齐全,3室2厅 | 91.33平米 | 南 北 | 精装 | 中楼层(共34层) | 2018年建 | 板楼, 155万,"16,972元/平"
此房满五，采光充足 品牌装修，勋望，杏坛地铁200米,4室2厅 | 91.22平米 | 南 北 | 精装 | 中楼层(共18层) | 2012年建 | 板楼, 88万,"9,648元/平"
银河湾家园 多层和高层小区 楼间距大 采光好 交通方便,2室1厅 | 69.32平米 | 南 北 | 精装 | 高楼层(共6层) | 2006年建 | 板楼, 78.6万,"11,339元/平"
吾悦华府B4电梯洋房 不临街好楼层蒲河路地铁 南京一,3室2厅 | 98.46平米 | 南 北 | 其他 | 中楼层(共7层) | 2021年建 | 板楼, 88万,"8,938元/平"
园区中间 满五年 中间楼层 看房有钥匙,2室2厅 | 92.88平米 | 南 北 | 毛坯 | 低楼层(共31层) | 2020年建 | 板楼, 68万,"7,322元/平"
房主急售，位置佳，楼层好，视野好，精装保持好！,2室1厅 | 65.93平米 | 东北 | 精装 | 高楼层(共18层) | 2017年建 | 板楼, 68万,"10,314元/平"
亿博隆河谷 4室2厅 南 北,4室2厅 | 148.22平米 | 南 北 | 精装 | 高楼层(共34层) | 2016年建 | 板楼, 113万,"7,624元/平"
长白万科 精装修 看房方便 满五 南北两室 中间楼层,2室2厅 | 96.87平米 | 南 北 | 其他 | 中楼层(共31层) | 2016年建 | 板楼, 175万,"18,066元/平"
新市府碧桂园公园上城 近万达龙湖,3室2厅 | 117.3平米 | 南 北 | 其他 | 中楼层(共34层) | 2019年建 | 板楼, 152万,"12,959元/平"
干干净净 南向两室 全天采光 下楼地铁公交 看房方便,2室1厅 | 67.66平米 | 南 | 其他 | 中楼层(共34层) | 2013年建 | 板楼, 32.5万,"4,804元/平"
精装修，标准南北。，楼层高，不挡光，全明户型,2室2厅 | 104.14平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼, 69万,"6,626元/平"
地铁4号线 南北 多层1楼 带花园 两室好房出售 可贷款,2室2厅 | 86.68平米 | 南 北 东 | 简装 | 低楼层(共6层) | 2009年建 | 板楼, 62.8万,"7,246元/平"
急售 方迪家园 东南大两室两卫 中间楼层 看房有钥匙,2室1厅 | 140.13平米 | 东南 | 其他 | 中楼层(共17层) | 2003年建 | 板楼, 88万,"6,280元/平"
保利茉莉公馆 望湖路 134 地铁4号线 有钥匙随时看房,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2020年建 | 板楼, 114万,"10,781元/平"
南北通透，全明格局，有电梯，3室2厅2卫,3室2厅 | 115.53平米 | 南 北 | 毛坯 | 低楼层(共33层) | 2018年建 | 板楼, 65万,"5,627元/平"
全天采光 C 位置 精装修 业主诚心出售 不临街,2室2厅 | 92.35平米 | 南 北 | 精装 | 高楼层(共31层) | 2016年建 | 板楼, 160万,"17,326元/平"
126四大原始社区，格局好采光,2室1厅 | 58.61平米 | 东 西 | 其他 | 高楼层(共8层)  | 板楼, 50万,"8,531元/平"
浑南洋房品质园区，轻轨，地铁，高铁，出行方便,3室2厅 | 129.02平米 | 南 北 | 毛坯 | 中楼层(共7层) | 2020年建 | 板楼, 103万,"7,984元/平"
长白 江南时代 南向 精装修 拎包即住,2室1厅 | 59.36平米 | 南 | 精装 | 中楼层(共33层) | 2017年建 | 板楼, 57万,"9,603元/平"
航空航天大学地铁口100米南北客卧分离不临街不挡光,1室1厅 | 55.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼, 31.5万,"5,646元/平"
甲第 一期 近D T 配套齐全 交通便利,2室1厅 | 78.52平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼, 59万,"7,515元/平"
好房急售 11楼带电梯 尚品双总 地铁四号线,2室1厅 | 88.07平米 | 南 北 | 简装 | 高楼层(共12层) | 2007年建 | 板楼, 97万,"11,014元/平"
顶楼带阁楼 空间大 功能齐全 看房方便 装修标准高,3室1厅 | 188.56平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼, 249万,"13,206元/平"
九如溪谷 联排别墅 有装修  南花园北车库,3室2厅 | 184.57平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼, 100万,"5,418元/平"
房子满五年 无贷款 产权清晰 业主诚心出售 户型方正,2室2厅 | 125.83平米 | 南 北 | 精装 | 低楼层(共7层) | 1996年建 | 板楼, 85万,"6,756元/平"
清水大平层 四室 户型好 中高层不挡光 世茂五里河,4室2厅 | 213.84平米 | 南 北 | 毛坯 | 高楼层(共34层) | 2012年建 | 板楼, 260万,"12,159元/平"
房主急售！精装四室！拎包住！园区中间！出门即公园！,4室2厅 | 168.34平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼, 355万,"21,089元/平"
中海国际二期央景园区  四室开发商精装  满五好楼层,4室2厅 | 161.76平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据, 279万,"17,248元/平"
近省实验 降价32万 洋房园区中间 额外面积多 精装修,4室2厅 | 189.42平米 | 南 北 | 精装 | 低楼层(共14层) | 2015年建 | 板楼, 253万,"13,357元/平"
龙湖源著 精装修  拎包即住  小户型,1室2厅 | 56平米 | 西北 | 精装 | 中楼层(共32层) | 2018年建 | 板塔结合, 26万,"4,643元/平"
新华西社区 中层南北 不把不临 园区干净,2室1厅 | 59.62平米 | 南 北 | 简装 | 中楼层(共8层) | 1997年建 | 板楼, 77万,"12,916元/平"
荣盛城 精装修 带车位 .16楼 采光好 房主急售,2室2厅 | 80.19平米 | 南 北 | 精装 | 高楼层(共18层) | 2016年建 | 板楼, 68万,"8,480元/平"
满五，园区内，带煤气，近地铁，独立下水,1室1厅 | 37.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼, 25.5万,"6,811元/平"
保持好 拎包入住 万科品质 业主诚意出售,2室1厅 | 78.38平米 | 南 北 东 | 精装 | 低楼层(共18层)  | 板楼, 77万,"9,824元/平"
丁香湖地铁口 精装修看房方便有钥匙,2室2厅 | 84.47平米 | 南 北 | 精装 | 低楼层(共25层) | 2015年建 | 板楼, 85万,"10,063元/平"
浑南奥体SR国际城 园区中·央二室南北通透 全天采光,2室2厅 | 106.49平米 | 南 北 | 精装 | 高楼层(共30层) | 2009年建 | 板楼, 87万,"8,170元/平"
前排河景，28楼，装修好，精装修,2室1厅 | 85.42平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼, 98万,"11,473元/平"
