类别,行政区,点评数,口味,环境,服务,人均消费,城市,Lng,Lat
咖啡厅, 浦东新区,7,7.5,7.5,7.5,22,上海市,121.9076217,30.89702479
快餐, 浦东新区,24,7.6,7.5,7.6,15,上海市,121.9072627,30.89684905
美食, 浦东新区,14,7.7,7.6,7.7,16,上海市,121.9060175,30.87599575
火锅, 浦东新区,139,8.3,8.3,8.2,112,上海市,121.9045098,30.89690803
烧烤, 浦东新区,6,7.3,7.3,7.4,30,上海市,121.9045098,30.89690803
浙菜, 浦东新区,36,6.9,7,6.7,104,上海市,121.9022625,30.89736933
火锅, 浦东新区,36,7.5,7.4,7.2,113,上海市,121.9022625,30.89736933
火锅, 浦东新区,117,6.9,7,6.6,103,上海市,121.9022625,30.89736933
快餐, 浦东新区,42,7.9,8.2,8.1,24,上海市,121.9022625,30.89736933
快餐, 浦东新区,10,7.6,7.7,7.5,36,上海市,121.9022625,30.89736933
料理, 浦东新区,46,6.3,6.7,6.2,43,上海市,121.9022625,30.89736933
西餐, 浦东新区,17,6.9,7,6.4,74,上海市,121.9022625,30.89736933
甜点, 浦东新区,29,7.7,7.7,7.5,22,上海市,121.9022625,30.89736933
烧烤, 浦东新区,182,7,6.9,6.9,43,上海市,121.9002227,30.87711451
西餐, 浦东新区,273,8.2,8.2,8.2,48,上海市,121.9002227,30.87711451
海鲜, 浦东新区,23,7.4,6.9,7.2,77,上海市,121.8998333,30.9558331
西餐, 浦东新区,58,7.6,7.7,7.2,83,上海市,121.8996245,30.87766225
快餐, 浦东新区,20,7.3,7.2,7.3,17,上海市,121.8993409,30.88468418
川菜, 浦东新区,7,7.5,7.4,7.6,64,上海市,121.8989858,30.88435239
烧烤, 浦东新区,9,6.8,6.7,6.8,30,上海市,121.8989858,30.88435239
美食, 浦东新区,7,7.1,7.2,7.2,11,上海市,121.8981145,30.88359987
烧烤, 浦东新区,8,7.3,7.3,7.3,19,上海市,121.8979635,30.883385
本菜, 浦东新区,30,7.2,7.4,7.1,65,上海市,121.8979545,30.88347694
川菜, 浦东新区,59,6.8,6.9,6.8,52,上海市,121.8979475,30.88351592
湘菜, 浦东新区,14,7.2,7,7.2,38,上海市,121.8979475,30.88351592
北菜, 浦东新区,129,7.5,6.9,7.4,44,上海市,121.8979475,30.88351592
疆菜, 浦东新区,26,7.2,6.9,7.1,29,上海市,121.8979475,30.88351592
川菜, 浦东新区,8,7.3,7.1,7.2,55,上海市,121.8978215,30.88298423
烧烤, 浦东新区,17,6.5,6.6,6.6,84,上海市,121.8977595,30.88311416
火锅, 浦东新区,63,7.8,7.8,8,63,上海市,121.8976614,30.88317312
快餐, 浦东新区,254,8.2,7.8,8,21,上海市,121.8976614,30.88317312
快餐, 浦东新区,12,7,6.6,6.9,14,上海市,121.8976614,30.88317312
快餐, 浦东新区,10,7.1,6.9,6.7,15,上海市,121.8976614,30.88317312
烧烤, 浦东新区,9,7.3,7.3,7,34,上海市,121.8976614,30.88317312
美食, 浦东新区,48,7,6.9,7,44,上海市,121.8973473,30.88294126
西餐, 浦东新区,349,8.5,8.4,8.4,78,上海市,121.8967751,30.88245652
火锅, 浦东新区,124,7.3,7.3,7.3,51,上海市,121.8967211,30.88246252
美食, 浦东新区,6,7.5,7.7,7.3,13,上海市,121.89646,30.88223964
烧烤, 浦东新区,201,7.5,7.2,7.6,51,上海市,121.8964319,30.88259043
甜点, 浦东新区,46,7.8,8.2,8,15,上海市,121.8964319,30.88259043
快餐, 浦东新区,9,7.3,7.2,7.3,16,上海市,121.896337,30.88189183
川菜, 浦东新区,333,8.6,7.9,8.2,64,上海市,121.8959207,30.88214366
火锅, 浦东新区,164,7.2,7.3,7.4,68,上海市,121.8958487,30.88210967
火锅, 浦东新区,19,6.9,6.8,7,58,上海市,121.8952224,30.88141102
美食, 浦东新区,14,7.2,7.1,7.1,10,上海市,121.892925,30.88254001
川菜, 浦东新区,53,7.3,7.2,7.3,22,上海市,121.8928288,30.88530637
北菜, 浦东新区,18,6.9,6.9,7,66,上海市,121.8928288,30.88530637
咖啡厅, 浦东新区,38,7.1,7.1,6.9,25,上海市,121.8928288,30.88530637
浙菜, 浦东新区,1564,7,7.8,6.6,98,上海市,121.8889162,30.94313412
川菜, 浦东新区,14,7.2,7.2,7,37,上海市,121.8865743,30.89187141
本菜, 浦东新区,36,6.9,7.8,7.9,105,上海市,121.886113,30.89081181
浙菜, 浦东新区,338,8.4,7.1,7.3,148,上海市,121.8834315,30.9245215
咖啡厅, 浦东新区,4,6.8,6.9,6.9,10,上海市,121.8811938,30.88966461
浙菜, 浦东新区,204,8.1,8.2,7.9,110,上海市,121.8795275,30.87985415
浙菜, 浦东新区,284,8,7.5,7.9,77,上海市,121.8713902,30.98802894
海鲜, 浦东新区,31,6.9,7,6.9,68,上海市,121.8521552,30.87679719
浙菜, 浦东新区,80,7.1,7,7,85,上海市,121.8474779,30.86123264
海鲜, 浦东新区,42,7.4,7.1,7.2,81,上海市,121.8467471,30.86209292
海鲜, 浦东新区,39,7.8,7.5,7.7,120,上海市,121.8462187,30.86527019
海鲜, 浦东新区,149,7.3,6.8,6.8,124,上海市,121.8455395,30.86028192
快餐, 宝山区,19,7.4,7.3,7.4,10,上海市,121.8454029,30.87495519
海鲜, 浦东新区,136,7.5,7.2,7.5,75,上海市,121.8453672,30.85810089
海鲜, 浦东新区,51,7.4,6.9,7,100,上海市,121.8452548,30.84774864
海鲜, 浦东新区,8,7.1,6.7,6.8,44,上海市,121.8450302,30.86113157
海鲜, 浦东新区,6,7.1,7.2,7.4,90,上海市,121.8450272,30.86084073
海鲜, 浦东新区,42,6.8,6.8,6.8,71,上海市,121.8450142,30.86107257
浙菜, 浦东新区,52,8.4,7.9,8.4,86,上海市,121.843505,30.88018988
西餐, 浦东新区,14,8,8,8,38,上海市,121.8433905,30.85901896
海鲜, 浦东新区,613,8.4,7.6,7.3,150,上海市,121.8433905,30.85901896
海鲜, 浦东新区,26,6.6,6.7,6.8,76,上海市,121.8294557,30.89777811
快餐, 浦东新区,4,7,6.8,6.9,12,上海市,121.8237397,30.90266051
烧烤, 浦东新区,1,6.9,6.9,6.9,19,上海市,121.823079,30.90258331
湘菜, 浦东新区,5,7.2,6.9,7.2,30,上海市,121.8213407,30.90090803
快餐, 浦东新区,13,6.9,6.7,6.7,17,上海市,121.8211563,30.90076876
火锅, 浦东新区,28,7.1,7.1,7.1,76,上海市,121.8202019,30.90026427
西餐, 浦东新区,46,7.2,7.2,7.1,34,上海市,121.8158488,30.91223509
咖啡厅, 浦东新区,73,7.3,7.5,7.4,42,上海市,121.8158488,30.91223509
西餐, 浦东新区,67,6.9,7.1,7,131,上海市,121.8153878,30.87413656
咖啡厅, 浦东新区,35,7.6,7.7,7.7,32,上海市,121.8153688,30.87427345
海鲜, 浦东新区,14,7.1,7.1,7.1,75,上海市,121.8147842,30.91219714
湘菜, 浦东新区,60,7.1,7.1,7.2,54,上海市,121.8135568,30.89142109
粤菜, 浦东新区,19,7.1,7,7,29,上海市,121.8133473,30.89150166
浙菜, 浦东新区,325,7.5,8.3,7.5,59,上海市,121.81315,30.91260888
美食, 浦东新区,36,7.7,7.9,7.7,69,上海市,121.8124163,30.91160413
浙菜, 浦东新区,44,6.8,6.8,6.3,108,上海市,121.8119764,30.90869904
蟹宴, 浦东新区,19,6.7,6.8,6.7,74,上海市,121.8119764,30.90869904
浙菜, 浦东新区,26,7.2,7.3,7.2,73,上海市,121.8119764,30.90869904
川菜, 浦东新区,107,8.2,8.1,8,79,上海市,121.8119764,30.90869904
川菜, 浦东新区,99,7.5,7.4,7.4,62,上海市,121.8119764,30.90869904
川菜, 浦东新区,23,6.8,6.9,6.9,47,上海市,121.8119764,30.90869904
粤菜, 浦东新区,99,6.8,7,6.9,87,上海市,121.8119764,30.90869904
湘菜, 浦东新区,300,7,7.3,6.6,78,上海市,121.8119764,30.90869904
火锅, 浦东新区,68,7.9,7.7,7.4,76,上海市,121.8119764,30.90869904
火锅, 浦东新区,229,7.7,7.4,7.7,80,上海市,121.8119764,30.90869904
火锅, 浦东新区,184,7.5,7.7,7.2,100,上海市,121.8119764,30.90869904
火锅, 浦东新区,510,6.9,7.3,7.2,96,上海市,121.8119764,30.90869904
火锅, 浦东新区,51,7.1,6.9,7,74,上海市,121.8119764,30.90869904
火锅, 浦东新区,41,7.1,7.1,7.1,50,上海市,121.8119764,30.90869904
本菜, 浦东新区,168,7.3,7.3,7.3,61,上海市,121.8119764,30.90869904
本菜, 浦东新区,11,6.9,7,7,34,上海市,121.8119764,30.90869904
料理, 浦东新区,182,7.1,7.2,7.2,69,上海市,121.8119764,30.90869904
料理, 浦东新区,197,7.3,7.9,7.5,61,上海市,121.8119764,30.90869904
料理, 浦东新区,187,6.5,6.8,6.6,51,上海市,121.8119764,30.90869904
西餐, 浦东新区,103,7.1,7.3,7.1,39,上海市,121.8119764,30.90869904
快餐, 浦东新区,72,7.4,7.4,7.5,33,上海市,121.8119764,30.90869904
西餐, 浦东新区,104,6.2,6.5,6.5,77,上海市,121.8119764,30.90869904
西餐, 浦东新区,11,6,6.6,6.4,50,上海市,121.8119764,30.90869904
美食, 浦东新区,135,7.5,7.4,7.5,89,上海市,121.8119764,30.90869904
咖啡厅, 浦东新区,24,7,7.4,7.2,17,上海市,121.8119764,30.90869904
快餐, 浦东新区,119,7.5,7.8,7.8,33,上海市,121.8119764,30.90869904
快餐, 浦东新区,45,7.2,7,7.2,13,上海市,121.8119764,30.90869904
海鲜, 浦东新区,15,7.5,7.4,7.4,29,上海市,121.8119764,30.90869904
料理, 浦东新区,8,6.9,6.9,7.2,62,上海市,121.8113679,30.90832215
甜点, 浦东新区,6,7.9,8,7.9,19,上海市,121.8113679,30.90832215
北菜, 浦东新区,0,0,0,0,33,上海市,121.8099491,30.90071806
烧烤, 浦东新区,10,7.2,6.9,7.2,46,上海市,121.8090598,30.90111722
甜点, 浦东新区,7,7.3,7.1,7.1,10,上海市,121.8089492,30.90556041
浙菜, 浦东新区,41,7.1,6.8,7.1,41,上海市,121.8072333,31.09560615
烧烤, 浦东新区,5,7.3,7.1,7.3,34,上海市,121.8067782,31.0949857
粤菜, 浦东新区,320,6.2,6.7,6.3,88,上海市,121.8054532,31.15322869
湘菜, 浦东新区,235,7.4,7.3,7.2,34,上海市,121.8054532,31.15322869
湾菜, 浦东新区,597,7.7,8.4,8.3,37,上海市,121.8054532,31.15322869
快餐, 浦东新区,384,8.1,8.1,7.9,37,上海市,121.8054532,31.15322869
快餐, 浦东新区,58,7.6,7.6,7.5,41,上海市,121.8054532,31.15322869
快餐, 浦东新区,163,7.3,7.3,7.3,28,上海市,121.8054532,31.15322869
快餐, 浦东新区,177,6.7,6.9,6.8,34,上海市,121.8054532,31.15322869
快餐, 浦东新区,299,7,7.3,7,38,上海市,121.8054532,31.15322869
快餐, 浦东新区,361,6.9,6.9,6.9,36,上海市,121.8054532,31.15322869
本菜, 浦东新区,974,6.1,6,5.4,57,上海市,121.8054532,31.15322869
咖啡厅, 浦东新区,339,7.8,7.5,7.5,41,上海市,121.8054532,31.15322869
甜点, 浦东新区,81,7.7,7.5,7.8,20,上海市,121.8054532,31.15322869
美食, 浦东新区,53,6.6,6.7,6.2,116,上海市,121.8054532,31.15322869
咖啡厅, 浦东新区,117,7.1,7.4,7.2,37,上海市,121.8054532,31.15322869
咖啡厅, 浦东新区,67,7,7,6.8,49,上海市,121.8054532,31.15322869
咖啡厅, 浦东新区,40,6.5,6.6,6.5,79,上海市,121.8054532,31.15322869
粤菜, 浦东新区,273,6.3,6.6,5.9,55,上海市,121.8046233,31.15157411
料理, 浦东新区,87,6.7,6.9,6.8,55,上海市,121.8046233,31.15157411
西餐, 浦东新区,170,6.3,6.5,6.4,62,上海市,121.8046233,31.15157411
咖啡厅, 浦东新区,269,7.8,7.5,7.4,39,上海市,121.8046233,31.15157411
咖啡厅, 浦东新区,63,7.5,7.4,7.4,43,上海市,121.8046233,31.15157411
甜点, 浦东新区,42,7.6,7.6,7.3,17,上海市,121.8046233,31.15157411
咖啡厅, 浦东新区,155,7.3,7.5,7.3,56,上海市,121.8046233,31.15157411
咖啡厅, 浦东新区,16,6.7,7,7,83,上海市,121.8046233,31.15157411
快餐, 浦东新区,1148,7.4,7.4,7.1,39,上海市,121.8038403,31.15363467
粤菜, 浦东新区,46,6.1,7.1,6.5,75,上海市,121.8038343,31.15363665
西餐, 浦东新区,29,6.8,7.1,6.9,65,上海市,121.8038343,31.15363665
咖啡厅, 浦东新区,448,8.1,7.8,7.6,40,上海市,121.8038343,31.15363665
咖啡厅, 浦东新区,32,7.4,7.2,7.3,36,上海市,121.8038343,31.15363665
咖啡厅, 浦东新区,48,7.2,7.1,7.1,42,上海市,121.8038343,31.15363665
咖啡厅, 浦东新区,141,7.4,7.5,7.4,49,上海市,121.8038343,31.15363665
咖啡厅, 浦东新区,19,6.8,6.8,6.7,95,上海市,121.8038343,31.15363665
快餐, 浦东新区,2,7,7,7,15,上海市,121.8038403,30.91262323
咖啡厅, 浦东新区,18,6.5,6.6,6.4,39,上海市,121.8025314,31.15134562
快餐, 浦东新区,167,7.5,7.5,7.5,45,上海市,121.80201,31.15267703
浙菜, 浦东新区,49,6.6,6.9,6.5,96,上海市,121.7998761,31.15184388
浙菜, 浦东新区,453,5.8,6.2,5.3,100,上海市,121.7991615,31.15246937
粤菜, 浦东新区,248,6.1,6.6,6.4,82,上海市,121.7991615,31.15246937
快餐, 浦东新区,85,7.3,7.5,7.1,43,上海市,121.7991615,31.15246937
咖啡厅, 浦东新区,65,7.5,7.7,7.4,67,上海市,121.7991615,31.15246937
西餐, 浦东新区,48,7.2,7.2,6.9,56,上海市,121.7991615,31.15246937
甜点, 浦东新区,34,7.4,7.6,7.5,37,上海市,121.7991615,31.15246937
甜点, 浦东新区,83,6.8,6.8,6.7,43,上海市,121.7991615,31.15246937
美食, 浦东新区,75,7.4,7.4,7.1,80,上海市,121.7991615,31.15246937
甜点, 浦东新区,117,6.3,6.6,6.4,12,上海市,121.7991615,31.15246937
咖啡厅, 浦东新区,73,7.9,8,7.8,73,上海市,121.7986613,31.15211274
粤菜, 浦东新区,379,8.3,8,7.9,70,上海市,121.798039,31.1513821
粤菜, 浦东新区,223,8.1,8.4,7.8,60,上海市,121.798039,31.1513821
粤菜, 浦东新区,41,7.6,8,7.5,65,上海市,121.798039,31.1513821
粤菜, 浦东新区,47,6.6,6.8,6.8,50,上海市,121.798039,31.1513821
快餐, 浦东新区,102,8.2,8.3,8.4,51,上海市,121.798039,31.1513821
快餐, 浦东新区,237,7.8,7.5,7.6,35,上海市,121.798039,31.1513821
快餐, 浦东新区,130,7.5,7.4,7.2,33,上海市,121.798039,31.1513821
快餐, 浦东新区,159,7.3,7.3,7.2,51,上海市,121.798039,31.1513821
本菜, 浦东新区,51,6.9,7.1,7.1,93,上海市,121.798039,31.1513821
料理, 浦东新区,72,7.1,7.1,7.1,40,上海市,121.798039,31.1513821
西餐, 浦东新区,114,7.4,7.4,7.2,31,上海市,121.798039,31.1513821
咖啡厅, 浦东新区,35,7.6,7.3,7.2,40,上海市,121.798039,31.1513821
美食, 浦东新区,111,6.1,6.5,5.9,49,上海市,121.798039,31.1513821
咖啡厅, 浦东新区,136,7.5,7.7,7.3,65,上海市,121.798039,31.1513821
咖啡厅, 浦东新区,28,7,7.1,7.2,35,上海市,121.798039,31.1513821
咖啡厅, 浦东新区,34,6.8,6.9,6.8,75,上海市,121.798039,31.1513821
咖啡厅, 浦东新区,173,7.4,7.6,7.6,52,上海市,121.798039,31.1513821
咖啡厅, 黄浦区,8,7.4,7.5,7.4,56,上海市,121.798039,31.1513821
甜点, 浦东新区,23,7.7,7.7,7.7,95,上海市,121.7963783,31.05557055
浙菜, 浦东新区,76,7,7.5,7.3,80,上海市,121.7908784,31.17531655
美食, 浦东新区,49,8.3,8.4,7.7,71,上海市,121.790002,31.17041477
浙菜, 杨浦区,30,7,7,7.1,8,上海市,121.7841074,31.05126214
川菜, 浦东新区,12,7,6.7,6.7,26,上海市,121.7813293,31.05099777
川菜, 浦东新区,62,7.3,6.9,6.9,27,上海市,121.7810161,31.04779624
美食, 浦东新区,28,7.1,7.3,7.2,62,上海市,121.7810161,31.04779624
快餐, 浦东新区,3,7.4,7.4,7.4,23,上海市,121.780981,31.04805905
甜点, 浦东新区,695,8.4,7.2,8.2,8,上海市,121.7808968,31.04805695
烧烤, 浦东新区,44,6.9,6.7,6.8,34,上海市,121.7805278,31.05227106
烧烤, 浦东新区,1,7,7,7,13,上海市,121.7805278,31.05227106
烧烤, 浦东新区,123,6.9,6.9,7,43,上海市,121.7801825,31.04865574
甜点, 浦东新区,16,7.5,7.5,7.5,20,上海市,121.7801312,31.05111925
料理, 浦东新区,4,7,7,7,15,上海市,121.7795365,31.04785144
火锅, 浦东新区,28,7.1,7.2,6.9,67,上海市,121.7791626,31.05086726
川菜, 浦东新区,3,7,6.9,6.9,13,上海市,121.7789615,31.04783778
美食, 浦东新区,16,7.4,7.7,7.7,19,上海市,121.7789615,31.04783778
川菜, 浦东新区,20,7.1,7,7,26,上海市,121.7772206,31.04705126
咖啡厅, 浦东新区,69,7.8,7.8,7.8,31,上海市,121.7765501,31.135392
湘菜, 浦东新区,0,0,0,0,28,上海市,121.774138,31.04381088
浙菜, 浦东新区,85,7.1,7.3,7.1,100,上海市,121.7734354,31.05105898
浙菜, 浦东新区,57,7.3,7.6,7.3,167,上海市,121.7733118,31.04365015
甜点, 浦东新区,17,7.7,7.5,7.7,24,上海市,121.7720453,31.05079979
咖啡厅, 浦东新区,26,8,8.2,8.3,50,上海市,121.7720453,31.05079979
粤菜, 浦东新区,1475,7.6,8,8,92,上海市,121.771824,31.05109442
烧烤, 浦东新区,42,7.3,7.5,7.3,135,上海市,121.771824,31.05109442
甜点, 浦东新区,17,0,0,0,74,上海市,121.7712888,31.05590914
西餐, 浦东新区,127,7.5,7.5,7.4,56,上海市,121.7702678,31.05106002
咖啡厅, 浦东新区,35,7.3,7.4,7.4,55,上海市,121.7701206,31.05081104
浙菜, 浦东新区,13,7,7,7,40,上海市,121.7700942,31.05507555
川菜, 浦东新区,557,8,8,7.9,67,上海市,121.7698182,31.05110161
本菜, 浦东新区,144,7.5,7.6,8.4,74,上海市,121.7694567,31.0510913
咖啡厅, 浦东新区,14,7.5,7.6,7.7,20,上海市,121.7694217,31.05056557
美食, 浦东新区,307,7.9,8.1,7.8,82,上海市,121.7693121,31.05548464
美食, 浦东新区,9,7.4,7.4,7.4,65,上海市,121.7692375,31.05062138
西餐, 浦东新区,107,7.1,7.1,7.1,23,上海市,121.7690632,31.05110796
粤菜, 浦东新区,3400,7.6,7.8,7.4,80,上海市,121.7690181,31.05117388
快餐, 浦东新区,136,7,6.9,6.8,23,上海市,121.7690181,31.05117388
火锅, 浦东新区,224,8.6,8.7,8.4,90,上海市,121.7690051,31.05116388
浙菜, 浦东新区,329,8,8,7.7,83,上海市,121.7678541,31.04562914
川菜, 浦东新区,32,6.9,6.5,6.8,34,上海市,121.7674647,31.04415668
川菜, 浦东新区,357,8.6,8.5,8,79,上海市,121.76735,31.05117652
烧烤, 浦东新区,59,7.3,7.4,6.5,113,上海市,121.7672078,31.05133432
烧烤, 浦东新区,9,6.9,6.9,6.8,38,上海市,121.7672078,31.05133432
料理, 浦东新区,1,7,7,7,19,上海市,121.7670642,31.05607547
火锅, 浦东新区,1454,8.4,8.3,8.4,81,上海市,121.7669765,31.05117224
火锅, 浦东新区,169,8.8,8.5,8.7,61,上海市,121.7667852,31.05122206
火锅, 浦东新区,68,6.6,6.5,6.5,72,上海市,121.7667852,31.05122206
本菜, 浦东新区,107,6.5,6.9,6.6,97,上海市,121.7667852,31.05122206
海鲜, 浦东新区,751,7.7,7.6,7.8,98,上海市,121.7667382,31.05118305
火锅, 浦东新区,21,8.3,8.3,8.4,71,上海市,121.7666781,31.051192
浙菜, 浦东新区,29,7.3,7.6,7.5,127,上海市,121.7662669,31.21456021
海鲜, 浦东新区,83,7.1,6.9,6.9,100,上海市,121.7662669,31.21456021
浙菜, 浦东新区,296,7.6,7.7,7.8,150,上海市,121.7661314,31.05119858
浙菜, 浦东新区,8,6.8,6.8,6.8,85,上海市,121.7661244,31.05131851
美食, 浦东新区,217,7.9,7.4,7.4,76,上海市,121.76579,31.05120233
湘菜, 浦东新区,101,7.6,7.8,7.5,70,上海市,121.765723,31.05120728
火锅, 浦东新区,3749,8.9,8.9,8.7,78,上海市,121.7656298,31.05124119
快餐, 浦东新区,67,6.8,7.5,7,17,上海市,121.7655377,31.05121614
咖啡厅, 浦东新区,32,7.3,7.4,7.3,45,上海市,121.7655107,31.05077437
湘菜, 浦东新区,3,7.3,7.2,7.3,62,上海市,121.7654771,31.04632792
烧烤, 浦东新区,340,7,7.1,7.1,59,上海市,121.7654146,31.05122205
快餐, 浦东新区,2,7.3,7.3,7.3,18,上海市,121.7653252,31.11448723
浙菜, 浦东新区,28,7.4,7.2,7.4,69,上海市,121.765184,31.19776458
烧烤, 浦东新区,563,8.1,7.7,8.1,84,上海市,121.7651473,31.05124384
火锅, 浦东新区,164,8.2,8.1,8.5,70,上海市,121.7649571,31.05122072
火锅, 浦东新区,792,7.3,7.4,7,97,上海市,121.764886,31.05126565
川菜, 浦东新区,44,7.2,7.1,7.3,56,上海市,121.7647435,31.11456078
快餐, 浦东新区,114,8,7.8,7.9,39,上海市,121.7647318,31.05061991
火锅, 浦东新区,408,7.7,8.4,8.1,132,上海市,121.7646367,31.05108858
快餐, 浦东新区,1,7,6.9,7,16,上海市,121.7646284,31.11453671
美食, 浦东新区,16,6.9,6.9,6.9,88,上海市,121.7643971,31.05538493
疆菜, 浦东新区,16,7.3,7.2,7.5,53,上海市,121.7643635,31.04966122
火锅, 浦东新区,166,8.4,7.7,7.6,73,上海市,121.7643584,31.05122831
烧烤, 浦东新区,134,6.9,7.2,6.6,96,上海市,121.7643584,31.05122831
快餐, 浦东新区,25,7.5,7.2,7.3,17,上海市,121.7641928,31.04358562
川菜, 浦东新区,3,7.4,7.1,7.3,35,上海市,121.764049,31.05155991
火锅, 浦东新区,391,8,7.6,7.5,52,上海市,121.764049,31.05155991
甜点, 浦东新区,45,7.4,7.5,7.4,21,上海市,121.7638307,31.05173566
川菜, 浦东新区,15,7.4,7.4,7.4,27,上海市,121.7638188,31.05108803
甜点, 浦东新区,49,7.3,7.4,7.3,20,上海市,121.7638137,31.05126292
火锅, 浦东新区,119,7,6.8,6.7,93,上海市,121.7638078,31.05063228
海鲜, 浦东新区,118,7.1,7.1,7,110,上海市,121.7637751,31.21256142
甜点, 浦东新区,665,8,8.2,7.9,49,上海市,121.7637647,31.05170263
西餐, 浦东新区,196,7.6,7.5,7.6,31,上海市,121.7634814,31.0504062
甜点, 浦东新区,47,7.2,7,6.9,30,上海市,121.7634223,31.05173139
火锅, 浦东新区,54,7.1,7.1,7.3,59,上海市,121.763375,31.11372832
美食, 浦东新区,11,6.8,6.7,7,34,上海市,121.7631958,31.11420395
浙菜, 浦东新区,87,6.9,6.8,6.9,67,上海市,121.7627145,31.11126526
北菜, 浦东新区,3,7,6.9,7,68,上海市,121.762554,31.05595141
美食, 浦东新区,2,7.4,7.3,7.3,43,上海市,121.7623753,31.12150743
咖啡厅, 浦东新区,23,7.1,7.4,7.3,48,上海市,121.7623358,31.05580836
火锅, 浦东新区,63,8,7.7,7.2,81,上海市,121.7618698,31.1210174
快餐, 浦东新区,19,7.2,7,7.1,11,上海市,121.7617636,31.12143211
快餐, 浦东新区,13,6.5,6.7,6.6,14,上海市,121.7616608,31.04687412
浙菜, 浦东新区,31,7.4,7.2,7.3,40,上海市,121.7615489,31.11547325
烧烤, 浦东新区,74,7.3,7,7.1,37,上海市,121.7612049,31.06373714
浙菜, 浦东新区,282,7.3,7.4,7.3,126,上海市,121.7610582,31.05836214
海鲜, 浦东新区,39,6.9,6.8,6.9,113,上海市,121.7609057,31.21758527
海鲜, 浦东新区,31,7.2,6.8,7,110,上海市,121.7609057,31.21758527
川菜, 浦东新区,2,7,6.9,7,29,上海市,121.7608202,31.04391336
北菜, 浦东新区,14,7.3,6.9,7.1,42,上海市,121.7607839,31.04682965
海鲜, 浦东新区,79,7.1,7.3,7.1,84,上海市,121.760567,31.05575537
火锅, 浦东新区,5,7,6.8,7.1,18,上海市,121.7604033,31.12084666
