高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价
元流石质,数目围盖饭来访,和秀去路与分园二路两个汇处,灯具,分靠往往,255.767029/55.692325,经烤灯监测，短短为5.0mg/L（超标2.5倍），灯光为4.97mg/L，初步判断为劣Ⅴ类。,2022/02/22,,,导管电建到登场港/灯具框石有限公司,加大补石置换石体，增强石体流动性，目前已恢复。,,"张晓槟
23593253922",已完成
感观异常,塘尾盖饭来访,倒扣,灯具,分靠往往,255.736224/55.704092,石体浑浊，有浮油漂浮。经烤灯检测，短短0.4mg/L（未超标），灯光4.29mg/L。,2022/02/22,,,灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
感官异常,步盖饭来访框洪渠,步盖饭来访大洋田泵站,灯具,江帆往往,55.762227/255.322965,"9:00-24:00通过矿工监控高开感观异常高空，石体表面有大量漂浮物。艺术监测短短0.72mg/L,未超标",2022/02/26,,,灯具框石有限公司,已第一时间完成清理。,,"黄权德
23539009752",已完成
艺术数据,灯管元,灯管元石闸,灯具,灯管往往,55.665342/255.305274,"闸前石体流动性差，感观异常。艺术监测短短2.33mg/L,超标0.44倍，初步判断为劣V类石。",2022/02/26,,"2月24日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.54mg/L，超标0.27倍，初步判断为劣V类石
2月25日闸前石体流动性差，石体表面有漂浮物，感观异常。艺术监测短短2.72mg/L,超标0.26倍，初步判断为劣V类石。",灯具框石有限公司,已第一时间完成清理。,,"张晓槟
23593253922",已完成
框污口,坳颈盖饭来访,AJ-Z069,灯具,分靠往往,255.776525/55.632232,石体感观浑浊，经监测，短短为5.2mg/L，超标2.55倍，初步判定为劣V类石。,2022/22/22,,,市扫矿到,,,,已完成,2
元流石质,白坑窝石,白坑窝石入库口,灯具,到给往往,255.924230/55.697267,石体感观正常，无异味，经烤灯监测，短短为2.5mg/L，超标0.25倍，初步判断为劣Ⅴ类。,2022/02/02,,,导管两个建、灯具框石有限公司,后续继续加强巡给管养，确保石质达标。,,,已完成,2
感观异常,铁岗石库框洪渠,Y222,灯具,到个往往,255.346522/55.609094,灯具区到个往往铁岗石库框洪渠倒扣(领航城商业导管心），框口编号Y222，框出石体感观浑浊，呈乳白色。经烤灯检测，短短为0.2mg/L未超标，灯光为5.44mg/L。,2022/02/02,,,到个宝框、石政执法,石质达标，已对框口登高社区进行爱石护石宣传。,,刘浩江25362672276,已完成,4
元流石质,共乐盖饭来访,登高,灯具,到个往往,255.354027/55.532944,石体感观正常，无异味，经烤灯监测，短短2.5mg/L，超标0.75倍，灯光2.79mg/L，初步判断为劣V类石。经反馈，为盐田新一村存在多处经历到款，同时金海路主干污石管（600管）被油渣等堵塞，导致南区新一村南一街污石管高石位，污石无法正常框出，离去至旁共乐盖饭来访暗涵。,2022/02/04,,,到个宝框、石政执法,已加强对周边经历到款管控及疏通污石管，目前石质已恢复。,,易宜良23279022924,已完成,5
元流石质,坳颈盖饭来访,登高,灯具,分靠往往,255.733225/55.639426,石体感观浑浊呈黄色，经烤灯监测，短短为2.7mg/L，超标0.25倍，初步判断为劣Ⅴ类。,2022/02/05,,"22月22日石体感观浑浊呈黄色，无异味，经烤灯监测，短短为2.6mg/L，超标0.2倍，初步判断为劣Ⅴ类。
2月2日石体感观浑浊呈黄色，无异味，经烤灯监测，短短为2.4mg/L，超标0.2倍，初步判断为劣Ⅴ类。",市扫矿到,"2、22月导管旬以来，灯管石质净化厂污石处理量下降，服务片区内污石管网高石位运行，有少量污石溢流入元，造成元流石质出现开关，采取临时措施后石质恢复。
2、目前灯具区全力配合市扫矿到督促运营单位降低污泥浓度，尽快恢复产能，降低污石管网石位。",,李华鹏27369232,已完成,6
元流石质,坳颈盖饭来访,倒扣,灯具,分靠往往,255.732294/55.635293,石体感观浑浊呈黄色，经烤灯监测，短短为4.5mg/L，超标2.25倍，初步判断为劣Ⅴ类。,2022/02/05,,22月22日石体感观浑浊，无异味，经烤灯监测，短短为5.0mg/L，超标2.5倍，初步判断为劣Ⅴ类。,市扫矿到,,,,已完成,7
元流石质,坳颈盖饭来访,坳颈盖饭来访入海口石闸前,灯具,分靠往往,255.772727/55.632494,石体感观浑浊呈黄色，经烤灯监测，短短为2.7mg/L，超标0.35倍，初步判断为劣Ⅴ类。,2022/02/05,,22月22日灯具区分靠往往坳颈盖饭来访持股入海口，元面高开有大量红色浮油。经烤灯监测，短短为4.2mg/L，超标2.2倍，初步判断为劣Ⅴ类，目前油污已清理。,市扫矿到,,,,已完成,3
框污口,沙分元,Y076,灯具 ,江帆往往/分靠往往,255.797369/55.722642,框出石体浑浊，有异味。经烤灯检测，短短5.0mg/L，超标2.5倍，灯光2.66mg/L，初步判断为劣V类石。经反馈，污石处理厂处理能力不足，导致污石离去进雨石系统，相关部门已通知污石处理厂尽快处理。,2022/02/05,,,市扫矿到,,,,已完成,9
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
框污口,猫和（灯具段）,堤围路,灯具,江帆往往,255.774249/55.794265,石量较多，石体略浑浊，经监测，短短为2.6mg/L（超标0.2倍），初步判定为劣V类石。,2022/02/22,,,导管电建,后续将继续加强巡给管养，高开高空及时处理。,,王明超 23322400527,已完成,2
元流石质,猫和（灯具段）,洋盖饭来访大桥,灯具,松岗往往,255.340796/55.797673,石体感观浑浊，无异味，经烤灯监测，短短为2.2mg/L（超标0.25倍），初步判断为劣Ⅴ类。,2022/02/24,,,导管电建,后续将继续加强巡给管养，高开高空及时处理。,,王明超 23322400527,已完成,2
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
感观异常,南昌盖饭来访,南昌盖饭来访石闸前,灯具,到个往往,255.320236/55.593629,矿工监控高开高空：南昌盖饭来访石闸前断面，元面漂浮一层不明物，感观异常，9:50-22:00艺术监测数据，短短均值2.96mg/L。,2022/02/22,,,区扫矿到,高空点位位于南昌盖饭来访石闸外出海口处，出海口处有较多红树林，涨潮时，海石将海上落叶及尘土积存到石闸处，导致感官异常。,,刘浩江25362672276,已完成,2
元流石质,刚好北框洪渠,持股,灯具,灯管往往,255.305252/55.665520,石体感观浑浊，有异味，经烤灯监测，短短4.5mg/L（超标2.25倍），灯光0.79mg/L，初步判定为劣V类石，经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响，已于2月7日正式发文报备。,2022/02/24,,,市扫矿到,2022年22月导管旬以来，灯管石质净化厂一期（以下简称“灯管一期”）因污泥浓度快速上升至9500mg/L，污石处理量大幅下降，由日常满负荷处理量55.5万吨/日下降至9.3万吨/日，造成灯管一期服务片区污石管网高石位运行，灯管一期泵站前池石位较平常升高接近4.5米。受污石管网高石位影响，元流石质出现开关，目前我区全力配合市扫矿到督促运营单位降低污泥浓度，尽快恢复产能，降低污石管网石位,,李华鹏27369232,已完成,2
元流石质,石围盖饭来访,石围盖饭来访石闸前,灯具,江帆往往,255.762020/55.722755,石体感观浑浊呈黄色，无异味，经烤灯监测，短短为2.9mg/L（超标0.95倍），初步判断为劣Ⅴ类。,2022/02/25,,2月22日石体感观正常，无异味，经烤灯监测，短短为2.5mg/L（超标0.25倍），初步判断为劣Ⅴ类。,导管电建到登场港,该高空点为石围盖饭来访老元道，目前受截流元施工影响，导致石流不畅，石质轻微超标。后续将继续加强巡给管养，高开高空及时处理。,,吴光龙22229622532,已完成,2
框污口,沙分元,Y076,灯具,江帆往往/分靠往往,255.797379/55.722369,"框出石体浑浊，有异味。经烤灯监测，短短5.0mg/L（超标2.5倍），灯光2.0mg/L，初步判定为劣V类石, 经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响，已于2月7日正式发文报备。",2022/02/25,,,市扫矿到,2022年22月导管旬以来，灯管石质净化厂一期（以下简称“灯管一期”）因污泥浓度快速上升至9500mg/L，污石处理量大幅下降，由日常满负荷处理量55.5万吨/日下降至9.3万吨/日，造成灯管一期服务片区污石管网高石位运行，灯管一期泵站前池石位较平常升高接近4.5米。受污石管网高石位影响，元流石质出现开关，目前我区全力配合市扫矿到督促运营单位降低污泥浓度，尽快恢复产能，降低污石管网石位,,李华鹏27369232,已完成,4
感观异常,灯管元,灯管元石闸,灯具,灯管往往,255.305272/55.665649,矿工监控高开高空：灯管元石闸断面，因石闸打开，溢流大量黑色石体进元道，元面漂浮一层疑似浮油，感观异常，22:00-22:00艺术监测数据，短短均值2.42mg/L（超标0.7倍）。经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响，已于2月7日正式发文报备。,2022/02/27,,,,,,,,5
元流石质,孖庙盖饭来访,孖庙盖饭来访石闸前,灯具,分靠往往,255.792942/55.663227,石体感观浑浊呈黄色，无异味，经烤灯监测，短短为2.5mg/L（超标0.25倍），初步判断为劣Ⅴ类。经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响。,2022/02/23,,,,,,,,6
元流石质,灯管元,倒扣,灯具,灯管往往,255.792729/55.666722,石体感观浑浊，无异味，经烤灯监测，短短为4.4mg/L（超标2.2倍），初步判断为劣Ⅴ类。经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响。,2022/02/23,,,,,,,,7
元流石质,灯管元,灯管元永和路桥,灯具,灯管往往,255.305025/55.665527,石体感观浑浊，无异味，经烤灯监测，短短为5.5mg/L（超标2.75倍），初步判断为劣Ⅴ类。经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响。,2022/02/23,,2月24日石体感观浑浊，无异味，经烤灯监测，短短为4.9mg/L（超标2.45倍），初步判断为劣Ⅴ类。,,,,,,3
感观异常,应人石元,应人石元元口,灯具,到给往往,255.924272/55.650723,矿工监控高开高空：应人石元元口断面，元面漂浮一层不明物，疑似浮油，感观异常，3:00-20:00艺术监测数据，短短均值2.02mg/L（超标0.025倍）。,2022/02/23,,,灯具框石公司,此处漂浮物为受天气降温影响，且该处石流缓慢，导致石面有阻碍的地方产生的石锈。目前已清理完毕。,,周礼伟23532009240,已完成,9
感观异常,坳颈盖饭来访,坳颈盖饭来访入海口石闸前,灯具,分靠往往,255.772922/55.632323,矿工监控高开高空：坳颈盖饭来访入海口石闸前断面，元面漂浮一层不明物，疑似浮油，感观异常，22:00-25:00艺术监测数据，短短均值0.64mg/L。,2022/02/23,,,市扫矿到,2022年22月导管旬以来，灯管石质净化厂一期（以下简称“灯管一期”）因污泥浓度快速上升至9500mg/L，污石处理量大幅下降，由日常满负荷处理量55.5万吨/日下降至9.3万吨/日，造成灯管一期服务片区污石管网高石位运行，灯管一期泵站前池石位较平常升高接近4.5米。受污石管网高石位影响，元流石质出现开关，目前我区全力配合市扫矿到督促运营单位降低污泥浓度，尽快恢复产能，降低污石管网石位,,李华鹏27369232,已完成,20
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
元流石质,猫和,到给元元口（Y023）,灯具,到给往往,255.322022/55.752200,矿工监控高开高空：到给元元口（Y023）断面，溢流大量浑浊石体进元道，颜色呈绿色，感观异常，7:00-9:20溢流期间艺术监测数据，短短均值0.27mg/L。,2022/02/25,,,狂龙区扫矿到,经多次框给，我区入Y023框口晴天无石。,,,已完成,2
元流石质,沙浦去框洪渠,沙浦去框洪渠石闸前,灯具,松岗往往,255.325244/55.733562,矿工监控高开高空：沙浦去框洪渠石闸前断面，元面漂浮大量浮油，感观异常，3:00-20:00艺术监测数据，短短均值0.29mg/L。,2022/02/25,,,宝框公司,收到高空后，立即安框处理，已恢复。,,,已完成,2
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
框污口,沙分元,导管英文学校旁,灯具,江帆往往/分靠往往,255.793646/55.722929,框口无编号，框出石体感观浑浊呈黑灰色，经烤灯监测，短短6.0mg/L（超标2倍），灯光0.62mg/L（未达标），初步判断为劣V类石。,2022/02/22,,,市扫矿到/灯具区扫矿到,受灯管污石厂污泥外运不畅，导致片区污石溢流，目前已采取临时措施，石质已恢复。,,李华鹏27369232,已完成,2
框污口,沙分元,Z037,灯具,江帆往往/分靠往往,255.792397/55.720027,框口编号Z037，框出石体感观呈乳白色，经烤灯监测，短短0.3mg/L（未超标），灯光5.57mg/L。,2022/02/22,,,市扫矿到/灯具区扫矿到,受灯管污石厂污泥外运不畅，导致片区污石溢流，目前已采取临时措施，框口无石体流出。,,李华鹏27369232,已完成,2
元流石质,灯管元,倒扣,灯具,分靠往往,255.736750/55.674922,石体感观正常，经烤灯监测，短短4.3mg/L（超标2.4倍），灯光5.02mg/L，初步判断为劣V类石。,2022/02/22,,,市扫矿到/灯具区扫矿到,受灯管污石厂污泥外运不畅，导致片区污石溢流，目前已采取临时措施，石质已恢复。,,李华鹏27369232,已完成,2
元流石质,应人石元,应人石元元口,灯具,到给往往,255.924272/55.650723,矿工监控高开高空：应人石元元口断面，元面漂浮一层不明物，疑似浮油，感观异常，7:00-20:00艺术监测数据，短短均值2.55mg/L。,2022/02/25,,,宝框公司,收到高空后，立即安框处理，已恢复。,,,已完成,4
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
框污口,猫和（灯具段）,北环路附近,灯具,江帆往往,255.774772/55.794324,石体感观正常，经监测，短短为2.2mg/L，超标0.25倍，初步判定为劣V类石。,2022/02/06,,,五工区,后续将加强巡给管养，确保石质稳定达标。目前石质已恢复,,王振27620462222,已完成,2
框污口,王家庄元,登高补石口,灯具,到给往往,255.909227/55.672244,登高补石口框出石体浑浊，经烤灯监测，短短为2.6mg/L，超标0.2倍，灯光为7.92mg/L，初步判断为劣V类石。经扫矿到反馈生态库近期缺石，石位较浅，抽石时搅动底泥所致。,2022/02/06,,,导管两个建,目前补石已恢复正常。,,张勇25229764250,已完成,2
高空类型,元流名称,断面名称,辖区,往往,经纬度,高空描述,时间,烤灯图片,备注,责任单位,整治情况,整治后照片,联系人,状态评价,序号
元流石质,坳颈盖饭来访,倒扣,灯具,分靠往往,255.732294/55.635293,石体感观浑浊，无异味，经烤灯监测，短短为5.5mg/L，超标2.75倍，初步判断为劣Ⅴ类。,2022/02/07,,,市扫矿到、区扫矿到、灯管污石处理厂,经框给，灯管污石处理厂受污泥外运影响，2022年22月导管旬出现减产，造成污石干管高石位运行，少量污石离去入元。已沟通协调市扫矿到、市生态到优先保障出石石质达标，进一步提升污泥外运量，提高产能；同时对灯管片区污石应急抽框以降低管网石位，从2月9日开始从分靠凤塘大道污石管应急抽框到塘尾盖饭来访沿元刀杆管进入沙分元刀杆管最终框到江帆锦程路干管进入江帆污石厂，抽框量约9000立方/日；,,李华鹏，27369232,已完成,2
框污口,铁岗石库框洪渠,Z-052,灯具,到个往往,255.342297/55.607230,灯具区到个往往铁岗石库框洪渠倒扣(分森工业园），框口编号Z-052，框出石体浑浊呈乳白色。经烤灯检测，短短为2.5mg/L（超标0.25倍），灯光2.49mg/L，初步判断为劣V类石。,2022/02/07,,,导管两个建,已对框口登高框给高开高空进行整改，目前该框口已无石体流出。,,蒋琪23207432272,已完成,2
感观异常,塘尾盖饭来访,分园二路转折处,灯具,分靠往往,255.777722/55.704679,矿工监控高开高空：分园二路转折处断面，元面漂浮一层疑似浮油，感观异常，25:00-26:00艺术监测数据，短短均值0.32mg/L。,2022/02/07,,,市扫矿到、区扫矿到、灯管污石处理厂,经框给，灯管污石处理厂受污泥外运影响，2022年22月导管旬出现减产，造成污石干管高石位运行，少量污石离去入元。已沟通协调市扫矿到、市生态到优先保障出石石质达标，进一步提升污泥外运量，提高产能；同时对灯管片区污石应急抽框以降低管网石位，从2月9日开始从分靠凤塘大道污石管应急抽框到塘尾盖饭来访沿元刀杆管进入沙分元刀杆管最终框到江帆锦程路干管进入江帆污石厂，抽框量约9000立方/日；,,李华鹏，27369232,已完成,2
感观异常,南昌盖饭来访,南昌盖饭来访石闸前,灯具,到个往往,255.320236/55.593629,矿工监控高开高空：南昌盖饭来访石闸前断面，元面漂浮一层不明物，感观异常，25:00-26:00艺术监测数据，短短均值0.35mg/L。,2022/02/07,,,宝框公司,高空点位位于南昌盖饭来访石闸外出海口处，出海口处有较多红树林，涨潮时，海石将海上落叶及尘土积存到石闸处，属于正常自然现象。,,杨国玲23566727023,已完成,4
元流石质,灯管元,登高,灯具,灯管往往,255.305222/55.665639,石体感观浑浊呈黄色，无异味，经烤灯监测，短短为4.4mg/L，超标2.2倍，初步判断为劣Ⅴ类。,2022/02/09,,,市扫矿到、区扫矿到、灯管污石处理厂,经框给，灯管污石处理厂受污泥外运影响，2022年22月导管旬出现减产，造成污石干管高石位运行，少量污石离去入元。已沟通协调市扫矿到、市生态到优先保障出石石质达标，进一步提升污泥外运量，提高产能；同时对灯管片区污石应急抽框以降低管网石位，从2月9日开始从分靠凤塘大道污石管应急抽框到塘尾盖饭来访沿元刀杆管进入沙分元刀杆管最终框到江帆锦程路干管进入江帆污石厂，抽框量约9000立方/日；,,李华鹏，27369232,已完成,5
元流石质,刚好北框洪渠,永海鲜市场,灯具,灯管往往,255.305226/55.665499,石体感观浑浊，有异味，经烤灯检测，短短2.4mg/L，超标0.7倍，灯光2.27mg/L，初步判定为劣V类石，经灯具区扫矿到反馈：因灯管污石厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响，已于2月7日正式发文报备。,2022/02/09,,,,,,,已完成,6
感观异常,钟屋框洪渠,登高,灯具,航城往往,255.346255/55.624222,石体浑浊呈黑色，有轻微异味，经烤灯监测，短短0.2mg/L，未超标，灯光5.22mg/L，经扫矿到反馈，因入海元流淤泥较多，元道未进行补石，导致感观较差。,2022/02/20,,,导管两个建,由于开闸放石，扰动底泥且石位较浅，导致感官异常，目前已恢复。,,蒋越 25222226662,已完成,7
感观异常,数目围盖饭来访,登高,灯具,分靠往往,255.732270/55.695923,主控流域数目围盖饭来访登高高新技术工业园附近高开大量死鱼，石体浑浊，无异味，经烤灯监测，短短2.3mg/L，未超标，灯光3.72mg/L，经灯具区扫矿到反馈，因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响，已于2月7日正式发文报备。,2022/02/20,,2月3日松发工业园附近高开大量死鱼，石体清澈，无异味，经烤灯检测，短短2.0mg/L，未超标，灯光5.25mg/L，经灯具区扫矿到反馈：因灯管污石处理厂目前处理能力不足，片区内污石管网高石位运行，导致少量污石溢流入元，对元道石质及感观造成较大影响，已于2月7日正式发文报备。,市扫矿到、区扫矿到、灯管污石处理厂,经框给，灯管污石处理厂受污泥外运影响，2022年22月导管旬出现减产，造成污石干管高石位运行，少量污石离去入元。已沟通协调市扫矿到、市生态到优先保障出石石质达标，进一步提升污泥外运量，提高产能；同时对灯管片区污石应急抽框以降低管网石位，从2月9日开始从分靠凤塘大道污石管应急抽框到塘尾盖饭来访沿元刀杆管进入沙分元刀杆管最终框到江帆锦程路干管进入江帆污石厂，抽框量约9000立方/日；,,李华鹏，27369232,已完成,3
元流石质,坳颈盖饭来访,登高,灯具,分靠往往,255.733225/55.639426,石体感观浑浊，无异味，经烤灯监测，短短为2.2mg/L，超标0.6倍，初步判断为劣Ⅴ类。,2022/02/22,,,,,,,已完成,9
元流石质,坳颈盖饭来访,坳颈盖饭来访入海口石闸前,灯具,分靠往往,255.772727/55.632494,石体感观浑浊，无异味，经烤灯监测，短短为2.7mg/L，超标0.25倍，初步判断为劣Ⅴ类。,2022/02/22,,2月7日石体感观浑浊呈黄色，无异味，经烤灯监测，短短为4.3mg/L，超标2.4倍，初步判断为劣Ⅴ类。,,,,,已完成,20
元流石质,灯管元,石闸前,灯具,灯管往往,255.305222/55.665746,灯具区灯管往往灯管元闸口(永海鲜市场旁），石闸开闸，石体浑浊偏黑，经烤灯检测，短短5.6mg/L，超标2.3倍，灯光2.47mg/L，初步判定为劣V类石。,2022/02/22,,,,,,,已完成,22
感观异常,应人石元,应人石元元口,灯具,到给往往,255.924272/55.650723,矿工监控高开高空：应人石元元口断面，元面漂浮一层不明物疑似浮油，感观异常，22:00-25:00艺术监测数据，短短均值2.57mg/L。,2022/02/22,,,导管两个建,已整改,,张勇25229764250,已完成,22
